AssociatedGeneName EnsemblGeneID h2.ArteryTibial se.ArteryTibial ensid
ACCS ENSG00000110455.9 0.182798 0.078713 ENSG00000110455
A4GALT ENSG00000128274.11 0.184286 0.084753 ENSG00000128274
MCOLN2 ENSG00000153898.8 0.205384 0.074739 ENSG00000153898
RDH13 ENSG00000160439.10 0.29328 0.099577 ENSG00000160439
NUDT7 ENSG00000140876.7 0.205439 0.085459 ENSG00000140876
LRRC37A ENSG00000176681.10 0.36247 0.090972 ENSG00000176681
KNSTRN ENSG00000128944.8 0.266807 0.084153 ENSG00000128944
HAUS4 ENSG00000092036.12 0.192303 0.071625 ENSG00000092036
DHFR ENSG00000228716.2 0.155431 0.069908 ENSG00000228716
NUPR1 ENSG00000176046.7 0.169511 0.064664 ENSG00000176046
APIP ENSG00000149089.8 0.16673 0.068006 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.169367 0.072573 ENSG00000238083
ZNF641 ENSG00000167528.8 0.113049 0.05637 ENSG00000167528
ARHGAP22 ENSG00000128805.10 0.160129 0.078762 ENSG00000128805
TACSTD2 ENSG00000184292.5 0.194723 0.070568 ENSG00000184292
APOL4 ENSG00000100336.13 0.226805 0.085407 ENSG00000100336
TMEM50B ENSG00000142188.12 0.157834 0.068 ENSG00000142188
ARL17B ENSG00000228696.4 0.161853 0.078785 ENSG00000228696
NME4 ENSG00000103202.8 0.292222 0.086932 ENSG00000103202
FANCA ENSG00000187741.10 0.194689 0.072611 ENSG00000187741
GSTM1 ENSG00000134184.8 0.252234 0.093519 ENSG00000134184
ZFP28 ENSG00000196867.3 0.146998 0.072156 ENSG00000196867
VLDLR ENSG00000147852.10 0.46249 0.078027 ENSG00000147852
PCDHB16 ENSG00000196963.2 0.160685 0.068383 ENSG00000196963
TMEM45A ENSG00000181458.6 0.14923 0.067379 ENSG00000181458
DSCC1 ENSG00000136982.5 0.234026 0.077755 ENSG00000136982
ADRBK2 ENSG00000100077.9 0.169755 0.073302 ENSG00000100077
PDZRN3 ENSG00000121440.10 0.186866 0.081957 ENSG00000121440
SNX20 ENSG00000167208.10 0.18993 0.082381 ENSG00000167208
CHAF1A ENSG00000167670.11 0.187345 0.074104 ENSG00000167670
PODN ENSG00000174348.9 0.137168 0.068554 ENSG00000174348
POLR2E ENSG00000099817.7 0.31508 0.094399 ENSG00000099817
PTK6 ENSG00000101213.5 0.150717 0.071581 ENSG00000101213
C19orf25 ENSG00000119559.11 0.187442 0.082072 ENSG00000119559
FAM227A ENSG00000184949.10 0.157125 0.068022 ENSG00000184949
TRIB3 ENSG00000101255.6 0.225428 0.088758 ENSG00000101255
GSAP ENSG00000186088.11 0.165142 0.075895 ENSG00000186088
