AssociatedGeneName EnsemblGeneID h2.ArteryTibial se.ArteryTibial ensid
MDGA1 ENSG00000112139.9 0.37449 0.093487 ENSG00000112139
GSTT1 ENSG00000184674.8 0.700978 0.064598 ENSG00000184674
ADARB2 ENSG00000185736.11 0.207418 0.084974 ENSG00000185736
TMEM176B ENSG00000106565.13 0.195145 0.087327 ENSG00000106565
PEX11G ENSG00000104883.3 0.214213 0.089127 ENSG00000104883
FAM118A ENSG00000100376.7 0.64589 0.067167 ENSG00000100376
PILRA ENSG00000085514.10 0.290706 0.071161 ENSG00000085514
RPS28 ENSG00000233927.4 0.778058 0.046835 ENSG00000233927
PAPSS1 ENSG00000138801.4 0.334648 0.084761 ENSG00000138801
VPS53 ENSG00000141252.15 0.23248 0.077452 ENSG00000141252
ZP3 ENSG00000188372.10 0.781613 0.041065 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.239429 0.084899 ENSG00000168255
RPL9 ENSG00000163682.11 0.825221 0.036451 ENSG00000163682
ST20 ENSG00000180953.7 0.471572 0.081681 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.784216 0.041334 ENSG00000142856
ACCS ENSG00000110455.9 0.654432 0.066246 ENSG00000110455
GSTT2 ENSG00000099984.6 0.671402 0.058734 ENSG00000099984
GSTT2B ENSG00000133433.6 0.609473 0.065759 ENSG00000133433
MCOLN2 ENSG00000153898.8 0.513126 0.079023 ENSG00000153898
SPATA20 ENSG00000006282.15 0.728201 0.054812 ENSG00000006282
OPRL1 ENSG00000125510.11 0.247742 0.087364 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.203169 0.073006 ENSG00000112053
PSD4 ENSG00000125637.10 0.24328 0.085852 ENSG00000125637
RDH13 ENSG00000160439.10 0.393302 0.095054 ENSG00000160439
AGAP7 ENSG00000204169.6 0.447949 0.09571 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.377188 0.08027 ENSG00000239713
HOXB2 ENSG00000173917.9 0.129355 0.061246 ENSG00000173917
NUDT7 ENSG00000140876.7 0.187313 0.086626 ENSG00000140876
LRRC61 ENSG00000127399.10 0.214966 0.071861 ENSG00000127399
