Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	polymorphism	201	68.13559322033899	0.0038816386671445885	ENSG00000154415, ENSG00000100077, ENSG00000121410, ENSG00000157985, ENSG00000101333, ENSG00000008838, ENSG00000188906, ENSG00000143149, ENSG00000100336, ENSG00000116260, ENSG00000171714, ENSG00000159899, ENSG00000104901, ENSG00000152910, ENSG00000136872, ENSG00000110455, ENSG00000014164, ENSG00000071909, ENSG00000120251, ENSG00000134716, ENSG00000087085, ENSG00000136982, ENSG00000076258, ENSG00000197016, ENSG00000187173, ENSG00000140279, ENSG00000100341, ENSG00000164713, ENSG00000101213, ENSG00000187741, ENSG00000007062, ENSG00000153898, ENSG00000166450, ENSG00000052850, ENSG00000129566, ENSG00000186283, ENSG00000174348, ENSG00000171502, ENSG00000164466, ENSG00000107242, ENSG00000184613, ENSG00000168263, ENSG00000215018, ENSG00000111530, ENSG00000146085, ENSG00000031691, ENSG00000179630, ENSG00000072134, ENSG00000117152, ENSG00000140470, ENSG00000117155, ENSG00000184349, ENSG00000057019, ENSG00000104805, ENSG00000124151, ENSG00000102554, ENSG00000138829, ENSG00000113205, ENSG00000171466, ENSG00000123415, ENSG00000146147, ENSG00000079819, ENSG00000102967, ENSG00000121440, ENSG00000011132, ENSG00000172493, ENSG00000164385, ENSG00000196867, ENSG00000137976, ENSG00000116701, ENSG00000012817, ENSG00000128944, ENSG00000106025, ENSG00000196963, ENSG00000187630, ENSG00000080345, ENSG00000179915, ENSG00000134463, ENSG00000166415, ENSG00000174586, ENSG00000168291, ENSG00000074755, ENSG00000178078, ENSG00000147655, ENSG00000089685, ENSG00000100296, ENSG00000184916, ENSG00000104964, ENSG00000071967, ENSG00000197969, ENSG00000109667, ENSG00000133661, ENSG00000175832, ENSG00000051620, ENSG00000134200, ENSG00000155846, ENSG00000115993, ENSG00000103313, ENSG00000158023, ENSG00000175229, ENSG00000137857, ENSG00000106665, ENSG00000055609, ENSG00000163531, ENSG00000174898, ENSG00000113319, ENSG00000073921, ENSG00000165272, ENSG00000170954, ENSG00000162669, ENSG00000056972, ENSG00000099817, ENSG00000172568, ENSG00000115604, ENSG00000151773, ENSG00000115594, ENSG00000167670, ENSG00000173421, ENSG00000131037, ENSG00000162650, ENSG00000077420, ENSG00000169062, ENSG00000107317, ENSG00000187486, ENSG00000072756, ENSG00000163606, ENSG00000112110, ENSG00000065621, ENSG00000173227, ENSG00000112319, ENSG00000109445, ENSG00000122729, ENSG00000166140, ENSG00000165512, ENSG00000130413, ENSG00000172987, ENSG00000116191, ENSG00000134184, ENSG00000147485, ENSG00000151892, ENSG00000186212, ENSG00000082781, ENSG00000204740, ENSG00000030582, ENSG00000128274, ENSG00000184292, ENSG00000137494, ENSG00000166263, ENSG00000148655, ENSG00000137198, ENSG00000079691, ENSG00000140961, ENSG00000180875, ENSG00000108883, ENSG00000100385, ENSG00000116785, ENSG00000142082, ENSG00000056736, ENSG00000163380, ENSG00000128805, ENSG00000180806, ENSG00000140876, ENSG00000112164, ENSG00000186088, ENSG00000127863, ENSG00000167528, ENSG00000177728, ENSG00000064989, ENSG00000005471, ENSG00000117834, ENSG00000095464, ENSG00000174514, ENSG00000137766, ENSG00000180817, ENSG00000167208, ENSG00000203963, ENSG00000035664, ENSG00000048392, ENSG00000136643, ENSG00000204335, ENSG00000123096, ENSG00000149089, ENSG00000150656, ENSG00000103599, ENSG00000135525, ENSG00000163362, ENSG00000162337, ENSG00000186867, ENSG00000075673, ENSG00000111962, ENSG00000183098, ENSG00000143815, ENSG00000148690, ENSG00000054796, ENSG00000170423, ENSG00000184860, ENSG00000133019, ENSG00000105479, ENSG00000147852, ENSG00000101255, ENSG00000135298	287	9899	15891	1.124278910374574	0.7324465749852476	0.7324465749852476	5.15622147191841
SP_PIR_KEYWORDS	oxidoreductase	19	6.440677966101695	0.004599328359983175	ENSG00000134716, ENSG00000048392, ENSG00000103202, ENSG00000168291, ENSG00000076258, ENSG00000160439, ENSG00000102967, ENSG00000147485, ENSG00000143149, ENSG00000184860, ENSG00000137857, ENSG00000140279, ENSG00000137198, ENSG00000116157, ENSG00000012817, ENSG00000171724, ENSG00000116260, ENSG00000187630, ENSG00000071967	287	504	15891	2.0873361539737845	0.7904449737487554	0.5422281941280738	6.082154458262313
SP_PIR_KEYWORDS	peroxidase	4	1.3559322033898304	0.006034675722296088	ENSG00000137857, ENSG00000140279, ENSG00000116157, ENSG00000147485	287	21	15891	10.546540567446492	0.871516238291701	0.49539748075049805	7.90890533214017
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	76	25.76271186440678	0.0064955786742535975	ENSG00000174898, ENSG00000057019, ENSG00000100385, ENSG00000121410, ENSG00000116785, ENSG00000165272, ENSG00000056736, ENSG00000115604, ENSG00000115594, ENSG00000171714, ENSG00000116260, ENSG00000163900, ENSG00000138829, ENSG00000137968, ENSG00000159899, ENSG00000113205, ENSG00000069188, ENSG00000104901, ENSG00000176681, ENSG00000152910, ENSG00000112164, ENSG00000127863, ENSG00000120251, ENSG00000087085, ENSG00000107317, ENSG00000177728, ENSG00000064989, ENSG00000005471, ENSG00000163606, ENSG00000117834, ENSG00000140279, ENSG00000137976, ENSG00000174514, ENSG00000196963, ENSG00000145777, ENSG00000187630, ENSG00000179915, ENSG00000007062, ENSG00000166450, ENSG00000186283, ENSG00000150656, ENSG00000147485, ENSG00000147655, ENSG00000167614, ENSG00000151892, ENSG00000174348, ENSG00000171502, ENSG00000184916, ENSG00000186867, ENSG00000162337, ENSG00000143028, ENSG00000082781, ENSG00000030582, ENSG00000071967, ENSG00000128274, ENSG00000120088, ENSG00000109667, ENSG00000133661, ENSG00000221866, ENSG00000111962, ENSG00000134200, ENSG00000184292, ENSG00000184613, ENSG00000168263, ENSG00000175229, ENSG00000137857, ENSG00000213853, ENSG00000133019, ENSG00000147852, ENSG00000168778, ENSG00000163531, ENSG00000140470, ENSG00000157445, ENSG00000135298, ENSG00000180875, ENSG00000184349	286	3197	15880	1.319943740963447	0.9984626054519873	0.9984626054519873	9.776842016139186
GOTERM_MF_FAT	GO:0004896~cytokine receptor activity	5	1.694915254237288	0.007614301438234944	ENSG00000151892, ENSG00000056736, ENSG00000115604, ENSG00000100385, ENSG00000115594	196	44	10941	6.3433441558441555	0.9709550863475607	0.9709550863475607	10.316052732094217
GOTERM_MF_FAT	GO:0050664~oxidoreductase activity, acting on NADH or NADPH, with oxygen as acceptor	3	1.0169491525423728	0.008245163811285936	ENSG00000137857, ENSG00000116701, ENSG00000140279	196	8	10941	20.933035714285715	0.9783626846547693	0.8529037208314544	11.124765631304957
SMART	SM00008:HormR	4	1.3559322033898304	0.008327827783320987	ENSG00000120088, ENSG00000064989, ENSG00000135298, ENSG00000112164	130	26	7927	9.381065088757397	0.6542580631946209	0.6542580631946209	9.24282916628697
UP_SEQ_FEATURE	domain:EGF-like 3	6	2.0338983050847457	0.009456168203122395	ENSG00000184613, ENSG00000184916, ENSG00000147852, ENSG00000138829, ENSG00000162337, ENSG00000179915	286	72	15880	4.627039627039627	0.9999208491205204	0.9911033219975288	13.929241848578688
SP_PIR_KEYWORDS	hydrogen peroxide	3	1.0169491525423728	0.010689482599777062	ENSG00000137857, ENSG00000140279, ENSG00000147485	287	9	15891	18.45644599303136	0.9738326195123611	0.5978018558347262	13.609016261810014
INTERPRO	IPR001879:GPCR, family 2, extracellular region	4	1.3559322033898304	0.01116231399708682	ENSG00000120088, ENSG00000064989, ENSG00000135298, ENSG00000112164	255	26	14052	8.477828054298643	0.9986401040929845	0.9986401040929845	15.238396362097406
