Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0055114~oxidation reduction	49	6.8245125348189415	6.219173590319447E-6	ENSG00000079931, ENSG00000128928, ENSG00000167325, ENSG00000146701, ENSG00000100243, ENSG00000103202, ENSG00000168291, ENSG00000197444, ENSG00000151632, ENSG00000166411, ENSG00000149084, ENSG00000145335, ENSG00000121350, ENSG00000002726, ENSG00000133835, ENSG00000134824, ENSG00000117054, ENSG00000143149, ENSG00000142973, ENSG00000116157, ENSG00000141994, ENSG00000158104, ENSG00000161618, ENSG00000071967, ENSG00000186160, ENSG00000171903, ENSG00000137806, ENSG00000137106, ENSG00000120658, ENSG00000125827, ENSG00000100350, ENSG00000085662, ENSG00000023572, ENSG00000130347, ENSG00000126432, ENSG00000186153, ENSG00000076258, ENSG00000102967, ENSG00000164039, ENSG00000166796, ENSG00000128039, ENSG00000211445, ENSG00000171724, ENSG00000118514, ENSG00000186204, ENSG00000186205, ENSG00000129038, ENSG00000099377, ENSG00000086619	495	568	11403	1.987291933418694	0.013128839926027647	0.013128839926027647	0.010767894300001135
SP_PIR_KEYWORDS	oxidoreductase	44	6.128133704735376	2.862273144781089E-5	ENSG00000079931, ENSG00000128928, ENSG00000167325, ENSG00000146701, ENSG00000100243, ENSG00000103202, ENSG00000168291, ENSG00000197444, ENSG00000151632, ENSG00000166411, ENSG00000149084, ENSG00000121350, ENSG00000002726, ENSG00000133835, ENSG00000134824, ENSG00000117054, ENSG00000143149, ENSG00000142973, ENSG00000116157, ENSG00000141994, ENSG00000158104, ENSG00000071967, ENSG00000186160, ENSG00000171903, ENSG00000137106, ENSG00000120658, ENSG00000100350, ENSG00000085662, ENSG00000126432, ENSG00000186153, ENSG00000205678, ENSG00000076258, ENSG00000102967, ENSG00000164039, ENSG00000166796, ENSG00000128039, ENSG00000171724, ENSG00000211445, ENSG00000118514, ENSG00000186204, ENSG00000186205, ENSG00000129038, ENSG00000099377, ENSG00000086619	703	504	15891	1.973413262886947	0.013645156939582681	0.013645156939582681	0.04097348301383974
UP_SEQ_FEATURE	transit peptide:Mitochondrion	39	5.43175487465181	4.1199531347941364E-5	ENSG00000128928, ENSG00000125445, ENSG00000176715, ENSG00000135972, ENSG00000119673, ENSG00000146701, ENSG00000198130, ENSG00000168291, ENSG00000197444, ENSG00000166411, ENSG00000165060, ENSG00000110435, ENSG00000117054, ENSG00000142082, ENSG00000125821, ENSG00000125246, ENSG00000137806, ENSG00000117593, ENSG00000123297, ENSG00000123472, ENSG00000167107, ENSG00000011376, ENSG00000103642, ENSG00000130312, ENSG00000023572, ENSG00000130347, ENSG00000183617, ENSG00000126432, ENSG00000110871, ENSG00000159199, ENSG00000102967, ENSG00000165629, ENSG00000172340, ENSG00000156170, ENSG00000165792, ENSG00000173124, ENSG00000134905, ENSG00000186205, ENSG00000140905	703	431	15880	2.0440076173376944	0.06960110506177308	0.06960110506177308	0.06971235138213405
SP_PIR_KEYWORDS	transit peptide	39	5.43175487465181	6.397912569849882E-5	ENSG00000128928, ENSG00000125445, ENSG00000176715, ENSG00000135972, ENSG00000119673, ENSG00000146701, ENSG00000198130, ENSG00000168291, ENSG00000197444, ENSG00000166411, ENSG00000165060, ENSG00000110435, ENSG00000117054, ENSG00000142082, ENSG00000125821, ENSG00000125246, ENSG00000137806, ENSG00000117593, ENSG00000123297, ENSG00000123472, ENSG00000167107, ENSG00000011376, ENSG00000103642, ENSG00000130312, ENSG00000023572, ENSG00000130347, ENSG00000183617, ENSG00000126432, ENSG00000110871, ENSG00000159199, ENSG00000102967, ENSG00000165629, ENSG00000172340, ENSG00000156170, ENSG00000165792, ENSG00000173124, ENSG00000134905, ENSG00000186205, ENSG00000140905	703	440	15891	2.003585283848442	0.030244171895482563	0.015238187121110247	0.09156465604067687
UP_SEQ_FEATURE	binding site:Substrate	28	3.8997214484679668	8.14331677325852E-5	ENSG00000128928, ENSG00000112667, ENSG00000167325, ENSG00000146701, ENSG00000198130, ENSG00000117480, ENSG00000151632, ENSG00000166411, ENSG00000149084, ENSG00000133835, ENSG00000117054, ENSG00000100299, ENSG00000160209, ENSG00000198951, ENSG00000152254, ENSG00000136371, ENSG00000125246, ENSG00000106733, ENSG00000137106, ENSG00000110455, ENSG00000085662, ENSG00000186153, ENSG00000164039, ENSG00000103876, ENSG00000124713, ENSG00000166796, ENSG00000141698, ENSG00000189283	703	273	15880	2.3168107378633693	0.1328950698047856	0.06881530822547643	0.13774621066104942
GOTERM_CC_FAT	GO:0005739~mitochondrion	69	9.610027855153204	1.1451712202985089E-4	ENSG00000130518, ENSG00000176715, ENSG00000125445, ENSG00000087470, ENSG00000198130, ENSG00000100243, ENSG00000146701, ENSG00000144741, ENSG00000133835, ENSG00000214253, ENSG00000142082, ENSG00000181240, ENSG00000138346, ENSG00000153291, ENSG00000164933, ENSG00000125246, ENSG00000137824, ENSG00000117593, ENSG00000168275, ENSG00000130312, ENSG00000130347, ENSG00000186153, ENSG00000102967, ENSG00000172340, ENSG00000164039, ENSG00000010810, ENSG00000173124, ENSG00000134809, ENSG00000134905, ENSG00000186205, ENSG00000048544, ENSG00000154229, ENSG00000128928, ENSG00000135972, ENSG00000119673, ENSG00000168291, ENSG00000197444, ENSG00000166411, ENSG00000204147, ENSG00000165060, ENSG00000196743, ENSG00000117054, ENSG00000110435, ENSG00000102743, ENSG00000125821, ENSG00000137103, ENSG00000102931, ENSG00000137806, ENSG00000123472, ENSG00000167107, ENSG00000123297, ENSG00000011376, ENSG00000125827, ENSG00000103642, ENSG00000135828, ENSG00000172500, ENSG00000023572, ENSG00000126432, ENSG00000183617, ENSG00000188130, ENSG00000122696, ENSG00000110871, ENSG00000159199, ENSG00000165629, ENSG00000156170, ENSG00000165792, ENSG00000147592, ENSG00000164924, ENSG00000140905	475	980	10695	1.585295381310419	0.04488544758878832	0.04488544758878832	0.15966873854376118
SP_PIR_KEYWORDS	mitochondrion	55	7.66016713091922	2.4929288987549314E-4	ENSG00000176715, ENSG00000125445, ENSG00000146701, ENSG00000100243, ENSG00000198130, ENSG00000144741, ENSG00000214253, ENSG00000142082, ENSG00000181240, ENSG00000164933, ENSG00000153291, ENSG00000125246, ENSG00000137824, ENSG00000117593, ENSG00000130312, ENSG00000130347, ENSG00000186153, ENSG00000102967, ENSG00000172340, ENSG00000173124, ENSG00000134809, ENSG00000134905, ENSG00000186205, ENSG00000048544, ENSG00000128928, ENSG00000135972, ENSG00000119673, ENSG00000197444, ENSG00000168291, ENSG00000166411, ENSG00000165060, ENSG00000117054, ENSG00000110435, ENSG00000102743, ENSG00000125821, ENSG00000137103, ENSG00000102931, ENSG00000137806, ENSG00000123472, ENSG00000167107, ENSG00000123297, ENSG00000011376, ENSG00000103642, ENSG00000135828, ENSG00000023572, ENSG00000188130, ENSG00000126432, ENSG00000183617, ENSG00000122696, ENSG00000110871, ENSG00000159199, ENSG00000165629, ENSG00000156170, ENSG00000165792, ENSG00000140905	703	747	15891	1.6643244385793532	0.11279171523481057	0.03910663140092652	0.35633926420014506
INTERPRO	IPR015493:Protocadherin beta	6	0.8356545961002786	2.527038089842E-4	ENSG00000120328, ENSG00000120324, ENSG00000196963, ENSG00000120322, ENSG00000197479, ENSG00000113212	630	14	14052	9.559183673469388	0.24462176057374652	0.24462176057374652	0.4038075526582863
GOTERM_BP_FAT	GO:0006732~coenzyme metabolic process	17	2.3676880222841223	5.357030670683953E-4	ENSG00000147813, ENSG00000023572, ENSG00000146701, ENSG00000119673, ENSG00000168291, ENSG00000166411, ENSG00000110871, ENSG00000105835, ENSG00000172340, ENSG00000184674, ENSG00000103248, ENSG00000211445, ENSG00000160209, ENSG00000136371, ENSG00000106733, ENSG00000172992, ENSG00000160282	495	145	11403	2.7008150470219436	0.6797566297921719	0.43409950502952543	0.9235224545474097
GOTERM_BP_FAT	GO:0048610~reproductive cellular process	17	2.3676880222841223	5.357030670683953E-4	ENSG00000028839, ENSG00000130943, ENSG00000121989, ENSG00000086015, ENSG00000167077, ENSG00000143194, ENSG00000133835, ENSG00000132600, ENSG00000100299, ENSG00000188372, ENSG00000183291, ENSG00000121966, ENSG00000180113, ENSG00000099377, ENSG00000125124, ENSG00000111450, ENSG00000073146	495	145	11403	2.7008150470219436	0.6797566297921719	0.43409950502952543	0.9235224545474097
