Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	glycoprotein	70	33.0188679245283	5.945262249176999E-5	ENSG00000135333, ENSG00000091129, ENSG00000172179, ENSG00000054179, ENSG00000157335, ENSG00000205442, ENSG00000151348, ENSG00000110076, ENSG00000124780, ENSG00000102996, ENSG00000182255, ENSG00000016402, ENSG00000171714, ENSG00000152254, ENSG00000074803, ENSG00000137968, ENSG00000136732, ENSG00000112164, ENSG00000138821, ENSG00000138792, ENSG00000142449, ENSG00000163902, ENSG00000172548, ENSG00000171234, ENSG00000163293, ENSG00000117834, ENSG00000132975, ENSG00000120549, ENSG00000055118, ENSG00000156096, ENSG00000101230, ENSG00000153707, ENSG00000092445, ENSG00000099139, ENSG00000154133, ENSG00000163975, ENSG00000188833, ENSG00000005421, ENSG00000106278, ENSG00000113721, ENSG00000015532, ENSG00000085514, ENSG00000168702, ENSG00000113140, ENSG00000136999, ENSG00000105088, ENSG00000188372, ENSG00000143028, ENSG00000183760, ENSG00000197586, ENSG00000067191, ENSG00000187045, ENSG00000115339, ENSG00000101307, ENSG00000180155, ENSG00000172322, ENSG00000144230, ENSG00000175161, ENSG00000164308, ENSG00000140675, ENSG00000170775, ENSG00000135862, ENSG00000143036, ENSG00000165300, ENSG00000102837, ENSG00000167608, ENSG00000144847, ENSG00000062524, ENSG00000001561, ENSG00000112077	212	3365	15891	1.5592951862962234	0.015866018241074475	0.015866018241074475	0.07809596450902845
UP_SEQ_FEATURE	topological domain:Cytoplasmic	57	26.88679245283019	6.969260521765678E-5	ENSG00000091129, ENSG00000135333, ENSG00000054179, ENSG00000205442, ENSG00000151348, ENSG00000156113, ENSG00000110076, ENSG00000124780, ENSG00000102996, ENSG00000016402, ENSG00000164935, ENSG00000171714, ENSG00000140284, ENSG00000152254, ENSG00000074803, ENSG00000137968, ENSG00000139914, ENSG00000136732, ENSG00000112164, ENSG00000138821, ENSG00000138792, ENSG00000163902, ENSG00000172548, ENSG00000163293, ENSG00000117834, ENSG00000132975, ENSG00000055118, ENSG00000111450, ENSG00000153707, ENSG00000197506, ENSG00000092445, ENSG00000188833, ENSG00000015532, ENSG00000113721, ENSG00000106278, ENSG00000085514, ENSG00000168702, ENSG00000188372, ENSG00000143028, ENSG00000197586, ENSG00000187045, ENSG00000115339, ENSG00000101307, ENSG00000172322, ENSG00000144230, ENSG00000175161, ENSG00000140675, ENSG00000164308, ENSG00000170775, ENSG00000165300, ENSG00000173826, ENSG00000167608, ENSG00000188037, ENSG00000001561, ENSG00000062524, ENSG00000144847, ENSG00000112077	212	2557	15880	1.6697781155688047	0.058636190807489275	0.058636190807489275	0.10805381373667489
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	66	31.132075471698112	1.4409622656845738E-4	ENSG00000135333, ENSG00000091129, ENSG00000054179, ENSG00000157335, ENSG00000205442, ENSG00000151348, ENSG00000110076, ENSG00000124780, ENSG00000102996, ENSG00000182255, ENSG00000016402, ENSG00000171714, ENSG00000152254, ENSG00000074803, ENSG00000137968, ENSG00000136732, ENSG00000112164, ENSG00000138821, ENSG00000138792, ENSG00000142449, ENSG00000163902, ENSG00000172548, ENSG00000171234, ENSG00000163293, ENSG00000117834, ENSG00000132975, ENSG00000055118, ENSG00000156096, ENSG00000101230, ENSG00000153707, ENSG00000092445, ENSG00000099139, ENSG00000154133, ENSG00000163975, ENSG00000188833, ENSG00000005421, ENSG00000106278, ENSG00000015532, ENSG00000113721, ENSG00000085514, ENSG00000168702, ENSG00000113140, ENSG00000136999, ENSG00000105088, ENSG00000188372, ENSG00000143028, ENSG00000183760, ENSG00000197586, ENSG00000187045, ENSG00000115339, ENSG00000101307, ENSG00000172322, ENSG00000144230, ENSG00000175161, ENSG00000164308, ENSG00000140675, ENSG00000170775, ENSG00000135862, ENSG00000143036, ENSG00000165300, ENSG00000102837, ENSG00000167608, ENSG00000144847, ENSG00000062524, ENSG00000001561, ENSG00000112077	212	3197	15880	1.5463789755726183	0.11745052583853188	0.06055895652709098	0.223291188713437
SMART	SM00033:CH	6	2.8301886792452833	0.0011068002997214224	ENSG00000188677, ENSG00000139354, ENSG00000137877, ENSG00000133816, ENSG00000178209, ENSG00000135596	102	62	7927	7.520872865275142	0.1146882694664676	0.1146882694664676	1.243388358872044
INTERPRO	IPR001715:Calponin-like actin-binding	6	2.8301886792452833	0.0014524240467504023	ENSG00000188677, ENSG00000139354, ENSG00000137877, ENSG00000133816, ENSG00000178209, ENSG00000135596	190	62	14052	7.157215619694397	0.47704089301459474	0.47704089301459474	2.038355404571257
PIR_SUPERFAMILY	PIRSF005696:nucleoside triphosphatase chromatin-associated	3	1.4150943396226416	0.0020351829881375383	ENSG00000054179, ENSG00000188833, ENSG00000197586	90	5	6116	40.77333333333333	0.18763066185123645	0.18763066185123645	2.244088499994723
SP_PIR_KEYWORDS	membrane	89	41.9811320754717	0.0021692460709887454	ENSG00000187867, ENSG00000006114, ENSG00000135333, ENSG00000091129, ENSG00000054179, ENSG00000161609, ENSG00000117598, ENSG00000205442, ENSG00000129474, ENSG00000151348, ENSG00000156113, ENSG00000110076, ENSG00000124780, ENSG00000102996, ENSG00000182255, ENSG00000176273, ENSG00000185974, ENSG00000016402, ENSG00000164935, ENSG00000171714, ENSG00000152254, ENSG00000140284, ENSG00000074803, ENSG00000137968, ENSG00000139914, ENSG00000074319, ENSG00000131378, ENSG00000136732, ENSG00000125247, ENSG00000112164, ENSG00000138792, ENSG00000138821, ENSG00000100376, ENSG00000136158, ENSG00000163902, ENSG00000172548, ENSG00000110427, ENSG00000171234, ENSG00000163293, ENSG00000117834, ENSG00000132975, ENSG00000156096, ENSG00000055118, ENSG00000111450, ENSG00000184432, ENSG00000153707, ENSG00000197506, ENSG00000092445, ENSG00000163975, ENSG00000188833, ENSG00000106278, ENSG00000213996, ENSG00000113721, ENSG00000015532, ENSG00000085514, ENSG00000168702, ENSG00000188372, ENSG00000188677, ENSG00000172296, ENSG00000143028, ENSG00000141252, ENSG00000136404, ENSG00000197586, ENSG00000067191, ENSG00000120658, ENSG00000187045, ENSG00000115339, ENSG00000101307, ENSG00000180155, ENSG00000183722, ENSG00000178750, ENSG00000183092, ENSG00000172322, ENSG00000144230, ENSG00000175416, ENSG00000175161, ENSG00000137710, ENSG00000164308, ENSG00000140675, ENSG00000170775, ENSG00000143036, ENSG00000165300, ENSG00000173826, ENSG00000167608, ENSG00000188037, ENSG00000144847, ENSG00000062524, ENSG00000001561, ENSG00000112077	212	5115	15891	1.3042466662977923	0.4424265396645357	0.2532915827878567	2.813278949491105
UP_SEQ_FEATURE	transmembrane region	71	33.490566037735846	0.002380757288357334	ENSG00000135333, ENSG00000091129, ENSG00000054179, ENSG00000161609, ENSG00000117598, ENSG00000205442, ENSG00000151348, ENSG00000156113, ENSG00000110076, ENSG00000124780, ENSG00000102996, ENSG00000182255, ENSG00000176273, ENSG00000016402, ENSG00000164935, ENSG00000171714, ENSG00000152254, ENSG00000140284, ENSG00000074803, ENSG00000137968, ENSG00000139914, ENSG00000136732, ENSG00000125247, ENSG00000112164, ENSG00000138821, ENSG00000138792, ENSG00000100376, ENSG00000163902, ENSG00000172548, ENSG00000110427, ENSG00000171234, ENSG00000163293, ENSG00000117834, ENSG00000132975, ENSG00000055118, ENSG00000156096, ENSG00000111450, ENSG00000153707, ENSG00000197506, ENSG00000092445, ENSG00000188833, ENSG00000106278, ENSG00000213996, ENSG00000015532, ENSG00000113721, ENSG00000085514, ENSG00000168702, ENSG00000188372, ENSG00000172296, ENSG00000143028, ENSG00000136404, ENSG00000197586, ENSG00000187045, ENSG00000115339, ENSG00000101307, ENSG00000183722, ENSG00000172322, ENSG00000144230, ENSG00000175161, ENSG00000164308, ENSG00000140675, ENSG00000170775, ENSG00000143036, ENSG00000165300, ENSG00000173826, ENSG00000167608, ENSG00000188037, ENSG00000144847, ENSG00000062524, ENSG00000001561, ENSG00000112077	212	3875	15880	1.3724650030432135	0.8733816146741522	0.4978513990958743	3.629956210093388
SP_PIR_KEYWORDS	transmembrane	71	33.490566037735846	0.0027191428376077166	ENSG00000135333, ENSG00000091129, ENSG00000054179, ENSG00000161609, ENSG00000117598, ENSG00000205442, ENSG00000151348, ENSG00000156113, ENSG00000110076, ENSG00000124780, ENSG00000102996, ENSG00000182255, ENSG00000176273, ENSG00000016402, ENSG00000164935, ENSG00000171714, ENSG00000152254, ENSG00000140284, ENSG00000074803, ENSG00000137968, ENSG00000139914, ENSG00000136732, ENSG00000125247, ENSG00000112164, ENSG00000138821, ENSG00000138792, ENSG00000100376, ENSG00000163902, ENSG00000172548, ENSG00000110427, ENSG00000171234, ENSG00000163293, ENSG00000117834, ENSG00000132975, ENSG00000055118, ENSG00000156096, ENSG00000111450, ENSG00000153707, ENSG00000197506, ENSG00000092445, ENSG00000188833, ENSG00000106278, ENSG00000213996, ENSG00000015532, ENSG00000113721, ENSG00000085514, ENSG00000168702, ENSG00000188372, ENSG00000172296, ENSG00000143028, ENSG00000136404, ENSG00000197586, ENSG00000187045, ENSG00000115339, ENSG00000101307, ENSG00000183722, ENSG00000172322, ENSG00000144230, ENSG00000175161, ENSG00000164308, ENSG00000140675, ENSG00000170775, ENSG00000143036, ENSG00000165300, ENSG00000173826, ENSG00000167608, ENSG00000188037, ENSG00000144847, ENSG00000062524, ENSG00000001561, ENSG00000112077	212	3897	15891	1.3656622656034394	0.5192681686091936	0.21662875395907732	3.5147232956838415
SP_PIR_KEYWORDS	signal	53	25.0	0.002865874252660578	ENSG00000172179, ENSG00000091129, ENSG00000135333, ENSG00000157335, ENSG00000205442, ENSG00000158525, ENSG00000146700, ENSG00000110076, ENSG00000102996, ENSG00000139055, ENSG00000016402, ENSG00000163687, ENSG00000163389, ENSG00000112164, ENSG00000142449, ENSG00000163902, ENSG00000170890, ENSG00000171234, ENSG00000156096, ENSG00000101230, ENSG00000153707, ENSG00000189377, ENSG00000092445, ENSG00000099139, ENSG00000154133, ENSG00000102970, ENSG00000163975, ENSG00000005421, ENSG00000113721, ENSG00000106278, ENSG00000085514, ENSG00000168702, ENSG00000113140, ENSG00000124205, ENSG00000136999, ENSG00000105088, ENSG00000170509, ENSG00000188372, ENSG00000206561, ENSG00000116157, ENSG00000183760, ENSG00000101307, ENSG00000180155, ENSG00000183722, ENSG00000175161, ENSG00000165131, ENSG00000170775, ENSG00000135862, ENSG00000165300, ENSG00000102837, ENSG00000001561, ENSG00000062524, ENSG00000144847	212	2702	15891	1.4702997779422649	0.5379244944068965	0.17552358475402607	3.70110064530611
