Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PIR_SUPERFAMILY	PIRSF000503:glutathione transferase	7	0.7856341189674524	5.812670819403966E-6	ENSG00000213366, ENSG00000170899, ENSG00000099984, ENSG00000134202, ENSG00000168765, ENSG00000134184, ENSG00000133433, ENSG00000184674	351	10	6116	12.197150997150997	0.0022353825723082643	0.0022353825723082643	0.00806213994368754
KEGG_PATHWAY	hsa00982:Drug metabolism	13	1.4590347923681257	5.846495375205679E-6	ENSG00000213366, ENSG00000099984, ENSG00000134202, ENSG00000168765, ENSG00000187758, ENSG00000134184, ENSG00000184674, ENSG00000133433, ENSG00000171234, ENSG00000007933, ENSG00000170899, ENSG00000094963, ENSG00000100197, ENSG00000156096	208	53	4254	5.0165094339622645	9.583685156930866E-4	9.583685156930866E-4	0.00708910992068823
UP_SEQ_FEATURE	sequence variant	616	69.1358024691358	4.5558942792961064E-5	ENSG00000118690, ENSG00000091129, ENSG00000198909, ENSG00000100079, ENSG00000167178, ENSG00000100271, ENSG00000110768, ENSG00000103227, ENSG00000186049, ENSG00000067208, ENSG00000110076, ENSG00000102996, ENSG00000037042, ENSG00000146909, ENSG00000197951, ENSG00000005981, ENSG00000170486, ENSG00000170899, ENSG00000197948, ENSG00000140284, ENSG00000186160, ENSG00000104901, ENSG00000109255, ENSG00000014164, ENSG00000110455, ENSG00000091136, ENSG00000139620, ENSG00000157322, ENSG00000186153, ENSG00000150076, ENSG00000141012, ENSG00000136982, ENSG00000198515, ENSG00000126088, ENSG00000110756, ENSG00000196151, ENSG00000167850, ENSG00000171234, ENSG00000165983, ENSG00000170889, ENSG00000120586, ENSG00000116641, ENSG00000196693, ENSG00000157426, ENSG00000099377, ENSG00000100288, ENSG00000108264, ENSG00000145681, ENSG00000180917, ENSG00000183569, ENSG00000197128, ENSG00000166452, ENSG00000213995, ENSG00000173480, ENSG00000213996, ENSG00000015532, ENSG00000169826, ENSG00000186283, ENSG00000165730, ENSG00000157214, ENSG00000104921, ENSG00000138801, ENSG00000197927, ENSG00000109132, ENSG00000156042, ENSG00000171444, ENSG00000136371, ENSG00000180113, ENSG00000183172, ENSG00000137806, ENSG00000127947, ENSG00000198203, ENSG00000147813, ENSG00000101307, ENSG00000120328, ENSG00000171115, ENSG00000120324, ENSG00000139354, ENSG00000116791, ENSG00000111906, ENSG00000053900, ENSG00000120322, ENSG00000110871, ENSG00000166321, ENSG00000139746, ENSG00000170448, ENSG00000040531, ENSG00000128594, ENSG00000151806, ENSG00000136689, ENSG00000170632, ENSG00000094963, ENSG00000138399, ENSG00000121716, ENSG00000198805, ENSG00000104804, ENSG00000176715, ENSG00000170248, ENSG00000151348, ENSG00000166928, ENSG00000166927, ENSG00000112218, ENSG00000152348, ENSG00000137960, ENSG00000128683, ENSG00000135605, ENSG00000136738, ENSG00000138722, ENSG00000007933, ENSG00000120539, ENSG00000160445, ENSG00000138829, ENSG00000204020, ENSG00000074803, ENSG00000171469, ENSG00000131849, ENSG00000139537, ENSG00000171903, ENSG00000137860, ENSG00000047188, ENSG00000145384, ENSG00000130270, ENSG00000120675, ENSG00000151208, ENSG00000125166, ENSG00000189403, ENSG00000145390, ENSG00000131845, ENSG00000130348, ENSG00000144152, ENSG00000166938, ENSG00000135074, ENSG00000111364, ENSG00000064687, ENSG00000116406, ENSG00000118197, ENSG00000172340, ENSG00000141698, ENSG00000189306, ENSG00000185933, ENSG00000117174, ENSG00000128944, ENSG00000137877, ENSG00000065000, ENSG00000196963, ENSG00000136193, ENSG00000080345, ENSG00000144821, ENSG00000156096, ENSG00000165055, ENSG00000110786, ENSG00000164494, ENSG00000100191, ENSG00000197165, ENSG00000102468, ENSG00000122417, ENSG00000102970, ENSG00000166415, ENSG00000136436, ENSG00000106278, ENSG00000204149, ENSG00000121577, ENSG00000204147, ENSG00000136999, ENSG00000146263, ENSG00000163933, ENSG00000100299, ENSG00000100296, ENSG00000100197, ENSG00000105136, ENSG00000197969, ENSG00000138468, ENSG00000148218, ENSG00000079277, ENSG00000109667, ENSG00000064270, ENSG00000133661, ENSG00000120658, ENSG00000147789, ENSG00000013573, ENSG00000148396, ENSG00000142166, ENSG00000172322, ENSG00000122696, ENSG00000152219, ENSG00000204899, ENSG00000136449, ENSG00000178852, ENSG00000151470, ENSG00000186132, ENSG00000135862, ENSG00000162676, ENSG00000198945, ENSG00000117697, ENSG00000144847, ENSG00000184381, ENSG00000198848, ENSG00000170866, ENSG00000162402, ENSG00000148225, ENSG00000095777, ENSG00000188747, ENSG00000135744, ENSG00000162669, ENSG00000170954, ENSG00000142973, ENSG00000163281, ENSG00000135541, ENSG00000148482, ENSG00000141994, ENSG00000108592, ENSG00000149922, ENSG00000120370, ENSG00000115602, ENSG00000125247, ENSG00000181827, ENSG00000130943, ENSG00000169062, ENSG00000142449, ENSG00000176915, ENSG00000163807, ENSG00000182264, ENSG00000170949, ENSG00000163293, ENSG00000173226, ENSG00000102710, ENSG00000112319, ENSG00000132932, ENSG00000125124, ENSG00000135972, ENSG00000097046, ENSG00000128891, ENSG00000057468, ENSG00000145882, ENSG00000162782, ENSG00000130193, ENSG00000117054, ENSG00000134184, ENSG00000163820, ENSG00000173214, ENSG00000136108, ENSG00000204740, ENSG00000142856, ENSG00000152749, ENSG00000198771, ENSG00000123106, ENSG00000189366, ENSG00000135778, ENSG00000169087, ENSG00000143850, ENSG00000148358, ENSG00000213512, ENSG00000135773, ENSG00000135968, ENSG00000178172, ENSG00000152760, ENSG00000166263, ENSG00000148655, ENSG00000183423, ENSG00000169299, ENSG00000173826, ENSG00000145020, ENSG00000064763, ENSG00000009765, ENSG00000172264, ENSG00000116035, ENSG00000069943, ENSG00000006114, ENSG00000161609, ENSG00000198890, ENSG00000103168, ENSG00000162620, ENSG00000116785, ENSG00000169684, ENSG00000165406, ENSG00000158525, ENSG00000171574, ENSG00000155508, ENSG00000164048, ENSG00000135124, ENSG00000129472, ENSG00000181240, ENSG00000155393, ENSG00000153291, ENSG00000103479, ENSG00000116783, ENSG00000163389, ENSG00000100376, ENSG00000116688, ENSG00000089847, ENSG00000140386, ENSG00000108823, ENSG00000196653, ENSG00000163749, ENSG00000164039, ENSG00000105499, ENSG00000204839, ENSG00000113296, ENSG00000117834, ENSG00000163395, ENSG00000147874, ENSG00000169994, ENSG00000049759, ENSG00000173124, ENSG00000134905, ENSG00000168807, ENSG00000155792, ENSG00000172803, ENSG00000006611, ENSG00000155275, ENSG00000204604, ENSG00000102780, ENSG00000100092, ENSG00000188833, ENSG00000163161, ENSG00000123200, ENSG00000149084, ENSG00000117601, ENSG00000149089, ENSG00000185324, ENSG00000110435, ENSG00000103245, ENSG00000112303, ENSG00000103248, ENSG00000156795, ENSG00000136144, ENSG00000103249, ENSG00000197375, ENSG00000136918, ENSG00000162885, ENSG00000169247, ENSG00000154529, ENSG00000189190, ENSG00000011376, ENSG00000189269, ENSG00000108244, ENSG00000163072, ENSG00000148690, ENSG00000173926, ENSG00000022556, ENSG00000173145, ENSG00000105479, ENSG00000117009, ENSG00000162877, ENSG00000156510, ENSG00000129347, ENSG00000187867, ENSG00000143001, ENSG00000100336, ENSG00000164935, ENSG00000160255, ENSG00000187166, ENSG00000174606, ENSG00000171714, ENSG00000166997, ENSG00000107537, ENSG00000100330, ENSG00000174749, ENSG00000102595, ENSG00000115419, ENSG00000174226, ENSG00000161653, ENSG00000171045, ENSG00000154429, ENSG00000123643, ENSG00000197479, ENSG00000117505, ENSG00000129595, ENSG00000154222, ENSG00000106688, ENSG00000187676, ENSG00000075234, ENSG00000075131, ENSG00000099785, ENSG00000187741, ENSG00000205560, ENSG00000049283, ENSG00000153898, ENSG00000010030, ENSG00000107611, ENSG00000129562, ENSG00000149489, ENSG00000008196, ENSG00000149488, ENSG00000145934, ENSG00000197646, ENSG00000161618, ENSG00000089177, ENSG00000137106, ENSG00000187045, ENSG00000107959, ENSG00000203797, ENSG00000120071, ENSG00000083097, ENSG00000174837, ENSG00000164307, ENSG00000187758, ENSG00000197353, ENSG00000140675, ENSG00000164308, ENSG00000031691, ENSG00000124713, ENSG00000174529, ENSG00000143036, ENSG00000122390, ENSG00000176393, ENSG00000162191, ENSG00000100365, ENSG00000037757, ENSG00000186792, ENSG00000171763, ENSG00000135333, ENSG00000161016, ENSG00000137563, ENSG00000168765, ENSG00000115866, ENSG00000168038, ENSG00000135596, ENSG00000143185, ENSG00000178150, ENSG00000187624, ENSG00000172992, ENSG00000102699, ENSG00000072832, ENSG00000125818, ENSG00000108774, ENSG00000161551, ENSG00000026297, ENSG00000125912, ENSG00000143194, ENSG00000165566, ENSG00000165568, ENSG00000184674, ENSG00000135587, ENSG00000188056, ENSG00000157617, ENSG00000155093, ENSG00000178462, ENSG00000134463, ENSG00000013288, ENSG00000160961, ENSG00000134744, ENSG00000011028, ENSG00000161664, ENSG00000052749, ENSG00000088002, ENSG00000143771, ENSG00000105793, ENSG00000142544, ENSG00000064012, ENSG00000119147, ENSG00000013810, ENSG00000051620, ENSG00000134202, ENSG00000123838, ENSG00000160953, ENSG00000113734, ENSG00000168028, ENSG00000154079, ENSG00000114857, ENSG00000133488, ENSG00000107104, ENSG00000004809, ENSG00000150510, ENSG00000146707, ENSG00000104974, ENSG00000198131, ENSG00000113318, ENSG00000198130, ENSG00000165272, ENSG00000146700, ENSG00000156113, ENSG00000105835, ENSG00000124780, ENSG00000140718, ENSG00000099817, ENSG00000104979, ENSG00000139055, ENSG00000126602, ENSG00000185974, ENSG00000198336, ENSG00000151773, ENSG00000178952, ENSG00000167670, ENSG00000152254, ENSG00000117597, ENSG00000138658, ENSG00000172469, ENSG00000140323, ENSG00000004534, ENSG00000103932, ENSG00000172548, ENSG00000166796, ENSG00000198482, ENSG00000167766, ENSG00000180376, ENSG00000153822, ENSG00000101276, ENSG00000137171, ENSG00000186204, ENSG00000137074, ENSG00000054219, ENSG00000127399, ENSG00000130413, ENSG00000112852, ENSG00000140400, ENSG00000092445, ENSG00000128928, ENSG00000198046, ENSG00000183833, ENSG00000099984, ENSG00000127364, ENSG00000119242, ENSG00000196209, ENSG00000101282, ENSG00000167105, ENSG00000104899, ENSG00000188372, ENSG00000167914, ENSG00000141295, ENSG00000124587, ENSG00000128274, ENSG00000004846, ENSG00000167107, ENSG00000158483, ENSG00000178445, ENSG00000125637, ENSG00000038274, ENSG00000153113, ENSG00000165388, ENSG00000138744, ENSG00000125630, ENSG00000125633, ENSG00000188234, ENSG00000185880, ENSG00000126231, ENSG00000032742, ENSG00000167646, ENSG00000112139, ENSG00000006282, ENSG00000062524, ENSG00000133112, ENSG00000183066, ENSG00000130518, ENSG00000159648, ENSG00000166762, ENSG00000185829, ENSG00000090661, ENSG00000133835, ENSG00000133433, ENSG00000101017, ENSG00000174652, ENSG00000104731, ENSG00000157368, ENSG00000125885, ENSG00000185736, ENSG00000138794, ENSG00000138294, ENSG00000112164, ENSG00000138792, ENSG00000146833, ENSG00000005882, ENSG00000213366, ENSG00000113812, ENSG00000125618, ENSG00000164983, ENSG00000164989, ENSG00000170442, ENSG00000154265, ENSG00000167523, ENSG00000164418, ENSG00000112299, ENSG00000133818, ENSG00000179399, ENSG00000091972, ENSG00000107165, ENSG00000065457, ENSG00000104883, ENSG00000023516, ENSG00000179299, ENSG00000184983, ENSG00000167920, ENSG00000111450, ENSG00000101230, ENSG00000180953, ENSG00000203963, ENSG00000149548, ENSG00000085382, ENSG00000167555, ENSG00000114030, ENSG00000151655, ENSG00000183049, ENSG00000166788, ENSG00000105088, ENSG00000127990, ENSG00000124767, ENSG00000141252, ENSG00000172543, ENSG00000101349, ENSG00000140859, ENSG00000072736, ENSG00000171806, ENSG00000183098, ENSG00000133706, ENSG00000138785, ENSG00000133704, ENSG00000100116, ENSG00000125734, ENSG00000105982, ENSG00000105607, ENSG00000104450, ENSG00000157259, ENSG00000112276, ENSG00000118514, ENSG00000178209, ENSG00000113522, ENSG00000196365, ENSG00000117226, ENSG00000125877	869	10275	15880	1.095543441436447	0.09173825735640861	0.09173825735640861	0.07879949783019535
GOTERM_MF_FAT	GO:0004364~glutathione transferase activity	7	0.7856341189674524	1.4287801689853767E-4	ENSG00000213366, ENSG00000170899, ENSG00000099984, ENSG00000134202, ENSG00000168765, ENSG00000134184, ENSG00000133433, ENSG00000184674	568	17	10941	7.931545153272576	0.10750915853782128	0.10750915853782128	0.21894945072892247
SP_PIR_KEYWORDS	polymorphism	592	66.44219977553311	1.752370711260106E-4	ENSG00000118690, ENSG00000091129, ENSG00000198909, ENSG00000100079, ENSG00000167178, ENSG00000100271, ENSG00000110768, ENSG00000103227, ENSG00000186049, ENSG00000067208, ENSG00000110076, ENSG00000102996, ENSG00000037042, ENSG00000146909, ENSG00000197951, ENSG00000005981, ENSG00000170486, ENSG00000170899, ENSG00000197948, ENSG00000140284, ENSG00000186160, ENSG00000104901, ENSG00000109255, ENSG00000014164, ENSG00000110455, ENSG00000091136, ENSG00000139620, ENSG00000157322, ENSG00000186153, ENSG00000150076, ENSG00000141012, ENSG00000136982, ENSG00000198515, ENSG00000110756, ENSG00000196151, ENSG00000167850, ENSG00000171234, ENSG00000165983, ENSG00000170889, ENSG00000120586, ENSG00000116641, ENSG00000196693, ENSG00000099377, ENSG00000157426, ENSG00000108264, ENSG00000100288, ENSG00000145681, ENSG00000180917, ENSG00000183569, ENSG00000197128, ENSG00000166452, ENSG00000213995, ENSG00000173480, ENSG00000213996, ENSG00000015532, ENSG00000169826, ENSG00000186283, ENSG00000165730, ENSG00000157214, ENSG00000104921, ENSG00000138801, ENSG00000197927, ENSG00000156042, ENSG00000171444, ENSG00000136371, ENSG00000180113, ENSG00000183172, ENSG00000137806, ENSG00000127947, ENSG00000198203, ENSG00000147813, ENSG00000101307, ENSG00000120328, ENSG00000171115, ENSG00000120324, ENSG00000139354, ENSG00000116791, ENSG00000111906, ENSG00000053900, ENSG00000120322, ENSG00000110871, ENSG00000166321, ENSG00000139746, ENSG00000170448, ENSG00000040531, ENSG00000128594, ENSG00000151806, ENSG00000136689, ENSG00000170632, ENSG00000094963, ENSG00000138399, ENSG00000121716, ENSG00000198805, ENSG00000104804, ENSG00000176715, ENSG00000170248, ENSG00000151348, ENSG00000166928, ENSG00000166927, ENSG00000112218, ENSG00000152348, ENSG00000137960, ENSG00000128683, ENSG00000135605, ENSG00000136738, ENSG00000138722, ENSG00000007933, ENSG00000120539, ENSG00000160445, ENSG00000138829, ENSG00000204020, ENSG00000171469, ENSG00000131849, ENSG00000139537, ENSG00000171903, ENSG00000137860, ENSG00000047188, ENSG00000145384, ENSG00000130270, ENSG00000120675, ENSG00000151208, ENSG00000125166, ENSG00000189403, ENSG00000145390, ENSG00000131845, ENSG00000130348, ENSG00000144152, ENSG00000166938, ENSG00000135074, ENSG00000111364, ENSG00000064687, ENSG00000116406, ENSG00000118197, ENSG00000172340, ENSG00000141698, ENSG00000189306, ENSG00000185933, ENSG00000117174, ENSG00000128944, ENSG00000137877, ENSG00000065000, ENSG00000196963, ENSG00000136193, ENSG00000080345, ENSG00000144821, ENSG00000156096, ENSG00000165055, ENSG00000110786, ENSG00000164494, ENSG00000100191, ENSG00000197165, ENSG00000102468, ENSG00000122417, ENSG00000102970, ENSG00000166415, ENSG00000136436, ENSG00000106278, ENSG00000204149, ENSG00000121577, ENSG00000204147, ENSG00000136999, ENSG00000146263, ENSG00000163933, ENSG00000100299, ENSG00000100296, ENSG00000100197, ENSG00000105136, ENSG00000197969, ENSG00000138468, ENSG00000148218, ENSG00000079277, ENSG00000109667, ENSG00000064270, ENSG00000133661, ENSG00000120658, ENSG00000147789, ENSG00000013573, ENSG00000148396, ENSG00000142166, ENSG00000172322, ENSG00000122696, ENSG00000152219, ENSG00000204899, ENSG00000136449, ENSG00000178852, ENSG00000151470, ENSG00000186132, ENSG00000135862, ENSG00000162676, ENSG00000198945, ENSG00000117697, ENSG00000144847, ENSG00000184381, ENSG00000198848, ENSG00000170866, ENSG00000162402, ENSG00000148225, ENSG00000095777, ENSG00000188747, ENSG00000135744, ENSG00000162669, ENSG00000170954, ENSG00000142973, ENSG00000163281, ENSG00000148482, ENSG00000141994, ENSG00000108592, ENSG00000149922, ENSG00000120370, ENSG00000115602, ENSG00000125247, ENSG00000181827, ENSG00000130943, ENSG00000169062, ENSG00000142449, ENSG00000176915, ENSG00000163807, ENSG00000170949, ENSG00000163293, ENSG00000173226, ENSG00000102710, ENSG00000112319, ENSG00000132932, ENSG00000125124, ENSG00000135972, ENSG00000097046, ENSG00000128891, ENSG00000057468, ENSG00000145882, ENSG00000162782, ENSG00000130193, ENSG00000134184, ENSG00000117054, ENSG00000163820, ENSG00000173214, ENSG00000136108, ENSG00000204740, ENSG00000142856, ENSG00000152749, ENSG00000198771, ENSG00000123106, ENSG00000189366, ENSG00000135778, ENSG00000169087, ENSG00000143850, ENSG00000148358, ENSG00000213512, ENSG00000135773, ENSG00000135968, ENSG00000178172, ENSG00000152760, ENSG00000166263, ENSG00000148655, ENSG00000183423, ENSG00000169299, ENSG00000173826, ENSG00000064763, ENSG00000009765, ENSG00000172264, ENSG00000116035, ENSG00000069943, ENSG00000006114, ENSG00000161609, ENSG00000103168, ENSG00000162620, ENSG00000116785, ENSG00000169684, ENSG00000165406, ENSG00000158525, ENSG00000171574, ENSG00000155508, ENSG00000164048, ENSG00000135124, ENSG00000129472, ENSG00000181240, ENSG00000155393, ENSG00000153291, ENSG00000103479, ENSG00000116783, ENSG00000163389, ENSG00000100376, ENSG00000089847, ENSG00000140386, ENSG00000196653, ENSG00000163749, ENSG00000164039, ENSG00000204839, ENSG00000113296, ENSG00000105499, ENSG00000117834, ENSG00000163395, ENSG00000147874, ENSG00000169994, ENSG00000049759, ENSG00000173124, ENSG00000134905, ENSG00000168807, ENSG00000155792, ENSG00000172803, ENSG00000006611, ENSG00000155275, ENSG00000204604, ENSG00000102780, ENSG00000100092, ENSG00000188833, ENSG00000163161, ENSG00000123200, ENSG00000149084, ENSG00000117601, ENSG00000149089, ENSG00000185324, ENSG00000110435, ENSG00000103245, ENSG00000112303, ENSG00000103248, ENSG00000156795, ENSG00000136144, ENSG00000103249, ENSG00000197375, ENSG00000136918, ENSG00000162885, ENSG00000169247, ENSG00000154529, ENSG00000189190, ENSG00000011376, ENSG00000189269, ENSG00000108244, ENSG00000163072, ENSG00000148690, ENSG00000173926, ENSG00000022556, ENSG00000173145, ENSG00000105479, ENSG00000117009, ENSG00000162877, ENSG00000156510, ENSG00000129347, ENSG00000187867, ENSG00000143001, ENSG00000100336, ENSG00000164935, ENSG00000187166, ENSG00000174606, ENSG00000171714, ENSG00000166997, ENSG00000100330, ENSG00000107537, ENSG00000174749, ENSG00000102595, ENSG00000115419, ENSG00000174226, ENSG00000171045, ENSG00000154429, ENSG00000123643, ENSG00000197479, ENSG00000117505, ENSG00000129595, ENSG00000154222, ENSG00000106688, ENSG00000187676, ENSG00000075234, ENSG00000075131, ENSG00000099785, ENSG00000187741, ENSG00000205560, ENSG00000049283, ENSG00000153898, ENSG00000010030, ENSG00000107611, ENSG00000129562, ENSG00000149489, ENSG00000149488, ENSG00000145934, ENSG00000197646, ENSG00000161618, ENSG00000089177, ENSG00000137106, ENSG00000187045, ENSG00000107959, ENSG00000203797, ENSG00000120071, ENSG00000083097, ENSG00000174837, ENSG00000164307, ENSG00000187758, ENSG00000197353, ENSG00000164308, ENSG00000031691, ENSG00000174529, ENSG00000143036, ENSG00000122390, ENSG00000176393, ENSG00000162191, ENSG00000100365, ENSG00000037757, ENSG00000186792, ENSG00000171763, ENSG00000135333, ENSG00000161016, ENSG00000137563, ENSG00000168765, ENSG00000115866, ENSG00000168038, ENSG00000135596, ENSG00000143185, ENSG00000178150, ENSG00000187624, ENSG00000172992, ENSG00000102699, ENSG00000072832, ENSG00000125818, ENSG00000108774, ENSG00000161551, ENSG00000026297, ENSG00000125912, ENSG00000143194, ENSG00000165566, ENSG00000165568, ENSG00000184674, ENSG00000135587, ENSG00000188056, ENSG00000157617, ENSG00000155093, ENSG00000178462, ENSG00000134463, ENSG00000013288, ENSG00000160961, ENSG00000134744, ENSG00000011028, ENSG00000161664, ENSG00000052749, ENSG00000088002, ENSG00000143771, ENSG00000105793, ENSG00000142544, ENSG00000064012, ENSG00000119147, ENSG00000013810, ENSG00000051620, ENSG00000134202, ENSG00000160953, ENSG00000123838, ENSG00000113734, ENSG00000168028, ENSG00000154079, ENSG00000114857, ENSG00000133488, ENSG00000107104, ENSG00000004809, ENSG00000150510, ENSG00000146707, ENSG00000104974, ENSG00000198131, ENSG00000113318, ENSG00000198130, ENSG00000165272, ENSG00000146700, ENSG00000105835, ENSG00000140718, ENSG00000124780, ENSG00000099817, ENSG00000104979, ENSG00000139055, ENSG00000126602, ENSG00000185974, ENSG00000198336, ENSG00000151773, ENSG00000167670, ENSG00000152254, ENSG00000117597, ENSG00000138658, ENSG00000172469, ENSG00000140323, ENSG00000004534, ENSG00000103932, ENSG00000166796, ENSG00000198482, ENSG00000167766, ENSG00000180376, ENSG00000153822, ENSG00000101276, ENSG00000137171, ENSG00000186204, ENSG00000054219, ENSG00000127399, ENSG00000130413, ENSG00000112852, ENSG00000140400, ENSG00000092445, ENSG00000198046, ENSG00000183833, ENSG00000099984, ENSG00000127364, ENSG00000119242, ENSG00000196209, ENSG00000101282, ENSG00000167105, ENSG00000104899, ENSG00000188372, ENSG00000167914, ENSG00000141295, ENSG00000124587, ENSG00000128274, ENSG00000004846, ENSG00000167107, ENSG00000158483, ENSG00000125637, ENSG00000038274, ENSG00000153113, ENSG00000165388, ENSG00000138744, ENSG00000125630, ENSG00000125633, ENSG00000188234, ENSG00000185880, ENSG00000126231, ENSG00000032742, ENSG00000167646, ENSG00000112139, ENSG00000006282, ENSG00000062524, ENSG00000133112, ENSG00000183066, ENSG00000130518, ENSG00000159648, ENSG00000166762, ENSG00000185829, ENSG00000090661, ENSG00000133835, ENSG00000133433, ENSG00000101017, ENSG00000174652, ENSG00000104731, ENSG00000157368, ENSG00000125885, ENSG00000185736, ENSG00000138794, ENSG00000138294, ENSG00000112164, ENSG00000138792, ENSG00000146833, ENSG00000005882, ENSG00000213366, ENSG00000113812, ENSG00000125618, ENSG00000164983, ENSG00000164989, ENSG00000154265, ENSG00000167523, ENSG00000164418, ENSG00000112299, ENSG00000179399, ENSG00000091972, ENSG00000107165, ENSG00000065457, ENSG00000104883, ENSG00000023516, ENSG00000179299, ENSG00000184983, ENSG00000167920, ENSG00000111450, ENSG00000101230, ENSG00000180953, ENSG00000203963, ENSG00000149548, ENSG00000085382, ENSG00000167555, ENSG00000114030, ENSG00000151655, ENSG00000183049, ENSG00000166788, ENSG00000105088, ENSG00000124767, ENSG00000141252, ENSG00000172543, ENSG00000101349, ENSG00000140859, ENSG00000072736, ENSG00000171806, ENSG00000183098, ENSG00000133706, ENSG00000138785, ENSG00000133704, ENSG00000100116, ENSG00000125734, ENSG00000105982, ENSG00000105607, ENSG00000104450, ENSG00000157259, ENSG00000112276, ENSG00000118514, ENSG00000178209, ENSG00000113522, ENSG00000196365, ENSG00000117226	870	9899	15891	1.0923513695218254	0.08228985939680666	0.08228985939680666	0.2513374390235801
UP_SEQ_FEATURE	domain:GST N-terminal	7	0.7856341189674524	1.92726744675494E-4	ENSG00000213366, ENSG00000170899, ENSG00000099984, ENSG00000134202, ENSG00000168765, ENSG00000134184, ENSG00000133433, ENSG00000184674	869	17	15880	7.524538008529073	0.3344078034217166	0.18416166026700886	0.3329438078547353
INTERPRO	IPR004046:Glutathione S-transferase, C-terminal	7	0.7856341189674524	1.9644257430866086E-4	ENSG00000213366, ENSG00000170899, ENSG00000099984, ENSG00000134202, ENSG00000168765, ENSG00000134184, ENSG00000133433, ENSG00000184674	772	17	14052	7.494971045412983	0.21497602942983374	0.21497602942983374	0.3181465872217015
INTERPRO	IPR004045:Glutathione S-transferase, N-terminal	7	0.7856341189674524	2.8106035852823566E-4	ENSG00000213366, ENSG00000170899, ENSG00000099984, ENSG00000134202, ENSG00000168765, ENSG00000134184, ENSG00000133433, ENSG00000184674	772	18	14052	7.078583765112262	0.29271036665051453	0.1589948672276218	0.4548955828151069
INTERPRO	IPR015493:Protocadherin beta	6	0.6734006734006733	6.485135147475709E-4	ENSG00000112852, ENSG00000120328, ENSG00000120324, ENSG00000196963, ENSG00000120322, ENSG00000197479	772	14	14052	7.800888230940044	0.5503239449922075	0.23387449478787625	1.0466893748036332
SMART	SM00349:KRAB	27	3.0303030303030303	9.34741768882466E-4	ENSG00000198046, ENSG00000204604, ENSG00000198131, ENSG00000197128, ENSG00000173480, ENSG00000167555, ENSG00000171574, ENSG00000160961, ENSG00000164048, ENSG00000178150, ENSG00000152439, ENSG00000174652, ENSG00000196378, ENSG00000105136, ENSG00000171469, ENSG00000184939, ENSG00000131849, ENSG00000089335, ENSG00000147789, ENSG00000131845, ENSG00000161551, ENSG00000182986, ENSG00000170949, ENSG00000198482, ENSG00000198466, ENSG00000196693, ENSG00000197362	377	284	7927	1.9990006351103973	0.19954309344233567	0.19954309344233567	1.198244347471511
