Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	polymorphism	170	72.3404255319149	2.23614244168802E-4	ENSG00000142330, ENSG00000196139, ENSG00000107736, ENSG00000165471, ENSG00000197147, ENSG00000165105, ENSG00000161911, ENSG00000027001, ENSG00000165272, ENSG00000060982, ENSG00000162669, ENSG00000145725, ENSG00000112599, ENSG00000186529, ENSG00000135540, ENSG00000171714, ENSG00000172955, ENSG00000111700, ENSG00000117595, ENSG00000102595, ENSG00000174226, ENSG00000164087, ENSG00000164520, ENSG00000198707, ENSG00000110455, ENSG00000014164, ENSG00000167815, ENSG00000160062, ENSG00000139624, ENSG00000120251, ENSG00000079156, ENSG00000087085, ENSG00000005436, ENSG00000171234, ENSG00000180071, ENSG00000140459, ENSG00000112319, ENSG00000138669, ENSG00000127507, ENSG00000112053, ENSG00000103522, ENSG00000105255, ENSG00000171105, ENSG00000187955, ENSG00000187741, ENSG00000188976, ENSG00000166454, ENSG00000183569, ENSG00000153898, ENSG00000213996, ENSG00000116191, ENSG00000185950, ENSG00000066382, ENSG00000169826, ENSG00000162782, ENSG00000182901, ENSG00000101282, ENSG00000099260, ENSG00000197540, ENSG00000104899, ENSG00000174348, ENSG00000100156, ENSG00000141293, ENSG00000171502, ENSG00000167914, ENSG00000136108, ENSG00000204740, ENSG00000161618, ENSG00000123191, ENSG00000136371, ENSG00000106178, ENSG00000039650, ENSG00000142856, ENSG00000140265, ENSG00000151690, ENSG00000101307, ENSG00000113578, ENSG00000110148, ENSG00000165138, ENSG00000175455, ENSG00000119411, ENSG00000134375, ENSG00000205038, ENSG00000146085, ENSG00000186807, ENSG00000031691, ENSG00000054282, ENSG00000166260, ENSG00000124249, ENSG00000080644, ENSG00000131142, ENSG00000149212, ENSG00000196072, ENSG00000156219, ENSG00000183066, ENSG00000159648, ENSG00000169684, ENSG00000154358, ENSG00000137563, ENSG00000164626, ENSG00000101197, ENSG00000162722, ENSG00000164048, ENSG00000122375, ENSG00000174705, ENSG00000113209, ENSG00000142089, ENSG00000174325, ENSG00000091664, ENSG00000101224, ENSG00000171903, ENSG00000137860, ENSG00000116984, ENSG00000172890, ENSG00000100376, ENSG00000172345, ENSG00000082293, ENSG00000164983, ENSG00000142409, ENSG00000064687, ENSG00000146530, ENSG00000115255, ENSG00000162998, ENSG00000065457, ENSG00000196963, ENSG00000135480, ENSG00000184983, ENSG00000182013, ENSG00000165055, ENSG00000111450, ENSG00000100225, ENSG00000033178, ENSG00000149089, ENSG00000167699, ENSG00000168297, ENSG00000069482, ENSG00000090621, ENSG00000176293, ENSG00000101342, ENSG00000178075, ENSG00000100197, ENSG00000138772, ENSG00000105136, ENSG00000169862, ENSG00000104964, ENSG00000164440, ENSG00000133661, ENSG00000113532, ENSG00000002587, ENSG00000013573, ENSG00000159423, ENSG00000184459, ENSG00000172322, ENSG00000184792, ENSG00000144278, ENSG00000123838, ENSG00000100024, ENSG00000100321, ENSG00000104093, ENSG00000157637, ENSG00000184860, ENSG00000122367, ENSG00000128652, ENSG00000185842, ENSG00000047056, ENSG00000147852, ENSG00000109089, ENSG00000162877, ENSG00000118322, ENSG00000140905	233	6086	9849	1.1807370465389504	0.06677087370129786	0.06677087370129786	0.2997462300046383
UP_SEQ_FEATURE	sequence variant	174	74.04255319148936	3.8829758321059506E-4	ENSG00000142330, ENSG00000196139, ENSG00000107736, ENSG00000165471, ENSG00000197147, ENSG00000165105, ENSG00000161911, ENSG00000027001, ENSG00000165272, ENSG00000060982, ENSG00000162669, ENSG00000145725, ENSG00000112599, ENSG00000186529, ENSG00000135540, ENSG00000171714, ENSG00000172955, ENSG00000111700, ENSG00000117595, ENSG00000102595, ENSG00000174226, ENSG00000164087, ENSG00000164520, ENSG00000198707, ENSG00000110455, ENSG00000014164, ENSG00000167815, ENSG00000160062, ENSG00000139624, ENSG00000120251, ENSG00000079156, ENSG00000087085, ENSG00000172548, ENSG00000005436, ENSG00000171234, ENSG00000180071, ENSG00000140459, ENSG00000112319, ENSG00000138669, ENSG00000127507, ENSG00000112053, ENSG00000103522, ENSG00000105255, ENSG00000171105, ENSG00000187955, ENSG00000187741, ENSG00000188976, ENSG00000166454, ENSG00000183569, ENSG00000153898, ENSG00000213996, ENSG00000116191, ENSG00000185950, ENSG00000066382, ENSG00000169826, ENSG00000162782, ENSG00000182901, ENSG00000101282, ENSG00000099260, ENSG00000197540, ENSG00000104899, ENSG00000174348, ENSG00000100156, ENSG00000109854, ENSG00000141293, ENSG00000171502, ENSG00000167914, ENSG00000136108, ENSG00000204740, ENSG00000123191, ENSG00000161618, ENSG00000136371, ENSG00000106178, ENSG00000039650, ENSG00000142856, ENSG00000140265, ENSG00000151690, ENSG00000178445, ENSG00000101307, ENSG00000113578, ENSG00000110148, ENSG00000165138, ENSG00000175455, ENSG00000119411, ENSG00000134375, ENSG00000205038, ENSG00000146085, ENSG00000186807, ENSG00000031691, ENSG00000054282, ENSG00000166260, ENSG00000124249, ENSG00000080644, ENSG00000131142, ENSG00000149212, ENSG00000196072, ENSG00000156219, ENSG00000183066, ENSG00000159648, ENSG00000169684, ENSG00000154358, ENSG00000137563, ENSG00000164626, ENSG00000101197, ENSG00000162722, ENSG00000164048, ENSG00000122375, ENSG00000174705, ENSG00000113209, ENSG00000142089, ENSG00000174325, ENSG00000091664, ENSG00000101224, ENSG00000171903, ENSG00000137860, ENSG00000116984, ENSG00000172890, ENSG00000100376, ENSG00000172345, ENSG00000082293, ENSG00000164983, ENSG00000142409, ENSG00000064687, ENSG00000108823, ENSG00000146530, ENSG00000115255, ENSG00000162998, ENSG00000065457, ENSG00000196963, ENSG00000135480, ENSG00000184983, ENSG00000182013, ENSG00000165055, ENSG00000111450, ENSG00000100225, ENSG00000033178, ENSG00000149089, ENSG00000167699, ENSG00000168297, ENSG00000069482, ENSG00000090621, ENSG00000176293, ENSG00000101342, ENSG00000178075, ENSG00000100197, ENSG00000138772, ENSG00000105136, ENSG00000169862, ENSG00000104964, ENSG00000164440, ENSG00000133661, ENSG00000113532, ENSG00000002587, ENSG00000013573, ENSG00000159423, ENSG00000184459, ENSG00000172322, ENSG00000184792, ENSG00000144278, ENSG00000123838, ENSG00000100024, ENSG00000100321, ENSG00000104093, ENSG00000157637, ENSG00000184860, ENSG00000122367, ENSG00000128652, ENSG00000185842, ENSG00000047056, ENSG00000147852, ENSG00000109089, ENSG00000162877, ENSG00000118322, ENSG00000140905	233	6313	9843	1.1643539559013385	0.27301848267629825	0.27301848267629825	0.596397626603562
SP_PIR_KEYWORDS	cobalt	4	1.702127659574468	0.0018508349346632769	ENSG00000027001, ENSG00000066382, ENSG00000146085, ENSG00000116984	233	11	9849	15.371049551307062	0.43585157793098195	0.2489018559009628	2.456058185653631
GOTERM_BP_FAT	GO:0046326~positive regulation of glucose import	4	1.702127659574468	0.00519508831796829	ENSG00000142330, ENSG00000171105, ENSG00000185950, ENSG00000128989	171	15	6985	10.89278752436647	0.9977788332284947	0.9977788332284947	8.053911924495804
GOTERM_BP_FAT	GO:0010828~positive regulation of glucose transport	4	1.702127659574468	0.00519508831796829	ENSG00000142330, ENSG00000171105, ENSG00000185950, ENSG00000128989	171	15	6985	10.89278752436647	0.9977788332284947	0.9977788332284947	8.053911924495804
GOTERM_BP_FAT	GO:0009310~amine catabolic process	6	2.553191489361702	0.006463136055841756	ENSG00000178445, ENSG00000159423, ENSG00000213722, ENSG00000087085, ENSG00000060982, ENSG00000140905	171	49	6985	5.001790189760115	0.9995024746373714	0.9776947234352803	9.925196118406898
SP_PIR_KEYWORDS	ion transport	16	6.808510638297872	0.007779845659938787	ENSG00000120251, ENSG00000153898, ENSG00000119411, ENSG00000169684, ENSG00000164626, ENSG00000172548, ENSG00000157637, ENSG00000124249, ENSG00000055732, ENSG00000080644, ENSG00000171714, ENSG00000123191, ENSG00000091664, ENSG00000111700, ENSG00000138669, ENSG00000112053	233	316	9849	2.140272722333895	0.9104870849072659	0.5526694417715072	9.953059911375096
GOTERM_BP_FAT	GO:0032868~response to insulin stimulus	6	2.553191489361702	0.009727039340706137	ENSG00000142330, ENSG00000171105, ENSG00000069482, ENSG00000147852, ENSG00000137563, ENSG00000185950	171	54	6985	4.53866146848603	0.9999895161178164	0.9781136145282594	14.57882942886245
SP_PIR_KEYWORDS	transport	33	14.042553191489363	0.012977772295764205	ENSG00000079332, ENSG00000204764, ENSG00000153898, ENSG00000169684, ENSG00000165272, ENSG00000164626, ENSG00000002919, ENSG00000055732, ENSG00000204991, ENSG00000138750, ENSG00000100156, ENSG00000171714, ENSG00000123191, ENSG00000091664, ENSG00000111700, ENSG00000137860, ENSG00000174226, ENSG00000198707, ENSG00000172345, ENSG00000120251, ENSG00000079156, ENSG00000119411, ENSG00000134375, ENSG00000184792, ENSG00000064687, ENSG00000172548, ENSG00000160948, ENSG00000157637, ENSG00000124249, ENSG00000147852, ENSG00000080644, ENSG00000184983, ENSG00000112053	233	906	9849	1.539649830884234	0.9823387141241167	0.6354512779855968	16.083173475316993
GOTERM_BP_FAT	GO:0046324~regulation of glucose import	4	1.702127659574468	0.01552473226070358	ENSG00000142330, ENSG00000171105, ENSG00000185950, ENSG00000128989	171	22	6985	7.426900584795321	0.9999999893034851	0.9898302430210497	22.293839930964143
