Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR002401:Cytochrome P450, E-class, group I	9	2.102803738317757	1.4017179645345916E-5	ENSG00000162365, ENSG00000186529, ENSG00000130649, ENSG00000186204, ENSG00000100197, ENSG00000186160, ENSG00000171903, ENSG00000186377, ENSG00000073067	381	42	14052	7.903262092238471	0.011178903318170508	0.011178903318170508	0.021521313889627525
PIR_SUPERFAMILY	PIRSF000050:cytochrome P450 CYP4B1	6	1.4018691588785046	1.5056929565165052E-5	ENSG00000162365, ENSG00000186529, ENSG00000186204, ENSG00000186160, ENSG00000171903, ENSG00000186377	204	11	6116	16.352941176470587	0.0032620462423998964	0.0032620462423998964	0.01912251843972923
INTERPRO	IPR017973:Cytochrome P450, C-terminal region	9	2.102803738317757	3.8897568191598776E-5	ENSG00000162365, ENSG00000186529, ENSG00000130649, ENSG00000186204, ENSG00000100197, ENSG00000186160, ENSG00000171903, ENSG00000186377, ENSG00000073067	381	48	14052	6.915354330708661	0.030714867923615996	0.015477205913248526	0.05971082071793976
GOTERM_MF_FAT	GO:0046906~tetrapyrrole binding	13	3.0373831775700935	5.182535044752565E-5	ENSG00000160200, ENSG00000162365, ENSG00000117691, ENSG00000186529, ENSG00000130649, ENSG00000186204, ENSG00000100197, ENSG00000186160, ENSG00000171903, ENSG00000146085, ENSG00000185339, ENSG00000186377, ENSG00000073067	299	112	10941	4.247282608695652	0.029561895663487436	0.029561895663487436	0.07614183487766324
INTERPRO	IPR001128:Cytochrome P450	9	2.102803738317757	7.059537383061928E-5	ENSG00000162365, ENSG00000186529, ENSG00000130649, ENSG00000186204, ENSG00000100197, ENSG00000186160, ENSG00000171903, ENSG00000186377, ENSG00000073067	381	52	14052	6.383403997577226	0.05504643321479019	0.01869617981245142	0.10834479049199874
INTERPRO	IPR017972:Cytochrome P450, conserved site	9	2.102803738317757	9.311686224896295E-5	ENSG00000162365, ENSG00000186529, ENSG00000130649, ENSG00000186204, ENSG00000100197, ENSG00000186160, ENSG00000171903, ENSG00000186377, ENSG00000073067	381	54	14052	6.146981627296587	0.0719625586340571	0.018497580513105127	0.1428860832663359
SP_PIR_KEYWORDS	Monooxygenase	10	2.336448598130841	9.349335565413216E-5	ENSG00000162365, ENSG00000186529, ENSG00000130649, ENSG00000186204, ENSG00000100197, ENSG00000186160, ENSG00000171903, ENSG00000186377, ENSG00000073067, ENSG00000010932	423	70	15891	5.36676798378926	0.03679844334326832	0.03679844334326832	0.13037350516529322
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme axial ligand)	11	2.570093457943925	1.4880282393313894E-4	ENSG00000160200, ENSG00000162365, ENSG00000186529, ENSG00000130649, ENSG00000186204, ENSG00000100197, ENSG00000186160, ENSG00000171903, ENSG00000115107, ENSG00000186377, ENSG00000073067	423	91	15880	4.537967942223261	0.18103034628165315	0.18103034628165315	0.24363279098283952
SP_PIR_KEYWORDS	microsome	11	2.570093457943925	1.9398638969370474E-4	ENSG00000162365, ENSG00000186529, ENSG00000130649, ENSG00000186204, ENSG00000100197, ENSG00000186160, ENSG00000171903, ENSG00000186377, ENSG00000143819, ENSG00000171234, ENSG00000010932	423	94	15891	4.39618228459333	0.07484694306610773	0.03815122969674056	0.27033187391850566
GOTERM_MF_FAT	GO:0070330~aromatase activity	6	1.4018691588785046	2.6070649965258117E-4	ENSG00000130649, ENSG00000186204, ENSG00000100197, ENSG00000186160, ENSG00000171903, ENSG00000186377	299	22	10941	9.979629066585588	0.1401254250227093	0.07270577755639462	0.38248272807976935
