Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
PIR_SUPERFAMILY	PIRSF000050:cytochrome P450 CYP4B1	8	0.6920415224913495	2.5139567220776025E-6	ENSG00000142973, ENSG00000171954, ENSG00000162365, ENSG00000186115, ENSG00000186204, ENSG00000186160, ENSG00000171903, ENSG00000186377	443	11	6116	10.04063205417607	0.0012160166347987555	0.0012160166347987555	0.003603584178435426
SP_PIR_KEYWORDS	Monooxygenase	16	1.384083044982699	9.938436473801854E-5	ENSG00000079931, ENSG00000171954, ENSG00000186115, ENSG00000119723, ENSG00000165841, ENSG00000073067, ENSG00000142973, ENSG00000162365, ENSG00000186204, ENSG00000180432, ENSG00000100197, ENSG00000186160, ENSG00000164924, ENSG00000171903, ENSG00000186377, ENSG00000010932	1134	70	15891	3.2030234315948602	0.05451340368950863	0.05451340368950863	0.14544125618261017
SP_PIR_KEYWORDS	oxidoreductase	60	5.190311418685121	1.1033222315179683E-4	ENSG00000165475, ENSG00000109390, ENSG00000087076, ENSG00000119723, ENSG00000151632, ENSG00000106348, ENSG00000160439, ENSG00000115107, ENSG00000121350, ENSG00000197894, ENSG00000142973, ENSG00000158864, ENSG00000141994, ENSG00000107537, ENSG00000186160, ENSG00000171903, ENSG00000186153, ENSG00000186115, ENSG00000117139, ENSG00000161513, ENSG00000165841, ENSG00000102967, ENSG00000165568, ENSG00000187134, ENSG00000164039, ENSG00000166796, ENSG00000128039, ENSG00000198099, ENSG00000162365, ENSG00000186204, ENSG00000180432, ENSG00000184983, ENSG00000099377, ENSG00000079931, ENSG00000128928, ENSG00000108439, ENSG00000145882, ENSG00000168291, ENSG00000149084, ENSG00000073067, ENSG00000083123, ENSG00000117054, ENSG00000157214, ENSG00000170509, ENSG00000116157, ENSG00000100197, ENSG00000071967, ENSG00000140263, ENSG00000137106, ENSG00000171954, ENSG00000116791, ENSG00000187758, ENSG00000092621, ENSG00000105607, ENSG00000137857, ENSG00000127954, ENSG00000118514, ENSG00000121691, ENSG00000186377, ENSG00000010932	1134	504	15891	1.668241370622323	0.06033401968089991	0.0306363013197265	0.16145053529142972
GOTERM_BP_FAT	GO:0055114~oxidation reduction	64	5.536332179930796	1.6035748490714644E-4	ENSG00000109390, ENSG00000087076, ENSG00000119723, ENSG00000151632, ENSG00000106348, ENSG00000160439, ENSG00000115107, ENSG00000121350, ENSG00000197894, ENSG00000142973, ENSG00000158864, ENSG00000141994, ENSG00000107537, ENSG00000103160, ENSG00000186160, ENSG00000171903, ENSG00000114395, ENSG00000186153, ENSG00000186115, ENSG00000117139, ENSG00000161513, ENSG00000165841, ENSG00000102967, ENSG00000165568, ENSG00000164039, ENSG00000187134, ENSG00000166796, ENSG00000128039, ENSG00000198099, ENSG00000162365, ENSG00000115257, ENSG00000186204, ENSG00000180432, ENSG00000184983, ENSG00000099377, ENSG00000079931, ENSG00000128928, ENSG00000108439, ENSG00000145882, ENSG00000168291, ENSG00000149084, ENSG00000073067, ENSG00000083123, ENSG00000117054, ENSG00000157214, ENSG00000165973, ENSG00000170509, ENSG00000116157, ENSG00000161618, ENSG00000100197, ENSG00000071967, ENSG00000140263, ENSG00000137106, ENSG00000171954, ENSG00000116791, ENSG00000187758, ENSG00000092621, ENSG00000105607, ENSG00000137857, ENSG00000127954, ENSG00000118514, ENSG00000121691, ENSG00000186377, ENSG00000010932	799	568	11403	1.6080664210544873	0.33830703824044694	0.33830703824044694	0.2834583877661223
UP_SEQ_FEATURE	metal ion-binding site:Iron (heme axial ligand)	18	1.5570934256055362	2.0992488566357173E-4	ENSG00000114395, ENSG00000171954, ENSG00000186115, ENSG00000165841, ENSG00000115107, ENSG00000073067, ENSG00000157214, ENSG00000142973, ENSG00000162365, ENSG00000127954, ENSG00000186204, ENSG00000180432, ENSG00000100197, ENSG00000186160, ENSG00000071967, ENSG00000171903, ENSG00000121691, ENSG00000186377	1133	91	15880	2.7723732578101505	0.4385003292966676	0.4385003292966676	0.3736669439307283
SMART	SM00349:KRAB	34	2.941176470588235	3.9110249240889377E-4	ENSG00000198046, ENSG00000184517, ENSG00000198131, ENSG00000083828, ENSG00000173480, ENSG00000167555, ENSG00000171574, ENSG00000121417, ENSG00000164048, ENSG00000197928, ENSG00000125945, ENSG00000178150, ENSG00000152439, ENSG00000174652, ENSG00000130544, ENSG00000197619, ENSG00000105136, ENSG00000171469, ENSG00000131849, ENSG00000089335, ENSG00000172006, ENSG00000147789, ENSG00000167528, ENSG00000161551, ENSG00000204946, ENSG00000182986, ENSG00000170949, ENSG00000169951, ENSG00000198482, ENSG00000196867, ENSG00000196263, ENSG00000198466, ENSG00000180257, ENSG00000105708	497	284	7927	1.9094709099668432	0.10339416470044094	0.10339416470044094	0.5156114360447939
KEGG_PATHWAY	hsa00982:Drug metabolism	12	1.0380622837370241	4.0670607667569065E-4	ENSG00000198099, ENSG00000143198, ENSG00000099984, ENSG00000134202, ENSG00000168765, ENSG00000100197, ENSG00000187758, ENSG00000165841, ENSG00000133433, ENSG00000184674, ENSG00000171234, ENSG00000197894, ENSG00000010932	273	53	4254	3.528094546962472	0.06833433006614809	0.06833433006614809	0.49698451872370875
GOTERM_MF_FAT	GO:0048037~cofactor binding	32	2.768166089965398	4.4766537964922474E-4	ENSG00000128928, ENSG00000108439, ENSG00000165475, ENSG00000119723, ENSG00000115107, ENSG00000110435, ENSG00000117054, ENSG00000157214, ENSG00000197894, ENSG00000128683, ENSG00000165973, ENSG00000135069, ENSG00000158864, ENSG00000141994, ENSG00000137944, ENSG00000140263, ENSG00000137106, ENSG00000110455, ENSG00000125166, ENSG00000186153, ENSG00000213516, ENSG00000092621, ENSG00000164039, ENSG00000070669, ENSG00000198099, ENSG00000105607, ENSG00000137857, ENSG00000127954, ENSG00000176244, ENSG00000121691, ENSG00000157426, ENSG00000135297, ENSG00000010932	779	231	10941	1.9456179250787722	0.35836503106100814	0.35836503106100814	0.7041506495964578
KEGG_PATHWAY	hsa00980:Metabolism of xenobiotics by cytochrome P450	12	1.0380622837370241	4.822960177933935E-4	ENSG00000198099, ENSG00000143198, ENSG00000099984, ENSG00000134202, ENSG00000151632, ENSG00000168765, ENSG00000187758, ENSG00000165841, ENSG00000187134, ENSG00000133433, ENSG00000184674, ENSG00000171234, ENSG00000197894	273	54	4254	3.4627594627594633	0.08051334707963054	0.04110133334102006	0.5891031604735364
UP_SEQ_FEATURE	binding site:Substrate	36	3.1141868512110724	5.213926175296593E-4	ENSG00000128928, ENSG00000112667, ENSG00000108439, ENSG00000119125, ENSG00000118520, ENSG00000198130, ENSG00000117480, ENSG00000087076, ENSG00000151632, ENSG00000149084, ENSG00000160439, ENSG00000067057, ENSG00000117054, ENSG00000100299, ENSG00000128683, ENSG00000170509, ENSG00000151224, ENSG00000164574, ENSG00000133313, ENSG00000136371, ENSG00000152254, ENSG00000100330, ENSG00000106733, ENSG00000137106, ENSG00000152556, ENSG00000110455, ENSG00000186153, ENSG00000126088, ENSG00000165568, ENSG00000164039, ENSG00000187134, ENSG00000124713, ENSG00000166796, ENSG00000141698, ENSG00000138621, ENSG00000144362	1133	273	15880	1.8482488385401004	0.7615706153690295	0.5117076852632528	0.9256528351419768
