Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0016021~integral to membrane	152	32.47863247863248	1.6756753759599453E-4	ENSG00000107736, ENSG00000171124, ENSG00000197147, ENSG00000135953, ENSG00000107731, ENSG00000133687, ENSG00000196620, ENSG00000156113, ENSG00000144741, ENSG00000124780, ENSG00000161381, ENSG00000134824, ENSG00000170615, ENSG00000160588, ENSG00000168135, ENSG00000152254, ENSG00000057252, ENSG00000213088, ENSG00000128973, ENSG00000117868, ENSG00000181284, ENSG00000204161, ENSG00000213949, ENSG00000148339, ENSG00000120253, ENSG00000168890, ENSG00000215788, ENSG00000164342, ENSG00000112655, ENSG00000169758, ENSG00000198515, ENSG00000164484, ENSG00000120156, ENSG00000197479, ENSG00000145244, ENSG00000171130, ENSG00000002933, ENSG00000163293, ENSG00000013364, ENSG00000116299, ENSG00000186204, ENSG00000185760, ENSG00000196411, ENSG00000113504, ENSG00000145730, ENSG00000069248, ENSG00000112053, ENSG00000153898, ENSG00000149485, ENSG00000196743, ENSG00000198250, ENSG00000163823, ENSG00000188372, ENSG00000124920, ENSG00000128274, ENSG00000101307, ENSG00000116857, ENSG00000135778, ENSG00000184292, ENSG00000160991, ENSG00000101290, ENSG00000120322, ENSG00000213625, ENSG00000159199, ENSG00000164465, ENSG00000170448, ENSG00000133116, ENSG00000144668, ENSG00000132196, ENSG00000162383, ENSG00000100060, ENSG00000106565, ENSG00000196329, ENSG00000137819, ENSG00000162769, ENSG00000121716, ENSG00000135913, ENSG00000145817, ENSG00000174469, ENSG00000166928, ENSG00000122375, ENSG00000125510, ENSG00000101017, ENSG00000169432, ENSG00000118432, ENSG00000124882, ENSG00000142089, ENSG00000070614, ENSG00000153291, ENSG00000172270, ENSG00000074803, ENSG00000171903, ENSG00000176681, ENSG00000112167, ENSG00000138617, ENSG00000100376, ENSG00000116685, ENSG00000142188, ENSG00000116688, ENSG00000006071, ENSG00000188467, ENSG00000178878, ENSG00000143252, ENSG00000128536, ENSG00000122873, ENSG00000064687, ENSG00000126353, ENSG00000063015, ENSG00000211456, ENSG00000128039, ENSG00000112299, ENSG00000095739, ENSG00000106330, ENSG00000181458, ENSG00000196963, ENSG00000116704, ENSG00000104883, ENSG00000184985, ENSG00000197506, ENSG00000100191, ENSG00000130300, ENSG00000117480, ENSG00000085514, ENSG00000130202, ENSG00000160746, ENSG00000183473, ENSG00000197375, ENSG00000150995, ENSG00000021852, ENSG00000154529, ENSG00000183726, ENSG00000196352, ENSG00000114650, ENSG00000104361, ENSG00000072694, ENSG00000156869, ENSG00000163485, ENSG00000144320, ENSG00000005059, ENSG00000122696, ENSG00000105983, ENSG00000100321, ENSG00000167740, ENSG00000164530, ENSG00000147852, ENSG00000112763, ENSG00000105609, ENSG00000170293, ENSG00000106003, ENSG00000167286, ENSG00000124406, ENSG00000117226	310	4150	10695	1.2636144578313253	0.05506824740096594	0.05506824740096594	0.2277490356615952
PIR_SUPERFAMILY	PIRSF000503:glutathione transferase	5	1.0683760683760684	1.882881869342324E-4	ENSG00000213366, ENSG00000099984, ENSG00000168765, ENSG00000134184, ENSG00000133433, ENSG00000184674	198	10	6116	15.444444444444445	0.04112275855720715	0.04112275855720715	0.23993612151631538
SP_PIR_KEYWORDS	polymorphism	324	69.23076923076923	2.371305922767411E-4	ENSG00000197323, ENSG00000138381, ENSG00000107736, ENSG00000171124, ENSG00000197147, ENSG00000100077, ENSG00000107731, ENSG00000174562, ENSG00000060982, ENSG00000002726, ENSG00000204264, ENSG00000160588, ENSG00000108395, ENSG00000100336, ENSG00000121310, ENSG00000057252, ENSG00000213088, ENSG00000137225, ENSG00000088833, ENSG00000213085, ENSG00000133574, ENSG00000174226, ENSG00000110455, ENSG00000204161, ENSG00000168411, ENSG00000167994, ENSG00000136098, ENSG00000140650, ENSG00000164342, ENSG00000198515, ENSG00000136982, ENSG00000120156, ENSG00000166839, ENSG00000197479, ENSG00000002933, ENSG00000123268, ENSG00000181090, ENSG00000116299, ENSG00000133063, ENSG00000179750, ENSG00000187741, ENSG00000215853, ENSG00000166454, ENSG00000213995, ENSG00000153898, ENSG00000140067, ENSG00000010030, ENSG00000149485, ENSG00000165730, ENSG00000170265, ENSG00000138801, ENSG00000174348, ENSG00000156042, ENSG00000151552, ENSG00000136371, ENSG00000180113, ENSG00000089177, ENSG00000124920, ENSG00000079739, ENSG00000137106, ENSG00000101307, ENSG00000160991, ENSG00000089818, ENSG00000111906, ENSG00000162302, ENSG00000120322, ENSG00000054282, ENSG00000170448, ENSG00000108384, ENSG00000176393, ENSG00000144668, ENSG00000168267, ENSG00000100060, ENSG00000106565, ENSG00000107249, ENSG00000137819, ENSG00000136381, ENSG00000121716, ENSG00000168765, ENSG00000174469, ENSG00000166928, ENSG00000168454, ENSG00000169174, ENSG00000135069, ENSG00000189127, ENSG00000169432, ENSG00000157741, ENSG00000187624, ENSG00000204020, ENSG00000131849, ENSG00000171903, ENSG00000047188, ENSG00000166004, ENSG00000145384, ENSG00000171360, ENSG00000171777, ENSG00000006071, ENSG00000188467, ENSG00000130348, ENSG00000145390, ENSG00000128536, ENSG00000178460, ENSG00000026297, ENSG00000064687, ENSG00000197054, ENSG00000184674, ENSG00000130489, ENSG00000211456, ENSG00000141698, ENSG00000196867, ENSG00000188056, ENSG00000105939, ENSG00000189306, ENSG00000134369, ENSG00000128944, ENSG00000196963, ENSG00000116704, ENSG00000100191, ENSG00000183665, ENSG00000013583, ENSG00000152380, ENSG00000117481, ENSG00000117480, ENSG00000160961, ENSG00000135318, ENSG00000164597, ENSG00000144283, ENSG00000069482, ENSG00000128951, ENSG00000100297, ENSG00000118473, ENSG00000100197, ENSG00000021852, ENSG00000169554, ENSG00000072694, ENSG00000013573, ENSG00000007350, ENSG00000148396, ENSG00000122696, ENSG00000152219, ENSG00000136449, ENSG00000135205, ENSG00000178852, ENSG00000100321, ENSG00000135862, ENSG00000112763, ENSG00000198848, ENSG00000167286, ENSG00000106003, ENSG00000124406, ENSG00000146707, ENSG00000135953, ENSG00000179144, ENSG00000133687, ENSG00000073605, ENSG00000196620, ENSG00000144741, ENSG00000154099, ENSG00000173801, ENSG00000124780, ENSG00000139055, ENSG00000145725, ENSG00000125945, ENSG00000182866, ENSG00000196526, ENSG00000167670, ENSG00000159409, ENSG00000108592, ENSG00000152254, ENSG00000117868, ENSG00000117595, ENSG00000181284, ENSG00000112062, ENSG00000115970, ENSG00000125845, ENSG00000213949, ENSG00000166147, ENSG00000215788, ENSG00000112655, ENSG00000169758, ENSG00000142347, ENSG00000112651, ENSG00000145244, ENSG00000163293, ENSG00000180376, ENSG00000173226, ENSG00000013364, ENSG00000100804, ENSG00000104177, ENSG00000124490, ENSG00000186204, ENSG00000119139, ENSG00000185760, ENSG00000196411, ENSG00000145730, ENSG00000113504, ENSG00000069248, ENSG00000112053, ENSG00000127399, ENSG00000099984, ENSG00000128891, ENSG00000145882, ENSG00000196743, ENSG00000185361, ENSG00000101282, ENSG00000134184, ENSG00000188372, ENSG00000167914, ENSG00000140955, ENSG00000128274, ENSG00000142856, ENSG00000133103, ENSG00000184898, ENSG00000125637, ENSG00000153113, ENSG00000135778, ENSG00000184292, ENSG00000175455, ENSG00000119411, ENSG00000198033, ENSG00000135968, ENSG00000152760, ENSG00000186807, ENSG00000133116, ENSG00000032742, ENSG00000112139, ENSG00000006282, ENSG00000162383, ENSG00000140105, ENSG00000198467, ENSG00000162769, ENSG00000163040, ENSG00000100106, ENSG00000177414, ENSG00000162598, ENSG00000100109, ENSG00000135913, ENSG00000158525, ENSG00000188958, ENSG00000075151, ENSG00000133433, ENSG00000164048, ENSG00000122375, ENSG00000101017, ENSG00000174652, ENSG00000142089, ENSG00000124882, ENSG00000172270, ENSG00000153291, ENSG00000128805, ENSG00000140876, ENSG00000185736, ENSG00000123610, ENSG00000076944, ENSG00000141232, ENSG00000138617, ENSG00000198756, ENSG00000100376, ENSG00000146833, ENSG00000213366, ENSG00000172006, ENSG00000163050, ENSG00000167528, ENSG00000187134, ENSG00000126353, ENSG00000063015, ENSG00000186300, ENSG00000105499, ENSG00000122386, ENSG00000112299, ENSG00000065457, ENSG00000091651, ENSG00000104883, ENSG00000078114, ENSG00000184985, ENSG00000132972, ENSG00000180953, ENSG00000100644, ENSG00000073111, ENSG00000197506, ENSG00000167207, ENSG00000172538, ENSG00000149548, ENSG00000100092, ENSG00000085514, ENSG00000196782, ENSG00000117601, ENSG00000160746, ENSG00000149089, ENSG00000183049, ENSG00000159625, ENSG00000129295, ENSG00000183473, ENSG00000080573, ENSG00000109819, ENSG00000136144, ENSG00000166685, ENSG00000197375, ENSG00000172543, ENSG00000150995, ENSG00000141252, ENSG00000154529, ENSG00000183726, ENSG00000196352, ENSG00000114650, ENSG00000177335, ENSG00000163485, ENSG00000117000, ENSG00000005059, ENSG00000189269, ENSG00000100116, ENSG00000108244, ENSG00000197766, ENSG00000117614, ENSG00000105983, ENSG00000130921, ENSG00000167740, ENSG00000164530, ENSG00000100526, ENSG00000147852, ENSG00000105609, ENSG00000178209, ENSG00000162877, ENSG00000086619, ENSG00000117226	462	9899	15891	1.1258043905786101	0.09459190244971105	0.09459190244971105	0.3324697660794351
GOTERM_CC_FAT	GO:0031224~intrinsic to membrane	156	33.33333333333333	2.701122999679671E-4	ENSG00000107736, ENSG00000171124, ENSG00000197147, ENSG00000135953, ENSG00000107731, ENSG00000133687, ENSG00000196620, ENSG00000156113, ENSG00000144741, ENSG00000124780, ENSG00000161381, ENSG00000134824, ENSG00000170615, ENSG00000160588, ENSG00000168135, ENSG00000152254, ENSG00000057252, ENSG00000213088, ENSG00000128973, ENSG00000117868, ENSG00000181284, ENSG00000204161, ENSG00000213949, ENSG00000148339, ENSG00000120253, ENSG00000160972, ENSG00000168890, ENSG00000215788, ENSG00000164342, ENSG00000112655, ENSG00000169758, ENSG00000198515, ENSG00000164484, ENSG00000120156, ENSG00000197479, ENSG00000145244, ENSG00000171130, ENSG00000002933, ENSG00000163293, ENSG00000013364, ENSG00000116299, ENSG00000186204, ENSG00000185760, ENSG00000196411, ENSG00000113504, ENSG00000145730, ENSG00000069248, ENSG00000112053, ENSG00000153898, ENSG00000149485, ENSG00000196743, ENSG00000198250, ENSG00000163823, ENSG00000188372, ENSG00000124920, ENSG00000128274, ENSG00000101307, ENSG00000116857, ENSG00000135778, ENSG00000184292, ENSG00000160991, ENSG00000101290, ENSG00000120322, ENSG00000213625, ENSG00000159199, ENSG00000164465, ENSG00000170448, ENSG00000133116, ENSG00000144668, ENSG00000112139, ENSG00000132196, ENSG00000162383, ENSG00000100060, ENSG00000106565, ENSG00000196329, ENSG00000137819, ENSG00000162769, ENSG00000121716, ENSG00000135913, ENSG00000145817, ENSG00000166928, ENSG00000174469, ENSG00000122375, ENSG00000125510, ENSG00000101017, ENSG00000169432, ENSG00000118432, ENSG00000124882, ENSG00000142089, ENSG00000070614, ENSG00000153291, ENSG00000172270, ENSG00000074803, ENSG00000171903, ENSG00000176681, ENSG00000112167, ENSG00000138617, ENSG00000100376, ENSG00000116685, ENSG00000142188, ENSG00000116688, ENSG00000006071, ENSG00000188467, ENSG00000178878, ENSG00000143252, ENSG00000128536, ENSG00000122873, ENSG00000064687, ENSG00000126353, ENSG00000063015, ENSG00000211456, ENSG00000128039, ENSG00000105499, ENSG00000112299, ENSG00000095739, ENSG00000106330, ENSG00000181458, ENSG00000196963, ENSG00000116704, ENSG00000104883, ENSG00000184985, ENSG00000197506, ENSG00000100191, ENSG00000130300, ENSG00000117480, ENSG00000085514, ENSG00000130202, ENSG00000160746, ENSG00000135318, ENSG00000183473, ENSG00000197375, ENSG00000150995, ENSG00000021852, ENSG00000154529, ENSG00000183726, ENSG00000196352, ENSG00000114650, ENSG00000104361, ENSG00000072694, ENSG00000156869, ENSG00000163485, ENSG00000144320, ENSG00000005059, ENSG00000122696, ENSG00000105983, ENSG00000100321, ENSG00000167740, ENSG00000164530, ENSG00000147852, ENSG00000112763, ENSG00000105609, ENSG00000170293, ENSG00000106003, ENSG00000167286, ENSG00000124406, ENSG00000117226	310	4321	10695	1.245545012728535	0.08726554538225084	0.04462862999891548	0.36688538336679954
UP_SEQ_FEATURE	sequence variant	331	70.72649572649573	6.809785346790257E-4	ENSG00000197323, ENSG00000138381, ENSG00000107736, ENSG00000171124, ENSG00000197147, ENSG00000100077, ENSG00000107731, ENSG00000174562, ENSG00000060982, ENSG00000002726, ENSG00000204264, ENSG00000160588, ENSG00000108395, ENSG00000100336, ENSG00000121310, ENSG00000057252, ENSG00000213088, ENSG00000128973, ENSG00000137225, ENSG00000088833, ENSG00000213085, ENSG00000133574, ENSG00000174226, ENSG00000110455, ENSG00000204161, ENSG00000168411, ENSG00000167994, ENSG00000136098, ENSG00000140650, ENSG00000164342, ENSG00000198515, ENSG00000136982, ENSG00000120156, ENSG00000166839, ENSG00000197479, ENSG00000002933, ENSG00000123268, ENSG00000181090, ENSG00000116299, ENSG00000133063, ENSG00000179750, ENSG00000187741, ENSG00000215853, ENSG00000166454, ENSG00000213995, ENSG00000153898, ENSG00000140067, ENSG00000010030, ENSG00000149485, ENSG00000165730, ENSG00000170265, ENSG00000138801, ENSG00000174348, ENSG00000156042, ENSG00000151552, ENSG00000136371, ENSG00000180113, ENSG00000089177, ENSG00000124920, ENSG00000079739, ENSG00000137106, ENSG00000101307, ENSG00000160991, ENSG00000089818, ENSG00000111906, ENSG00000162302, ENSG00000120322, ENSG00000054282, ENSG00000170448, ENSG00000108384, ENSG00000176393, ENSG00000144668, ENSG00000168267, ENSG00000100060, ENSG00000106565, ENSG00000107249, ENSG00000137819, ENSG00000136381, ENSG00000121716, ENSG00000168765, ENSG00000174469, ENSG00000166928, ENSG00000168454, ENSG00000169174, ENSG00000135069, ENSG00000189127, ENSG00000169432, ENSG00000157741, ENSG00000187624, ENSG00000204020, ENSG00000074803, ENSG00000131849, ENSG00000171903, ENSG00000047188, ENSG00000166004, ENSG00000145384, ENSG00000171360, ENSG00000171777, ENSG00000006071, ENSG00000188467, ENSG00000130348, ENSG00000145390, ENSG00000128536, ENSG00000178460, ENSG00000026297, ENSG00000064687, ENSG00000197054, ENSG00000184674, ENSG00000130489, ENSG00000211456, ENSG00000141698, ENSG00000196867, ENSG00000188056, ENSG00000105939, ENSG00000189306, ENSG00000134369, ENSG00000128944, ENSG00000196963, ENSG00000116704, ENSG00000100191, ENSG00000183665, ENSG00000013583, ENSG00000152380, ENSG00000117481, ENSG00000117480, ENSG00000160961, ENSG00000135318, ENSG00000164597, ENSG00000144283, ENSG00000069482, ENSG00000128951, ENSG00000100297, ENSG00000118473, ENSG00000100197, ENSG00000021852, ENSG00000169554, ENSG00000072694, ENSG00000013573, ENSG00000007350, ENSG00000148396, ENSG00000122696, ENSG00000152219, ENSG00000136449, ENSG00000135205, ENSG00000178852, ENSG00000100321, ENSG00000135862, ENSG00000112763, ENSG00000198848, ENSG00000167286, ENSG00000106003, ENSG00000124406, ENSG00000146707, ENSG00000135953, ENSG00000179144, ENSG00000133687, ENSG00000073605, ENSG00000196620, ENSG00000144741, ENSG00000156113, ENSG00000154099, ENSG00000173801, ENSG00000124780, ENSG00000139055, ENSG00000145725, ENSG00000125945, ENSG00000182866, ENSG00000196526, ENSG00000178952, ENSG00000167670, ENSG00000108592, ENSG00000152254, ENSG00000117868, ENSG00000117595, ENSG00000181284, ENSG00000112062, ENSG00000115970, ENSG00000125845, ENSG00000213949, ENSG00000166147, ENSG00000215788, ENSG00000112655, ENSG00000169758, ENSG00000142347, ENSG00000145244, ENSG00000112651, ENSG00000163293, ENSG00000180376, ENSG00000173226, ENSG00000013364, ENSG00000100804, ENSG00000104177, ENSG00000124490, ENSG00000186204, ENSG00000119139, ENSG00000185760, ENSG00000196411, ENSG00000145730, ENSG00000113504, ENSG00000069248, ENSG00000112053, ENSG00000127399, ENSG00000099984, ENSG00000128891, ENSG00000145882, ENSG00000196743, ENSG00000101282, ENSG00000185361, ENSG00000134184, ENSG00000188372, ENSG00000167914, ENSG00000140955, ENSG00000128274, ENSG00000142856, ENSG00000133103, ENSG00000184898, ENSG00000125637, ENSG00000153113, ENSG00000135778, ENSG00000184292, ENSG00000175455, ENSG00000119411, ENSG00000198033, ENSG00000135968, ENSG00000152760, ENSG00000148459, ENSG00000186807, ENSG00000133116, ENSG00000032742, ENSG00000112139, ENSG00000006282, ENSG00000162383, ENSG00000140105, ENSG00000198467, ENSG00000162769, ENSG00000163040, ENSG00000100106, ENSG00000177414, ENSG00000162598, ENSG00000100109, ENSG00000135913, ENSG00000158525, ENSG00000188958, ENSG00000075151, ENSG00000133433, ENSG00000164048, ENSG00000122375, ENSG00000101017, ENSG00000174652, ENSG00000142089, ENSG00000124882, ENSG00000172270, ENSG00000153291, ENSG00000128805, ENSG00000140876, ENSG00000185736, ENSG00000123610, ENSG00000076944, ENSG00000141232, ENSG00000138617, ENSG00000198756, ENSG00000100376, ENSG00000146833, ENSG00000213366, ENSG00000116688, ENSG00000172006, ENSG00000163050, ENSG00000167528, ENSG00000187134, ENSG00000126353, ENSG00000063015, ENSG00000186300, ENSG00000105499, ENSG00000122386, ENSG00000112299, ENSG00000189060, ENSG00000065457, ENSG00000091651, ENSG00000104883, ENSG00000078114, ENSG00000184985, ENSG00000132972, ENSG00000180953, ENSG00000100644, ENSG00000073111, ENSG00000197506, ENSG00000167207, ENSG00000172538, ENSG00000149548, ENSG00000100092, ENSG00000085514, ENSG00000196782, ENSG00000117601, ENSG00000160746, ENSG00000149089, ENSG00000183049, ENSG00000159625, ENSG00000129295, ENSG00000183473, ENSG00000080573, ENSG00000109819, ENSG00000136144, ENSG00000166685, ENSG00000197375, ENSG00000172543, ENSG00000150995, ENSG00000141252, ENSG00000154529, ENSG00000183726, ENSG00000196352, ENSG00000114650, ENSG00000177335, ENSG00000163485, ENSG00000117000, ENSG00000005059, ENSG00000189269, ENSG00000100116, ENSG00000108244, ENSG00000197766, ENSG00000117614, ENSG00000105983, ENSG00000130921, ENSG00000167740, ENSG00000164530, ENSG00000100526, ENSG00000172922, ENSG00000147852, ENSG00000105609, ENSG00000178209, ENSG00000162877, ENSG00000086619, ENSG00000117226	461	10275	15880	1.1096748315045575	0.6136338817617071	0.6136338817617071	1.1157461836443283
GOTERM_BP_FAT	GO:0006954~inflammatory response	20	4.273504273504273	6.936310822923595E-4	ENSG00000163485, ENSG00000164342, ENSG00000197766, ENSG00000126353, ENSG00000105499, ENSG00000163823, ENSG00000133116, ENSG00000101017, ENSG00000112299, ENSG00000169432, ENSG00000069482, ENSG00000070614, ENSG00000176046, ENSG00000213088, ENSG00000021852, ENSG00000171903, ENSG00000196352, ENSG00000123610, ENSG00000100644, ENSG00000125845	336	283	11403	2.3984098939929326	0.7560132306650996	0.7560132306650996	1.1881528663212348
SP_PIR_KEYWORDS	transmembrane	143	30.555555555555557	0.0011157759383264903	ENSG00000107736, ENSG00000171124, ENSG00000197147, ENSG00000135953, ENSG00000107731, ENSG00000133687, ENSG00000196620, ENSG00000156113, ENSG00000144741, ENSG00000124780, ENSG00000161381, ENSG00000134824, ENSG00000170615, ENSG00000160588, ENSG00000168135, ENSG00000152254, ENSG00000057252, ENSG00000213088, ENSG00000128973, ENSG00000117868, ENSG00000181284, ENSG00000204161, ENSG00000213949, ENSG00000148339, ENSG00000168890, ENSG00000215788, ENSG00000164342, ENSG00000112655, ENSG00000169758, ENSG00000198515, ENSG00000164484, ENSG00000120156, ENSG00000197479, ENSG00000145244, ENSG00000171130, ENSG00000002933, ENSG00000163293, ENSG00000116299, ENSG00000186204, ENSG00000185760, ENSG00000196411, ENSG00000113504, ENSG00000145730, ENSG00000112053, ENSG00000153898, ENSG00000149485, ENSG00000163823, ENSG00000188372, ENSG00000124920, ENSG00000128274, ENSG00000101307, ENSG00000116857, ENSG00000135778, ENSG00000184292, ENSG00000160991, ENSG00000101290, ENSG00000120322, ENSG00000213625, ENSG00000159199, ENSG00000164465, ENSG00000170448, ENSG00000133116, ENSG00000144668, ENSG00000132196, ENSG00000162383, ENSG00000100060, ENSG00000106565, ENSG00000196329, ENSG00000137819, ENSG00000162769, ENSG00000121716, ENSG00000145817, ENSG00000174469, ENSG00000166928, ENSG00000122375, ENSG00000125510, ENSG00000101017, ENSG00000169432, ENSG00000118432, ENSG00000124882, ENSG00000142089, ENSG00000070614, ENSG00000153291, ENSG00000172270, ENSG00000074803, ENSG00000171903, ENSG00000176681, ENSG00000112167, ENSG00000138617, ENSG00000100376, ENSG00000116685, ENSG00000142188, ENSG00000116688, ENSG00000006071, ENSG00000188467, ENSG00000178878, ENSG00000143252, ENSG00000128536, ENSG00000122873, ENSG00000064687, ENSG00000126353, ENSG00000063015, ENSG00000211456, ENSG00000128039, ENSG00000095739, ENSG00000106330, ENSG00000181458, ENSG00000196963, ENSG00000104883, ENSG00000116704, ENSG00000184985, ENSG00000197506, ENSG00000100191, ENSG00000130300, ENSG00000117480, ENSG00000085514, ENSG00000130202, ENSG00000160746, ENSG00000183473, ENSG00000197375, ENSG00000150995, ENSG00000154529, ENSG00000183726, ENSG00000114650, ENSG00000104361, ENSG00000072694, ENSG00000156869, ENSG00000163485, ENSG00000144320, ENSG00000005059, ENSG00000122696, ENSG00000105983, ENSG00000100321, ENSG00000167740, ENSG00000164530, ENSG00000147852, ENSG00000112763, ENSG00000105609, ENSG00000170293, ENSG00000106003, ENSG00000167286, ENSG00000124406, ENSG00000117226	462	3897	15891	1.2621613695516698	0.3736031296719692	0.20854761967125857	1.5554487508702142
UP_SEQ_FEATURE	transmembrane region	142	30.34188034188034	0.0011646511870630155	ENSG00000107736, ENSG00000171124, ENSG00000197147, ENSG00000135953, ENSG00000107731, ENSG00000133687, ENSG00000196620, ENSG00000156113, ENSG00000144741, ENSG00000124780, ENSG00000161381, ENSG00000134824, ENSG00000170615, ENSG00000160588, ENSG00000168135, ENSG00000152254, ENSG00000057252, ENSG00000213088, ENSG00000128973, ENSG00000117868, ENSG00000181284, ENSG00000204161, ENSG00000213949, ENSG00000148339, ENSG00000168890, ENSG00000215788, ENSG00000164342, ENSG00000112655, ENSG00000169758, ENSG00000198515, ENSG00000164484, ENSG00000120156, ENSG00000197479, ENSG00000145244, ENSG00000171130, ENSG00000002933, ENSG00000163293, ENSG00000116299, ENSG00000186204, ENSG00000185760, ENSG00000196411, ENSG00000113504, ENSG00000145730, ENSG00000112053, ENSG00000153898, ENSG00000149485, ENSG00000163823, ENSG00000188372, ENSG00000124920, ENSG00000128274, ENSG00000101307, ENSG00000116857, ENSG00000184292, ENSG00000160991, ENSG00000101290, ENSG00000120322, ENSG00000213625, ENSG00000159199, ENSG00000164465, ENSG00000170448, ENSG00000133116, ENSG00000144668, ENSG00000132196, ENSG00000162383, ENSG00000100060, ENSG00000106565, ENSG00000196329, ENSG00000137819, ENSG00000162769, ENSG00000121716, ENSG00000145817, ENSG00000174469, ENSG00000166928, ENSG00000122375, ENSG00000125510, ENSG00000101017, ENSG00000169432, ENSG00000118432, ENSG00000124882, ENSG00000142089, ENSG00000070614, ENSG00000153291, ENSG00000172270, ENSG00000074803, ENSG00000171903, ENSG00000176681, ENSG00000112167, ENSG00000138617, ENSG00000100376, ENSG00000116685, ENSG00000142188, ENSG00000116688, ENSG00000006071, ENSG00000188467, ENSG00000178878, ENSG00000143252, ENSG00000128536, ENSG00000122873, ENSG00000064687, ENSG00000126353, ENSG00000063015, ENSG00000211456, ENSG00000128039, ENSG00000095739, ENSG00000106330, ENSG00000181458, ENSG00000196963, ENSG00000104883, ENSG00000116704, ENSG00000184985, ENSG00000197506, ENSG00000100191, ENSG00000130300, ENSG00000117480, ENSG00000085514, ENSG00000130202, ENSG00000160746, ENSG00000183473, ENSG00000197375, ENSG00000150995, ENSG00000154529, ENSG00000183726, ENSG00000114650, ENSG00000104361, ENSG00000072694, ENSG00000156869, ENSG00000163485, ENSG00000144320, ENSG00000005059, ENSG00000122696, ENSG00000105983, ENSG00000100321, ENSG00000167740, ENSG00000164530, ENSG00000147852, ENSG00000112763, ENSG00000105609, ENSG00000170293, ENSG00000106003, ENSG00000167286, ENSG00000124406, ENSG00000117226	461	3875	15880	1.2623105450983136	0.8034425587953319	0.5566520089087263	1.901103881316868
GOTERM_MF_FAT	GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups	7	1.4957264957264957	0.001169052838490457	ENSG00000213366, ENSG00000203668, ENSG00000099984, ENSG00000168765, ENSG00000148459, ENSG00000134184, ENSG00000133433, ENSG00000184674	315	42	10941	5.78888888888889	0.5118090240680035	0.5118090240680035	1.717755625395334
GOTERM_MF_FAT	GO:0004364~glutathione transferase activity	5	1.0683760683760684	0.0011781386355984187	ENSG00000213366, ENSG00000099984, ENSG00000168765, ENSG00000134184, ENSG00000133433, ENSG00000184674	315	17	10941	10.215686274509803	0.5145236685526365	0.30323868401915177	1.73099748929757
