type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Specific CAD HeartLeftVentricle 4 1.3 0 3 0
Tissue-Specific CAD MuscleSkeletal 5 1.83 0 5 0
Tissue-Specific HT Lung 2 0.26 0 2 0
Tissue-Specific T2D Lung 5 1.29 0 3 0
Tissue-Specific CD MuscleSkeletal 17 8.31 3 14 0
Tissue-Specific ALL Lung 82 54.88 40.95 68 0
Tissue-Wide ALL WholeBlood 290 237.42 214.9 260.1 0
Tissue-Specific T1D WholeBlood 6 2.01 0 5 0.01
Tissue-Specific ALL MuscleSkeletal 128 109.08 90.475 125.525 0.01
Tissue-Specific ALL Thyroid 140 110.19 97.475 129 0.01
Tissue-Wide ALL Lung 260 235.49 210.9 255.05 0.01
Tissue-Specific RA HeartLeftVentricle 5 2.52 0 5 0.02
Tissue-Specific T2D SkinSunExposed(Lowerleg) 5 2.25 0 5.52499999999999 0.03
Tissue-Specific T2D WholeBlood 5 2.59 0 5.52499999999999 0.03
Tissue-Specific ALL ArteryTibial 88 75.95 64.95 88.525 0.03
Tissue-Specific ALL HeartLeftVentricle 90 75.78 60.85 90.575 0.03
Tissue-Specific ALL WholeBlood 139 122.91 106 140.525 0.04
Tissue-Specific T1D HeartLeftVentricle 3 1.3 0 4 0.06
Tissue-Specific T2D MuscleSkeletal 4 2.41 0 5 0.06
Tissue-Specific RA WholeBlood 7 4.01 0 8.52499999999999 0.06
Tissue-Wide ALL ArteryTibial 316 294.49 268 321.05 0.06
Tissue-Wide ALL HeartLeftVentricle 206 188.57 164.95 213.25 0.06
Tissue-Specific BD Thyroid 1 0.47 0 2 0.07
Tissue-Specific RA SkinSunExposed(Lowerleg) 6 3.44 1 7 0.07
Tissue-Wide HT NerveTibial 3 1.75 0 4 0.07
Tissue-Wide CD WholeBlood 23 17.68 11 26.05 0.08
Tissue-Specific HT HeartLeftVentricle 1 0.45 0 2 0.09
Tissue-Wide BD Lung 2 0.98 0 3 0.09
Tissue-Specific HT Thyroid 1 0.51 0 2 0.1
Tissue-Specific T2D AdiposeSubcutaneous 2 1.06 0 4 0.1
Tissue-Specific CD ArteryTibial 8 6.05 2 11 0.11
Tissue-Wide ALL MuscleSkeletal 284 267.51 243 295.725 0.11
Tissue-Specific RA NerveTibial 5 3.47 1 8.57499999999997 0.12
Tissue-Wide CAD MuscleSkeletal 7 4.8 1 10 0.12
