type dis tis obsOverlap meanOverlap lCI uCI empPval
Tissue-Wide ALL WholeBlood 1443 1368.133 1312 1418 0.001
Tissue-Wide BD NerveTibial 12 6.949 3 11 0.005
Tissue-Wide ALL ArteryTibial 1658 1593.636 1539 1643 0.009
Tissue-Specific T2D Lung 48 38.516 29.975 48 0.012
Tissue-Specific BD SkinSunExposed(Lowerleg) 13 9.054 5 13 0.015
Tissue-Specific BD ArteryTibial 12 8.234 4 12 0.019
Tissue-Wide BD Thyroid 11 7.04 3 11 0.019
Tissue-Specific ALL NerveTibial 2028 1965.664 1911 2025.05 0.02
Tissue-Wide ALL MuscleSkeletal 1582 1525.654 1472 1579.025 0.021
Tissue-Wide ALL NerveTibial 1715 1662.374 1611 1716 0.026
Tissue-Wide BD AdiposeSubcutaneous 10 6.618 3 11 0.027
Tissue-Wide BD WholeBlood 9 5.762 2 10 0.029
Tissue-Wide ALL Thyroid 1715 1663.823 1611.975 1718 0.03
Tissue-Wide CAD MuscleSkeletal 34 26.507 19 35 0.033
Tissue-Specific HT NerveTibial 13 9.177 5 14 0.034
Tissue-Specific CD AdiposeSubcutaneous 145 131.087 113.975 147 0.037
Tissue-Specific ALL Thyroid 2000 1956.437 1902 2014.025 0.062
Tissue-Wide T2D AdiposeSubcutaneous 40 33.863 25 43 0.066
Tissue-Wide BD ArteryTibial 9 6.679 3 11 0.087
Tissue-Specific ALL AdiposeSubcutaneous 1780 1742.937 1687.975 1793.025 0.091
Tissue-Specific ALL MuscleSkeletal 1897 1860.516 1803 1913 0.092
Tissue-Wide ALL AdiposeSubcutaneous 1603 1571.57 1519 1622.025 0.099
Tissue-Specific ALL ArteryTibial 1998 1963.278 1908.975 2019 0.112
Tissue-Wide CD WholeBlood 113 103.279 87 120 0.124
Tissue-Specific RA AdiposeSubcutaneous 63 57.123 46 69 0.134
Tissue-Specific HT Thyroid 11 9.13 5 13 0.136
Tissue-Wide T2D MuscleSkeletal 37 32.659 24 41.025 0.139
Tissue-Specific ALL Lung 1832 1802.004 1748.975 1855.025 0.142
Tissue-Specific HT AdiposeSubcutaneous 10 8.139 4 13 0.152
Tissue-Wide CAD NerveTibial 33 29.219 21 37 0.153
Tissue-Specific CD NerveTibial 156 148.207 131 166.025 0.174
Tissue-Specific CAD NerveTibial 38 34.426 26 42.025 0.175
Tissue-Wide T2D Thyroid 39 35.542 26.975 44.025 0.195
Tissue-Specific CD WholeBlood 168 161.23 144 179 0.204
Tissue-Wide HT Thyroid 9 7.721 4 12 0.21
Tissue-Wide HT NerveTibial 9 7.764 4 12 0.216
Tissue-Specific ALL WholeBlood 2167 2145.65 2091 2203 0.221
Tissue-Wide BD SkinSunExposed(Lowerleg) 8 6.921 3 11 0.221
Tissue-Specific CAD AdiposeSubcutaneous 33 30.359 22 39 0.222
Tissue-Wide CD Thyroid 131 125.082 108 143 0.222
Tissue-Specific ALL HeartLeftVentricle 1989 1967.101 1912.975 2026.025 0.224
Tissue-Specific ALL SkinSunExposed(Lowerleg) 2193 2171.428 2117.975 2229.025 0.231
Tissue-Specific CD SkinSunExposed(Lowerleg) 169 163.134 145 180.025 0.236
Tissue-Wide T2D SkinSunExposed(Lowerleg) 38 35.066 26 44 0.245
Tissue-Wide RA MuscleSkeletal 53 49.706 39 61 0.246
Tissue-Specific BD NerveTibial 9 8.199 4 12 0.247
Tissue-Wide RA HeartLeftVentricle 56 52.801 42 64 0.25
Tissue-Specific T2D NerveTibial 45 42.224 33 52 0.254
Tissue-Specific RA NerveTibial 68 64.459 53 76 0.256
Tissue-Specific T1D HeartLeftVentricle 36 33.864 25 42 0.27
Tissue-Wide ALL Lung 1612 1595.877 1540.975 1649 0.27
Tissue-Specific T2D MuscleSkeletal 42 39.809 31 49 0.272
Tissue-Specific HT WholeBlood 11 10.158 6 14 0.279
Tissue-Specific HT Lung 9 8.204 4 12.025 0.281
Tissue-Wide HT AdiposeSubcutaneous 8 7.29 4 11 0.281
Tissue-Wide CD MuscleSkeletal 119 114.54 98 130 0.283
Tissue-Wide HT ArteryTibial 8 7.393 4 12 0.292
Tissue-Specific CAD WholeBlood 39 37.302 29 45 0.295
Tissue-Specific CD Thyroid 152 147.7 130 164.025 0.297
Tissue-Specific T1D AdiposeSubcutaneous 32 30.274 22 39 0.298
Tissue-Wide T2D ArteryTibial 36 34.065 25 43 0.304
Tissue-Wide T1D ArteryTibial 29 27.398 19 36 0.306
Tissue-Wide ALL SkinSunExposed(Lowerleg) 1654 1641.747 1590 1699 0.311
Tissue-Specific CAD HeartLeftVentricle 36 34.439 26.975 43 0.312
Tissue-Wide CAD SkinSunExposed(Lowerleg) 30 28.736 20 37 0.334
Tissue-Wide BD Lung 7 6.709 3 11 0.355
Tissue-Specific HT MuscleSkeletal 9 8.629 4 13 0.362
Tissue-Wide CAD CrossTissue 46 45.194 37 54 0.376
Tissue-Specific BD CrossTissue 11 10.898 7 15 0.382
Tissue-Wide BD CrossTissue 11 10.838 7 15 0.382
Tissue-Specific T2D AdiposeSubcutaneous 38 37.176 28 46 0.387
Tissue-Specific BD WholeBlood 9 9.01 5 13 0.39
Tissue-Specific CAD CrossTissue 46 45.469 37 54 0.391
