AssociatedGeneName EnsemblGeneID h2.Lung se.Lung ensid
PVRL2 ENSG00000130202.5 0.090501 0.075118 ENSG00000130202
MDGA1 ENSG00000112139.9 0.223501 0.09567 ENSG00000112139
GSTT1 ENSG00000184674.8 0.593708 0.068634 ENSG00000184674
ADARB2 ENSG00000185736.11 0.233486 0.087842 ENSG00000185736
TMEM176B ENSG00000106565.13 0.134924 0.087785 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.367658 0.079404 ENSG00000074803
MFSD9 ENSG00000135953.6 0.073806 0.058385 ENSG00000135953
CNR1 ENSG00000118432.11 0.091462 0.060598 ENSG00000118432
PEX11G ENSG00000104883.3 0.180922 0.087982 ENSG00000104883
FAM118A ENSG00000100376.7 0.861317 0.039525 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.108552 0.076631 ENSG00000106772
PILRA ENSG00000085514.10 0.069512 0.048767 ENSG00000085514
RPS28 ENSG00000233927.4 0.866012 0.034681 ENSG00000233927
TREML4 ENSG00000188056.7 0.267057 0.081366 ENSG00000188056
RNPEP ENSG00000176393.6 0.331461 0.097331 ENSG00000176393
SORCS2 ENSG00000184985.12 0.182254 0.102473 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.372414 0.086055 ENSG00000138801
VPS53 ENSG00000141252.15 0.309546 0.074532 ENSG00000141252
ZP3 ENSG00000188372.10 0.782631 0.044711 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.249459 0.087822 ENSG00000168255
NFXL1 ENSG00000170448.7 0.173022 0.072414 ENSG00000170448
RPL9 ENSG00000163682.11 0.832595 0.035441 ENSG00000163682
TRMT12 ENSG00000183665.4 0.111703 0.072523 ENSG00000183665
ST20 ENSG00000180953.7 0.499722 0.080456 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.653237 0.060214 ENSG00000142856
CPA5 ENSG00000158525.11 0.241444 0.077063 ENSG00000158525
ADK ENSG00000156110.9 0.207507 0.073246 ENSG00000156110
FABP2 ENSG00000145384.3 0.131406 0.060393 ENSG00000145384
ABCA7 ENSG00000064687.8 0.283294 0.084861 ENSG00000064687
ACCS ENSG00000110455.9 0.691433 0.063862 ENSG00000110455
GSTT2 ENSG00000099984.6 0.62132 0.065574 ENSG00000099984
UBE2U ENSG00000177414.8 0.102844 0.06564 ENSG00000177414
GSTT2B ENSG00000133433.6 0.566995 0.070889 ENSG00000133433
A4GALT ENSG00000128274.11 0.270103 0.091222 ENSG00000128274
MFN2 ENSG00000116688.12 0.304352 0.086057 ENSG00000116688
MCOLN2 ENSG00000153898.8 0.205325 0.07289 ENSG00000153898
SPATA20 ENSG00000006282.15 0.712032 0.056621 ENSG00000006282
SLC28A3 ENSG00000197506.6 0.088795 0.0664 ENSG00000197506
PTF1A ENSG00000168267.5 0.074113 0.070619 ENSG00000168267
PSD4 ENSG00000125637.10 0.549681 0.080312 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.143479 0.063968 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.543157 0.138363 ENSG00000154529
RNASET2 ENSG00000026297.11 0.21498 0.078791 ENSG00000026297
CARKD ENSG00000213995.7 0.31074 0.094078 ENSG00000213995
RDH13 ENSG00000160439.10 0.150591 0.091314 ENSG00000160439
AGAP7 ENSG00000204169.6 0.730941 0.057652 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.152095 0.071302 ENSG00000239713
GSTM4 ENSG00000168765.11 0.379031 0.089095 ENSG00000168765
HOXB2 ENSG00000173917.9 0.178853 0.069898 ENSG00000173917
KRT23 ENSG00000108244.12 0.280675 0.084156 ENSG00000108244
LRRC61 ENSG00000127399.10 0.321896 0.078336 ENSG00000127399
FADS2 ENSG00000134824.9 0.150592 0.072464 ENSG00000134824
TKTL1 ENSG00000007350.12 0.084465 0.074261 ENSG00000007350
LRRC37A ENSG00000176681.10 0.480531 0.087136 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.506349 0.076882 ENSG00000214872
RFWD3 ENSG00000168411.9 0.115983 0.069776 ENSG00000168411
TMEM9 ENSG00000116857.11 0.272577 0.090065 ENSG00000116857
CCDC15 ENSG00000149548.10 0.199452 0.091983 ENSG00000149548
NT5C3B ENSG00000141698.12 0.610968 0.065541 ENSG00000141698
ADCK3 ENSG00000163050.11 0.105554 0.073346 ENSG00000163050
KNSTRN ENSG00000128944.8 0.325229 0.080687 ENSG00000128944
MYCBPAP ENSG00000136449.9 0.227471 0.095713 ENSG00000136449
CTSW ENSG00000172543.3 0.445505 0.079171 ENSG00000172543
GCAT ENSG00000100116.12 0.180976 0.073809 ENSG00000100116
CES1 ENSG00000198848.8 0.14805 0.073291 ENSG00000198848
ZNF436 ENSG00000125945.9 0.112545 0.075556 ENSG00000125945
HPR ENSG00000261701.2 0.20337 0.082213 ENSG00000261701
HAUS4 ENSG00000092036.12 0.411932 0.087795 ENSG00000092036
GRHPR ENSG00000137106.13 0.644739 0.072476 ENSG00000137106
KIF16B ENSG00000089177.13 0.178641 0.080828 ENSG00000089177
LILRA4 ENSG00000239961.2 0.31857 0.091209 ENSG00000239961
H3F3A ENSG00000163041.5 0.379945 0.086123 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.147532 0.07373 ENSG00000144320
QRSL1 ENSG00000130348.7 0.444539 0.081143 ENSG00000130348
STOX1 ENSG00000165730.10 0.234453 0.073746 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.308149 0.087823 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.452239 0.082071 ENSG00000100197
DHFR ENSG00000228716.2 0.208739 0.071762 ENSG00000228716
CNGA1 ENSG00000198515.9 0.232559 0.06969 ENSG00000198515
NUP133 ENSG00000069248.8 0.12425 0.070912 ENSG00000069248
G6PC2 ENSG00000152254.6 0.597556 0.072692 ENSG00000152254
APIP ENSG00000149089.8 0.530079 0.069155 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.41729 0.082617 ENSG00000238083
ZNF641 ENSG00000167528.8 0.086468 0.053687 ENSG00000167528
TUFM ENSG00000178952.4 0.192299 0.075251 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.281892 0.087532 ENSG00000156113
RRP7A ENSG00000189306.6 0.523952 0.086821 ENSG00000189306
LIMS2 ENSG00000072163.14 0.110275 0.070062 ENSG00000072163
SLC24A5 ENSG00000188467.6 0.073294 0.056857 ENSG00000188467
ANKRD34B ENSG00000189127.3 0.107069 0.059482 ENSG00000189127
PCYOX1L ENSG00000145882.6 0.180901 0.087398 ENSG00000145882
SMIM20 ENSG00000250317.4 0.133322 0.07894 ENSG00000250317
