AssociatedGeneName EnsemblGeneID h2.MuscleSkeletal se.MuscleSkeletal ensid
FAM118A ENSG00000100376.7 0.528515 0.063155 ENSG00000100376
PILRA ENSG00000085514.10 0.116578 0.056272 ENSG00000085514
RPS28 ENSG00000233927.4 0.505132 0.068431 ENSG00000233927
RNPEP ENSG00000176393.6 0.259638 0.084868 ENSG00000176393
VPS53 ENSG00000141252.15 0.286047 0.066479 ENSG00000141252
ZP3 ENSG00000188372.10 0.459744 0.069688 ENSG00000188372
RPL9 ENSG00000163682.11 0.3252 0.070848 ENSG00000163682
ACCS ENSG00000110455.9 0.391955 0.076126 ENSG00000110455
GSTT2 ENSG00000099984.6 0.385414 0.072312 ENSG00000099984
A4GALT ENSG00000128274.11 0.139268 0.068089 ENSG00000128274
NSUN4 ENSG00000117481.5 0.094888 0.046777 ENSG00000117481
GSTM4 ENSG00000168765.11 0.166032 0.071656 ENSG00000168765
KRT23 ENSG00000108244.12 0.147513 0.061259 ENSG00000108244
LRRC61 ENSG00000127399.10 0.179248 0.062894 ENSG00000127399
LRRC37A ENSG00000176681.10 0.205423 0.076775 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.453591 0.074371 ENSG00000214872
ADAD2 ENSG00000140955.6 0.248636 0.086301 ENSG00000140955
CES1 ENSG00000198848.8 0.156614 0.068674 ENSG00000198848
HAUS4 ENSG00000092036.12 0.175904 0.065392 ENSG00000092036
LILRA4 ENSG00000239961.2 0.264848 0.077897 ENSG00000239961
PLA2G4C ENSG00000105499.9 0.164499 0.067409 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.098826 0.04911 ENSG00000100197
DHFR ENSG00000228716.2 0.288569 0.064376 ENSG00000228716
CNGA1 ENSG00000198515.9 0.256611 0.070538 ENSG00000198515
APIP ENSG00000149089.8 0.359577 0.068074 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.182901 0.072505 ENSG00000238083
ZNF641 ENSG00000167528.8 0.197413 0.061691 ENSG00000167528
AL359195.1 ENSG00000204038.3 0.222703 0.067129 ENSG00000204038
ZNF266 ENSG00000174652.13 0.299576 0.062658 ENSG00000174652
ATMIN ENSG00000166454.5 0.266119 0.072228 ENSG00000166454
GBP3 ENSG00000117226.7 0.304198 0.070837 ENSG00000117226
ZNF205 ENSG00000122386.6 0.167423 0.066739 ENSG00000122386
TMEM50B ENSG00000142188.12 0.18274 0.065449 ENSG00000142188
TJP2 ENSG00000119139.12 0.198284 0.069174 ENSG00000119139
NME4 ENSG00000103202.8 0.144628 0.063154 ENSG00000103202
OPN4 ENSG00000122375.7 0.133771 0.056916 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.176632 0.067375 ENSG00000171903
TDGF1 ENSG00000241186.3 0.421677 0.083051 ENSG00000241186
FANCA ENSG00000187741.10 0.286764 0.076009 ENSG00000187741
GSTM1 ENSG00000134184.8 0.157625 0.069042 ENSG00000134184
SLC5A4 ENSG00000100191.4 0.211176 0.066049 ENSG00000100191
MTHFS ENSG00000136371.5 0.16556 0.068067 ENSG00000136371
C15orf38 ENSG00000242498.3 0.146593 0.063875 ENSG00000242498
ASNSD1 ENSG00000138381.5 0.22331 0.067748 ENSG00000138381
ZFP90 ENSG00000184939.10 0.12983 0.053084 ENSG00000184939
ZNF586 ENSG00000083828.11 0.139276 0.056185 ENSG00000083828
COG6 ENSG00000133103.12 0.380989 0.067252 ENSG00000133103
ADRBK2 ENSG00000100077.9 0.162567 0.061124 ENSG00000100077
RCBTB1 ENSG00000136144.7 0.247676 0.069933 ENSG00000136144
ZNF589 ENSG00000164048.9 0.108601 0.05354 ENSG00000164048
ZNF605 ENSG00000196458.6 0.130899 0.052968 ENSG00000196458
LMBR1 ENSG00000105983.14 0.148675 0.066678 ENSG00000105983
SLC25A26 ENSG00000144741.12 0.14915 0.06671 ENSG00000144741
BNC2 ENSG00000173068.13 0.146475 0.06335 ENSG00000173068
POMZP3 ENSG00000146707.10 0.513048 0.065166 ENSG00000146707
DDT ENSG00000099977.9 0.218611 0.063624 ENSG00000099977
RPH3AL ENSG00000181031.11 0.393383 0.077828 ENSG00000181031
KCNK17 ENSG00000124780.9 0.188579 0.068224 ENSG00000124780
HDDC2 ENSG00000111906.12 0.125331 0.062292 ENSG00000111906
NDFIP1 ENSG00000131507.9 0.209594 0.064459 ENSG00000131507
GLDC ENSG00000178445.8 0.218441 0.072799 ENSG00000178445
ECHDC2 ENSG00000121310.12 0.123169 0.057165 ENSG00000121310
FAS ENSG00000026103.15 0.161274 0.064014 ENSG00000026103
ARHGEF35 ENSG00000213214.3 0.110818 0.049769 ENSG00000213214
MYO16 ENSG00000041515.11 0.13166 0.064803 ENSG00000041515
TMOD3 ENSG00000138594.8 0.15206 0.062288 ENSG00000138594
TPM2 ENSG00000198467.9 0.131666 0.061446 ENSG00000198467
ZNF419 ENSG00000105136.15 0.24081 0.063754 ENSG00000105136
SPRY2 ENSG00000136158.6 0.110981 0.054149 ENSG00000136158
TTC28 ENSG00000100154.10 0.153762 0.070214 ENSG00000100154
LURAP1 ENSG00000171357.5 0.225706 0.077506 ENSG00000171357
TK2 ENSG00000166548.11 0.102674 0.050873 ENSG00000166548
HSD17B12 ENSG00000149084.7 0.24955 0.067944 ENSG00000149084
ANTXRL ENSG00000198250.8 0.249921 0.069851 ENSG00000198250
ZNF880 ENSG00000221923.4 0.247017 0.077952 ENSG00000221923
SDK2 ENSG00000069188.12 0.151918 0.062676 ENSG00000069188
DISC1 ENSG00000162946.16 0.196809 0.075577 ENSG00000162946
C2orf27A ENSG00000197927.8 0.190945 0.070025 ENSG00000197927
HSD3B7 ENSG00000099377.9 0.239872 0.070468 ENSG00000099377
KCNC4 ENSG00000116396.9 0.129108 0.055306 ENSG00000116396
NARFL ENSG00000103245.9 0.147174 0.066232 ENSG00000103245
AL161915.1 ENSG00000212670.1 0.158232 0.061801 ENSG00000212670
HPD ENSG00000158104.7 0.188914 0.061999 ENSG00000158104
RBMXL2 ENSG00000170748.5 0.180368 0.071044 ENSG00000170748
CREB3L2 ENSG00000182158.10 0.218489 0.07393 ENSG00000182158
CACNB2 ENSG00000165995.14 0.178979 0.065701 ENSG00000165995
CPSF1 ENSG00000071894.10 0.325872 0.076045 ENSG00000071894
TNNC2 ENSG00000101470.5 0.173506 0.076657 ENSG00000101470
UBXN6 ENSG00000167671.7 0.123882 0.061065 ENSG00000167671
TCP11L1 ENSG00000176148.11 0.143685 0.059138 ENSG00000176148
C21orf2 ENSG00000160226.11 0.165527 0.080104 ENSG00000160226
FKBP15 ENSG00000119321.4 0.169792 0.06424 ENSG00000119321
F5 ENSG00000198734.6 0.239814 0.075863 ENSG00000198734
RP3-402G11.5 ENSG00000073169.9 0.221262 0.069566 ENSG00000073169
HOXD13 ENSG00000128714.5 0.137564 0.061168 ENSG00000128714
COMMD10 ENSG00000145781.4 0.216024 0.06364 ENSG00000145781
SEC23B ENSG00000101310.10 0.147127 0.061995 ENSG00000101310
MSH3 ENSG00000113318.9 0.107678 0.053594 ENSG00000113318
GATM ENSG00000171766.11 0.123942 0.050014 ENSG00000171766
C5orf63 ENSG00000164241.9 0.1267 0.055643 ENSG00000164241
PEX6 ENSG00000124587.9 0.255319 0.067486 ENSG00000124587
CAPN12 ENSG00000182472.4 0.127395 0.062825 ENSG00000182472
GTF2A2 ENSG00000140307.6 0.203757 0.063137 ENSG00000140307
HOXB3 ENSG00000120093.7 0.125735 0.059091 ENSG00000120093
C16orf95 ENSG00000260456.2 0.344878 0.085535 ENSG00000260456
AASDH ENSG00000157426.9 0.129157 0.061214 ENSG00000157426
TMCO3 ENSG00000150403.13 0.293139 0.067984 ENSG00000150403
PDCD6IP ENSG00000170248.9 0.090699 0.044241 ENSG00000170248
ERAP2 ENSG00000164308.12 0.369814 0.071877 ENSG00000164308
UTP18 ENSG00000011260.9 0.220435 0.065275 ENSG00000011260
CYP51A1 ENSG00000001630.11 0.167224 0.058832 ENSG00000001630
ALG1L ENSG00000189366.5 0.223712 0.067831 ENSG00000189366
POLE ENSG00000177084.12 0.164799 0.061752 ENSG00000177084
RBL2 ENSG00000103479.10 0.152683 0.061176 ENSG00000103479
DDO ENSG00000203797.4 0.144304 0.069591 ENSG00000203797
AP4E1 ENSG00000081014.6 0.105106 0.052402 ENSG00000081014
NDUFAF1 ENSG00000137806.4 0.508981 0.064308 ENSG00000137806
RCN1 ENSG00000049449.4 0.181584 0.063945 ENSG00000049449
PFDN1 ENSG00000113068.5 0.236239 0.063574 ENSG00000113068
RMDN3 ENSG00000137824.11 0.097903 0.047197 ENSG00000137824
MAPK9 ENSG00000050748.12 0.145279 0.060228 ENSG00000050748
RRP12 ENSG00000052749.9 0.127356 0.057716 ENSG00000052749
TNNI2 ENSG00000130598.11 0.152405 0.065653 ENSG00000130598
CDC25A ENSG00000164045.7 0.134663 0.063965 ENSG00000164045
WBP1L ENSG00000166272.12 0.154275 0.061156 ENSG00000166272
SACS ENSG00000151835.9 0.146001 0.067996 ENSG00000151835
SLC5A9 ENSG00000117834.8 0.155807 0.063849 ENSG00000117834
C2CD2 ENSG00000157617.12 0.211782 0.078042 ENSG00000157617
FBN3 ENSG00000142449.8 0.179566 0.07027 ENSG00000142449
MAN2C1 ENSG00000140400.10 0.128292 0.052508 ENSG00000140400
NMRK1 ENSG00000106733.16 0.144869 0.059838 ENSG00000106733
OSCAR ENSG00000170909.9 0.160318 0.07939 ENSG00000170909
SFI1 ENSG00000198089.10 0.122873 0.052935 ENSG00000198089
PROSER2 ENSG00000148426.8 0.206641 0.073189 ENSG00000148426
TIPIN ENSG00000075131.5 0.143556 0.054715 ENSG00000075131
UMPS ENSG00000114491.9 0.112339 0.054967 ENSG00000114491
MEGF10 ENSG00000145794.12 0.133032 0.060871 ENSG00000145794
GPR111 ENSG00000164393.4 0.124884 0.051114 ENSG00000164393
CD80 ENSG00000121594.7 0.285691 0.077332 ENSG00000121594
RNASEH2B ENSG00000136104.13 0.277915 0.070803 ENSG00000136104
FAM60A ENSG00000139146.9 0.120288 0.059815 ENSG00000139146
ACTR3C ENSG00000106526.6 0.221497 0.064802 ENSG00000106526
SLC15A2 ENSG00000163406.6 0.149016 0.06242 ENSG00000163406
