AssociatedGeneName EnsemblGeneID h2.SkinSunExposedLowerleg se.SkinSunExposedLowerleg ensid
MDGA1 ENSG00000112139.9 0.665827 0.065314 ENSG00000112139
GSTT1 ENSG00000184674.8 0.166067 0.072491 ENSG00000184674
AFAP1 ENSG00000196526.6 0.451909 0.082249 ENSG00000196526
FAM118A ENSG00000100376.7 0.243778 0.08055 ENSG00000100376
PILRA ENSG00000085514.10 0.173933 0.072716 ENSG00000085514
RPS28 ENSG00000233927.4 0.450844 0.084776 ENSG00000233927
ZP3 ENSG00000188372.10 0.205129 0.075996 ENSG00000188372
RPL9 ENSG00000163682.11 0.446392 0.076077 ENSG00000163682
TRMT12 ENSG00000183665.4 0.276229 0.077998 ENSG00000183665
ADK ENSG00000156110.9 0.132934 0.061599 ENSG00000156110
UNC5B ENSG00000107731.8 0.190802 0.086135 ENSG00000107731
ABCA7 ENSG00000064687.8 0.192534 0.088468 ENSG00000064687
GSTT2 ENSG00000099984.6 0.492921 0.073053 ENSG00000099984
GSTT2B ENSG00000133433.6 0.41115 0.075786 ENSG00000133433
OPRL1 ENSG00000125510.11 0.158667 0.071553 ENSG00000125510
RNASET2 ENSG00000026297.11 0.184574 0.067064 ENSG00000026297
RDH13 ENSG00000160439.10 0.268878 0.090054 ENSG00000160439
GSTM4 ENSG00000168765.11 0.278297 0.085856 ENSG00000168765
LRRC37A ENSG00000176681.10 0.390067 0.087512 ENSG00000176681
RFWD3 ENSG00000168411.9 0.131376 0.060385 ENSG00000168411
HPR ENSG00000261701.2 0.14822 0.06866 ENSG00000261701
QRSL1 ENSG00000130348.7 0.14375 0.064533 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.156526 0.068737 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.22611 0.070734 ENSG00000100197
CNGA1 ENSG00000198515.9 0.195333 0.064748 ENSG00000198515
G6PC2 ENSG00000152254.6 0.227129 0.074129 ENSG00000152254
LRRC37A2 ENSG00000238083.3 0.284736 0.086627 ENSG00000238083
RRP7A ENSG00000189306.6 0.310499 0.085786 ENSG00000189306
CDS2 ENSG00000101290.9 0.192354 0.086327 ENSG00000101290
PCDHB8 ENSG00000120322.2 0.190175 0.079054 ENSG00000120322
APOL4 ENSG00000100336.13 0.265617 0.085054 ENSG00000100336
GBP3 ENSG00000117226.7 0.22558 0.072781 ENSG00000117226
IREB2 ENSG00000136381.8 0.117455 0.057401 ENSG00000136381
OPN4 ENSG00000122375.7 0.180232 0.070543 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.294526 0.073296 ENSG00000171903
KLK15 ENSG00000174562.9 0.204319 0.091022 ENSG00000174562
RSPO4 ENSG00000101282.4 0.187487 0.085962 ENSG00000101282
C15orf38 ENSG00000242498.3 0.178012 0.072452 ENSG00000242498
CDH23 ENSG00000107736.15 0.225634 0.088166 ENSG00000107736
COG6 ENSG00000133103.12 0.126715 0.057479 ENSG00000133103
ANXA8L1 ENSG00000150165.13 0.242399 0.076701 ENSG00000150165
DDX11 ENSG00000013573.12 0.136204 0.066433 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.134349 0.062165 ENSG00000136144
NR2F6 ENSG00000160113.5 0.160303 0.077884 ENSG00000160113
C1orf87 ENSG00000162598.9 0.149211 0.072464 ENSG00000162598
CYP4F12 ENSG00000186204.9 0.186382 0.066547 ENSG00000186204
GSDMA ENSG00000167914.6 0.189842 0.06966 ENSG00000167914
CBS ENSG00000160200.13 0.173456 0.075087 ENSG00000160200
ITIH2 ENSG00000151655.13 0.211608 0.077316 ENSG00000151655
FAM227A ENSG00000184949.10 0.316127 0.075407 ENSG00000184949
ATP8A1 ENSG00000124406.12 0.136515 0.064448 ENSG00000124406
PSAT1 ENSG00000135069.9 0.142741 0.070251 ENSG00000135069
RHPN1 ENSG00000158106.8 0.14041 0.068597 ENSG00000158106
ARPC1B ENSG00000130429.8 0.2195 0.082753 ENSG00000130429
ARHGEF35 ENSG00000213214.3 0.359982 0.074369 ENSG00000213214
MYO16 ENSG00000041515.11 0.264194 0.087892 ENSG00000041515
ERP27 ENSG00000139055.2 0.4249 0.076939 ENSG00000139055
ZNF419 ENSG00000105136.15 0.142189 0.061605 ENSG00000105136
REN ENSG00000143839.12 0.199505 0.079955 ENSG00000143839
TOP1MT ENSG00000184428.8 0.124734 0.058191 ENSG00000184428
ABHD3 ENSG00000158201.5 0.234805 0.092683 ENSG00000158201
KRT72 ENSG00000170486.6 0.254267 0.084235 ENSG00000170486
CTTNBP2 ENSG00000077063.6 0.130878 0.059615 ENSG00000077063
STX2 ENSG00000111450.9 0.165814 0.075083 ENSG00000111450
ZNF880 ENSG00000221923.4 0.373793 0.089222 ENSG00000221923
MAPK8IP1 ENSG00000121653.7 0.155994 0.074582 ENSG00000121653
THAP5 ENSG00000177683.9 0.16573 0.066888 ENSG00000177683
FAM174A ENSG00000174132.8 0.131442 0.062986 ENSG00000174132
IL32 ENSG00000008517.12 0.1586 0.074793 ENSG00000008517
ADAMTS14 ENSG00000138316.6 0.353607 0.082078 ENSG00000138316
ARHGAP30 ENSG00000186517.9 0.165211 0.0818 ENSG00000186517
CDC16 ENSG00000130177.10 0.236439 0.070926 ENSG00000130177
CPSF1 ENSG00000071894.10 0.197003 0.071022 ENSG00000071894
SLC44A3 ENSG00000143036.12 0.157391 0.073457 ENSG00000143036
FBXO17 ENSG00000269190.1 0.143012 0.0666 ENSG00000269190
OSGIN1 ENSG00000140961.8 0.385392 0.099267 ENSG00000140961
MSH3 ENSG00000113318.9 0.187432 0.079217 ENSG00000113318
GATM ENSG00000171766.11 0.134007 0.065906 ENSG00000171766
NPIPB6 ENSG00000198156.6 0.193494 0.068275 ENSG00000198156
LRMP ENSG00000118308.10 0.143117 0.066736 ENSG00000118308
UQCR10 ENSG00000184076.10 0.128775 0.060399 ENSG00000184076
RPS13 ENSG00000110700.2 0.125876 0.05931 ENSG00000110700
DNAH7 ENSG00000118997.9 0.139837 0.058642 ENSG00000118997
AP000350.4 ENSG00000218537.1 0.234514 0.07596 ENSG00000218537
TMC2 ENSG00000149488.11 0.290729 0.083458 ENSG00000149488
C10orf129 ENSG00000173124.10 0.260227 0.086922 ENSG00000173124
DUSP14 ENSG00000161326.8 0.121169 0.059846 ENSG00000161326
RFX7 ENSG00000181827.10 0.195748 0.069066 ENSG00000181827
CYP4A22 ENSG00000162365.7 0.256346 0.082748 ENSG00000162365
PPARA ENSG00000186951.12 0.32458 0.087904 ENSG00000186951
IKBKE ENSG00000143466.8 0.411834 0.082167 ENSG00000143466
NEFH ENSG00000100285.9 0.207548 0.075477 ENSG00000100285
UPK3B ENSG00000243566.2 0.247939 0.070174 ENSG00000243566
ALG1L ENSG00000189366.5 0.160678 0.063166 ENSG00000189366
PPP2R2B ENSG00000156475.14 0.220345 0.071805 ENSG00000156475
GSTA1 ENSG00000243955.1 0.196729 0.069876 ENSG00000243955
FSTL4 ENSG00000053108.12 0.163713 0.074265 ENSG00000053108
NAIP ENSG00000249437.3 0.127514 0.062029 ENSG00000249437
SERHL2 ENSG00000183569.13 0.146902 0.067169 ENSG00000183569
SAPCD2 ENSG00000186193.7 0.197318 0.084903 ENSG00000186193
TSNARE1 ENSG00000171045.10 0.141087 0.065847 ENSG00000171045
ZNF14 ENSG00000105708.8 0.187555 0.076081 ENSG00000105708
SNX11 ENSG00000002919.10 0.125055 0.057002 ENSG00000002919
RAB17 ENSG00000124839.8 0.272162 0.090479 ENSG00000124839
GUCA1B ENSG00000112599.8 0.209537 0.067103 ENSG00000112599
