AssociatedGeneName EnsemblGeneID h2.SkinSunExposedLowerleg se.SkinSunExposedLowerleg ensid
PVRL2 ENSG00000130202.5 0.075092 0.061883 ENSG00000130202
JUP ENSG00000173801.12 0.014527 0.031601 ENSG00000173801
MDGA1 ENSG00000112139.9 0.707231 0.059123 ENSG00000112139
GSTT1 ENSG00000184674.8 0.600756 0.067458 ENSG00000184674
TMEM176B ENSG00000106565.13 0.321102 0.08841 ENSG00000106565
AFAP1 ENSG00000196526.6 0.578295 0.074774 ENSG00000196526
TMTC1 ENSG00000133687.11 0.030312 0.044221 ENSG00000133687
TMEM176A ENSG00000002933.3 0.383757 0.088095 ENSG00000002933
MFSD9 ENSG00000135953.6 0.046907 0.05124 ENSG00000135953
AOC1 ENSG00000002726.15 0.041431 0.056101 ENSG00000002726
PEX11G ENSG00000104883.3 0.070936 0.072837 ENSG00000104883
FAM118A ENSG00000100376.7 0.657572 0.062068 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.032858 0.070684 ENSG00000106772
PILRA ENSG00000085514.10 0.500799 0.06978 ENSG00000085514
RPS28 ENSG00000233927.4 0.797075 0.041847 ENSG00000233927
TREML4 ENSG00000188056.7 0.021947 0.052723 ENSG00000188056
PAM ENSG00000145730.16 0.06597 0.047174 ENSG00000145730
RNPEP ENSG00000176393.6 0.227331 0.087002 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.172538 0.074546 ENSG00000161381
PAPSS1 ENSG00000138801.4 0.111444 0.062246 ENSG00000138801
VPS53 ENSG00000141252.15 0.213138 0.069275 ENSG00000141252
ZP3 ENSG00000188372.10 0.543677 0.067828 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.059745 0.05295 ENSG00000168255
NFXL1 ENSG00000170448.7 0.107936 0.057013 ENSG00000170448
RPL9 ENSG00000163682.11 0.809493 0.036516 ENSG00000163682
TRMT12 ENSG00000183665.4 0.321269 0.077464 ENSG00000183665
ST20 ENSG00000180953.7 0.596187 0.068681 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.687004 0.055086 ENSG00000142856
CPA5 ENSG00000158525.11 0.039195 0.047247 ENSG00000158525
ADK ENSG00000156110.9 0.082972 0.054621 ENSG00000156110
UNC5B ENSG00000107731.8 0.085279 0.070071 ENSG00000107731
ABCA7 ENSG00000064687.8 0.327061 0.090264 ENSG00000064687
ACCS ENSG00000110455.9 0.735895 0.05229 ENSG00000110455
GSTT2 ENSG00000099984.6 0.635432 0.062563 ENSG00000099984
UBE2U ENSG00000177414.8 0.195361 0.072316 ENSG00000177414
GSTT2B ENSG00000133433.6 0.646902 0.061361 ENSG00000133433
A4GALT ENSG00000128274.11 0.025452 0.044691 ENSG00000128274
MFN2 ENSG00000116688.12 0.028329 0.053674 ENSG00000116688
MCOLN2 ENSG00000153898.8 0.237888 0.075263 ENSG00000153898
SPATA20 ENSG00000006282.15 0.742133 0.054938 ENSG00000006282
OPRL1 ENSG00000125510.11 0.225437 0.074975 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.201258 0.072027 ENSG00000112053
C8orf31 ENSG00000177335.6 0.01768 0.05031 ENSG00000177335
LEPROT ENSG00000213625.4 0.076298 0.062857 ENSG00000213625
SLC28A3 ENSG00000197506.6 0.086773 0.065851 ENSG00000197506
PTF1A ENSG00000168267.5 0.115762 0.066848 ENSG00000168267
PSD4 ENSG00000125637.10 0.491831 0.078788 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.106528 0.063944 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.300508 0.141516 ENSG00000154529
RNASET2 ENSG00000026297.11 0.301132 0.073989 ENSG00000026297
CARKD ENSG00000213995.7 0.123768 0.077338 ENSG00000213995
RDH13 ENSG00000160439.10 0.238237 0.081474 ENSG00000160439
AGAP7 ENSG00000204169.6 0.633129 0.070254 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.266762 0.077631 ENSG00000239713
NOD2 ENSG00000167207.7 0.099387 0.066641 ENSG00000167207
GSTM4 ENSG00000168765.11 0.488825 0.081072 ENSG00000168765
HOXB2 ENSG00000173917.9 0.108367 0.060908 ENSG00000173917
NUDT7 ENSG00000140876.7 0.043449 0.065948 ENSG00000140876
LRRC61 ENSG00000127399.10 0.371383 0.072272 ENSG00000127399
TKTL1 ENSG00000007350.12 0.041837 0.063857 ENSG00000007350
LRRC37A ENSG00000176681.10 0.403371 0.087165 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.254441 0.079463 ENSG00000214872
RFWD3 ENSG00000168411.9 0.320172 0.070817 ENSG00000168411
TMEM9 ENSG00000116857.11 0.113936 0.081307 ENSG00000116857
CCDC15 ENSG00000149548.10 0.37033 0.089758 ENSG00000149548
NT5C3B ENSG00000141698.12 0.556949 0.066657 ENSG00000141698
KNSTRN ENSG00000128944.8 0.301591 0.081963 ENSG00000128944
FCGR2B ENSG00000072694.14 0.050294 0.054111 ENSG00000072694
LILRB5 ENSG00000105609.12 0.01049 0.060991 ENSG00000105609
TNFAIP8L1 ENSG00000185361.4 0.022541 0.05056 ENSG00000185361
MYCBPAP ENSG00000136449.9 0.051924 0.057354 ENSG00000136449
CTSW ENSG00000172543.3 0.307522 0.074238 ENSG00000172543
GCAT ENSG00000100116.12 0.109393 0.067054 ENSG00000100116
ADAD2 ENSG00000140955.6 0.231442 0.091506 ENSG00000140955
CES1 ENSG00000198848.8 0.177329 0.086041 ENSG00000198848
ZNF436 ENSG00000125945.9 0.388683 0.078515 ENSG00000125945
HPR ENSG00000261701.2 0.182606 0.07102 ENSG00000261701
CTB-133G6.1 ENSG00000263264.1 0.068749 0.073158 ENSG00000263264
HAUS4 ENSG00000092036.12 0.404321 0.077444 ENSG00000092036
GRHPR ENSG00000137106.13 0.291236 0.084598 ENSG00000137106
KIF16B ENSG00000089177.13 0.227369 0.078881 ENSG00000089177
LILRA4 ENSG00000239961.2 0.0836 0.079837 ENSG00000239961
H3F3A ENSG00000163041.5 0.472391 0.081758 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.06237 0.055711 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.148627 0.087895 ENSG00000154099
QRSL1 ENSG00000130348.7 0.374508 0.072093 ENSG00000130348
STOX1 ENSG00000165730.10 0.151684 0.068289 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.372166 0.082727 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.525873 0.069971 ENSG00000100197
DHFR ENSG00000228716.2 0.201891 0.070319 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.167048 0.071245 ENSG00000162383
CNGA1 ENSG00000198515.9 0.098547 0.065584 ENSG00000198515
NUP133 ENSG00000069248.8 0.077181 0.058588 ENSG00000069248
G6PC2 ENSG00000152254.6 0.479115 0.073523 ENSG00000152254
NUPR1 ENSG00000176046.7 0.012703 0.029631 ENSG00000176046
APIP ENSG00000149089.8 0.584257 0.061107 ENSG00000149089
SAMD12 ENSG00000177570.9 0.292502 0.081563 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.417273 0.082312 ENSG00000238083
RAB3IL1 ENSG00000167994.7 0.023739 0.041222 ENSG00000167994
ZNF641 ENSG00000167528.8 0.152409 0.06885 ENSG00000167528
TUFM ENSG00000178952.4 0.26883 0.077016 ENSG00000178952
PRSS46 ENSG00000261603.1 0.024696 0.034436 ENSG00000261603
RRP7A ENSG00000189306.6 0.362106 0.093713 ENSG00000189306
RPTN ENSG00000215853.3 0.174574 0.077839 ENSG00000215853
IFITM3 ENSG00000142089.11 0.049665 0.056265 ENSG00000142089
LIMS2 ENSG00000072163.14 0.160457 0.076721 ENSG00000072163
CCDC109B ENSG00000005059.11 0.030214 0.052009 ENSG00000005059
PCYOX1L ENSG00000145882.6 0.170845 0.077348 ENSG00000145882
CDS2 ENSG00000101290.9 0.061528 0.076132 ENSG00000101290
SMIM20 ENSG00000250317.4 0.055192 0.062346 ENSG00000250317
AL359195.1 ENSG00000204038.3 0.152404 0.071009 ENSG00000204038
PKP4 ENSG00000144283.17 0.10601 0.057471 ENSG00000144283
TLR3 ENSG00000164342.7 0.031994 0.038884 ENSG00000164342
TACSTD2 ENSG00000184292.5 0.024742 0.0458 ENSG00000184292
GM2A ENSG00000196743.4 0.291884 0.077558 ENSG00000196743
LIPN ENSG00000204020.5 0.078663 0.05422 ENSG00000204020
COLGALT2 ENSG00000198756.6 0.028813 0.046465 ENSG00000198756
PCDHB8 ENSG00000120322.2 0.360967 0.078461 ENSG00000120322
ZNF266 ENSG00000174652.13 0.565332 0.063317 ENSG00000174652
MCMDC2 ENSG00000178460.13 0.042972 0.071485 ENSG00000178460
WARS ENSG00000140105.13 0.071804 0.063137 ENSG00000140105
APOL4 ENSG00000100336.13 0.384256 0.084319 ENSG00000100336
LCK ENSG00000182866.12 0.044307 0.060958 ENSG00000182866
NTPCR ENSG00000135778.6 0.377057 0.08233 ENSG00000135778
FAM84B ENSG00000168672.3 0.029479 0.060107 ENSG00000168672
ABHD4 ENSG00000100439.6 0.090954 0.079252 ENSG00000100439
TEK ENSG00000120156.16 0.019373 0.054726 ENSG00000120156
POLR2J ENSG00000005075.11 0.060099 0.049623 ENSG00000005075
MOSPD3 ENSG00000106330.7 0.223187 0.07625 ENSG00000106330
PAQR5 ENSG00000137819.9 0.15585 0.071208 ENSG00000137819
