AssociatedGeneName EnsemblGeneID h2.Thyroid se.Thyroid ensid
GSTT1 ENSG00000184674.8 0.50492 0.079903 ENSG00000184674
ADARB2 ENSG00000185736.11 0.212786 0.08856 ENSG00000185736
TMEM176B ENSG00000106565.13 0.193583 0.086927 ENSG00000106565
TMEM176A ENSG00000002933.3 0.189187 0.086807 ENSG00000002933
PEX11G ENSG00000104883.3 0.116665 0.083493 ENSG00000104883
FAM118A ENSG00000100376.7 0.621114 0.075399 ENSG00000100376
LRRC6 ENSG00000129295.4 0.110842 0.065771 ENSG00000129295
PILRA ENSG00000085514.10 0.393351 0.073733 ENSG00000085514
SORCS2 ENSG00000184985.12 0.110658 0.075748 ENSG00000184985
VPS53 ENSG00000141252.15 0.191848 0.078714 ENSG00000141252
ZP3 ENSG00000188372.10 0.150057 0.073628 ENSG00000188372
RPL9 ENSG00000163682.11 0.236687 0.080471 ENSG00000163682
ITGB3BP ENSG00000142856.12 0.457432 0.078442 ENSG00000142856
ACCS ENSG00000110455.9 0.104938 0.073527 ENSG00000110455
UBE2U ENSG00000177414.8 0.176292 0.074413 ENSG00000177414
A4GALT ENSG00000128274.11 0.147308 0.076648 ENSG00000128274
MCOLN2 ENSG00000153898.8 0.210241 0.077793 ENSG00000153898
SPATA20 ENSG00000006282.15 0.401397 0.087296 ENSG00000006282
SLC26A8 ENSG00000112053.9 0.237931 0.080519 ENSG00000112053
DCBLD1 ENSG00000164465.14 0.142794 0.06489 ENSG00000164465
APOBEC3G ENSG00000239713.3 0.132868 0.069447 ENSG00000239713
NT5C3B ENSG00000141698.12 0.451535 0.074314 ENSG00000141698
GCAT ENSG00000100116.12 0.129959 0.078049 ENSG00000100116
NT5E ENSG00000135318.7 0.27744 0.077458 ENSG00000135318
CES1 ENSG00000198848.8 0.162863 0.087358 ENSG00000198848
HPR ENSG00000261701.2 0.114635 0.05733 ENSG00000261701
GRHPR ENSG00000137106.13 0.121368 0.076771 ENSG00000137106
KIF16B ENSG00000089177.13 0.169706 0.078898 ENSG00000089177
QRSL1 ENSG00000130348.7 0.206271 0.076521 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.147357 0.068281 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.238566 0.073876 ENSG00000100197
DHFR ENSG00000228716.2 0.143862 0.072957 ENSG00000228716
CNGA1 ENSG00000198515.9 0.144028 0.060102 ENSG00000198515
APIP ENSG00000149089.8 0.445115 0.079598 ENSG00000149089
SAMD12 ENSG00000177570.9 0.286214 0.0877 ENSG00000177570
PRSS46 ENSG00000261603.1 0.105182 0.058552 ENSG00000261603
C8B ENSG00000021852.8 0.131143 0.073023 ENSG00000021852
TACSTD2 ENSG00000184292.5 0.195855 0.070566 ENSG00000184292
ZNF266 ENSG00000174652.13 0.185143 0.064535 ENSG00000174652
WARS ENSG00000140105.13 0.181148 0.080222 ENSG00000140105
APOL4 ENSG00000100336.13 0.219048 0.083852 ENSG00000100336
ETV7 ENSG00000010030.9 0.162183 0.078379 ENSG00000010030
ATMIN ENSG00000166454.5 0.115418 0.081238 ENSG00000166454
GBP3 ENSG00000117226.7 0.121658 0.064685 ENSG00000117226
C15orf57 ENSG00000128891.11 0.160142 0.066714 ENSG00000128891
ARL14EP ENSG00000152219.4 0.12058 0.060201 ENSG00000152219
VNN1 ENSG00000112299.7 0.110214 0.07002 ENSG00000112299
SCO2 ENSG00000130489.8 0.112036 0.065066 ENSG00000130489
BRD7 ENSG00000166164.11 0.142218 0.077447 ENSG00000166164
C17orf97 ENSG00000187624.7 0.418648 0.086615 ENSG00000187624
ISL2 ENSG00000159556.5 0.103296 0.0636 ENSG00000159556
ADAT1 ENSG00000065457.6 0.100699 0.057029 ENSG00000065457
CYP4F11 ENSG00000171903.11 0.371237 0.078994 ENSG00000171903
TDGF1 ENSG00000241186.3 0.633159 0.065601 ENSG00000241186
GSTM1 ENSG00000134184.8 0.256767 0.098944 ENSG00000134184
COG1 ENSG00000166685.7 0.127225 0.071628 ENSG00000166685
PPARGC1A ENSG00000109819.4 0.105888 0.061775 ENSG00000109819
VLDLR ENSG00000147852.10 0.254796 0.084812 ENSG00000147852
C15orf38 ENSG00000242498.3 0.103772 0.070199 ENSG00000242498
C10orf107 ENSG00000183346.6 0.124151 0.067396 ENSG00000183346
BCAT1 ENSG00000060982.10 0.123331 0.074741 ENSG00000060982
PCDHB16 ENSG00000196963.2 0.157428 0.066692 ENSG00000196963
ZNF586 ENSG00000083828.11 0.188084 0.074872 ENSG00000083828
CCDC74A ENSG00000163040.10 0.125384 0.068465 ENSG00000163040
ANKDD1A ENSG00000166839.12 0.217309 0.081821 ENSG00000166839
APOLD1 ENSG00000178878.7 0.103425 0.072981 ENSG00000178878
DDX11 ENSG00000013573.12 0.523762 0.07328 ENSG00000013573
TMEM230 ENSG00000089063.10 0.115506 0.079026 ENSG00000089063
CYP4F12 ENSG00000186204.9 0.101321 0.06235 ENSG00000186204
PLEC ENSG00000178209.10 0.162324 0.06822 ENSG00000178209
ZNF554 ENSG00000172006.7 0.133791 0.079787 ENSG00000172006
RNF17 ENSG00000132972.13 0.103705 0.068073 ENSG00000132972
RAVER2 ENSG00000162437.10 0.158338 0.071853 ENSG00000162437
COX6B2 ENSG00000160471.7 0.108987 0.077181 ENSG00000160471
GSDMA ENSG00000167914.6 0.120736 0.06623 ENSG00000167914
ANO10 ENSG00000160746.8 0.137137 0.066582 ENSG00000160746
SRD5A3 ENSG00000128039.6 0.336378 0.090436 ENSG00000128039
IRF6 ENSG00000117595.6 0.162783 0.06499 ENSG00000117595
KLHL10 ENSG00000161594.6 0.346908 0.077476 ENSG00000161594
FBN1 ENSG00000166147.9 0.106759 0.065098 ENSG00000166147
C1QTNF7 ENSG00000163145.8 0.150077 0.07096 ENSG00000163145
IQCE ENSG00000106012.13 0.200853 0.097752 ENSG00000106012
CAT ENSG00000121691.4 0.324477 0.077089 ENSG00000121691
PODN ENSG00000174348.9 0.107907 0.060913 ENSG00000174348
UBR3 ENSG00000144357.12 0.139819 0.075452 ENSG00000144357
SLC28A2 ENSG00000137860.7 0.143752 0.070344 ENSG00000137860
SON ENSG00000159140.13 0.139448 0.079452 ENSG00000159140
ESYT2 ENSG00000117868.11 0.101024 0.059332 ENSG00000117868
ZNF333 ENSG00000160961.7 0.356446 0.082683 ENSG00000160961
ABCC8 ENSG00000006071.7 0.138095 0.07719 ENSG00000006071
L1TD1 ENSG00000240563.1 0.211756 0.084289 ENSG00000240563
DMWD ENSG00000185800.7 0.121184 0.083088 ENSG00000185800
CCDC66 ENSG00000180376.12 0.154864 0.064868 ENSG00000180376
SYNGR1 ENSG00000100321.10 0.198089 0.083004 ENSG00000100321
GLDC ENSG00000178445.8 0.466324 0.082811 ENSG00000178445
GTF3A ENSG00000122034.8 0.152892 0.079173 ENSG00000122034
ECHDC2 ENSG00000121310.12 0.116535 0.070726 ENSG00000121310
FAAH ENSG00000117480.11 0.134496 0.067811 ENSG00000117480
RNF166 ENSG00000158717.6 0.121017 0.077609 ENSG00000158717
SNX31 ENSG00000174226.4 0.120325 0.075801 ENSG00000174226
ARFGAP3 ENSG00000242247.6 0.105564 0.055797 ENSG00000242247
HS2ST1 ENSG00000153936.12 0.142296 0.078784 ENSG00000153936
RHPN1 ENSG00000158106.8 0.103678 0.055443 ENSG00000158106
ARPC1B ENSG00000130429.8 0.101709 0.059403 ENSG00000130429
ARHGEF35 ENSG00000213214.3 0.312189 0.081585 ENSG00000213214
SULT1A1 ENSG00000196502.7 0.200781 0.069888 ENSG00000196502
PROK1 ENSG00000143125.5 0.214623 0.076892 ENSG00000143125
ACTR3B ENSG00000133627.13 0.115261 0.070377 ENSG00000133627
AK5 ENSG00000154027.14 0.105376 0.06893 ENSG00000154027
ERP27 ENSG00000139055.2 0.277769 0.077352 ENSG00000139055
PKD2 ENSG00000118762.3 0.140303 0.076307 ENSG00000118762
TPM2 ENSG00000198467.9 0.101398 0.063723 ENSG00000198467
P2RY13 ENSG00000181631.6 0.11472 0.07153 ENSG00000181631
SULT1C2 ENSG00000198203.5 0.66649 0.063446 ENSG00000198203
SDC4 ENSG00000124145.5 0.109715 0.073091 ENSG00000124145
FAM102A ENSG00000167106.7 0.188901 0.091597 ENSG00000167106
STX2 ENSG00000111450.9 0.267089 0.089903 ENSG00000111450
ZNF766 ENSG00000196214.6 0.102584 0.076145 ENSG00000196214
NUP54 ENSG00000138750.10 0.140023 0.068164 ENSG00000138750
SDK2 ENSG00000069188.12 0.259652 0.093035 ENSG00000069188
PPP2R5A ENSG00000066027.6 0.233323 0.072196 ENSG00000066027
FBLL1 ENSG00000188573.7 0.119296 0.070498 ENSG00000188573
TTBK1 ENSG00000146216.7 0.144237 0.079723 ENSG00000146216
DLD ENSG00000091140.8 0.176954 0.07585 ENSG00000091140
NDNF ENSG00000173376.9 0.292603 0.077691 ENSG00000173376
HRK ENSG00000135116.5 0.124248 0.063515 ENSG00000135116
GIMAP1 ENSG00000213203.2 0.144384 0.081189 ENSG00000213203
C2orf27A ENSG00000197927.8 0.111092 0.068574 ENSG00000197927
ANK3 ENSG00000151150.15 0.170622 0.080612 ENSG00000151150
GLRB ENSG00000109738.6 0.204838 0.089648 ENSG00000109738
PROZ ENSG00000126231.9 0.138752 0.078686 ENSG00000126231
PSMB5 ENSG00000100804.14 0.109829 0.070122 ENSG00000100804
SUSD2 ENSG00000099994.10 0.109693 0.065007 ENSG00000099994
ZNF83 ENSG00000167766.13 0.207404 0.087725 ENSG00000167766
OR10AD1 ENSG00000172640.2 0.211374 0.072408 ENSG00000172640
AKT1 ENSG00000142208.11 0.253164 0.079436 ENSG00000142208
CACNB2 ENSG00000165995.14 0.338993 0.097312 ENSG00000165995
ARC ENSG00000198576.2 0.102389 0.071347 ENSG00000198576
CPSF1 ENSG00000071894.10 0.328389 0.083994 ENSG00000071894
PRPH2 ENSG00000112619.6 0.456518 0.076335 ENSG00000112619
TNNC2 ENSG00000101470.5 0.113538 0.07371 ENSG00000101470
FAM86C1 ENSG00000158483.11 0.102224 0.064354 ENSG00000158483
EPHB6 ENSG00000106123.7 0.265962 0.078031 ENSG00000106123
TRMT44 ENSG00000155275.14 0.113 0.07369 ENSG00000155275
UBE2S ENSG00000108106.9 0.121608 0.086964 ENSG00000108106
CLCN3 ENSG00000109572.9 0.118338 0.075243 ENSG00000109572
PRKCZ ENSG00000067606.11 0.209309 0.093349 ENSG00000067606
ASCL5 ENSG00000232237.2 0.351354 0.08524 ENSG00000232237
HSPA2 ENSG00000126803.8 0.100965 0.058937 ENSG00000126803
F5 ENSG00000198734.6 0.203322 0.085234 ENSG00000198734
KRI1 ENSG00000129347.15 0.219752 0.079728 ENSG00000129347
SEC23B ENSG00000101310.10 0.108681 0.058892 ENSG00000101310
LINGO2 ENSG00000174482.6 0.146105 0.080035 ENSG00000174482
ATP2C2 ENSG00000064270.8 0.175007 0.092846 ENSG00000064270
MPG ENSG00000103152.7 0.173838 0.085423 ENSG00000103152
CPZ ENSG00000109625.14 0.145769 0.078866 ENSG00000109625
ZNF628 ENSG00000197483.8 0.137379 0.067397 ENSG00000197483
PARP14 ENSG00000173193.9 0.1155 0.069904 ENSG00000173193
MSH3 ENSG00000113318.9 0.208588 0.068361 ENSG00000113318
OLFM4 ENSG00000102837.6 0.431175 0.083408 ENSG00000102837
MICALCL ENSG00000133808.4 0.283105 0.087701 ENSG00000133808
GATM ENSG00000171766.11 0.142763 0.062864 ENSG00000171766
CNN2 ENSG00000064666.10 0.245192 0.096427 ENSG00000064666
PEX6 ENSG00000124587.9 0.172107 0.070348 ENSG00000124587
LYRM5 ENSG00000205707.6 0.150136 0.07033 ENSG00000205707
ARL9 ENSG00000196503.2 0.146748 0.07859 ENSG00000196503
CFHR3 ENSG00000116785.9 0.247629 0.087499 ENSG00000116785
GJB2 ENSG00000165474.5 0.151199 0.081204 ENSG00000165474
GPR45 ENSG00000135973.1 0.10352 0.065442 ENSG00000135973
CCDC158 ENSG00000163749.13 0.12387 0.069768 ENSG00000163749
UNC13C ENSG00000137766.12 0.162278 0.07438 ENSG00000137766
ZNF302 ENSG00000089335.16 0.198891 0.081748 ENSG00000089335
NFKBID ENSG00000167604.9 0.10596 0.079497 ENSG00000167604
TSPYL5 ENSG00000180543.3 0.107123 0.072488 ENSG00000180543
ARAP2 ENSG00000047365.7 0.115153 0.064466 ENSG00000047365
PLEKHA7 ENSG00000166689.10 0.11757 0.063937 ENSG00000166689
NUPL1 ENSG00000139496.11 0.207354 0.075367 ENSG00000139496
PAPD7 ENSG00000112941.8 0.118943 0.07762 ENSG00000112941
ERAP2 ENSG00000164308.12 0.13429 0.061604 ENSG00000164308
GREM2 ENSG00000180875.4 0.114605 0.081039 ENSG00000180875
LIPC ENSG00000166035.6 0.193889 0.083506 ENSG00000166035
PRR13 ENSG00000205352.6 0.193028 0.074204 ENSG00000205352
SPAG1 ENSG00000104450.8 0.128932 0.060841 ENSG00000104450
SNUPN ENSG00000169371.9 0.137917 0.073326 ENSG00000169371
ZNF148 ENSG00000163848.14 0.101575 0.057033 ENSG00000163848
MASTL ENSG00000120539.10 0.179195 0.067467 ENSG00000120539
COG4 ENSG00000103051.14 0.11848 0.059506 ENSG00000103051
MIIP ENSG00000116691.6 0.117125 0.067083 ENSG00000116691
THSD7B ENSG00000144229.7 0.129427 0.06284 ENSG00000144229
WDR60 ENSG00000126870.11 0.265698 0.079139 ENSG00000126870
B3GNT3 ENSG00000179913.6 0.134868 0.073359 ENSG00000179913
ALG1L ENSG00000189366.5 0.1629 0.065529 ENSG00000189366
QRFPR ENSG00000186867.6 0.325854 0.084648 ENSG00000186867
POLE ENSG00000177084.12 0.179179 0.077956 ENSG00000177084
LRRFIP2 ENSG00000093167.13 0.429172 0.073043 ENSG00000093167
TMPRSS9 ENSG00000178297.8 0.17961 0.089708 ENSG00000178297
CYP39A1 ENSG00000146233.3 0.110873 0.069955 ENSG00000146233
RBL2 ENSG00000103479.10 0.146876 0.062997 ENSG00000103479
FAM110A ENSG00000125898.7 0.131155 0.081838 ENSG00000125898
OLFM2 ENSG00000105088.4 0.123446 0.078121 ENSG00000105088
DDO ENSG00000203797.4 0.19723 0.076031 ENSG00000203797
NDUFAF1 ENSG00000137806.4 0.300844 0.082383 ENSG00000137806
RAB20 ENSG00000139832.3 0.301972 0.090059 ENSG00000139832
SULT1A2 ENSG00000197165.6 0.262089 0.078609 ENSG00000197165
SAPCD2 ENSG00000186193.7 0.103444 0.079598 ENSG00000186193
CCDC114 ENSG00000105479.10 0.113724 0.065967 ENSG00000105479
TGIF2 ENSG00000118707.5 0.107927 0.087084 ENSG00000118707
GYPE ENSG00000197465.9 0.102065 0.068185 ENSG00000197465
TAC4 ENSG00000176358.10 0.140266 0.076481 ENSG00000176358
CKAP2 ENSG00000136108.10 0.179903 0.065586 ENSG00000136108
KDM1B ENSG00000165097.9 0.113165 0.067884 ENSG00000165097
MINA ENSG00000170854.12 0.127608 0.068192 ENSG00000170854
SFTPD ENSG00000133661.11 0.165011 0.075835 ENSG00000133661
BDH2 ENSG00000164039.10 0.237444 0.080754 ENSG00000164039
CTPS2 ENSG00000047230.10 0.183286 0.0856 ENSG00000047230
ODF3B ENSG00000177989.9 0.166552 0.076706 ENSG00000177989
SHISA2 ENSG00000180730.4 0.156264 0.075049 ENSG00000180730
TNFRSF19 ENSG00000127863.11 0.130022 0.073925 ENSG00000127863
TRMT10B ENSG00000165275.5 0.236855 0.102514 ENSG00000165275
GUCA1B ENSG00000112599.8 0.116225 0.082529 ENSG00000112599
TMEM163 ENSG00000152128.13 0.13878 0.07223 ENSG00000152128
UPK3A ENSG00000100373.5 0.376735 0.096062 ENSG00000100373
PRDX5 ENSG00000126432.9 0.132291 0.067153 ENSG00000126432
VEGFA ENSG00000112715.16 0.148804 0.082554 ENSG00000112715
SLC9A2 ENSG00000115616.2 0.165028 0.073228 ENSG00000115616
LIMD1 ENSG00000144791.5 0.22238 0.083758 ENSG00000144791
ZIM2 ENSG00000269699.1 0.156038 0.087748 ENSG00000269699
CCDC124 ENSG00000007080.6 0.130643 0.077256 ENSG00000007080
ACTL6A ENSG00000136518.12 0.118254 0.073479 ENSG00000136518
ARHGAP6 ENSG00000047648.17 0.134952 0.074206 ENSG00000047648
SLC5A9 ENSG00000117834.8 0.154242 0.071688 ENSG00000117834
PTX3 ENSG00000163661.3 0.109828 0.073451 ENSG00000163661
GOLGA7B ENSG00000155265.6 0.127983 0.073705 ENSG00000155265
RBBP5 ENSG00000117222.9 0.119794 0.066231 ENSG00000117222
MX1 ENSG00000157601.9 0.164007 0.090193 ENSG00000157601
EMP1 ENSG00000134531.5 0.162591 0.077202 ENSG00000134531
FBN3 ENSG00000142449.8 0.434259 0.087449 ENSG00000142449
MAN2C1 ENSG00000140400.10 0.105615 0.061098 ENSG00000140400
PRICKLE4 ENSG00000124593.10 0.109554 0.07327 ENSG00000124593
SNTB2 ENSG00000168807.12 0.115978 0.056478 ENSG00000168807
NMRK1 ENSG00000106733.16 0.144596 0.075435 ENSG00000106733
GOLGA8R ENSG00000186399.8 0.103656 0.061193 ENSG00000186399
TMEM99 ENSG00000167920.4 0.264125 0.081396 ENSG00000167920
MYOF ENSG00000138119.12 0.16654 0.075473 ENSG00000138119
TIPIN ENSG00000075131.5 0.240457 0.071842 ENSG00000075131
RAB7L1 ENSG00000117280.8 0.108808 0.065059 ENSG00000117280
PIF1 ENSG00000140451.8 0.156784 0.069927 ENSG00000140451
LDHC ENSG00000166796.7 0.159764 0.086823 ENSG00000166796
CD80 ENSG00000121594.7 0.116108 0.06623 ENSG00000121594
FAM200A ENSG00000221909.2 0.117728 0.072276 ENSG00000221909
RPS23 ENSG00000186468.8 0.123301 0.067157 ENSG00000186468
LRRC19 ENSG00000184434.7 0.104791 0.059381 ENSG00000184434
ZNF559 ENSG00000188321.9 0.152509 0.075364 ENSG00000188321
CBLL1 ENSG00000105879.6 0.272776 0.086395 ENSG00000105879
TRHDE ENSG00000072657.4 0.118387 0.068215 ENSG00000072657
MRPS9 ENSG00000135972.4 0.204668 0.072354 ENSG00000135972
MARVELD3 ENSG00000140832.5 0.121379 0.058971 ENSG00000140832
TTYH1 ENSG00000167614.9 0.314312 0.111638 ENSG00000167614
FAM19A1 ENSG00000183662.6 0.111308 0.065699 ENSG00000183662
LRP5L ENSG00000100068.7 0.104812 0.062014 ENSG00000100068
FBN2 ENSG00000138829.6 0.160253 0.069935 ENSG00000138829
SLC35F3 ENSG00000183780.8 0.140985 0.07841 ENSG00000183780
ZNF160 ENSG00000170949.13 0.195088 0.09257 ENSG00000170949
RTKN2 ENSG00000182010.6 0.163557 0.071379 ENSG00000182010
GNAO1 ENSG00000087258.9 0.135112 0.075535 ENSG00000087258
ILDR2 ENSG00000143195.8 0.103883 0.05954 ENSG00000143195
ARMC7 ENSG00000125449.2 0.100092 0.064133 ENSG00000125449
LRGUK ENSG00000155530.2 0.101824 0.062599 ENSG00000155530
AKR1B1 ENSG00000085662.9 0.285392 0.084873 ENSG00000085662
DYRK1B ENSG00000105204.9 0.110474 0.068521 ENSG00000105204
STC2 ENSG00000113739.6 0.121969 0.082343 ENSG00000113739
STX1B ENSG00000099365.5 0.252324 0.082009 ENSG00000099365
MTFR1L ENSG00000117640.13 0.169766 0.076681 ENSG00000117640
KANSL2 ENSG00000139620.8 0.160984 0.069458 ENSG00000139620
IFRD1 ENSG00000006652.9 0.144992 0.069351 ENSG00000006652
PPM1K ENSG00000163644.9 0.191019 0.077146 ENSG00000163644
SLC38A6 ENSG00000139974.11 0.139769 0.085939 ENSG00000139974
NUP85 ENSG00000125450.6 0.344358 0.078364 ENSG00000125450
PRKAA2 ENSG00000162409.6 0.115147 0.074032 ENSG00000162409
C17orf67 ENSG00000214226.4 0.130809 0.076733 ENSG00000214226
INO80E ENSG00000169592.10 0.173341 0.074853 ENSG00000169592
DARS ENSG00000115866.6 0.1512 0.072319 ENSG00000115866
LARGE ENSG00000133424.15 0.230893 0.096958 ENSG00000133424
DOCK9 ENSG00000088387.13 0.121937 0.072203 ENSG00000088387
RARS ENSG00000113643.4 0.131348 0.08255 ENSG00000113643
SYS1 ENSG00000204070.5 0.146762 0.077847 ENSG00000204070
TMEM171 ENSG00000157111.8 0.164908 0.073821 ENSG00000157111
GPR26 ENSG00000154478.3 0.138362 0.082237 ENSG00000154478
LY75 ENSG00000054219.9 0.137685 0.064049 ENSG00000054219
DLG5 ENSG00000151208.12 0.225192 0.076764 ENSG00000151208
ANKRD45 ENSG00000183831.6 0.192781 0.070349 ENSG00000183831
