gene h2 se p
BTN3A2 0.999998 0.163734 0
HCG18 0.999998 0.248207 0
HCG2P7 0.999999 0.257898 0
HCG4 0.999999 0.259111 0
HLA-A 0.999999 0.233689 0
HLA-C 0.999999 0.236416 0
HLA-DQA1 0.999999 0.273079 0
HLA-DQB1 0.999999 0.234403 0
HLA-DQB2 0.999999 0.251410 0
HLA-DRB1 0.999998 0.226389 0
HLA-DRB5 0.999999 0.235875 0
HLA-DRB6 0.999999 0.259479 0
HLA-G 0.999999 0.249036 0
HLA-H 0.999998 0.209443 0
HLA-L 0.999999 0.228641 0
IER3 0.999999 0.248723 0
IFITM4P 0.999999 0.249037 0
LOC285830 0.999999 0.208472 0
RNF5P1 0.999999 0.255994 0
VARS2 0.999998 0.217841 0
ZFP57 0.999998 0.177847 0
HLA-B 0.999999 0.279499 5.551e-17
HLA-F 0.999999 0.278089 5.551e-17
PSORS1C3 0.999999 0.291171 5.551e-17
TRIM31 0.999999 0.257883 5.551e-17
HLA-DQA2 0.999998 0.248224 3.331e-16
FAM167A 0.999999 0.272397 2.442e-15
HLA-DPB2 0.999999 0.297576 2.72e-15
ZNRD1-AS1 0.999999 0.287900 6.384e-15
TRIM27 0.999999 0.292038 3.308e-14
TCF19 0.999999 0.311838 3.342e-14
ZNRD1 0.999999 0.296062 5.734e-14
HCG4P6 0.999999 0.293986 6.35e-14
DDR1 0.999999 0.305072 8.399e-14
HCG27 0.999999 0.305464 2.805e-13
MICA 0.999999 0.328919 6.735e-13
LOC644172 0.999999 0.355001 9.516e-13
LOC644246 0.999999 0.362067 1.812e-12
MICB 0.999999 0.311501 2.496e-12
TAP2 0.999999 0.315867 5.432e-12
ZNF193 0.999999 0.305596 7.114e-12
ZNF187 0.999999 0.285743 9.603e-12
LRRC37A4 0.999999 0.353657 2.382e-11
SKIV2L 0.999999 0.311015 2.791e-11
HMGN4 0.999999 0.323354 4.708e-11
SLC22A5 0.999999 0.350228 5.182e-11
DDAH2 0.999999 0.310738 5.571e-11
ZSCAN12P1 0.999999 0.299606 1.046e-10
FLOT1 0.999999 0.295748 5.674e-10
C22orf32 0.999999 0.362872 8.123e-10
CYP21A2 0.999999 0.309206 1.168e-09
C2 0.999999 0.300015 1.448e-09
ZNF391 0.999999 0.312329 1.585e-09
MGC57346 0.999999 0.368175 1.663e-09
NEIL2 0.999999 0.306170 2.281e-09
EMBP1 0.999999 0.374758 2.35e-09
AMAC1L2 0.999999 0.297283 3.017e-09
HLA-J 0.999999 0.314951 4.051e-09
LOC387646 0.999999 0.359624 4.11e-09
POU5F1 0.999999 0.332427 4.552e-09
LY6G5C 0.999999 0.331585 4.868e-09
PSMB9 0.999999 0.331884 5.331e-09
MDC1 0.999999 0.317351 6.898e-09
LOC253039 0.999999 0.376663 9.21e-09
ZKSCAN4 0.999999 0.297426 1.272e-08
FLJ14186 0.999999 0.371346 1.73e-08
FAM119B 0.999999 0.381057 2.08e-08
CYP27A1 0.999999 0.377908 2.287e-08
HLA-DOB 0.999999 0.353226 4.166e-08
ATP6V1G2 0.999999 0.324687 4.339e-08
HIST1H2BD 0.999999 0.325236 5.573e-08
CCT6P3 0.999999 0.352155 9.072e-08
CCHCR1 0.999999 0.326246 1.756e-07
ZNF589 0.999999 0.369023 1.764e-07
TRIM10 0.999999 0.304327 1.813e-07
PYGB 0.999999 0.361139 1.98e-07
CYP26B1 0.999999 0.367611 2.958e-07
LOC645513 0.999999 0.358983 3.187e-07
NUDT13 0.999999 0.373206 3.217e-07
MEI1 0.999999 0.373586 3.311e-07
XRRA1 0.999999 0.374456 3.455e-07
C17orf69 0.999999 0.369472 3.596e-07
NBR2 0.999999 0.375114 4.938e-07
HIST1H2BK 0.999999 0.340480 5.111e-07
KHK 0.999999 0.372979 5.112e-07
ZNF835 0.999999 0.363319 5.485e-07
TSGA10 0.999999 0.366893 5.634e-07
ERV3 0.999999 0.371078 6.676e-07
BLK 0.999999 0.310003 7.319e-07
PRSS16 0.999999 0.328199 7.64e-07
NUP43 0.999999 0.351384 9.034e-07
C6orf164 0.999999 0.362074 9.286e-07
TRIM38 0.999999 0.313725 1.065e-06
CTXN2 0.999999 0.384762 1.068e-06
LOC399744 0.999999 0.376715 1.227e-06
CYP2D6 0.999999 0.374816 1.248e-06
WDR6 0.999999 0.361704 1.437e-06
LY6G5B 0.999999 0.336267 1.79e-06
SLC12A1 0.999999 0.384103 1.862e-06
ABT1 0.999999 0.333299 2.231e-06
ATP6V0D1 0.999999 0.352111 2.24e-06
PAM 0.999999 0.383433 2.791e-06
TNXB 0.999999 0.336747 2.878e-06
TAGLN 0.999999 0.365145 2.971e-06
SNHG5 0.999999 0.377962 3.305e-06
AHSA2 0.999999 0.388869 3.518e-06
RNF39 0.999999 0.326991 3.688e-06
SMPD2 0.999999 0.379265 4.117e-06
NCR3 0.999999 0.353846 4.179e-06
SPATA5L1 0.999999 0.382704 4.19e-06
