gene h2 se p
PVRL2 0.942510 0.006460 0
ACCS 0.921400 0.008756 0
JUP 0.911202 0.011026 0
GRHPR 0.893052 0.011792 0
FADS2 0.891251 0.012769 0
FN3KRP 0.885052 0.015085 0
HLA-DRB5 0.884435 0.014484 0
LDHC 0.879613 0.013035 0
ATP1A4 0.871581 0.014045 0
GM2A 0.863405 0.015224 0
HLA-DQB1 0.857016 0.017439 0
B4GALNT3 0.855041 0.016149 0
C9orf135 0.853842 0.016410 0
PEX6 0.847649 0.016253 0
RPS28 0.839441 0.016472 0
DNLZ 0.831533 0.017776 0
GBP3 0.830260 0.020873 0
C4BPA 0.829895 0.018937 0
SLC12A7 0.829231 0.018529 0
KIAA1324 0.828422 0.019710 0
TAF9B 0.827349 0.018832 0
DDX11 0.827349 0.018832 0
SPATA20 0.826309 0.018354 0
C17orf97 0.825947 0.017256 0
PPT1 0.824968 0.020122 0
PADI2 0.824780 0.018836 0
CLEC12A 0.817888 0.020191 0
FAM3B 0.816202 0.019849 0
FAM118A 0.815493 0.017984 0
MICA 0.813067 0.023468 0
PAPSS1 0.809602 0.022664 0
CASQ1 0.809055 0.020926 0
APOBEC3B 0.804071 0.021731 0
TUBB2A 0.800748 0.022130 0
RHD 0.799820 0.023490 0
CYP26B1 0.798046 0.023571 0
CCDC163P 0.796574 0.026537 0
FOLR3 0.794513 0.025715 0
FLYWCH1 0.792108 0.022650 0
BAK1 0.791231 0.024314 0
LCN8 0.790191 0.022356 0
FHL3 0.789796 0.023337 0
AIFM3 0.788377 0.024854 0
NTPCR 0.786644 0.022192 0
ACAD9 0.785386 0.029230 0
THNSL2 0.781293 0.031589 0
MZT2A 0.781124 0.029335 0
SIAH1 0.781115 0.028297 0
AGA 0.780221 0.024109 0
NEBL 0.779419 0.027395 0
TMEM176A 0.779107 0.023641 0
SLC22A16 0.774860 0.027337 0
NT5C3L 0.774662 0.027757 0
C2orf63 0.773877 0.027050 0
SCGB3A1 0.772009 0.023962 0
CBR1 0.771544 0.026127 0
ZFP57 0.770786 0.031006 0
GLT25D2 0.769954 0.026685 0
TMEM176B 0.767827 0.024633 0
NR2F6 0.767444 0.024120 0
GSDMA 0.766787 0.029489 0
RNPEP 0.764454 0.023766 0
TREML4 0.763558 0.022891 0
MYH11 0.762332 0.028398 0
TMTC1 0.760782 0.026109 0
NAPRT1 0.760350 0.027598 0
CLEC12B 0.758924 0.026037 0
ZNF155 0.758742 0.026946 0
MFN2 0.756246 0.026316 0
NBPF3 0.755799 0.024930 0
COL9A3 0.754049 0.025906 0
C15orf38 0.753803 0.026138 0
CSTF2 0.753082 0.026538 0
BTNL8 0.753082 0.026538 0
C22orf34 0.753031 0.023929 0
ENC1 0.752564 0.024965 0
XRRA1 0.751487 0.027899 0
CEACAM21 0.751399 0.028038 0
SLC9A3 0.748283 0.027342 0
ACP6 0.747550 0.036439 0
NKX3-1 0.746924 0.025064 0
PLA2G16 0.744851 0.030056 0
A4GALT 0.744296 0.027564 0
SIRPB1 0.743783 0.024304 0
S100P 0.742721 0.025383 0
NQO2 0.740614 0.025813 0
FBXO2 0.739633 0.027111 0
NDE1 0.738461 0.033054 0
VARS2 0.737449 0.030400 0
PAM 0.735541 0.033254 0
CHURC1 0.735381 0.028782 0
ARHGEF17 0.734516 0.031489 0
HIP1 0.734424 0.033282 0
SPDYC 0.734402 0.032127 0
LGALS2 0.734084 0.025806 0
ADCK1 0.733612 0.027067 0
ACOX1 0.733385 0.029029 0
LRRC16A 0.732628 0.030196 0
ATOH8 0.732098 0.028576 0
NOD2 0.731892 0.028295 0
ACTA2 0.731397 0.026617 0
ERAP2 0.731273 0.029704 0
PIM2 0.731073 0.029360 0
ADARB2 0.731073 0.029360 0
PKN3 0.730977 0.029917 0
VASH1 0.730856 0.026195 0
GRIK4 0.730168 0.027037 0
MTUS1 0.727381 0.028530 0
COL5A3 0.726292 0.031158 0
PAAF1 0.725274 0.034587 0
CCZ1 0.723814 0.030051 0
UPK3B 0.723792 0.030187 0
POMZP3 0.723677 0.034732 0
HLA-DQA1 0.723001 0.031617 0
COL18A1 0.722083 0.027835 0
GSTM3 0.722041 0.026550 0
RNASET2 0.721883 0.027846 0
GSTM4 0.719191 0.028376 0
NAAA 0.718794 0.031062 0
SLC22A18 0.718557 0.027455 0
PVALB 0.717023 0.028709 0
ANKDD1A 0.716950 0.040188 0
PLB1 0.715972 0.030612 0
KCNK17 0.715883 0.029427 0
FMN1 0.715826 0.027895 0
CRYZ 0.715337 0.034064 0
PAQR6 0.714706 0.030280 0
ARL17A 0.714396 0.039988 0
MYO15B 0.714099 0.031597 0
ST6GALNAC6 0.712592 0.033622 0
ARL16 0.711235 0.028946 0
CMBL 0.708723 0.029511 0
LOXHD1 0.708389 0.030173 0
KRT77 0.708074 0.032397 0
KRT23 0.707882 0.037015 0
TFIP11 0.707565 0.028698 0
CPNE1 0.707264 0.038989 0
TRIM66 0.707006 0.030395 0
ACP5 0.705424 0.031641 0
C1QL3 0.704466 0.030234 0
AKR1C2 0.704078 0.028135 0
FBLN5 0.703115 0.029962 0
CLCN1 0.702857 0.033945 0
GDF15 0.702839 0.029064 0
CTSW 0.702092 0.038803 0
RPL9 0.700893 0.028770 0
CBS 0.700863 0.030277 0
PF4V1 0.700648 0.036467 0
ERO1L 0.697762 0.035891 0
RAPGEF3 0.696236 0.031765 0
ULK4 0.696230 0.030513 0
ZNF641 0.694593 0.034422 0
MDGA1 0.693604 0.030412 0
C22orf43 0.692601 0.032687 0
ODZ4 0.692170 0.031316 0
C9orf95 0.691882 0.031340 0
IGHMBP2 0.690502 0.030505 0
CLEC4F 0.689809 0.032140 0
LIPA 0.689647 0.031762 0
CBLN3 0.689188 0.029878 0
CD151 0.688938 0.030855 0
LSG1 0.688174 0.029776 0
LYSMD1 0.686695 0.042051 0
LRRC27 0.686572 0.030598 0
FAM167A 0.686245 0.032723 0
ERAP1 0.685809 0.033721 0
NUDT2 0.685383 0.038040 0
PCDH8 0.685203 0.035901 0
TMEM50A 0.684159 0.035393 0
LRRC37A 0.683748 0.042860 0
DGKQ 0.683733 0.034282 0
LRGUK 0.682934 0.038430 0
BCAT1 0.682032 0.034403 0
HLA-C 0.681884 0.035622 0
SLC12A1 0.680682 0.035477 0
DGCR6 0.679998 0.034599 0
ZNF100 0.679699 0.042480 0
HSPA12B 0.679637 0.033518 0
IFITM3 0.678583 0.034518 0
DCTN5 0.677793 0.030298 0
RAB11FIP4 0.676280 0.039294 0
ABP1 0.675581 0.033042 0
GSTM1 0.674602 0.034141 0
PCGF3 0.673233 0.039545 0
SEPT2 0.673141 0.035428 0
TPSD1 0.672882 0.033120 0
SYCP2L 0.672726 0.030864 0
PPP5C 0.671301 0.030449 0
QDPR 0.670172 0.032946 0
BTNL3 0.669409 0.033219 0
TMEM9 0.668966 0.031920 0
MTHFSD 0.668426 0.032001 0
FGFR1 0.667572 0.038289 0
PPFIA4 0.667294 0.031366 0
LYZ 0.667201 0.033324 0
ICAM4 0.665370 0.037691 0
NT5DC3 0.663989 0.032645 0
PICK1 0.663913 0.035353 0
C1orf85 0.663080 0.034801 0
YBEY 0.662737 0.037120 0
GCOM1 0.661596 0.034434 0
MYOM2 0.661416 0.031853 0
CHM 0.661416 0.031853 0
CDK10 0.661159 0.038935 0
NFXL1 0.658977 0.037081 0
ARHGAP22 0.658956 0.039499 0
REP15 0.657838 0.036507 0
NUDT7 0.656466 0.033679 0
ZNF83 0.656080 0.031395 0
TACSTD2 0.655455 0.032598 0
LIPC 0.654366 0.036984 0
VSIG10 0.654204 0.034580 0
TMEM80 0.653977 0.034919 0
DECR1 0.653609 0.043885 0
RNF182 0.652951 0.033882 0
USP53 0.652520 0.042128 0
CLEC18C 0.652280 0.047654 0
ANKMY1 0.651704 0.033938 0
ZYX 0.650833 0.040284 0
CMTM8 0.650566 0.035732 0
ADK 0.649726 0.043873 0
PRMT2 0.648855 0.043388 0
ACOT1 0.647842 0.038746 0
SLC35F3 0.647300 0.033729 0
MYO16 0.647176 0.032283 0
DCAF4 0.646935 0.038682 0
AP1M2 0.646460 0.035867 0
CLSTN3 0.644949 0.036928 0
ZP3 0.644450 0.039040 0
ZADH2 0.644242 0.032430 0
BSCL2 0.644057 0.042239 0
FAM26F 0.643990 0.042589 0
KIAA0284 0.643668 0.039164 0
ADAM15 0.643410 0.041225 0
B3GNTL1 0.642680 0.043798 0
SH3YL1 0.642335 0.036322 0
SFXN4 0.641819 0.035893 0
U2AF1L4 0.641589 0.034087 0
C1orf87 0.641177 0.039372 0
IQCB1 0.641041 0.042633 0
MXRA7 0.639671 0.031635 0
PELO 0.639083 0.042773 0
FOLR2 0.638982 0.040076 0
ROBO3 0.638424 0.038394 0
SLC36A1 0.638376 0.037917 0
VSTM1 0.637877 0.033508 0
KLHL30 0.637489 0.037502 0
ZNF589 0.637105 0.056741 0
GPRC5C 0.636401 0.033528 0
DNAJC15 0.635291 0.036113 0
PLCH2 0.634426 0.035720 0
NDUFV3 0.632578 0.036514 0
SCRN2 0.632308 0.040246 0
SIGLEC12 0.630753 0.032834 0
PPFIBP2 0.630362 0.037818 0
AFAP1 0.630261 0.034486 0
CLEC18A 0.630185 0.044442 0
LRRC6 0.628911 0.032965 0
FNTB 0.628174 0.042231 0
CPA5 0.627614 0.034983 0
IQSEC3 0.627239 0.037977 0
SPRYD4 0.626849 0.040085 0
NAGK 0.626386 0.035222 0
SLC25A29 0.626052 0.034767 0
FAM154B 0.625905 0.039400 0
ENGASE 0.625830 0.035154 0
C21orf128 0.625573 0.032464 0
BTN3A2 0.625172 0.042310 0
WDR18 0.624854 0.032286 0
PRUNE2 0.623711 0.031589 0
HLA-DQB2 0.623282 0.038768 0
SLC2A11 0.623027 0.037726 0
MARCO 0.622900 0.036534 0
F2RL1 0.622594 0.037789 0
SMG5 0.622055 0.037795 0
TTC12 0.621299 0.037933 0
SHKBP1 0.621199 0.040265 0
PNMAL2 0.621163 0.035455 0
SRXN1 0.620698 0.035271 0
P2RX1 0.620411 0.032950 0
ZNF514 0.619856 0.067657 0
GCNT2 0.619303 0.036413 0
MAN2C1 0.618804 0.044918 0
C22orf32 0.618673 0.040455 0
CHCHD2 0.617947 0.043159 0
MFSD9 0.617447 0.041465 0
HSD17B14 0.617443 0.034412 0
LPAR1 0.617040 0.037656 0
VPS28 0.616806 0.045414 0
MORC4 0.616766 0.039067 0
CCDC146 0.616766 0.039067 0
S100B 0.616470 0.044826 0
TMEM8A 0.615652 0.040057 0
VNN1 0.615209 0.035982 0
NIPAL2 0.614979 0.039126 0
CSGALNACT1 0.614570 0.036394 0
RAB38 0.613746 0.038787 0
TAPBPL 0.612797 0.034797 0
FUT10 0.612634 0.042663 0
C21orf56 0.611735 0.039338 0
PLTP 0.611384 0.038673 0
MICB 0.611341 0.043734 0
HDHD3 0.609523 0.038672 0
SLC5A11 0.609425 0.034089 0
PPIL3 0.607827 0.039482 0
KANK1 0.607715 0.040814 0
HIATL1 0.607138 0.042658 0
ZFAND2A 0.606964 0.039441 0
INF2 0.606922 0.040088 0
WBSCR27 0.606761 0.045135 0
MRPL54 0.606135 0.033793 0
ZNF880 0.606120 0.032366 0
ARSA 0.605619 0.040178 0
LIPN 0.605286 0.041670 0
C3AR1 0.605108 0.036020 0
TIAM2 0.604913 0.037688 0
TMC4 0.604660 0.031973 0
HAUS4 0.604573 0.034888 0
XRCC6BP1 0.604178 0.040763 0
FCGBP 0.604018 0.038980 0
CIB1 0.603534 0.036980 0
SRD5A3 0.603220 0.039619 0
SPSB2 0.602608 0.036853 0
RNASE6 0.602158 0.036601 0
MYO7B 0.602038 0.038924 0
ARHGEF19 0.601529 0.039758 0
RAI2 0.601005 0.042580 0
CRIPAK 0.601005 0.042580 0
SERPINB6 0.600419 0.034361 0
AMDHD1 0.599571 0.039189 0
PAX8 0.599564 0.042134 0
SCGB3A2 0.599530 0.038282 0
HERC2 0.599309 0.037314 0
TRIM4 0.598413 0.047653 0
SLC16A2 0.597185 0.033148 0
BEGAIN 0.597185 0.033148 0
GSTT1 0.597129 0.039583 0
HLA-DQA2 0.596765 0.040030 0
HLA-DRB1 0.596580 0.042014 0
ZNF502 0.596401 0.043982 0
B3GALNT2 0.595819 0.034965 0
UAP1L1 0.595387 0.036736 0
CHST13 0.594550 0.038306 0
TRAPPC4 0.594484 0.039264 0
CETN2 0.594484 0.039264 0
NUDT12 0.594151 0.040829 0
PSD4 0.593892 0.040968 0
PGM5 0.593175 0.046795 0
KIF16B 0.593111 0.035108 0
DDR1 0.593002 0.047483 0
PLD2 0.592956 0.039620 0
TMEM63C 0.592680 0.036216 0
CLEC4C 0.592163 0.037087 0
RAB15 0.592079 0.050755 0
ST20 0.590897 0.035369 0
CTSC 0.590019 0.039752 0
DHRS1 0.589973 0.038839 0
STOX1 0.589586 0.037135 0
CPSF1 0.589556 0.042304 0
STX2 0.589413 0.033990 0
LINS 0.589076 0.035776 0
CTSH 0.588587 0.041021 0
DNAJB7 0.586878 0.051699 0
SIRPB2 0.585858 0.033770 0
SNRNP25 0.585729 0.041736 0
ORMDL3 0.585644 0.041765 0
CDS2 0.585522 0.033928 0
GCAT 0.584447 0.039737 0
WDR86 0.584158 0.038777 0
RBMS2 0.584064 0.041162 0
ZNF205 0.583101 0.038452 0
ABCA7 0.582110 0.037774 0
CD177 0.581210 0.046374 0
STK32C 0.581168 0.035789 0
CAPN12 0.580177 0.043236 0
EBPL 0.579232 0.041204 0
CDC42EP1 0.578508 0.036036 0
RSPO4 0.578072 0.036614 0
FOXRED2 0.577805 0.036222 0
POLI 0.577530 0.049575 0
ABHD11 0.577246 0.050149 0
NT5M 0.576886 0.042621 0
C20orf72 0.576769 0.038292 0
EFHB 0.576495 0.039788 0
HTR6 0.576384 0.035675 0
RAP1GAP 0.576378 0.039610 0
SARDH 0.576083 0.039521 0
TOMM34 0.575661 0.045430 0
AGAP7 0.575429 0.046831 0
TTC39B 0.575256 0.035877 0
FCRL5 0.574923 0.036339 0
JAKMIP2 0.574860 0.041657 0
PRKCDBP 0.574658 0.039809 0
C15orf23 0.573880 0.040271 0
CDO1 0.573604 0.045680 0
POLR2J3 0.572460 0.047888 0
KHNYN 0.571730 0.041146 0
VLDLR 0.570910 0.040535 0
HLA-DOB 0.570393 0.049623 0
PNMAL1 0.569675 0.038165 0
ACOT4 0.568589 0.041784 0
IRF6 0.567881 0.039059 0
CCDC64B 0.567441 0.038377 0
CNTNAP2 0.567181 0.034999 0
LRRC37A2 0.566418 0.051819 0
ZNF266 0.565880 0.038732 0
KRT72 0.565787 0.039478 0
FANCA 0.565473 0.042227 0
SHMT1 0.565467 0.048734 0
GAA 0.565131 0.038686 0
CLEC4G 0.565021 0.038645 0
CALHM2 0.563991 0.051017 0
LRRC32 0.563915 0.040338 0
C21orf2 0.563185 0.041150 0
DIP2A 0.562744 0.044742 0
CEACAM4 0.562707 0.042943 0
CD300LD 0.561466 0.041608 0
NTSR1 0.561318 0.038426 0
CRB2 0.560956 0.043227 0
PLA2G4C 0.560432 0.040775 0
DCLK2 0.560421 0.048399 0
CAPG 0.558750 0.043428 0
NDST1 0.558453 0.039300 0
PM20D1 0.555625 0.039898 0
C19orf40 0.555477 0.039323 0
ARRDC4 0.554862 0.037302 0
PTPRN 0.554565 0.042874 0
CD300C 0.554299 0.041021 0
SLC2A14 0.554011 0.042260 0
EIF3F 0.553979 0.040841 0
C8orf73 0.553857 0.044486 0
MGMT 0.553725 0.037346 0
SAMD10 0.553518 0.037808 0
PDE1B 0.550895 0.043744 0
TCF19 0.550484 0.046690 0
ZNF593 0.550399 0.046643 0
GCC2 0.549860 0.045621 0
XCL1 0.549566 0.038589 0
HIST1H3E 0.549470 0.047839 0
HPD 0.549423 0.044648 0
POLM 0.549304 0.044072 0
NPHP3 0.548389 0.041338 0
NMT2 0.548006 0.040699 0
SLC22A18AS 0.547872 0.038764 0
ZNF157 0.547759 0.042283 0
SPP1 0.547759 0.042283 0
COPG2 0.547664 0.037680 0
POLR3K 0.547196 0.045460 0
S100A12 0.546944 0.048114 0
SERAC1 0.546842 0.041795 0
NEGR1 0.546838 0.044819 0
CBR3 0.546670 0.039806 0
LIMS2 0.546455 0.040770 0
DECR2 0.546118 0.040869 0
