gene local.h2 local.se global.h2 global.se
PVRL2 0.942054 0.006501 0.040737 0.028499
ACCS 0.921424 0.008750 0.013588 0.037905
JUP 0.911593 0.010975 0.029122 0.035561
GRHPR 0.867890 0.015125 0.000001 0.071816
FADS2 0.891275 0.012769 0.011019 0.042436
FN3KRP 0.885009 0.015093 0.020921 0.048535
HLA-DRB5 0.884057 0.014567 0.011778 0.052996
LDHC 0.880423 0.012931 0.078540 0.054952
ATP1A4 0.857058 0.015899 0.000001 0.069578
GM2A 0.841943 0.017927 0.158056 0.080967
HLA-DQB1 0.855693 0.017571 0.109193 0.072695
B4GALNT3 0.854920 0.016152 0.063654 0.068053
C9orf135 0.853896 0.016392 0.061572 0.055249
PEX6 0.840728 0.017047 0.000002 0.067812
RPS28 0.839560 0.016437 0.115938 0.076020
DNLZ 0.832129 0.017668 0.122849 0.081670
GBP3 0.806775 0.023749 0.000001 0.077943
C4BPA 0.718823 0.029203 0.281176 0.125782
SLC12A7 0.827439 0.018705 0.073838 0.067778
KIAA1324 0.792814 0.024163 0.000001 0.100237
TAF9B 0.792814 0.024163 0.000001 0.100237
DDX11 0.826800 0.018934 0.173198 0.078784
SPATA20 0.823758 0.018561 0.129225 0.085706
C17orf97 0.797061 0.020076 0.202938 0.100796
PPT1 0.818517 0.020798 0.181482 0.080206
PADI2 0.824709 0.018822 0.123469 0.082108
CLEC12A 0.818723 0.020115 0.149440 0.071072
FAM3B 0.803678 0.021287 0.000001 0.117408
FAM118A 0.803678 0.021287 0.000001 0.117408
MICA 0.730129 0.032805 0.269870 0.113016
PAPSS1 0.808958 0.022742 0.083444 0.083130
CASQ1 0.721631 0.030770 0.000001 0.148775
APOBEC3B 0.803543 0.021782 0.053223 0.081058
TUBB2A 0.746245 0.028404 0.000001 0.121946
RHD 0.800490 0.023423 0.080865 0.087693
CYP26B1 0.798389 0.023543 0.090157 0.089245
CCDC163P 0.779616 0.028583 0.000002 0.087084
FOLR3 0.794803 0.025694 0.026085 0.085364
FLYWCH1 0.791998 0.022654 0.084902 0.095632
BAK1 0.791689 0.024277 0.025958 0.084921
LCN8 0.753409 0.025865 0.000001 0.124548
FHL3 0.789161 0.023399 0.056841 0.092118
AIFM3 0.779297 0.025896 0.000001 0.077903
NTPCR 0.760326 0.024999 0.000001 0.125811
ACAD9 0.785431 0.029227 0.019682 0.082388
THNSL2 0.782086 0.031353 0.109524 0.072693
MZT2A 0.781233 0.029322 0.029329 0.081921
SIAH1 0.781976 0.028158 0.133333 0.081040
