AssociatedGeneName EnsemblGeneID h2.HeartLeftVentricle se.HeartLeftVentricle ensid
MDGA1 ENSG00000112139.9 0.111834 0.090093 ENSG00000112139
ADARB2 ENSG00000185736.11 0.027813 0.068062 ENSG00000185736
TMEM176B ENSG00000106565.13 0.163144 0.099077 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.09075 0.080889 ENSG00000074803
AFAP1 ENSG00000196526.6 0.135454 0.115218 ENSG00000196526
TMEM176A ENSG00000002933.3 0.141736 0.097193 ENSG00000002933
MFSD9 ENSG00000135953.6 0.060387 0.072137 ENSG00000135953
NIPAL2 ENSG00000104361.5 0.077447 0.076536 ENSG00000104361
CNR1 ENSG00000118432.11 0.142528 0.094777 ENSG00000118432
AOC1 ENSG00000002726.15 0.551381 0.091958 ENSG00000002726
PEX11G ENSG00000104883.3 0.060436 0.097345 ENSG00000104883
FAM118A ENSG00000100376.7 0.245001 0.112933 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.169185 0.107782 ENSG00000106772
LRRC6 ENSG00000129295.4 0.365628 0.097573 ENSG00000129295
PILRA ENSG00000085514.10 0.091736 0.066931 ENSG00000085514
RNPEP ENSG00000176393.6 0.027064 0.079807 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.090162 0.08551 ENSG00000161381
SORCS2 ENSG00000184985.12 0.090685 0.086999 ENSG00000184985
VPS53 ENSG00000141252.15 0.070971 0.069204 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.090751 0.094534 ENSG00000113504
ZP3 ENSG00000188372.10 0.519579 0.094744 ENSG00000188372
NFXL1 ENSG00000170448.7 0.097085 0.071653 ENSG00000170448
RPL9 ENSG00000163682.11 0.384603 0.104382 ENSG00000163682
TRMT12 ENSG00000183665.4 0.229987 0.105024 ENSG00000183665
ST20 ENSG00000180953.7 0.164881 0.098708 ENSG00000180953
CPA5 ENSG00000158525.11 0.079057 0.07978 ENSG00000158525
NDST1 ENSG00000070614.10 0.043552 0.081244 ENSG00000070614
ADK ENSG00000156110.9 0.251695 0.097763 ENSG00000156110
UNC5B ENSG00000107731.8 0.072634 0.088438 ENSG00000107731
FABP2 ENSG00000145384.3 0.591592 0.081266 ENSG00000145384
ABCA7 ENSG00000064687.8 0.018452 0.075379 ENSG00000064687
GSTT2 ENSG00000099984.6 0.078612 0.071097 ENSG00000099984
UBE2U ENSG00000177414.8 0.348945 0.108317 ENSG00000177414
A4GALT ENSG00000128274.11 0.079791 0.07846 ENSG00000128274
CCDC135 ENSG00000159625.10 0.022855 0.065232 ENSG00000159625
MCOLN2 ENSG00000153898.8 0.042949 0.066622 ENSG00000153898
SPATA20 ENSG00000006282.15 0.040347 0.074079 ENSG00000006282
OPRL1 ENSG00000125510.11 0.025079 0.065581 ENSG00000125510
C8orf31 ENSG00000177335.6 0.076753 0.07754 ENSG00000177335
LEPROT ENSG00000213625.4 0.103924 0.079366 ENSG00000213625
SLC28A3 ENSG00000197506.6 0.021784 0.06774 ENSG00000197506
CNTNAP3B ENSG00000154529.10 0.053652 0.058547 ENSG00000154529
CDKN3 ENSG00000100526.15 0.056812 0.063814 ENSG00000100526
RNASET2 ENSG00000026297.11 0.034838 0.075011 ENSG00000026297
CARKD ENSG00000213995.7 0.056218 0.093979 ENSG00000213995
KRT38 ENSG00000171360.3 0.018586 0.066341 ENSG00000171360
RDH13 ENSG00000160439.10 0.158132 0.12876 ENSG00000160439
NSUN4 ENSG00000117481.5 0.068623 0.060201 ENSG00000117481
GSTM4 ENSG00000168765.11 0.189055 0.097598 ENSG00000168765
HOXB2 ENSG00000173917.9 0.024873 0.052944 ENSG00000173917
KRT23 ENSG00000108244.12 0.088977 0.084105 ENSG00000108244
NUDT7 ENSG00000140876.7 0.030263 0.066522 ENSG00000140876
TKTL1 ENSG00000007350.12 0.021537 0.065023 ENSG00000007350
RFWD3 ENSG00000168411.9 0.126939 0.077321 ENSG00000168411
TFIP11 ENSG00000100109.12 0.074975 0.119257 ENSG00000100109
C10orf128 ENSG00000204161.9 0.037221 0.067448 ENSG00000204161
CORIN ENSG00000145244.7 0.025451 0.062559 ENSG00000145244
TMEM9 ENSG00000116857.11 0.014664 0.065401 ENSG00000116857
CCDC15 ENSG00000149548.10 0.029362 0.069967 ENSG00000149548
CTXN2 ENSG00000233932.3 0.038429 0.065058 ENSG00000233932
NT5C3B ENSG00000141698.12 0.023149 0.061047 ENSG00000141698
KNSTRN ENSG00000128944.8 0.040545 0.058216 ENSG00000128944
TNFAIP8L1 ENSG00000185361.4 0.014069 0.080358 ENSG00000185361
MYCBPAP ENSG00000136449.9 0.035264 0.074365 ENSG00000136449
CTSW ENSG00000172543.3 0.047912 0.066099 ENSG00000172543
NT5E ENSG00000135318.7 0.09828 0.083581 ENSG00000135318
ADAD2 ENSG00000140955.6 0.105066 0.107233 ENSG00000140955
CNTNAP2 ENSG00000174469.13 0.020357 0.062867 ENSG00000174469
CCDC94 ENSG00000105248.11 0.118397 0.100584 ENSG00000105248
KIF16B ENSG00000089177.13 0.077701 0.093162 ENSG00000089177
BAMBI ENSG00000095739.7 0.013155 0.069719 ENSG00000095739
KIAA1715 ENSG00000144320.9 0.06337 0.078038 ENSG00000144320
QRSL1 ENSG00000130348.7 0.049641 0.073932 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.056681 0.078123 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.157344 0.084527 ENSG00000100197
DHFR ENSG00000228716.2 0.327259 0.095339 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.025617 0.051964 ENSG00000162383
NEBL ENSG00000078114.14 0.055312 0.0726 ENSG00000078114
CNGA1 ENSG00000198515.9 0.351959 0.089839 ENSG00000198515
NUP133 ENSG00000069248.8 0.021545 0.059006 ENSG00000069248
G6PC2 ENSG00000152254.6 0.116386 0.08426 ENSG00000152254
