AssociatedGeneName EnsemblGeneID h2.Lung se.Lung ensid
SLC12A1 ENSG00000074803.13 0.282788 0.079197 ENSG00000074803
FAM118A ENSG00000100376.7 0.52681 0.091376 ENSG00000100376
PILRA ENSG00000085514.10 0.358501 0.07875 ENSG00000085514
PAPSS1 ENSG00000138801.4 0.258243 0.083856 ENSG00000138801
VPS53 ENSG00000141252.15 0.186968 0.071972 ENSG00000141252
ZP3 ENSG00000188372.10 0.191284 0.078261 ENSG00000188372
CPA5 ENSG00000158525.11 0.16176 0.069988 ENSG00000158525
ACCS ENSG00000110455.9 0.227172 0.091651 ENSG00000110455
SLC28A3 ENSG00000197506.6 0.149799 0.068642 ENSG00000197506
KRT23 ENSG00000108244.12 0.205676 0.081712 ENSG00000108244
NT5C3B ENSG00000141698.12 0.192321 0.078701 ENSG00000141698
QRSL1 ENSG00000130348.7 0.201234 0.090849 ENSG00000130348
G6PC2 ENSG00000152254.6 0.178861 0.077129 ENSG00000152254
KCNMA1 ENSG00000156113.16 0.240761 0.088967 ENSG00000156113
C15orf57 ENSG00000128891.11 0.158257 0.064769 ENSG00000128891
PCSK5 ENSG00000099139.9 0.20611 0.093216 ENSG00000099139
CAMK1D ENSG00000183049.8 0.273736 0.096027 ENSG00000183049
SIRPB1 ENSG00000101307.11 0.21114 0.086799 ENSG00000101307
NIPAL1 ENSG00000163293.7 0.127196 0.059272 ENSG00000163293
PLEC ENSG00000178209.10 0.130669 0.064092 ENSG00000178209
LGALS2 ENSG00000100079.5 0.216237 0.087854 ENSG00000100079
KCNK17 ENSG00000124780.9 0.346019 0.090571 ENSG00000124780
CLCN1 ENSG00000188037.6 0.175475 0.077343 ENSG00000188037
L1TD1 ENSG00000240563.1 0.21364 0.084578 ENSG00000240563
GLDC ENSG00000178445.8 0.262204 0.083665 ENSG00000178445
CLEC18C ENSG00000157335.15 0.243594 0.085431 ENSG00000157335
ERP27 ENSG00000139055.2 0.20686 0.067158 ENSG00000139055
SPRY2 ENSG00000136158.6 0.18226 0.074871 ENSG00000136158
LURAP1 ENSG00000171357.5 0.165034 0.079509 ENSG00000171357
STX2 ENSG00000111450.9 0.274177 0.087946 ENSG00000111450
GPX7 ENSG00000116157.5 0.13382 0.06644 ENSG00000116157
LAMC1 ENSG00000135862.5 0.113231 0.053447 ENSG00000135862
NARFL ENSG00000103245.9 0.201742 0.082623 ENSG00000103245
CDC16 ENSG00000130177.10 0.121637 0.052104 ENSG00000130177
CPSF1 ENSG00000071894.10 0.255873 0.082034 ENSG00000071894
MYL4 ENSG00000198336.5 0.318431 0.091292 ENSG00000198336
SLC44A3 ENSG00000143036.12 0.156954 0.072123 ENSG00000143036
NUSAP1 ENSG00000137804.8 0.14615 0.069513 ENSG00000137804
BEGAIN ENSG00000183092.11 0.214805 0.074449 ENSG00000183092
ASCL5 ENSG00000232237.2 0.270687 0.091001 ENSG00000232237
TMTC4 ENSG00000125247.11 0.190836 0.078878 ENSG00000125247
LHFP ENSG00000183722.7 0.182154 0.076152 ENSG00000183722
OLFM4 ENSG00000102837.6 0.162025 0.075219 ENSG00000102837
IGSF11 ENSG00000144847.8 0.367978 0.084245 ENSG00000144847
MMP15 ENSG00000102996.4 0.182871 0.08419 ENSG00000102996
KCNH2 ENSG00000055118.10 0.247844 0.09445 ENSG00000055118
ENPP4 ENSG00000001561.6 0.151658 0.062657 ENSG00000001561
C16orf95 ENSG00000260456.2 0.252343 0.100387 ENSG00000260456
AASDH ENSG00000157426.9 0.162988 0.070179 ENSG00000157426
CCDC155 ENSG00000161609.5 0.426066 0.078541 ENSG00000161609
