AssociatedGeneName EnsemblGeneID h2.NerveTibial se.NerveTibial ensid
FAM118A ENSG00000100376.7 0.424612 0.091818 ENSG00000100376
RPL9 ENSG00000163682.11 0.309263 0.085293 ENSG00000163682
ITGB3BP ENSG00000142856.12 0.156981 0.075901 ENSG00000142856
ABCA7 ENSG00000064687.8 0.21517 0.094579 ENSG00000064687
ACCS ENSG00000110455.9 0.299657 0.089976 ENSG00000110455
MCOLN2 ENSG00000153898.8 0.214485 0.077963 ENSG00000153898
SLC26A8 ENSG00000112053.9 0.192862 0.08004 ENSG00000112053
RDH13 ENSG00000160439.10 0.253868 0.098385 ENSG00000160439
KNSTRN ENSG00000128944.8 0.19892 0.08718 ENSG00000128944
CYP2D6 ENSG00000100197.16 0.165776 0.071628 ENSG00000100197
APIP ENSG00000149089.8 0.214708 0.075501 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.272013 0.097762 ENSG00000238083
IFITM3 ENSG00000142089.11 0.252003 0.09064 ENSG00000142089
AL359195.1 ENSG00000204038.3 0.225101 0.084418 ENSG00000204038
ATMIN ENSG00000166454.5 0.203491 0.091744 ENSG00000166454
ANXA8L2 ENSG00000186807.9 0.319716 0.083083 ENSG00000186807
GAL ENSG00000069482.6 0.156779 0.072666 ENSG00000069482
ADAT1 ENSG00000065457.6 0.165687 0.078166 ENSG00000065457
OPN4 ENSG00000122375.7 0.182604 0.082269 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.306669 0.077987 ENSG00000171903
FANCA ENSG00000187741.10 0.224793 0.079759 ENSG00000187741
RSPO4 ENSG00000101282.4 0.296092 0.098255 ENSG00000101282
SIRPB1 ENSG00000101307.11 0.356357 0.097061 ENSG00000101307
BSPRY ENSG00000119411.10 0.190994 0.082993 ENSG00000119411
MTHFS ENSG00000136371.5 0.242036 0.086856 ENSG00000136371
PPIP5K2 ENSG00000145725.14 0.243041 0.084426 ENSG00000145725
VLDLR ENSG00000147852.10 0.254222 0.09224 ENSG00000147852
C10orf107 ENSG00000183346.6 0.170901 0.073619 ENSG00000183346
BCAT1 ENSG00000060982.10 0.22824 0.096968 ENSG00000060982
PCDHB16 ENSG00000196963.2 0.210619 0.086421 ENSG00000196963
CDH23 ENSG00000107736.15 0.172818 0.083534 ENSG00000107736
DDX11 ENSG00000013573.12 0.487443 0.078569 ENSG00000013573
ZNF589 ENSG00000164048.9 0.221276 0.086888 ENSG00000164048
TMEM230 ENSG00000089063.10 0.204726 0.099279 ENSG00000089063
C4BPA ENSG00000123838.6 0.215989 0.076534 ENSG00000123838
LRRC8B ENSG00000197147.8 0.243891 0.080026 ENSG00000197147
VPS28 ENSG00000160948.9 0.264649 0.096546 ENSG00000160948
GSDMA ENSG00000167914.6 0.166078 0.070452 ENSG00000167914
SRD5A3 ENSG00000128039.6 0.161415 0.067992 ENSG00000128039
IRF6 ENSG00000117595.6 0.183458 0.073315 ENSG00000117595
KLHL10 ENSG00000161594.6 0.118068 0.058247 ENSG00000161594
PODN ENSG00000174348.9 0.159921 0.07522 ENSG00000174348
SLC28A2 ENSG00000137860.7 0.132441 0.06276 ENSG00000137860
CCDC14 ENSG00000175455.10 0.159205 0.071113 ENSG00000175455
PM20D1 ENSG00000162877.8 0.336808 0.08526 ENSG00000162877
IL21R ENSG00000103522.11 0.290612 0.093676 ENSG00000103522
SYNGR1 ENSG00000100321.10 0.281406 0.076617 ENSG00000100321
GLDC ENSG00000178445.8 0.20411 0.087402 ENSG00000178445
SDCCAG8 ENSG00000054282.11 0.159346 0.07265 ENSG00000054282
FSD1 ENSG00000105255.6 0.238007 0.101754 ENSG00000105255
SNX31 ENSG00000174226.4 0.304795 0.093924 ENSG00000174226
CLEC18C ENSG00000157335.15 0.343779 0.084437 ENSG00000157335
ZNF419 ENSG00000105136.15 0.166087 0.072867 ENSG00000105136
AMH ENSG00000104899.3 0.189308 0.09437 ENSG00000104899
STX2 ENSG00000111450.9 0.1845 0.089413 ENSG00000111450
NUP54 ENSG00000138750.10 0.217287 0.075079 ENSG00000138750
METTL9 ENSG00000197006.9 0.174364 0.076913 ENSG00000197006
FBLL1 ENSG00000188573.7 0.203548 0.091071 ENSG00000188573
NDNF ENSG00000173376.9 0.14345 0.062883 ENSG00000173376
PM20D2 ENSG00000146281.5 0.212107 0.088947 ENSG00000146281
CPSF1 ENSG00000071894.10 0.260449 0.087658 ENSG00000071894
RAB11FIP4 ENSG00000131242.11 0.275135 0.086065 ENSG00000131242
HP ENSG00000257017.4 0.207908 0.087532 ENSG00000257017
ALDH8A1 ENSG00000118514.9 0.230924 0.076236 ENSG00000118514
SLC45A4 ENSG00000022567.5 0.298356 0.096474 ENSG00000022567
SLC44A3 ENSG00000143036.12 0.325867 0.078957 ENSG00000143036
CCBL2 ENSG00000137944.12 0.227459 0.084761 ENSG00000137944
ASCL5 ENSG00000232237.2 0.206687 0.091688 ENSG00000232237
C13orf45 ENSG00000178734.4 0.286394 0.081885 ENSG00000178734
LINGO2 ENSG00000174482.6 0.401921 0.085768 ENSG00000174482
ATP2C2 ENSG00000064270.8 0.197804 0.096625 ENSG00000064270
ZNF628 ENSG00000197483.8 0.212617 0.093339 ENSG00000197483
NIPSNAP1 ENSG00000184117.7 0.169333 0.080468 ENSG00000184117
LAMC2 ENSG00000058085.10 0.246348 0.078789 ENSG00000058085
UBAP2L ENSG00000143569.14 0.21631 0.094344 ENSG00000143569
TMEM165 ENSG00000134851.7 0.169908 0.077608 ENSG00000134851
C5orf63 ENSG00000164241.9 0.231094 0.075223 ENSG00000164241
CFHR3 ENSG00000116785.9 0.274452 0.088833 ENSG00000116785
B3GALNT2 ENSG00000162885.7 0.166053 0.075595 ENSG00000162885
GCNT3 ENSG00000140297.8 0.18235 0.081005 ENSG00000140297
DNAH7 ENSG00000118997.9 0.213177 0.068627 ENSG00000118997
AP000350.4 ENSG00000218537.1 0.142744 0.06893 ENSG00000218537
C10orf129 ENSG00000173124.10 0.333887 0.08367 ENSG00000173124
ZNF530 ENSG00000183647.6 0.186468 0.092057 ENSG00000183647
GNL3 ENSG00000163938.12 0.2045 0.091256 ENSG00000163938
ECT2L ENSG00000203734.6 0.21233 0.081796 ENSG00000203734
POLE ENSG00000177084.12 0.225355 0.078625 ENSG00000177084
OR7C1 ENSG00000127530.2 0.226364 0.085314 ENSG00000127530
RBL2 ENSG00000103479.10 0.199903 0.078568 ENSG00000103479
DDO ENSG00000203797.4 0.282436 0.089523 ENSG00000203797
CCL26 ENSG00000006606.4 0.268078 0.089006 ENSG00000006606
NDUFAF1 ENSG00000137806.4 0.46917 0.0842 ENSG00000137806
SULT1A2 ENSG00000197165.6 0.180154 0.087695 ENSG00000197165
SERHL2 ENSG00000183569.13 0.236173 0.084013 ENSG00000183569
POMP ENSG00000132963.7 0.15449 0.076382 ENSG00000132963
CKAP2 ENSG00000136108.10 0.160069 0.064576 ENSG00000136108
SFTPD ENSG00000133661.11 0.375364 0.095432 ENSG00000133661
SNX11 ENSG00000002919.10 0.162048 0.071252 ENSG00000002919
UBA6 ENSG00000033178.7 0.130991 0.065485 ENSG00000033178
GUCA1B ENSG00000112599.8 0.187075 0.077747 ENSG00000112599
