probe	chr	start	end	info	gene	IFAh2	IFAh2cis	IFAh2trans	IFBh2	IFBh2cis	IFBh2trans	rho	
650693	1	1259427	1259487	RSE_00000869609	TAS1R3	0.099	0.227	-0.128	0.142	-0.034	0.176	0.011	
655019	1	207507977	207508037	NM_005176	ATP5G2	0.401	0.053	0.348	0.045	0.081	-0.036	-0.170	
719457	1	157602774	157602834	RSE_00000868336	BC038194	0.116	-0.078	0.194	-0.023	-0.098	0.075	0.009	
722881	1	224218623	224218683	RSE_00000874877	LOC644482	0.277	0.308	-0.031	0.018	0.155	-0.137	0.068	
1132235	1	42401183	42401675	M97496	GUCA2A	0.709	0.231	0.477	0.123	0.043	0.080	-0.135	
1141189	1	175097048	175097108	AB006627	ASTN1	-0.066	0.049	-0.114	-0.005	-0.023	0.017	0.042	
1141212	1	204704188	204704248	AB007925	SRGAP2	0.181	0.124	0.058	0.219	0.120	0.099	0.092	
1141216	1	203379149	203379209	AB007941	RIPK5	0.196	-0.061	0.257	-0.060	-0.041	-0.019	-0.019	
1141388	1	224862577	224862637	AF035308	C1orf95	0.371	0.140	0.231	-0.005	0.127	-0.132	0.068	
1141399	1	179209119	179209179	AF038202	STX6	0.212	0.024	0.188	0.125	-0.099	0.224	0.045	
1141428	1	169935942	169936002	AF052100	VAMP4	0.290	0.087	0.203	-0.104	-0.128	0.024	-0.008	
1141430	1	4751603	4751663	AF052109	BC037321	0.026	-0.002	0.028	0.131	0.007	0.124	-0.013	
1141455	1	203257636	203257696	AF054995	NFASC	0.014	0.324	-0.310	0.060	0.094	-0.033	-0.060	
1141492	1	23960581	23960641	AF070554	TCEB3	0.256	0.213	0.043	0.069	0.103	-0.033	-0.022	
1143543	1	52662074	52662134	D83776	ZCCHC11	0.326	0.017	0.310	0.036	0.057	-0.021	0.056	
1144415	1	20111746	20111806	AB007928	OTUD3	0.206	0.061	0.145	0.191	-0.035	0.225	0.025	
1144620	1	200826569	200826629	AF070580	SYT2	0.030	0.028	0.002	-0.091	0.008	-0.099	-0.041	
1147665	1	209811829	209811889	U68494	SLC30A1	0.238	0.043	0.195	0.006	-0.190	0.196	-0.027	
1147876	1	206266854	206266914	AB007932	PLXNA2	0.326	-0.118	0.444	0.214	0.003	0.212	0.074	
1147882	1	3642581	3642641	AB007964	KIAA0495	0.295	0.170	0.125	0.045	-0.193	0.238	0.016	
1147896	1	3396491	3396551	AB011539	MEGF6	0.263	-0.031	0.294	-0.018	0.035	-0.053	-0.002	
1151410	1	15317063	15317123	AF052120	RP1-21O18.1	0.483	0.385	0.098	0.596	0.234	0.362	0.076	
1154375	1	46278552	46278612	U90907	PIK3R3	0.269	-0.053	0.322	0.457	0.003	0.454	0.025	
1154683	1	172252549	172252609	AB007961	KIAA0492	0.482	0.047	0.435	0.115	0.036	0.078	0.069	
1154729	1	150959296	150959355	AF005081	C1orf68	0.251	-0.323	0.574	0.473	-0.016	0.489	0.372	
1162254	1	154448985	154449045	AB007915	SLC25A44	0.458	-0.046	0.504	0.208	0.251	-0.042	-0.034	
1166271	1	39654216	39654276	AB018297	MACF1	0.699	0.046	0.653	0.299	0.021	0.278	-0.008	
1170645	1	176599364	176599424	AB007970	RASAL2	0.080	0.114	-0.034	-0.138	0.092	-0.230	0.062	
1170647	1	2022083	2022314	AB007974	PRKCZ	0.093	0.063	0.030	0.021	-0.026	0.047	0.125	
1183189	1	26100617	26100677	L37198	STMN1	-0.089	0.015	-0.104	0.116	0.008	0.108	-0.126	
1345627	1	15933770	15933830	AB020649	PLEKHM2	0.227	0.245	-0.018	0.129	0.128	0.001	0.015	
1416003	1	115116239	115116299	AI685170_RC	SIKE	0.112	0.145	-0.032	0.114	-0.180	0.293	-0.005	
10000544803	1	156564647	156565370	NM_001764	CD1B	-0.018	-0.195	0.178	0.073	-0.066	0.140	0.025	
10000544811	1	233891411	233891471	NM_000081	LYST	0.429	0.195	0.234	0.027	-0.088	0.115	-0.030	
10000544821	1	70670382	70670442	NM_001902	CTH	0.042	-0.038	0.080	0.152	0.290	-0.138	0.063	
10000544822	1	204497898	204497958	NM_001910	CTSE	0.052	0.040	0.011	-0.002	-0.000	-0.002	-0.059	
10000544852	1	37039253	37039313	NM_000831	GRIK3	0.078	0.181	-0.103	-0.007	-0.005	-0.003	-0.015	
10000544879	1	223655901	223655961	NM_002296	LBR	0.216	0.049	0.167	0.181	0.005	0.176	0.015	
10000544890	1	115630400	115630460	NM_002506	NGFB	0.030	0.161	-0.132	0.062	-0.014	0.076	0.033	
10000544905	1	149531071	149531131	NM_002651	PIK4CB	0.229	0.093	0.136	-0.021	-0.062	0.041	-0.066	
10000544915	1	40311021	40311081	NM_000310	PPT1	0.276	0.099	0.177	0.338	0.484	-0.146	-0.032	
10000544922	1	149640931	149640991	NM_002796	PSMB4	0.333	-0.190	0.523					
10000544938	1	191047716	191047776	NM_002923	RGS2	0.539	0.067	0.473					
10000544941	1	23892881	23892934	NM_000975	RPL11	0.328	-0.038	0.366	0.094	0.033	0.061	-0.037	
10000544951	1	151597497	151599767	NM_002965	S100A9	0.260	0.268	-0.008	0.085	-0.018	0.103	0.153	
10000544954	1	166817879	166817939	NM_002995	XCL1	0.164	0.073	0.091	0.435	0.374	0.061	0.108	
10000544958	1	47489087	47489147	NM_003035	STIL	0.078	0.041	0.037	0.080	0.002	0.078	-0.010	
10000544981	1	216681452	216681512	NM_003238	TGFB2	0.144	0.012	0.132	0.014	0.109	-0.095	-0.056	
10000544986	1	171419569	171419629	NM_003326	TNFSF4	0.097	-0.090	0.188	0.368	0.150	0.218	-0.087	
10000545025	1	97316259	97316319	NM_000110	DPYD	0.042	0.064	-0.022	-0.003	0.074	-0.078	0.032	
10000545031	1	24073052	24073112	NM_001841	CNR2	-0.062	-0.202	0.141	0.265	0.024	0.241	-0.011	
