AssociatedGeneName EnsemblGeneID h2.WholeBlood se.WholeBlood ensid
PVRL2 ENSG00000130202.5 0.732443 0.045935 ENSG00000130202
JUP ENSG00000173801.12 0.703367 0.050486 ENSG00000173801
MDGA1 ENSG00000112139.9 0.714505 0.053532 ENSG00000112139
GSTT1 ENSG00000184674.8 0.543371 0.071117 ENSG00000184674
ADARB2 ENSG00000185736.11 0.603481 0.064534 ENSG00000185736
TMEM176B ENSG00000106565.13 0.669396 0.054186 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.612703 0.057306 ENSG00000074803
AFAP1 ENSG00000196526.6 0.594393 0.063426 ENSG00000196526
TMTC1 ENSG00000133687.11 0.687841 0.052694 ENSG00000133687
TMEM176A ENSG00000002933.3 0.626957 0.058543 ENSG00000002933
MFSD9 ENSG00000135953.6 0.671986 0.053923 ENSG00000135953
NIPAL2 ENSG00000104361.5 0.305114 0.086747 ENSG00000104361
CNR1 ENSG00000118432.11 0.541781 0.065021 ENSG00000118432
APOBEC3B ENSG00000179750.11 0.520167 0.078587 ENSG00000179750
AOC1 ENSG00000002726.15 0.52423 0.071721 ENSG00000002726
PEX11G ENSG00000104883.3 0.577428 0.071702 ENSG00000104883
FAM118A ENSG00000100376.7 0.770391 0.047001 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.673336 0.054301 ENSG00000106772
LRRC6 ENSG00000129295.4 0.576461 0.067833 ENSG00000129295
RPS28 ENSG00000233927.4 0.789567 0.040553 ENSG00000233927
TREML4 ENSG00000188056.7 0.723452 0.047283 ENSG00000188056
PAM ENSG00000145730.16 0.382772 0.07829 ENSG00000145730
RNPEP ENSG00000176393.6 0.678605 0.057247 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.409605 0.073567 ENSG00000161381
SORCS2 ENSG00000184985.12 0.263285 0.087396 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.506589 0.070757 ENSG00000138801
VPS53 ENSG00000141252.15 0.472243 0.063949 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.594952 0.075181 ENSG00000113504
KIAA1324 ENSG00000116299.12 0.586404 0.060746 ENSG00000116299
ZP3 ENSG00000188372.10 0.520992 0.069178 ENSG00000188372
DUT ENSG00000128951.9 0.410589 0.073176 ENSG00000128951
POLR2J3 ENSG00000168255.13 0.238531 0.079959 ENSG00000168255
NFXL1 ENSG00000170448.7 0.465204 0.06759 ENSG00000170448
RPL9 ENSG00000163682.11 0.778549 0.039033 ENSG00000163682
TRMT12 ENSG00000183665.4 0.539901 0.062231 ENSG00000183665
ST20 ENSG00000180953.7 0.437316 0.072492 ENSG00000180953
CPA5 ENSG00000158525.11 0.555266 0.063951 ENSG00000158525
NDST1 ENSG00000070614.10 0.400754 0.077218 ENSG00000070614
ADK ENSG00000156110.9 0.439601 0.079251 ENSG00000156110
UNC5B ENSG00000107731.8 0.347623 0.078077 ENSG00000107731
FABP2 ENSG00000145384.3 0.411357 0.071387 ENSG00000145384
ABCA7 ENSG00000064687.8 0.501332 0.073537 ENSG00000064687
ACCS ENSG00000110455.9 0.661146 0.05895 ENSG00000110455
GSTT2 ENSG00000099984.6 0.05459 0.051061 ENSG00000099984
UBE2U ENSG00000177414.8 0.198973 0.07481 ENSG00000177414
NAV1 ENSG00000134369.11 0.319155 0.070024 ENSG00000134369
GSTT2B ENSG00000133433.6 0.025939 0.043178 ENSG00000133433
A4GALT ENSG00000128274.11 0.535602 0.072744 ENSG00000128274
CCDC135 ENSG00000159625.10 0.367233 0.076019 ENSG00000159625
MFN2 ENSG00000116688.12 0.601996 0.062479 ENSG00000116688
MYEF2 ENSG00000104177.13 0.354519 0.068698 ENSG00000104177
PGM5 ENSG00000154330.8 0.230648 0.070591 ENSG00000154330
MCOLN2 ENSG00000153898.8 0.083348 0.059178 ENSG00000153898
SPATA20 ENSG00000006282.15 0.744889 0.046895 ENSG00000006282
OPRL1 ENSG00000125510.11 0.115952 0.065092 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.036656 0.046165 ENSG00000112053
C8orf31 ENSG00000177335.6 0.260771 0.071664 ENSG00000177335
LEPROT ENSG00000213625.4 0.507165 0.080813 ENSG00000213625
SLC28A3 ENSG00000197506.6 0.062012 0.051133 ENSG00000197506
PTF1A ENSG00000168267.5 0.447369 0.093482 ENSG00000168267
PSD4 ENSG00000125637.10 0.549286 0.066765 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.288446 0.067304 ENSG00000164465
CDKN3 ENSG00000100526.15 0.065626 0.057304 ENSG00000100526
RNASET2 ENSG00000026297.11 0.371114 0.071038 ENSG00000026297
CARKD ENSG00000213995.7 0.451494 0.074054 ENSG00000213995
KRT38 ENSG00000171360.3 0.392535 0.072554 ENSG00000171360
RDH13 ENSG00000160439.10 0.507712 0.072887 ENSG00000160439
AGAP7 ENSG00000204169.6 0.324213 0.077946 ENSG00000204169
NSUN4 ENSG00000117481.5 0.309615 0.073226 ENSG00000117481
APOBEC3G ENSG00000239713.3 0.094396 0.072397 ENSG00000239713
NOD2 ENSG00000167207.7 0.429282 0.076966 ENSG00000167207
GSTM4 ENSG00000168765.11 0.520896 0.071789 ENSG00000168765
HOXB2 ENSG00000173917.9 0.433438 0.075441 ENSG00000173917
KRT23 ENSG00000108244.12 0.588179 0.060667 ENSG00000108244
NUDT7 ENSG00000140876.7 0.398692 0.079225 ENSG00000140876
LRRC61 ENSG00000127399.10 0.210577 0.066681 ENSG00000127399
FADS2 ENSG00000134824.9 0.50004 0.072113 ENSG00000134824
LRRC37A ENSG00000176681.10 0.410217 0.08712 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.054144 0.045199 ENSG00000214872
RFWD3 ENSG00000168411.9 0.219641 0.075932 ENSG00000168411
TFIP11 ENSG00000100109.12 0.419075 0.083197 ENSG00000100109
C10orf128 ENSG00000204161.9 0.299483 0.071021 ENSG00000204161
CORIN ENSG00000145244.7 0.290598 0.070494 ENSG00000145244
TMEM9 ENSG00000116857.11 0.465415 0.075662 ENSG00000116857
CCDC15 ENSG00000149548.10 0.282771 0.072168 ENSG00000149548
CTXN2 ENSG00000233932.3 0.302841 0.068537 ENSG00000233932
NT5C3B ENSG00000141698.12 0.57807 0.062967 ENSG00000141698
ADCK3 ENSG00000163050.11 0.270647 0.069573 ENSG00000163050
KNSTRN ENSG00000128944.8 0.317593 0.082097 ENSG00000128944
FCGR2B ENSG00000072694.14 0.464424 0.07913 ENSG00000072694
LILRB5 ENSG00000105609.12 0.368545 0.083547 ENSG00000105609
TNFAIP8L1 ENSG00000185361.4 0.094588 0.068006 ENSG00000185361
MYCBPAP ENSG00000136449.9 0.340172 0.079912 ENSG00000136449
CTSW ENSG00000172543.3 0.227787 0.07131 ENSG00000172543
GCAT ENSG00000100116.12 0.257839 0.074392 ENSG00000100116
NT5E ENSG00000135318.7 0.200882 0.06246 ENSG00000135318
ADAD2 ENSG00000140955.6 0.065742 0.078188 ENSG00000140955
CES1 ENSG00000198848.8 0.251923 0.08021 ENSG00000198848
HPR ENSG00000261701.2 0.185631 0.06694 ENSG00000261701
CNTNAP2 ENSG00000174469.13 0.049641 0.063216 ENSG00000174469
CCDC94 ENSG00000105248.11 0.122221 0.06708 ENSG00000105248
CTB-133G6.1 ENSG00000263264.1 0.10963 0.073029 ENSG00000263264
HAUS4 ENSG00000092036.12 0.210118 0.077506 ENSG00000092036
EHMT1 ENSG00000181090.13 0.318289 0.070569 ENSG00000181090
GRHPR ENSG00000137106.13 0.644402 0.06237 ENSG00000137106
KIF16B ENSG00000089177.13 0.457176 0.075285 ENSG00000089177
BAMBI ENSG00000095739.7 0.300174 0.076871 ENSG00000095739
LILRA4 ENSG00000239961.2 0.515691 0.076513 ENSG00000239961
H3F3A ENSG00000163041.5 0.233021 0.073514 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.432147 0.074182 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.311406 0.083539 ENSG00000154099
QRSL1 ENSG00000130348.7 0.015541 0.043359 ENSG00000130348
STOX1 ENSG00000165730.10 0.366014 0.070677 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.366831 0.073391 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.47795 0.070085 ENSG00000100197
DHFR ENSG00000228716.2 0.276942 0.065239 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.251502 0.077963 ENSG00000162383
NEBL ENSG00000078114.14 0.398218 0.081409 ENSG00000078114
CNGA1 ENSG00000198515.9 0.088409 0.048015 ENSG00000198515
NUP133 ENSG00000069248.8 0.087414 0.059477 ENSG00000069248
APIP ENSG00000149089.8 0.29131 0.070794 ENSG00000149089
SAMD12 ENSG00000177570.9 0.275301 0.077047 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.295748 0.07586 ENSG00000238083
RAB3IL1 ENSG00000167994.7 0.261432 0.079127 ENSG00000167994
ZNF641 ENSG00000167528.8 0.388258 0.069567 ENSG00000167528
TUFM ENSG00000178952.4 0.417245 0.069363 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.433448 0.073842 ENSG00000156113
PRSS46 ENSG00000261603.1 0.527508 0.090816 ENSG00000261603
SOAT1 ENSG00000057252.8 0.157758 0.059549 ENSG00000057252
FAM151B ENSG00000152380.5 0.086889 0.050796 ENSG00000152380
COL5A3 ENSG00000080573.6 0.658292 0.06379 ENSG00000080573
RRP7A ENSG00000189306.6 0.180964 0.077224 ENSG00000189306
RPTN ENSG00000215853.3 0.029381 0.050125 ENSG00000215853
IFITM3 ENSG00000142089.11 0.292348 0.082946 ENSG00000142089
ARHGAP22 ENSG00000128805.10 0.34713 0.083623 ENSG00000128805
LIMS2 ENSG00000072163.14 0.34852 0.080608 ENSG00000072163
SLC24A5 ENSG00000188467.6 0.152015 0.063657 ENSG00000188467
ANKRD34B ENSG00000189127.3 0.310729 0.071733 ENSG00000189127
PCYOX1L ENSG00000145882.6 0.379789 0.075355 ENSG00000145882
CDS2 ENSG00000101290.9 0.181337 0.06893 ENSG00000101290
KCNJ4 ENSG00000168135.4 0.111711 0.059177 ENSG00000168135
RBPMS2 ENSG00000166831.4 0.310531 0.072036 ENSG00000166831
SMIM20 ENSG00000250317.4 0.043083 0.050283 ENSG00000250317
C8B ENSG00000021852.8 0.250809 0.067429 ENSG00000021852
AL359195.1 ENSG00000204038.3 0.026208 0.042845 ENSG00000204038
PKP4 ENSG00000144283.17 0.374191 0.07172 ENSG00000144283
TLR3 ENSG00000164342.7 0.096386 0.058165 ENSG00000164342
TACSTD2 ENSG00000184292.5 0.366311 0.072996 ENSG00000184292
GM2A ENSG00000196743.4 0.679343 0.060964 ENSG00000196743
LIPN ENSG00000204020.5 0.284193 0.070879 ENSG00000204020
COLGALT2 ENSG00000198756.6 0.503034 0.071996 ENSG00000198756
ZNF266 ENSG00000174652.13 0.393179 0.067598 ENSG00000174652
CYP4F31P ENSG00000178206.3 0.103861 0.067877 ENSG00000178206
WARS ENSG00000140105.13 0.279885 0.070804 ENSG00000140105
APOL4 ENSG00000100336.13 0.062953 0.066968 ENSG00000100336
MCM5 ENSG00000100297.10 0.025492 0.044736 ENSG00000100297
NTPCR ENSG00000135778.6 0.617918 0.064832 ENSG00000135778
PTK7 ENSG00000112655.11 0.147692 0.068824 ENSG00000112655
FAM84B ENSG00000168672.3 0.097878 0.068909 ENSG00000168672
