AssociatedGeneName EnsemblGeneID h2.NerveTibial se.NerveTibial ensid
JUP ENSG00000173801.12 0.073988 0.062529 ENSG00000173801
GSTT1 ENSG00000184674.8 0.052685 0.058174 ENSG00000184674
TMEM176B ENSG00000106565.13 0.06622 0.058556 ENSG00000106565
TMTC1 ENSG00000133687.11 0.054908 0.055977 ENSG00000133687
TMEM176A ENSG00000002933.3 0.055486 0.057799 ENSG00000002933
MFSD9 ENSG00000135953.6 0.052043 0.055124 ENSG00000135953
FAM118A ENSG00000100376.7 0.424612 0.091818 ENSG00000100376
LRRC6 ENSG00000129295.4 0.063645 0.057959 ENSG00000129295
PILRA ENSG00000085514.10 0.111132 0.060206 ENSG00000085514
RPS28 ENSG00000233927.4 0.08404 0.084957 ENSG00000233927
TREML4 ENSG00000188056.7 0.103278 0.073679 ENSG00000188056
PAM ENSG00000145730.16 0.064408 0.050355 ENSG00000145730
RNPEP ENSG00000176393.6 0.146125 0.086963 ENSG00000176393
VPS53 ENSG00000141252.15 0.141503 0.075103 ENSG00000141252
KIAA1324 ENSG00000116299.12 0.058188 0.051336 ENSG00000116299
RPL9 ENSG00000163682.11 0.309263 0.085293 ENSG00000163682
ST20 ENSG00000180953.7 0.108768 0.080533 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.156981 0.075901 ENSG00000142856
ABCA7 ENSG00000064687.8 0.21517 0.094579 ENSG00000064687
ACCS ENSG00000110455.9 0.299657 0.089976 ENSG00000110455
GSTT2 ENSG00000099984.6 0.090877 0.067773 ENSG00000099984
NAV1 ENSG00000134369.11 0.055952 0.067053 ENSG00000134369
GSTT2B ENSG00000133433.6 0.109047 0.070584 ENSG00000133433
MCOLN2 ENSG00000153898.8 0.214485 0.077963 ENSG00000153898
SPATA20 ENSG00000006282.15 0.135235 0.081968 ENSG00000006282
SLC26A8 ENSG00000112053.9 0.192862 0.08004 ENSG00000112053
C8orf31 ENSG00000177335.6 0.054275 0.06047 ENSG00000177335
LEPROT ENSG00000213625.4 0.056777 0.062125 ENSG00000213625
SLC28A3 ENSG00000197506.6 0.059449 0.056496 ENSG00000197506
PSD4 ENSG00000125637.10 0.131566 0.06973 ENSG00000125637
RNASET2 ENSG00000026297.11 0.066935 0.064049 ENSG00000026297
KRT38 ENSG00000171360.3 0.077803 0.055491 ENSG00000171360
RDH13 ENSG00000160439.10 0.253868 0.098385 ENSG00000160439
NOD2 ENSG00000167207.7 0.131539 0.071195 ENSG00000167207
HOXB2 ENSG00000173917.9 0.054945 0.050598 ENSG00000173917
NUDT7 ENSG00000140876.7 0.05073 0.068195 ENSG00000140876
LRRC61 ENSG00000127399.10 0.064058 0.052902 ENSG00000127399
TKTL1 ENSG00000007350.12 0.056015 0.074902 ENSG00000007350
LRRC37A ENSG00000176681.10 0.107987 0.064477 ENSG00000176681
TMEM9 ENSG00000116857.11 0.126351 0.073847 ENSG00000116857
NT5C3B ENSG00000141698.12 0.089902 0.053807 ENSG00000141698
KNSTRN ENSG00000128944.8 0.19892 0.08718 ENSG00000128944
TNFAIP8L1 ENSG00000185361.4 0.08688 0.07936 ENSG00000185361
CTSW ENSG00000172543.3 0.095615 0.068101 ENSG00000172543
NT5E ENSG00000135318.7 0.084769 0.049862 ENSG00000135318
ADAD2 ENSG00000140955.6 0.131526 0.085255 ENSG00000140955
CNTNAP2 ENSG00000174469.13 0.055773 0.064938 ENSG00000174469
HAUS4 ENSG00000092036.12 0.07483 0.064094 ENSG00000092036
H3F3A ENSG00000163041.5 0.098624 0.062065 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.078888 0.055945 ENSG00000144320
PLA2G4C ENSG00000105499.9 0.064994 0.06084 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.165776 0.071628 ENSG00000100197
SLC1A7 ENSG00000162383.7 0.146457 0.075545 ENSG00000162383
G6PC2 ENSG00000152254.6 0.145857 0.078995 ENSG00000152254
APIP ENSG00000149089.8 0.214708 0.075501 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.272013 0.097762 ENSG00000238083
RAB3IL1 ENSG00000167994.7 0.108275 0.073525 ENSG00000167994
PRSS46 ENSG00000261603.1 0.10532 0.065949 ENSG00000261603
SOAT1 ENSG00000057252.8 0.109643 0.069973 ENSG00000057252
COL5A3 ENSG00000080573.6 0.091736 0.060489 ENSG00000080573
RRP7A ENSG00000189306.6 0.079518 0.064547 ENSG00000189306
