AssociatedGeneName EnsemblGeneID h2.Thyroid se.Thyroid ensid
JUP ENSG00000173801.12 0.06233 0.05293 ENSG00000173801
MDGA1 ENSG00000112139.9 0.527765 0.082685 ENSG00000112139
GSTT1 ENSG00000184674.8 0.599253 0.071862 ENSG00000184674
ADARB2 ENSG00000185736.11 0.29693 0.087177 ENSG00000185736
TMEM176B ENSG00000106565.13 0.38794 0.0946 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.052153 0.052604 ENSG00000074803
AFAP1 ENSG00000196526.6 0.165281 0.08961 ENSG00000196526
TMEM176A ENSG00000002933.3 0.424991 0.092497 ENSG00000002933
NIPAL2 ENSG00000104361.5 0.128716 0.069574 ENSG00000104361
CNR1 ENSG00000118432.11 0.071856 0.062837 ENSG00000118432
AOC1 ENSG00000002726.15 0.054783 0.057041 ENSG00000002726
PEX11G ENSG00000104883.3 0.091623 0.083349 ENSG00000104883
FAM118A ENSG00000100376.7 0.822229 0.046015 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.108622 0.077071 ENSG00000106772
PILRA ENSG00000085514.10 0.601225 0.06374 ENSG00000085514
RPS28 ENSG00000233927.4 0.792582 0.046614 ENSG00000233927
TREML4 ENSG00000188056.7 0.257724 0.084824 ENSG00000188056
PAM ENSG00000145730.16 0.066414 0.047542 ENSG00000145730
SORCS2 ENSG00000184985.12 0.209379 0.100326 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.2829 0.082269 ENSG00000138801
VPS53 ENSG00000141252.15 0.499754 0.074103 ENSG00000141252
KIAA1324 ENSG00000116299.12 0.07941 0.073654 ENSG00000116299
ZP3 ENSG00000188372.10 0.6931 0.056346 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.238759 0.089965 ENSG00000168255
NFXL1 ENSG00000170448.7 0.083393 0.056496 ENSG00000170448
RPL9 ENSG00000163682.11 0.863189 0.02995 ENSG00000163682
ST20 ENSG00000180953.7 0.640163 0.065727 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.76745 0.043262 ENSG00000142856
CPA5 ENSG00000158525.11 0.126685 0.0671 ENSG00000158525
ACCS ENSG00000110455.9 0.72464 0.059349 ENSG00000110455
GSTT2 ENSG00000099984.6 0.61359 0.065078 ENSG00000099984
UBE2U ENSG00000177414.8 0.25665 0.083464 ENSG00000177414
NAV1 ENSG00000134369.11 0.060845 0.06469 ENSG00000134369
GSTT2B ENSG00000133433.6 0.604297 0.070581 ENSG00000133433
A4GALT ENSG00000128274.11 0.15618 0.079341 ENSG00000128274
