AssociatedGeneName EnsemblGeneID h2.MuscleSkeletal se.MuscleSkeletal ensid
CNR1 ENSG00000118432.11 0.108574 0.061593 ENSG00000118432
FAM118A ENSG00000100376.7 0.528515 0.063155 ENSG00000100376
PILRA ENSG00000085514.10 0.116578 0.056272 ENSG00000085514
RPS28 ENSG00000233927.4 0.505132 0.068431 ENSG00000233927
RNPEP ENSG00000176393.6 0.259638 0.084868 ENSG00000176393
VPS53 ENSG00000141252.15 0.286047 0.066479 ENSG00000141252
ZP3 ENSG00000188372.10 0.459744 0.069688 ENSG00000188372
RPL9 ENSG00000163682.11 0.3252 0.070848 ENSG00000163682
ACCS ENSG00000110455.9 0.391955 0.076126 ENSG00000110455
GSTT2 ENSG00000099984.6 0.385414 0.072312 ENSG00000099984
NAV1 ENSG00000134369.11 0.104651 0.055731 ENSG00000134369
A4GALT ENSG00000128274.11 0.139268 0.068089 ENSG00000128274
CARKD ENSG00000213995.7 0.113426 0.063814 ENSG00000213995
GSTM4 ENSG00000168765.11 0.166032 0.071656 ENSG00000168765
KRT23 ENSG00000108244.12 0.147513 0.061259 ENSG00000108244
LRRC61 ENSG00000127399.10 0.179248 0.062894 ENSG00000127399
LRRC37A ENSG00000176681.10 0.205423 0.076775 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.453591 0.074371 ENSG00000214872
RFWD3 ENSG00000168411.9 0.110238 0.058432 ENSG00000168411
ADAD2 ENSG00000140955.6 0.248636 0.086301 ENSG00000140955
CES1 ENSG00000198848.8 0.156614 0.068674 ENSG00000198848
HAUS4 ENSG00000092036.12 0.175904 0.065392 ENSG00000092036
BAMBI ENSG00000095739.7 0.122963 0.068783 ENSG00000095739
LILRA4 ENSG00000239961.2 0.264848 0.077897 ENSG00000239961
PLA2G4C ENSG00000105499.9 0.164499 0.067409 ENSG00000105499
DHFR ENSG00000228716.2 0.288569 0.064376 ENSG00000228716
CNGA1 ENSG00000198515.9 0.256611 0.070538 ENSG00000198515
APIP ENSG00000149089.8 0.359577 0.068074 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.182901 0.072505 ENSG00000238083
ZNF641 ENSG00000167528.8 0.197413 0.061691 ENSG00000167528
AL359195.1 ENSG00000204038.3 0.222703 0.067129 ENSG00000204038
ZNF266 ENSG00000174652.13 0.299576 0.062658 ENSG00000174652
WARS ENSG00000140105.13 0.109107 0.061187 ENSG00000140105
APOL4 ENSG00000100336.13 0.133935 0.069162 ENSG00000100336
ATMIN ENSG00000166454.5 0.266119 0.072228 ENSG00000166454
GBP3 ENSG00000117226.7 0.304198 0.070837 ENSG00000117226
ZNF205 ENSG00000122386.6 0.167423 0.066739 ENSG00000122386
TMEM50B ENSG00000142188.12 0.18274 0.065449 ENSG00000142188
TJP2 ENSG00000119139.12 0.198284 0.069174 ENSG00000119139
NME4 ENSG00000103202.8 0.144628 0.063154 ENSG00000103202
OPN4 ENSG00000122375.7 0.133771 0.056916 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.176632 0.067375 ENSG00000171903
TDGF1 ENSG00000241186.3 0.421677 0.083051 ENSG00000241186
FANCA ENSG00000187741.10 0.286764 0.076009 ENSG00000187741
GSTM1 ENSG00000134184.8 0.157625 0.069042 ENSG00000134184
SLC5A4 ENSG00000100191.4 0.211176 0.066049 ENSG00000100191
GIMAP5 ENSG00000196329.6 0.102682 0.066912 ENSG00000196329
MTHFS ENSG00000136371.5 0.16556 0.068067 ENSG00000136371
C15orf38 ENSG00000242498.3 0.146593 0.063875 ENSG00000242498
ASNSD1 ENSG00000138381.5 0.22331 0.067748 ENSG00000138381
ZFP90 ENSG00000184939.10 0.12983 0.053084 ENSG00000184939
ZNF586 ENSG00000083828.11 0.139276 0.056185 ENSG00000083828
COG6 ENSG00000133103.12 0.380989 0.067252 ENSG00000133103
ADRBK2 ENSG00000100077.9 0.162567 0.061124 ENSG00000100077
RCBTB1 ENSG00000136144.7 0.247676 0.069933 ENSG00000136144
NR2F6 ENSG00000160113.5 0.100881 0.06247 ENSG00000160113
ZNF589 ENSG00000164048.9 0.108601 0.05354 ENSG00000164048
ZNF605 ENSG00000196458.6 0.130899 0.052968 ENSG00000196458
LMBR1 ENSG00000105983.14 0.148675 0.066678 ENSG00000105983
ERO1LB ENSG00000086619.9 0.104494 0.054654 ENSG00000086619
SLC25A26 ENSG00000144741.12 0.14915 0.06671 ENSG00000144741
BNC2 ENSG00000173068.13 0.146475 0.06335 ENSG00000173068
POMZP3 ENSG00000146707.10 0.513048 0.065166 ENSG00000146707
DDT ENSG00000099977.9 0.218611 0.063624 ENSG00000099977
RPH3AL ENSG00000181031.11 0.393383 0.077828 ENSG00000181031
KCNK17 ENSG00000124780.9 0.188579 0.068224 ENSG00000124780
POLR2E ENSG00000099817.7 0.105527 0.073719 ENSG00000099817
HDDC2 ENSG00000111906.12 0.125331 0.062292 ENSG00000111906
NDFIP1 ENSG00000131507.9 0.209594 0.064459 ENSG00000131507
GLDC ENSG00000178445.8 0.218441 0.072799 ENSG00000178445
ECHDC2 ENSG00000121310.12 0.123169 0.057165 ENSG00000121310
CPVL ENSG00000106066.9 0.105077 0.062584 ENSG00000106066
FAS ENSG00000026103.15 0.161274 0.064014 ENSG00000026103
CCR3 ENSG00000183625.10 0.101923 0.054679 ENSG00000183625
ARHGEF35 ENSG00000213214.3 0.110818 0.049769 ENSG00000213214
MYO16 ENSG00000041515.11 0.13166 0.064803 ENSG00000041515
TMOD3 ENSG00000138594.8 0.15206 0.062288 ENSG00000138594
TPM2 ENSG00000198467.9 0.131666 0.061446 ENSG00000198467
ZNF419 ENSG00000105136.15 0.24081 0.063754 ENSG00000105136
SULT1C2 ENSG00000198203.5 0.119306 0.06046 ENSG00000198203
SPRY2 ENSG00000136158.6 0.110981 0.054149 ENSG00000136158
TTC28 ENSG00000100154.10 0.153762 0.070214 ENSG00000100154
LURAP1 ENSG00000171357.5 0.225706 0.077506 ENSG00000171357
TK2 ENSG00000166548.11 0.102674 0.050873 ENSG00000166548
HSD17B12 ENSG00000149084.7 0.24955 0.067944 ENSG00000149084
ANTXRL ENSG00000198250.8 0.249921 0.069851 ENSG00000198250
ZNF880 ENSG00000221923.4 0.247017 0.077952 ENSG00000221923
SDK2 ENSG00000069188.12 0.151918 0.062676 ENSG00000069188
ABCC3 ENSG00000108846.11 0.112692 0.068137 ENSG00000108846
DISC1 ENSG00000162946.16 0.196809 0.075577 ENSG00000162946
HSPA12B ENSG00000132622.6 0.129257 0.065444 ENSG00000132622
C2orf27A ENSG00000197927.8 0.190945 0.070025 ENSG00000197927
HSD3B7 ENSG00000099377.9 0.239872 0.070468 ENSG00000099377
KCNC4 ENSG00000116396.9 0.129108 0.055306 ENSG00000116396
TRABD ENSG00000170638.5 0.115611 0.062977 ENSG00000170638
NARFL ENSG00000103245.9 0.147174 0.066232 ENSG00000103245
AL161915.1 ENSG00000212670.1 0.158232 0.061801 ENSG00000212670
HPD ENSG00000158104.7 0.188914 0.061999 ENSG00000158104
RBMXL2 ENSG00000170748.5 0.180368 0.071044 ENSG00000170748
CREB3L2 ENSG00000182158.10 0.218489 0.07393 ENSG00000182158
CACNB2 ENSG00000165995.14 0.178979 0.065701 ENSG00000165995
CPSF1 ENSG00000071894.10 0.325872 0.076045 ENSG00000071894
AKAP7 ENSG00000118507.11 0.116673 0.0621 ENSG00000118507
TNNC2 ENSG00000101470.5 0.173506 0.076657 ENSG00000101470
UBXN6 ENSG00000167671.7 0.123882 0.061065 ENSG00000167671
TCP11L1 ENSG00000176148.11 0.143685 0.059138 ENSG00000176148
UBE2S ENSG00000108106.9 0.10021 0.067423 ENSG00000108106
RNF186 ENSG00000178828.5 0.1243 0.064485 ENSG00000178828
TMEM63A ENSG00000196187.7 0.104751 0.059844 ENSG00000196187
C21orf2 ENSG00000160226.11 0.165527 0.080104 ENSG00000160226
FKBP15 ENSG00000119321.4 0.169792 0.06424 ENSG00000119321
F5 ENSG00000198734.6 0.239814 0.075863 ENSG00000198734
RP3-402G11.5 ENSG00000073169.9 0.221262 0.069566 ENSG00000073169
HOXD13 ENSG00000128714.5 0.137564 0.061168 ENSG00000128714
COMMD10 ENSG00000145781.4 0.216024 0.06364 ENSG00000145781
SEC23B ENSG00000101310.10 0.147127 0.061995 ENSG00000101310
PRPF31 ENSG00000105618.9 0.112692 0.07047 ENSG00000105618
ATP2C2 ENSG00000064270.8 0.103173 0.070331 ENSG00000064270
MSH3 ENSG00000113318.9 0.107678 0.053594 ENSG00000113318
GATM ENSG00000171766.11 0.123942 0.050014 ENSG00000171766
C5orf63 ENSG00000164241.9 0.1267 0.055643 ENSG00000164241
PEX6 ENSG00000124587.9 0.255319 0.067486 ENSG00000124587
PLXNB2 ENSG00000196576.10 0.118663 0.061768 ENSG00000196576
TMEM234 ENSG00000160055.15 0.132764 0.067073 ENSG00000160055
CAPN12 ENSG00000182472.4 0.127395 0.062825 ENSG00000182472
