AssociatedGeneName EnsemblGeneID h2.ArteryTibial se.ArteryTibial ensid
PVRL2 ENSG00000130202.5 0.110486 0.067491 ENSG00000130202
JUP ENSG00000173801.12 0.086384 0.053547 ENSG00000173801
MDGA1 ENSG00000112139.9 0.37449 0.093487 ENSG00000112139
GSTT1 ENSG00000184674.8 0.700978 0.064598 ENSG00000184674
ADARB2 ENSG00000185736.11 0.207418 0.084974 ENSG00000185736
TMEM176B ENSG00000106565.13 0.195145 0.087327 ENSG00000106565
AFAP1 ENSG00000196526.6 0.110183 0.084704 ENSG00000196526
TMEM176A ENSG00000002933.3 0.136646 0.078528 ENSG00000002933
MFSD9 ENSG00000135953.6 0.022379 0.042264 ENSG00000135953
NIPAL2 ENSG00000104361.5 0.087348 0.065354 ENSG00000104361
CNR1 ENSG00000118432.11 0.029133 0.047548 ENSG00000118432
AOC1 ENSG00000002726.15 0.05157 0.058975 ENSG00000002726
PEX11G ENSG00000104883.3 0.214213 0.089127 ENSG00000104883
FAM118A ENSG00000100376.7 0.64589 0.067167 ENSG00000100376
LRRC6 ENSG00000129295.4 0.032217 0.049699 ENSG00000129295
PILRA ENSG00000085514.10 0.290706 0.071161 ENSG00000085514
RPS28 ENSG00000233927.4 0.778058 0.046835 ENSG00000233927
TREML4 ENSG00000188056.7 0.108228 0.071923 ENSG00000188056
PAM ENSG00000145730.16 0.013401 0.034181 ENSG00000145730
SORCS2 ENSG00000184985.12 0.17489 0.101408 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.334648 0.084761 ENSG00000138801
VPS53 ENSG00000141252.15 0.23248 0.077452 ENSG00000141252
ZP3 ENSG00000188372.10 0.781613 0.041065 ENSG00000188372
DUT ENSG00000128951.9 0.060069 0.053453 ENSG00000128951
POLR2J3 ENSG00000168255.13 0.239429 0.084899 ENSG00000168255
NFXL1 ENSG00000170448.7 0.090308 0.053412 ENSG00000170448
RPL9 ENSG00000163682.11 0.825221 0.036451 ENSG00000163682
TRMT12 ENSG00000183665.4 0.088796 0.061543 ENSG00000183665
ST20 ENSG00000180953.7 0.471572 0.081681 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.784216 0.041334 ENSG00000142856
UNC5B ENSG00000107731.8 0.030814 0.060405 ENSG00000107731
FABP2 ENSG00000145384.3 0.020666 0.031893 ENSG00000145384
ABCA7 ENSG00000064687.8 0.07709 0.077936 ENSG00000064687
ACCS ENSG00000110455.9 0.654432 0.066246 ENSG00000110455
GSTT2 ENSG00000099984.6 0.671402 0.058734 ENSG00000099984
NAV1 ENSG00000134369.11 0.013677 0.051398 ENSG00000134369
GSTT2B ENSG00000133433.6 0.609473 0.065759 ENSG00000133433
A4GALT ENSG00000128274.11 0.067986 0.067224 ENSG00000128274
CCDC135 ENSG00000159625.10 0.067024 0.068871 ENSG00000159625
PGM5 ENSG00000154330.8 0.06345 0.056405 ENSG00000154330
MCOLN2 ENSG00000153898.8 0.513126 0.079023 ENSG00000153898
SPATA20 ENSG00000006282.15 0.728201 0.054812 ENSG00000006282
OPRL1 ENSG00000125510.11 0.247742 0.087364 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.203169 0.073006 ENSG00000112053
PSD4 ENSG00000125637.10 0.24328 0.085852 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.016138 0.037576 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.303825 0.155778 ENSG00000154529
RNASET2 ENSG00000026297.11 0.02617 0.050689 ENSG00000026297
KRT38 ENSG00000171360.3 0.045547 0.047509 ENSG00000171360
RDH13 ENSG00000160439.10 0.393302 0.095054 ENSG00000160439
AGAP7 ENSG00000204169.6 0.447949 0.09571 ENSG00000204169
NSUN4 ENSG00000117481.5 0.05144 0.048398 ENSG00000117481
APOBEC3G ENSG00000239713.3 0.377188 0.08027 ENSG00000239713
GSTM4 ENSG00000168765.11 0.09396 0.071718 ENSG00000168765
HOXB2 ENSG00000173917.9 0.129355 0.061246 ENSG00000173917
NUDT7 ENSG00000140876.7 0.187313 0.086626 ENSG00000140876
LRRC61 ENSG00000127399.10 0.214966 0.071861 ENSG00000127399
FADS2 ENSG00000134824.9 0.136582 0.074178 ENSG00000134824
LRRC37A ENSG00000176681.10 0.425845 0.08124 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.284392 0.07781 ENSG00000214872
RFWD3 ENSG00000168411.9 0.230469 0.079665 ENSG00000168411
C10orf128 ENSG00000204161.9 0.072552 0.054047 ENSG00000204161
CORIN ENSG00000145244.7 0.065818 0.05238 ENSG00000145244
TMEM9 ENSG00000116857.11 0.381546 0.087816 ENSG00000116857
CCDC15 ENSG00000149548.10 0.058571 0.061069 ENSG00000149548
NT5C3B ENSG00000141698.12 0.565441 0.068226 ENSG00000141698
ADCK3 ENSG00000163050.11 0.064666 0.05587 ENSG00000163050
KNSTRN ENSG00000128944.8 0.65126 0.060769 ENSG00000128944
TNFAIP8L1 ENSG00000185361.4 0.103604 0.072781 ENSG00000185361
MYCBPAP ENSG00000136449.9 0.121404 0.073363 ENSG00000136449
CTSW ENSG00000172543.3 0.329451 0.077411 ENSG00000172543
GCAT ENSG00000100116.12 0.091617 0.058401 ENSG00000100116
CES1 ENSG00000198848.8 0.118158 0.076736 ENSG00000198848
ZNF436 ENSG00000125945.9 0.253218 0.083578 ENSG00000125945
HPR ENSG00000261701.2 0.330754 0.08415 ENSG00000261701
CNTNAP2 ENSG00000174469.13 0.075691 0.071224 ENSG00000174469
HAUS4 ENSG00000092036.12 0.593061 0.071035 ENSG00000092036
GRHPR ENSG00000137106.13 0.297361 0.088588 ENSG00000137106
KIF16B ENSG00000089177.13 0.030308 0.070547 ENSG00000089177
LILRA4 ENSG00000239961.2 0.14797 0.087086 ENSG00000239961
H3F3A ENSG00000163041.5 0.409538 0.080992 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.270315 0.073302 ENSG00000144320
QRSL1 ENSG00000130348.7 0.349544 0.078793 ENSG00000130348
STOX1 ENSG00000165730.10 0.217136 0.074349 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.323344 0.080805 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.504055 0.07684 ENSG00000100197
DHFR ENSG00000228716.2 0.355637 0.084309 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.129912 0.069725 ENSG00000162383
CNGA1 ENSG00000198515.9 0.241309 0.074754 ENSG00000198515
G6PC2 ENSG00000152254.6 0.146347 0.072586 ENSG00000152254
NUPR1 ENSG00000176046.7 0.163743 0.059849 ENSG00000176046
APIP ENSG00000149089.8 0.507251 0.070687 ENSG00000149089
SAMD12 ENSG00000177570.9 0.025087 0.05031 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.421351 0.080129 ENSG00000238083
ZNF641 ENSG00000167528.8 0.175412 0.063548 ENSG00000167528
TUFM ENSG00000178952.4 0.280571 0.07836 ENSG00000178952
PRSS46 ENSG00000261603.1 0.05796 0.052714 ENSG00000261603
SOAT1 ENSG00000057252.8 0.07309 0.050693 ENSG00000057252
RRP7A ENSG00000189306.6 0.371486 0.092533 ENSG00000189306
ARHGAP22 ENSG00000128805.10 0.380537 0.085236 ENSG00000128805
SLC24A5 ENSG00000188467.6 0.018209 0.040225 ENSG00000188467
CCDC109B ENSG00000005059.11 0.019379 0.044908 ENSG00000005059
PCYOX1L ENSG00000145882.6 0.234502 0.087005 ENSG00000145882
SMIM20 ENSG00000250317.4 0.024958 0.052407 ENSG00000250317
C8B ENSG00000021852.8 0.026004 0.05497 ENSG00000021852
AL359195.1 ENSG00000204038.3 0.472299 0.072186 ENSG00000204038
PKP4 ENSG00000144283.17 0.118377 0.067613 ENSG00000144283
TACSTD2 ENSG00000184292.5 0.249534 0.077221 ENSG00000184292
PCDHB8 ENSG00000120322.2 0.336999 0.079859 ENSG00000120322
ZNF266 ENSG00000174652.13 0.578474 0.062505 ENSG00000174652
APOL4 ENSG00000100336.13 0.422736 0.086902 ENSG00000100336
NTPCR ENSG00000135778.6 0.277666 0.079346 ENSG00000135778
ETV7 ENSG00000010030.9 0.05902 0.058482 ENSG00000010030
CAPN11 ENSG00000137225.8 0.018344 0.043157 ENSG00000137225
POLR2J ENSG00000005075.11 0.29008 0.082626 ENSG00000005075
AKR1C1 ENSG00000187134.8 0.177127 0.084512 ENSG00000187134
GBP3 ENSG00000117226.7 0.708744 0.056512 ENSG00000117226
CDHR3 ENSG00000128536.11 0.047722 0.066315 ENSG00000128536
PILRB ENSG00000121716.13 0.353476 0.077871 ENSG00000121716
C15orf57 ENSG00000128891.11 0.497381 0.071958 ENSG00000128891
IFT88 ENSG00000032742.13 0.339704 0.078917 ENSG00000032742
ARL14EP ENSG00000152219.4 0.080577 0.053195 ENSG00000152219
VNN1 ENSG00000112299.7 0.019539 0.048524 ENSG00000112299
ZNF205 ENSG00000122386.6 0.095013 0.057182 ENSG00000122386
FAM181A ENSG00000140067.6 0.016556 0.06095 ENSG00000140067
RBM43 ENSG00000184898.6 0.065635 0.058745 ENSG00000184898
CISD1 ENSG00000122873.7 0.217226 0.070088 ENSG00000122873
TNPO3 ENSG00000064419.9 0.022137 0.03983 ENSG00000064419
TMEM50B ENSG00000142188.12 0.505212 0.071071 ENSG00000142188
RBMS2 ENSG00000076067.7 0.031827 0.047793 ENSG00000076067
CAST ENSG00000153113.19 0.36992 0.089295 ENSG00000153113
C17orf97 ENSG00000187624.7 0.646927 0.075646 ENSG00000187624
ARL17B ENSG00000228696.4 0.176221 0.074986 ENSG00000228696
GLIS3 ENSG00000107249.17 0.066536 0.07848 ENSG00000107249
FAM83D ENSG00000101447.9 0.166903 0.089829 ENSG00000101447
ADAT1 ENSG00000065457.6 0.43812 0.073472 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.222771 0.081393 ENSG00000113716
TJP2 ENSG00000119139.12 0.067157 0.057631 ENSG00000119139
NME4 ENSG00000103202.8 0.324212 0.077021 ENSG00000103202
GCC2 ENSG00000135968.15 0.260532 0.074034 ENSG00000135968
TNFAIP6 ENSG00000123610.3 0.03092 0.046083 ENSG00000123610
OPN4 ENSG00000122375.7 0.171844 0.070039 ENSG00000122375
THADA ENSG00000115970.14 0.038183 0.052261 ENSG00000115970
PCDHB11 ENSG00000197479.4 0.195919 0.075707 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.543569 0.072757 ENSG00000171903
QDPR ENSG00000151552.7 0.302907 0.088773 ENSG00000151552
TDGF1 ENSG00000241186.3 0.316894 0.089082 ENSG00000241186
NSFL1C ENSG00000088833.12 0.132607 0.070477 ENSG00000088833
FANCA ENSG00000187741.10 0.20911 0.07452 ENSG00000187741
RSPO4 ENSG00000101282.4 0.211492 0.091783 ENSG00000101282
UBE2Z ENSG00000159202.13 0.046549 0.046509 ENSG00000159202
GSTM1 ENSG00000134184.8 0.464572 0.093433 ENSG00000134184
COG1 ENSG00000166685.7 0.093964 0.073992 ENSG00000166685
ZFP28 ENSG00000196867.3 0.086127 0.074343 ENSG00000196867
TMEM50A ENSG00000183726.6 0.035006 0.046854 ENSG00000183726
UBQLN1 ENSG00000135018.9 0.092235 0.065157 ENSG00000135018
YIPF5 ENSG00000145817.12 0.158459 0.070336 ENSG00000145817
KIAA2013 ENSG00000116685.11 0.042536 0.0524 ENSG00000116685
FADS1 ENSG00000149485.12 0.122766 0.062707 ENSG00000149485
TRIM4 ENSG00000146833.11 0.449341 0.080578 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.220096 0.083101 ENSG00000100191
DTD1 ENSG00000125821.7 0.136827 0.066432 ENSG00000125821
IQCB1 ENSG00000173226.12 0.354082 0.077971 ENSG00000173226
SIRPB1 ENSG00000101307.11 0.418996 0.088829 ENSG00000101307
PDSS1 ENSG00000148459.11 0.047719 0.060755 ENSG00000148459
PPARGC1A ENSG00000109819.4 0.01136 0.040117 ENSG00000109819
FRRS1 ENSG00000156869.8 0.113486 0.070051 ENSG00000156869
COG5 ENSG00000164597.9 0.03106 0.05033 ENSG00000164597
MTHFS ENSG00000136371.5 0.331233 0.077211 ENSG00000136371
PPIP5K2 ENSG00000145725.14 0.074865 0.043197 ENSG00000145725
VLDLR ENSG00000147852.10 0.55126 0.072237 ENSG00000147852
C15orf38 ENSG00000242498.3 0.075675 0.075638 ENSG00000242498
C10orf107 ENSG00000183346.6 0.371356 0.074406 ENSG00000183346
ASNSD1 ENSG00000138381.5 0.406956 0.079214 ENSG00000138381
PCDHB16 ENSG00000196963.2 0.482955 0.075928 ENSG00000196963
TMEM45A ENSG00000181458.6 0.132219 0.062643 ENSG00000181458
FUT3 ENSG00000171124.8 0.015285 0.063936 ENSG00000171124
CDH23 ENSG00000107736.15 0.060429 0.072882 ENSG00000107736
ZNF586 ENSG00000083828.11 0.282883 0.083384 ENSG00000083828
TDRD6 ENSG00000180113.11 0.442246 0.084751 ENSG00000180113
CCDC74A ENSG00000163040.10 0.133176 0.068067 ENSG00000163040
GSDMB ENSG00000073605.14 0.058663 0.055004 ENSG00000073605
RNASEH2C ENSG00000172922.4 0.137281 0.064072 ENSG00000172922
TRIM37 ENSG00000108395.9 0.124283 0.0579 ENSG00000108395
DSCC1 ENSG00000136982.5 0.653207 0.059737 ENSG00000136982
CHML ENSG00000203668.1 0.173016 0.078498 ENSG00000203668
ANKDD1A ENSG00000166839.12 0.416286 0.086642 ENSG00000166839
COG6 ENSG00000133103.12 0.188081 0.071061 ENSG00000133103
PPP1R16A ENSG00000160972.5 0.072281 0.059126 ENSG00000160972
SLC22A5 ENSG00000197375.8 0.180348 0.078361 ENSG00000197375
MRPL2 ENSG00000112651.7 0.060818 0.072177 ENSG00000112651
NIPAL1 ENSG00000163293.7 0.08042 0.053747 ENSG00000163293
ADRBK2 ENSG00000100077.9 0.141234 0.080643 ENSG00000100077
DDX11 ENSG00000013573.12 0.792236 0.039086 ENSG00000013573
ZNF589 ENSG00000164048.9 0.28248 0.085107 ENSG00000164048
C22orf43 ENSG00000189269.7 0.589563 0.07236 ENSG00000189269
ZNF605 ENSG00000196458.6 0.207864 0.072071 ENSG00000196458
TMEM230 ENSG00000089063.10 0.290697 0.082288 ENSG00000089063
F11R ENSG00000270149.1 0.127967 0.082881 ENSG00000270149
C4BPA ENSG00000123838.6 0.06751 0.057162 ENSG00000123838
SLC25A51 ENSG00000122696.8 0.226675 0.072642 ENSG00000122696
ATP6V0E2 ENSG00000171130.13 0.597299 0.079324 ENSG00000171130
RNF141 ENSG00000110315.2 0.053654 0.054843 ENSG00000110315
SH3BP1 ENSG00000100092.16 0.110517 0.075163 ENSG00000100092
MYRF ENSG00000124920.9 0.021238 0.039363 ENSG00000124920
CYP4F12 ENSG00000186204.9 0.158648 0.068983 ENSG00000186204
PLEC ENSG00000178209.10 0.240715 0.07405 ENSG00000178209
FTSJ3 ENSG00000108592.12 0.335725 0.071846 ENSG00000108592
CLEC4A ENSG00000111729.8 0.047403 0.053078 ENSG00000111729
ZNF554 ENSG00000172006.7 0.162608 0.079764 ENSG00000172006
RNF17 ENSG00000132972.13 0.127305 0.06643 ENSG00000132972
LMBR1 ENSG00000105983.14 0.158315 0.08222 ENSG00000105983
PGM1 ENSG00000079739.11 0.10177 0.070159 ENSG00000079739
RPH3A ENSG00000089169.10 0.066641 0.05717 ENSG00000089169
STEAP1B ENSG00000105889.10 0.067731 0.068221 ENSG00000105889
ERO1LB ENSG00000086619.9 0.11457 0.067639 ENSG00000086619
LRRC8B ENSG00000197147.8 0.015486 0.037902 ENSG00000197147
SLC25A26 ENSG00000144741.12 0.271695 0.077979 ENSG00000144741
RAVER2 ENSG00000162437.10 0.082865 0.064332 ENSG00000162437
ZNF783 ENSG00000204946.5 0.302829 0.094014 ENSG00000204946
PDZRN3 ENSG00000121440.10 0.369463 0.087196 ENSG00000121440
VPS28 ENSG00000160948.9 0.471945 0.084459 ENSG00000160948
SERPINC1 ENSG00000117601.9 0.106239 0.061727 ENSG00000117601
KIAA1731 ENSG00000166004.10 0.09886 0.093248 ENSG00000166004
GSDMA ENSG00000167914.6 0.332967 0.080569 ENSG00000167914
HSD17B7 ENSG00000132196.8 0.020783 0.053381 ENSG00000132196
ANO10 ENSG00000160746.8 0.040898 0.048347 ENSG00000160746
PI3 ENSG00000124102.4 0.022934 0.060279 ENSG00000124102
CHAF1A ENSG00000167670.11 0.450637 0.081111 ENSG00000167670
SRD5A3 ENSG00000128039.6 0.280288 0.084104 ENSG00000128039
YTHDC2 ENSG00000047188.11 0.085809 0.065043 ENSG00000047188
NUTM2B ENSG00000188199.6 0.165859 0.07564 ENSG00000188199
PDXK ENSG00000160209.13 0.187933 0.075214 ENSG00000160209
IZUMO2 ENSG00000161652.8 0.023231 0.050957 ENSG00000161652
SACM1L ENSG00000211456.6 0.118254 0.060306 ENSG00000211456
KLHL10 ENSG00000161594.6 0.109745 0.063742 ENSG00000161594
C15orf27 ENSG00000169758.8 0.06901 0.050644 ENSG00000169758
POMZP3 ENSG00000146707.10 0.771778 0.046861 ENSG00000146707
SIN3B ENSG00000127511.5 0.010272 0.049538 ENSG00000127511
ZEB2 ENSG00000169554.12 0.049308 0.04716 ENSG00000169554
DDT ENSG00000099977.9 0.415755 0.080851 ENSG00000099977
SUPT4H1 ENSG00000213246.2 0.219658 0.084502 ENSG00000213246
C1QTNF7 ENSG00000163145.8 0.128858 0.069653 ENSG00000163145
SEC16A ENSG00000148396.14 0.155075 0.07119 ENSG00000148396
TRIOBP ENSG00000100106.15 0.369207 0.083439 ENSG00000100106
LGALS2 ENSG00000100079.5 0.022887 0.060817 ENSG00000100079
PPWD1 ENSG00000113593.7 0.109348 0.074648 ENSG00000113593
RPH3AL ENSG00000181031.11 0.332562 0.087162 ENSG00000181031
PDGFC ENSG00000145431.6 0.031452 0.041003 ENSG00000145431
C1QTNF6 ENSG00000133466.9 0.294943 0.089315 ENSG00000133466
GIMAP4 ENSG00000133574.5 0.010447 0.041353 ENSG00000133574
CAT ENSG00000121691.4 0.228045 0.079045 ENSG00000121691
PTPRN2 ENSG00000155093.13 0.05681 0.065438 ENSG00000155093
PODN ENSG00000174348.9 0.08148 0.05538 ENSG00000174348
POLR2E ENSG00000099817.7 0.492822 0.082201 ENSG00000099817
EREG ENSG00000124882.3 0.094013 0.060192 ENSG00000124882
FKBP8 ENSG00000105701.10 0.016856 0.041038 ENSG00000105701
UBR3 ENSG00000144357.12 0.019039 0.047317 ENSG00000144357
SLC28A2 ENSG00000137860.7 0.259873 0.081337 ENSG00000137860
ACOX3 ENSG00000087008.11 0.262612 0.082318 ENSG00000087008
ZNF296 ENSG00000170684.4 0.036362 0.069947 ENSG00000170684
OVCH1 ENSG00000187950.4 0.092898 0.069773 ENSG00000187950
CRTC1 ENSG00000105662.11 0.050711 0.053772 ENSG00000105662
KCNQ5 ENSG00000185760.11 0.069963 0.060782 ENSG00000185760
CPSF3 ENSG00000119203.9 0.043033 0.051616 ENSG00000119203
ITIH2 ENSG00000151655.13 0.063502 0.066111 ENSG00000151655
SEPHS1 ENSG00000086475.10 0.011694 0.058834 ENSG00000086475
SLC25A27 ENSG00000153291.11 0.384007 0.081459 ENSG00000153291
RGS14 ENSG00000169220.13 0.305939 0.081341 ENSG00000169220
CCDC146 ENSG00000135205.10 0.034617 0.052385 ENSG00000135205
ADAMTS7 ENSG00000136378.10 0.118348 0.06673 ENSG00000136378
ZNF333 ENSG00000160961.7 0.15757 0.075242 ENSG00000160961
C19orf25 ENSG00000119559.11 0.115394 0.083794 ENSG00000119559
TACR2 ENSG00000075073.10 0.142868 0.07601 ENSG00000075073
SGIP1 ENSG00000118473.17 0.099461 0.059705 ENSG00000118473
WDR19 ENSG00000157796.13 0.050421 0.045731 ENSG00000157796
FLVCR1 ENSG00000162769.8 0.183673 0.073624 ENSG00000162769
TAF1C ENSG00000103168.12 0.313068 0.098651 ENSG00000103168
FCRLB ENSG00000162746.10 0.100848 0.057711 ENSG00000162746
FAM227A ENSG00000184949.10 0.192971 0.070787 ENSG00000184949
HDDC2 ENSG00000111906.12 0.231782 0.086626 ENSG00000111906
ZNF320 ENSG00000182986.8 0.323634 0.11036 ENSG00000182986
PM20D1 ENSG00000162877.8 0.340849 0.077363 ENSG00000162877
CARD11 ENSG00000198286.5 0.035165 0.05785 ENSG00000198286
SELL ENSG00000188404.4 0.043578 0.043326 ENSG00000188404
RASL11A ENSG00000122035.6 0.052744 0.060911 ENSG00000122035
LRRC43 ENSG00000158113.8 0.106994 0.060884 ENSG00000158113
CCDC79 ENSG00000249961.5 0.051055 0.052576 ENSG00000249961
L1TD1 ENSG00000240563.1 0.094935 0.06613 ENSG00000240563
IL21R ENSG00000103522.11 0.108846 0.073576 ENSG00000103522
CCDC66 ENSG00000180376.12 0.393313 0.079812 ENSG00000180376
SYNGR1 ENSG00000100321.10 0.100753 0.069339 ENSG00000100321
NDFIP1 ENSG00000131507.9 0.073838 0.073193 ENSG00000131507
SLC17A4 ENSG00000146039.6 0.056612 0.056873 ENSG00000146039
PAPD4 ENSG00000164329.9 0.238824 0.085993 ENSG00000164329
FAM170B ENSG00000172538.6 0.055267 0.057206 ENSG00000172538
SETD8 ENSG00000183955.8 0.171084 0.081708 ENSG00000183955
SDCCAG8 ENSG00000054282.11 0.078189 0.060914 ENSG00000054282
ZC3HAV1 ENSG00000105939.8 0.045474 0.057815 ENSG00000105939
CNOT3 ENSG00000088038.13 0.025446 0.068534 ENSG00000088038
CDC42BPA ENSG00000143776.14 0.349914 0.080533 ENSG00000143776
TMEM200A ENSG00000164484.7 0.050378 0.050336 ENSG00000164484
GTF3A ENSG00000122034.8 0.066034 0.061325 ENSG00000122034
SLC24A3 ENSG00000185052.7 0.216556 0.082819 ENSG00000185052
ECHDC2 ENSG00000121310.12 0.047887 0.049658 ENSG00000121310
ATP8A1 ENSG00000124406.12 0.237708 0.088451 ENSG00000124406
FAAH ENSG00000117480.11 0.161744 0.072609 ENSG00000117480
KBTBD8 ENSG00000163376.7 0.011502 0.042008 ENSG00000163376
VPS13B ENSG00000132549.14 0.159888 0.082101 ENSG00000132549
TRIB3 ENSG00000101255.6 0.297482 0.100339 ENSG00000101255
UBE2C ENSG00000175063.12 0.010545 0.043082 ENSG00000175063
CEP78 ENSG00000148019.8 0.078334 0.059839 ENSG00000148019
GSTK1 ENSG00000197448.9 0.048911 0.050275 ENSG00000197448
RNF166 ENSG00000158717.6 0.260564 0.086684 ENSG00000158717
CD55 ENSG00000196352.9 0.139469 0.071163 ENSG00000196352
SNX31 ENSG00000174226.4 0.324919 0.086818 ENSG00000174226
ARFGAP3 ENSG00000242247.6 0.117003 0.070004 ENSG00000242247
