AssociatedGeneName EnsemblGeneID h2.AdiposeSubcutaneous se.AdiposeSubcutaneous ensid
JUP ENSG00000173801.12 0.013119 0.038983 ENSG00000173801
MDGA1 ENSG00000112139.9 0.459603 0.090503 ENSG00000112139
GSTT1 ENSG00000184674.8 0.586638 0.067906 ENSG00000184674
TMEM176B ENSG00000106565.13 0.254581 0.08763 ENSG00000106565
TMTC1 ENSG00000133687.11 0.090453 0.067159 ENSG00000133687
TMEM176A ENSG00000002933.3 0.186569 0.08276 ENSG00000002933
MFSD9 ENSG00000135953.6 0.026713 0.039231 ENSG00000135953
NIPAL2 ENSG00000104361.5 0.130058 0.074974 ENSG00000104361
CNR1 ENSG00000118432.11 0.03593 0.047317 ENSG00000118432
AOC1 ENSG00000002726.15 0.08425 0.063291 ENSG00000002726
PEX11G ENSG00000104883.3 0.189033 0.079698 ENSG00000104883
FAM118A ENSG00000100376.7 0.697888 0.057832 ENSG00000100376
PILRA ENSG00000085514.10 0.434274 0.075704 ENSG00000085514
RPS28 ENSG00000233927.4 0.852259 0.035428 ENSG00000233927
TREML4 ENSG00000188056.7 0.170852 0.070428 ENSG00000188056
PAM ENSG00000145730.16 0.062102 0.050572 ENSG00000145730
RNPEP ENSG00000176393.6 0.454979 0.087815 ENSG00000176393
SORCS2 ENSG00000184985.12 0.151104 0.094792 ENSG00000184985
VPS53 ENSG00000141252.15 0.280824 0.079859 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.23794 0.092824 ENSG00000113504
ZP3 ENSG00000188372.10 0.698685 0.053067 ENSG00000188372
DUT ENSG00000128951.9 0.105214 0.06779 ENSG00000128951
POLR2J3 ENSG00000168255.13 0.227933 0.082477 ENSG00000168255
NFXL1 ENSG00000170448.7 0.096126 0.052019 ENSG00000170448
RPL9 ENSG00000163682.11 0.803912 0.037541 ENSG00000163682
TRMT12 ENSG00000183665.4 0.210768 0.078953 ENSG00000183665
ST20 ENSG00000180953.7 0.561161 0.074718 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.781169 0.041723 ENSG00000142856
NDST1 ENSG00000070614.10 0.050895 0.054829 ENSG00000070614
ABCA7 ENSG00000064687.8 0.126912 0.073204 ENSG00000064687
ACCS ENSG00000110455.9 0.653256 0.062192 ENSG00000110455
GSTT2 ENSG00000099984.6 0.601898 0.066684 ENSG00000099984
GSTT2B ENSG00000133433.6 0.332397 0.077475 ENSG00000133433
A4GALT ENSG00000128274.11 0.112781 0.070893 ENSG00000128274
MFN2 ENSG00000116688.12 0.19426 0.0878 ENSG00000116688
PGM5 ENSG00000154330.8 0.052777 0.051426 ENSG00000154330
MCOLN2 ENSG00000153898.8 0.37886 0.074145 ENSG00000153898
SPATA20 ENSG00000006282.15 0.805121 0.042539 ENSG00000006282
OPRL1 ENSG00000125510.11 0.170665 0.077481 ENSG00000125510
SEZ6 ENSG00000063015.15 0.054015 0.05271 ENSG00000063015
SLC26A8 ENSG00000112053.9 0.427506 0.077054 ENSG00000112053
PTF1A ENSG00000168267.5 0.053714 0.061552 ENSG00000168267
PSD4 ENSG00000125637.10 0.242359 0.077207 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.184295 0.068349 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.586862 0.125359 ENSG00000154529
RNASET2 ENSG00000026297.11 0.119182 0.077487 ENSG00000026297
RDH13 ENSG00000160439.10 0.308895 0.082771 ENSG00000160439
AGAP7 ENSG00000204169.6 0.542289 0.081618 ENSG00000204169
NSUN4 ENSG00000117481.5 0.137341 0.06575 ENSG00000117481
APOBEC3G ENSG00000239713.3 0.330754 0.081362 ENSG00000239713
GSTM4 ENSG00000168765.11 0.16931 0.084444 ENSG00000168765
HOXB2 ENSG00000173917.9 0.183163 0.067525 ENSG00000173917
KRT23 ENSG00000108244.12 0.051105 0.053284 ENSG00000108244
NUDT7 ENSG00000140876.7 0.468408 0.078465 ENSG00000140876
