AssociatedGeneName EnsemblGeneID h2.Lung se.Lung ensid
GSTT1 ENSG00000184674.8 0.131963 0.070793 ENSG00000184674
SLC12A1 ENSG00000074803.13 0.282788 0.079197 ENSG00000074803
FAM118A ENSG00000100376.7 0.52681 0.091376 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.135242 0.082702 ENSG00000106772
PILRA ENSG00000085514.10 0.358501 0.07875 ENSG00000085514
RNPEP ENSG00000176393.6 0.164175 0.083443 ENSG00000176393
PAPSS1 ENSG00000138801.4 0.258243 0.083856 ENSG00000138801
VPS53 ENSG00000141252.15 0.186968 0.071972 ENSG00000141252
ZP3 ENSG00000188372.10 0.191284 0.078261 ENSG00000188372
NFXL1 ENSG00000170448.7 0.108883 0.058711 ENSG00000170448
TRMT12 ENSG00000183665.4 0.153368 0.076698 ENSG00000183665
CPA5 ENSG00000158525.11 0.16176 0.069988 ENSG00000158525
FABP2 ENSG00000145384.3 0.10384 0.060546 ENSG00000145384
ABCA7 ENSG00000064687.8 0.106715 0.073892 ENSG00000064687
ACCS ENSG00000110455.9 0.227172 0.091651 ENSG00000110455
UBE2U ENSG00000177414.8 0.115682 0.069926 ENSG00000177414
MFN2 ENSG00000116688.12 0.163707 0.084492 ENSG00000116688
SPATA20 ENSG00000006282.15 0.136213 0.069355 ENSG00000006282
SLC26A8 ENSG00000112053.9 0.116911 0.065319 ENSG00000112053
SLC28A3 ENSG00000197506.6 0.149799 0.068642 ENSG00000197506
DCBLD1 ENSG00000164465.14 0.12447 0.062315 ENSG00000164465
AGAP7 ENSG00000204169.6 0.113855 0.072035 ENSG00000204169
KRT23 ENSG00000108244.12 0.205676 0.081712 ENSG00000108244
NT5C3B ENSG00000141698.12 0.192321 0.078701 ENSG00000141698
KIF16B ENSG00000089177.13 0.126554 0.07746 ENSG00000089177
BAMBI ENSG00000095739.7 0.154489 0.080045 ENSG00000095739
LILRA4 ENSG00000239961.2 0.129922 0.082179 ENSG00000239961
H3F3A ENSG00000163041.5 0.121894 0.070109 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.11959 0.074788 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.140725 0.086401 ENSG00000154099
QRSL1 ENSG00000130348.7 0.201234 0.090849 ENSG00000130348
CYP2D6 ENSG00000100197.16 0.110345 0.061927 ENSG00000100197
G6PC2 ENSG00000152254.6 0.178861 0.077129 ENSG00000152254
APIP ENSG00000149089.8 0.103376 0.063184 ENSG00000149089
KCNMA1 ENSG00000156113.16 0.240761 0.088967 ENSG00000156113
LIMS2 ENSG00000072163.14 0.161774 0.086413 ENSG00000072163
RBPMS2 ENSG00000166831.4 0.107323 0.059609 ENSG00000166831
WARS ENSG00000140105.13 0.136974 0.07694 ENSG00000140105
PILRB ENSG00000121716.13 0.112182 0.061481 ENSG00000121716
C15orf57 ENSG00000128891.11 0.158257 0.064769 ENSG00000128891
CISD1 ENSG00000122873.7 0.108715 0.062555 ENSG00000122873
TNPO3 ENSG00000064419.9 0.108335 0.060582 ENSG00000064419
TMEM50B ENSG00000142188.12 0.110794 0.061987 ENSG00000142188
PCSK5 ENSG00000099139.9 0.20611 0.093216 ENSG00000099139
CAMK1D ENSG00000183049.8 0.273736 0.096027 ENSG00000183049
FAM83D ENSG00000101447.9 0.18356 0.093519 ENSG00000101447
NSFL1C ENSG00000088833.12 0.120072 0.089612 ENSG00000088833
RSPO4 ENSG00000101282.4 0.10279 0.081485 ENSG00000101282
TMEM50A ENSG00000183726.6 0.105937 0.069983 ENSG00000183726
SIRPB1 ENSG00000101307.11 0.21114 0.086799 ENSG00000101307
PCDHB16 ENSG00000196963.2 0.123172 0.064883 ENSG00000196963
ZNF282 ENSG00000170265.7 0.132566 0.070865 ENSG00000170265
NIPAL1 ENSG00000163293.7 0.127196 0.059272 ENSG00000163293
PLEC ENSG00000178209.10 0.130669 0.064092 ENSG00000178209
GSDMA ENSG00000167914.6 0.101913 0.060931 ENSG00000167914
KLHL10 ENSG00000161594.6 0.106049 0.059783 ENSG00000161594
LGALS2 ENSG00000100079.5 0.216237 0.087854 ENSG00000100079
ARHGEF25 ENSG00000240771.2 0.100777 0.086622 ENSG00000240771
KCNK17 ENSG00000124780.9 0.346019 0.090571 ENSG00000124780
CLCN1 ENSG00000188037.6 0.175475 0.077343 ENSG00000188037
TMEM132D ENSG00000151952.10 0.179495 0.09558 ENSG00000151952
TAF1C ENSG00000103168.12 0.110213 0.084501 ENSG00000103168
HDDC2 ENSG00000111906.12 0.132177 0.070546 ENSG00000111906
ZNF320 ENSG00000182986.8 0.119757 0.078342 ENSG00000182986
L1TD1 ENSG00000240563.1 0.21364 0.084578 ENSG00000240563
IL21R ENSG00000103522.11 0.113519 0.06357 ENSG00000103522
GLDC ENSG00000178445.8 0.262204 0.083665 ENSG00000178445
TRIB3 ENSG00000101255.6 0.145142 0.087188 ENSG00000101255
SNX31 ENSG00000174226.4 0.120439 0.077587 ENSG00000174226
CLEC18C ENSG00000157335.15 0.243594 0.085431 ENSG00000157335
SULT1A1 ENSG00000196502.7 0.112801 0.063366 ENSG00000196502
ITGA9 ENSG00000144668.7 0.112588 0.074748 ENSG00000144668
D2HGDH ENSG00000180902.12 0.124741 0.070156 ENSG00000180902
CLN6 ENSG00000128973.7 0.11029 0.067013 ENSG00000128973
ERP27 ENSG00000139055.2 0.20686 0.067158 ENSG00000139055
SULT1C2 ENSG00000198203.5 0.132538 0.081118 ENSG00000198203
PCDH1 ENSG00000156453.9 0.108211 0.063131 ENSG00000156453
ABHD3 ENSG00000158201.5 0.104481 0.072436 ENSG00000158201
SPRY2 ENSG00000136158.6 0.18226 0.074871 ENSG00000136158
LURAP1 ENSG00000171357.5 0.165034 0.079509 ENSG00000171357
CCDC3 ENSG00000151468.9 0.150408 0.093531 ENSG00000151468
SPC25 ENSG00000152253.4 0.113457 0.075448 ENSG00000152253
ARHGEF7 ENSG00000102606.13 0.104441 0.085939 ENSG00000102606
STX2 ENSG00000111450.9 0.274177 0.087946 ENSG00000111450
SDK2 ENSG00000069188.12 0.173947 0.10143 ENSG00000069188
PPP2R5A ENSG00000066027.6 0.133252 0.071639 ENSG00000066027
LAP3 ENSG00000002549.8 0.107011 0.061582 ENSG00000002549
TSKU ENSG00000182704.6 0.110745 0.06792 ENSG00000182704
FBLL1 ENSG00000188573.7 0.10163 0.070007 ENSG00000188573
HSPA12B ENSG00000132622.6 0.113043 0.071028 ENSG00000132622
NDNF ENSG00000173376.9 0.110654 0.069585 ENSG00000173376
PRMT5 ENSG00000100462.11 0.109804 0.073617 ENSG00000100462
C11orf21 ENSG00000110665.7 0.101279 0.061487 ENSG00000110665
LBP ENSG00000129988.5 0.113459 0.062638 ENSG00000129988
KCNC4 ENSG00000116396.9 0.101005 0.061558 ENSG00000116396
GPX7 ENSG00000116157.5 0.13382 0.06644 ENSG00000116157
CLEC4G ENSG00000182566.8 0.123565 0.072628 ENSG00000182566
LAMC1 ENSG00000135862.5 0.113231 0.053447 ENSG00000135862
NARFL ENSG00000103245.9 0.201742 0.082623 ENSG00000103245
ZCCHC2 ENSG00000141664.5 0.174526 0.096831 ENSG00000141664
CDC16 ENSG00000130177.10 0.121637 0.052104 ENSG00000130177
TIMP4 ENSG00000157150.4 0.116539 0.073962 ENSG00000157150
CPSF1 ENSG00000071894.10 0.255873 0.082034 ENSG00000071894
MYL4 ENSG00000198336.5 0.318431 0.091292 ENSG00000198336
FAM86C1 ENSG00000158483.11 0.108465 0.089444 ENSG00000158483
SLC44A3 ENSG00000143036.12 0.156954 0.072123 ENSG00000143036
PIAS4 ENSG00000105229.2 0.128698 0.080587 ENSG00000105229
NUSAP1 ENSG00000137804.8 0.14615 0.069513 ENSG00000137804
FPR1 ENSG00000171051.4 0.171666 0.088831 ENSG00000171051
C6orf201 ENSG00000185689.11 0.124996 0.071968 ENSG00000185689
BEGAIN ENSG00000183092.11 0.214805 0.074449 ENSG00000183092
ASCL5 ENSG00000232237.2 0.270687 0.091001 ENSG00000232237
TMTC4 ENSG00000125247.11 0.190836 0.078878 ENSG00000125247
