AssociatedGeneName EnsemblGeneID h2.SkinSunExposedLowerleg se.SkinSunExposedLowerleg ensid
MDGA1 ENSG00000112139.9 0.665827 0.065314 ENSG00000112139
GSTT1 ENSG00000184674.8 0.166067 0.072491 ENSG00000184674
AFAP1 ENSG00000196526.6 0.451909 0.082249 ENSG00000196526
FAM118A ENSG00000100376.7 0.243778 0.08055 ENSG00000100376
PILRA ENSG00000085514.10 0.173933 0.072716 ENSG00000085514
RPS28 ENSG00000233927.4 0.450844 0.084776 ENSG00000233927
ZP3 ENSG00000188372.10 0.205129 0.075996 ENSG00000188372
RPL9 ENSG00000163682.11 0.446392 0.076077 ENSG00000163682
TRMT12 ENSG00000183665.4 0.276229 0.077998 ENSG00000183665
ADK ENSG00000156110.9 0.132934 0.061599 ENSG00000156110
UNC5B ENSG00000107731.8 0.190802 0.086135 ENSG00000107731
ABCA7 ENSG00000064687.8 0.192534 0.088468 ENSG00000064687
GSTT2 ENSG00000099984.6 0.492921 0.073053 ENSG00000099984
UBE2U ENSG00000177414.8 0.132739 0.070401 ENSG00000177414
GSTT2B ENSG00000133433.6 0.41115 0.075786 ENSG00000133433
MFN2 ENSG00000116688.12 0.102415 0.063229 ENSG00000116688
OPRL1 ENSG00000125510.11 0.158667 0.071553 ENSG00000125510
PTF1A ENSG00000168267.5 0.102057 0.058809 ENSG00000168267
RNASET2 ENSG00000026297.11 0.184574 0.067064 ENSG00000026297
RDH13 ENSG00000160439.10 0.268878 0.090054 ENSG00000160439
GSTM4 ENSG00000168765.11 0.278297 0.085856 ENSG00000168765
LRRC37A ENSG00000176681.10 0.390067 0.087512 ENSG00000176681
RFWD3 ENSG00000168411.9 0.131376 0.060385 ENSG00000168411
LILRB5 ENSG00000105609.12 0.10075 0.067111 ENSG00000105609
HPR ENSG00000261701.2 0.14822 0.06866 ENSG00000261701
BAMBI ENSG00000095739.7 0.119475 0.077747 ENSG00000095739
QRSL1 ENSG00000130348.7 0.14375 0.064533 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.156526 0.068737 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.22611 0.070734 ENSG00000100197
CNGA1 ENSG00000198515.9 0.195333 0.064748 ENSG00000198515
G6PC2 ENSG00000152254.6 0.227129 0.074129 ENSG00000152254
LRRC37A2 ENSG00000238083.3 0.284736 0.086627 ENSG00000238083
KCNMA1 ENSG00000156113.16 0.118961 0.066904 ENSG00000156113
RRP7A ENSG00000189306.6 0.310499 0.085786 ENSG00000189306
RPTN ENSG00000215853.3 0.147634 0.07918 ENSG00000215853
CDS2 ENSG00000101290.9 0.192354 0.086327 ENSG00000101290
SMIM20 ENSG00000250317.4 0.112072 0.071253 ENSG00000250317
TLR3 ENSG00000164342.7 0.103141 0.065262 ENSG00000164342
GM2A ENSG00000196743.4 0.127887 0.068601 ENSG00000196743
PCDHB8 ENSG00000120322.2 0.190175 0.079054 ENSG00000120322
APOL4 ENSG00000100336.13 0.265617 0.085054 ENSG00000100336
PAQR5 ENSG00000137819.9 0.109374 0.060369 ENSG00000137819
GBP3 ENSG00000117226.7 0.22558 0.072781 ENSG00000117226
CDHR3 ENSG00000128536.11 0.100839 0.074495 ENSG00000128536
IREB2 ENSG00000136381.8 0.117455 0.057401 ENSG00000136381
ANXA8L2 ENSG00000186807.9 0.110805 0.061912 ENSG00000186807
ARL17B ENSG00000228696.4 0.116774 0.061636 ENSG00000228696
HMGXB3 ENSG00000113716.8 0.126522 0.070527 ENSG00000113716
NME4 ENSG00000103202.8 0.116288 0.069808 ENSG00000103202
GCC2 ENSG00000135968.15 0.110412 0.055531 ENSG00000135968
OPN4 ENSG00000122375.7 0.180232 0.070543 ENSG00000122375
CYP4F11 ENSG00000171903.11 0.294526 0.073296 ENSG00000171903
KLK15 ENSG00000174562.9 0.204319 0.091022 ENSG00000174562
RSPO4 ENSG00000101282.4 0.187487 0.085962 ENSG00000101282
GSTM1 ENSG00000134184.8 0.108967 0.062707 ENSG00000134184
YIPF5 ENSG00000145817.12 0.103989 0.057667 ENSG00000145817
C15orf38 ENSG00000242498.3 0.178012 0.072452 ENSG00000242498
CDH23 ENSG00000107736.15 0.225634 0.088166 ENSG00000107736
CD3D ENSG00000167286.5 0.101095 0.06508 ENSG00000167286
COG6 ENSG00000133103.12 0.126715 0.057479 ENSG00000133103
ANXA8L1 ENSG00000150165.13 0.242399 0.076701 ENSG00000150165
SLC22A5 ENSG00000197375.8 0.104634 0.05618 ENSG00000197375
DDX11 ENSG00000013573.12 0.136204 0.066433 ENSG00000013573
RCBTB1 ENSG00000136144.7 0.134349 0.062165 ENSG00000136144
NR2F6 ENSG00000160113.5 0.160303 0.077884 ENSG00000160113
C1orf87 ENSG00000162598.9 0.149211 0.072464 ENSG00000162598
CYP4F12 ENSG00000186204.9 0.186382 0.066547 ENSG00000186204
ZNF554 ENSG00000172006.7 0.114913 0.069424 ENSG00000172006
PDZRN3 ENSG00000121440.10 0.111886 0.070935 ENSG00000121440
GSDMA ENSG00000167914.6 0.189842 0.06966 ENSG00000167914
CBS ENSG00000160200.13 0.173456 0.075087 ENSG00000160200
PPWD1 ENSG00000113593.7 0.103355 0.063444 ENSG00000113593
PTPRN2 ENSG00000155093.13 0.121183 0.06469 ENSG00000155093
CCDC14 ENSG00000175455.10 0.110986 0.064152 ENSG00000175455
ITIH2 ENSG00000151655.13 0.211608 0.077316 ENSG00000151655
ADAMTS7 ENSG00000136378.10 0.12136 0.061419 ENSG00000136378
FAM227A ENSG00000184949.10 0.316127 0.075407 ENSG00000184949
ZNF320 ENSG00000182986.8 0.126777 0.072729 ENSG00000182986
IL21R ENSG00000103522.11 0.102748 0.073655 ENSG00000103522
ECHDC2 ENSG00000121310.12 0.113691 0.066237 ENSG00000121310
ATP8A1 ENSG00000124406.12 0.136515 0.064448 ENSG00000124406
UBE2C ENSG00000175063.12 0.116385 0.077552 ENSG00000175063
FAS ENSG00000026103.15 0.120749 0.067578 ENSG00000026103
PSAT1 ENSG00000135069.9 0.142741 0.070251 ENSG00000135069
RHPN1 ENSG00000158106.8 0.14041 0.068597 ENSG00000158106
BTN2A1 ENSG00000112763.11 0.126833 0.073028 ENSG00000112763
KLK8 ENSG00000129455.11 0.139201 0.086185 ENSG00000129455
NUP43 ENSG00000120253.9 0.110719 0.062651 ENSG00000120253
ARPC1B ENSG00000130429.8 0.2195 0.082753 ENSG00000130429
ARHGEF35 ENSG00000213214.3 0.359982 0.074369 ENSG00000213214
MYO16 ENSG00000041515.11 0.264194 0.087892 ENSG00000041515
TMOD3 ENSG00000138594.8 0.109928 0.058938 ENSG00000138594
ERP27 ENSG00000139055.2 0.4249 0.076939 ENSG00000139055
C19orf40 ENSG00000131944.5 0.125486 0.070798 ENSG00000131944
HEBP1 ENSG00000013583.4 0.100654 0.071487 ENSG00000013583
MRI1 ENSG00000037757.9 0.11712 0.071902 ENSG00000037757
ZNF419 ENSG00000105136.15 0.142189 0.061605 ENSG00000105136
REN ENSG00000143839.12 0.199505 0.079955 ENSG00000143839
TOP1MT ENSG00000184428.8 0.124734 0.058191 ENSG00000184428
ABHD3 ENSG00000158201.5 0.234805 0.092683 ENSG00000158201
CMTM7 ENSG00000153551.9 0.112032 0.064324 ENSG00000153551
KRT72 ENSG00000170486.6 0.254267 0.084235 ENSG00000170486
CTTNBP2 ENSG00000077063.6 0.130878 0.059615 ENSG00000077063
TMEM45B ENSG00000151715.3 0.125598 0.066193 ENSG00000151715
STX2 ENSG00000111450.9 0.165814 0.075083 ENSG00000111450
