AssociatedGeneName EnsemblGeneID h2.CrossTissue se.CrossTissue ensid
PVRL2 ENSG00000130202.5 0.164315 0.058436 ENSG00000130202
JUP ENSG00000173801.12 0.070256 0.035475 ENSG00000173801
MDGA1 ENSG00000112139.9 0.662821 0.05189 ENSG00000112139
GSTT1 ENSG00000184674.8 0.697129 0.046277 ENSG00000184674
ADARB2 ENSG00000185736.11 0.399501 0.064486 ENSG00000185736
TMEM176B ENSG00000106565.13 0.495581 0.064693 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.325 0.067591 ENSG00000074803
AFAP1 ENSG00000196526.6 0.158091 0.054449 ENSG00000196526
TMTC1 ENSG00000133687.11 0.078254 0.0427 ENSG00000133687
TMEM176A ENSG00000002933.3 0.422114 0.068439 ENSG00000002933
MFSD9 ENSG00000135953.6 0.128264 0.049812 ENSG00000135953
NIPAL2 ENSG00000104361.5 0.098295 0.049687 ENSG00000104361
CNR1 ENSG00000118432.11 0.012511 0.024827 ENSG00000118432
APOBEC3B ENSG00000179750.11 0.266698 0.070422 ENSG00000179750
AOC1 ENSG00000002726.15 0.050252 0.044567 ENSG00000002726
PEX11G ENSG00000104883.3 0.102741 0.051958 ENSG00000104883
FAM118A ENSG00000100376.7 0.856686 0.025129 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.175028 0.058615 ENSG00000106772
LRRC6 ENSG00000129295.4 0.120373 0.04272 ENSG00000129295
PILRA ENSG00000085514.10 0.641152 0.049171 ENSG00000085514
RPS28 ENSG00000233927.4 0.921936 0.014242 ENSG00000233927
TREML4 ENSG00000188056.7 0.427977 0.057062 ENSG00000188056
PAM ENSG00000145730.16 0.034331 0.028433 ENSG00000145730
RNPEP ENSG00000176393.6 0.155895 0.067107 ENSG00000176393
PLXDC1 ENSG00000161381.9 0.118429 0.058089 ENSG00000161381
SORCS2 ENSG00000184985.12 0.038334 0.047073 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.196584 0.057955 ENSG00000138801
VPS53 ENSG00000141252.15 0.463682 0.057303 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.072314 0.048332 ENSG00000113504
KIAA1324 ENSG00000116299.12 0.128699 0.056675 ENSG00000116299
ZP3 ENSG00000188372.10 0.830293 0.026956 ENSG00000188372
DUT ENSG00000128951.9 0.013464 0.023531 ENSG00000128951
POLR2J3 ENSG00000168255.13 0.441104 0.066477 ENSG00000168255
NFXL1 ENSG00000170448.7 0.35032 0.067331 ENSG00000170448
RPL9 ENSG00000163682.11 0.909525 0.015171 ENSG00000163682
TRMT12 ENSG00000183665.4 0.255751 0.060026 ENSG00000183665
ST20 ENSG00000180953.7 0.729726 0.038868 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.783915 0.031322 ENSG00000142856
CPA5 ENSG00000158525.11 0.341087 0.060048 ENSG00000158525
NDST1 ENSG00000070614.10 0.039595 0.042822 ENSG00000070614
ADK ENSG00000156110.9 0.221888 0.066932 ENSG00000156110
UNC5B ENSG00000107731.8 0.049409 0.041949 ENSG00000107731
FABP2 ENSG00000145384.3 0.134388 0.049301 ENSG00000145384
ABCA7 ENSG00000064687.8 0.197272 0.062465 ENSG00000064687
ACCS ENSG00000110455.9 0.68195 0.046319 ENSG00000110455
GSTT2 ENSG00000099984.6 0.743483 0.03817 ENSG00000099984
UBE2U ENSG00000177414.8 0.294523 0.059534 ENSG00000177414
NAV1 ENSG00000134369.11 0.022644 0.028609 ENSG00000134369
GSTT2B ENSG00000133433.6 0.735245 0.039813 ENSG00000133433
A4GALT ENSG00000128274.11 0.291222 0.068842 ENSG00000128274
CCDC135 ENSG00000159625.10 0.044684 0.045697 ENSG00000159625
MFN2 ENSG00000116688.12 0.226837 0.059878 ENSG00000116688
MYEF2 ENSG00000104177.13 0.027346 0.034808 ENSG00000104177
PGM5 ENSG00000154330.8 0.09851 0.048869 ENSG00000154330
MCOLN2 ENSG00000153898.8 0.499309 0.055944 ENSG00000153898
SPATA20 ENSG00000006282.15 0.766761 0.03663 ENSG00000006282
OPRL1 ENSG00000125510.11 0.405187 0.064639 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.433639 0.06058 ENSG00000112053
C8orf31 ENSG00000177335.6 0.059094 0.044886 ENSG00000177335
SLC28A3 ENSG00000197506.6 0.199354 0.055555 ENSG00000197506
PTF1A ENSG00000168267.5 0.08167 0.047484 ENSG00000168267
PSD4 ENSG00000125637.10 0.578659 0.058279 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.12683 0.051689 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.589401 0.112674 ENSG00000154529
RNASET2 ENSG00000026297.11 0.113733 0.048782 ENSG00000026297
CARKD ENSG00000213995.7 0.160248 0.059781 ENSG00000213995
KRT38 ENSG00000171360.3 0.16123 0.056976 ENSG00000171360
RDH13 ENSG00000160439.10 0.343992 0.069484 ENSG00000160439
AGAP7 ENSG00000204169.6 0.801951 0.032317 ENSG00000204169
NSUN4 ENSG00000117481.5 0.250115 0.070738 ENSG00000117481
APOBEC3G ENSG00000239713.3 0.445713 0.064649 ENSG00000239713
NOD2 ENSG00000167207.7 0.091763 0.047665 ENSG00000167207
GSTM4 ENSG00000168765.11 0.288841 0.066726 ENSG00000168765
HOXB2 ENSG00000173917.9 0.341308 0.065858 ENSG00000173917
KRT23 ENSG00000108244.12 0.194291 0.061639 ENSG00000108244
NUDT7 ENSG00000140876.7 0.424881 0.064436 ENSG00000140876
LRRC61 ENSG00000127399.10 0.545663 0.05264 ENSG00000127399
FADS2 ENSG00000134824.9 0.262324 0.064759 ENSG00000134824
TKTL1 ENSG00000007350.12 0.037478 0.046434 ENSG00000007350
LRRC37A ENSG00000176681.10 0.738136 0.044052 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.642996 0.05122 ENSG00000214872
RFWD3 ENSG00000168411.9 0.371192 0.062893 ENSG00000168411
TFIP11 ENSG00000100109.12 0.077692 0.055759 ENSG00000100109
C10orf128 ENSG00000204161.9 0.057025 0.037871 ENSG00000204161
TMEM9 ENSG00000116857.11 0.431856 0.067446 ENSG00000116857
CCDC15 ENSG00000149548.10 0.415545 0.064008 ENSG00000149548
CTXN2 ENSG00000233932.3 0.019131 0.021644 ENSG00000233932
NT5C3B ENSG00000141698.12 0.656481 0.047418 ENSG00000141698
ADCK3 ENSG00000163050.11 0.064286 0.039487 ENSG00000163050
KNSTRN ENSG00000128944.8 0.750998 0.036666 ENSG00000128944
FCGR2B ENSG00000072694.14 0.111897 0.051316 ENSG00000072694
TNFAIP8L1 ENSG00000185361.4 0.054797 0.038299 ENSG00000185361
MYCBPAP ENSG00000136449.9 0.388684 0.064473 ENSG00000136449
CTSW ENSG00000172543.3 0.483931 0.062818 ENSG00000172543
GCAT ENSG00000100116.12 0.146887 0.055308 ENSG00000100116
NT5E ENSG00000135318.7 0.028045 0.026847 ENSG00000135318
ADAD2 ENSG00000140955.6 0.37166 0.074731 ENSG00000140955
CES1 ENSG00000198848.8 0.438328 0.066442 ENSG00000198848
ZNF436 ENSG00000125945.9 0.433812 0.066134 ENSG00000125945
HPR ENSG00000261701.2 0.534377 0.061205 ENSG00000261701
CNTNAP2 ENSG00000174469.13 0.056134 0.048352 ENSG00000174469
CCDC94 ENSG00000105248.11 0.031539 0.041527 ENSG00000105248
HAUS4 ENSG00000092036.12 0.530176 0.055459 ENSG00000092036
EHMT1 ENSG00000181090.13 0.020757 0.026905 ENSG00000181090
GRHPR ENSG00000137106.13 0.572538 0.057979 ENSG00000137106
KIF16B ENSG00000089177.13 0.404151 0.061366 ENSG00000089177
BAMBI ENSG00000095739.7 0.155192 0.058796 ENSG00000095739
LILRA4 ENSG00000239961.2 0.395987 0.066794 ENSG00000239961
H3F3A ENSG00000163041.5 0.719687 0.043196 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.262261 0.062114 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.301193 0.071713 ENSG00000154099
QRSL1 ENSG00000130348.7 0.590671 0.052966 ENSG00000130348
STOX1 ENSG00000165730.10 0.486482 0.061731 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.43784 0.064842 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.668035 0.050037 ENSG00000100197
DHFR ENSG00000228716.2 0.495577 0.060614 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.133072 0.053612 ENSG00000162383
NEBL ENSG00000078114.14 0.020974 0.028169 ENSG00000078114
CNGA1 ENSG00000198515.9 0.517287 0.058004 ENSG00000198515
NUP133 ENSG00000069248.8 0.15873 0.051684 ENSG00000069248
G6PC2 ENSG00000152254.6 0.617542 0.051447 ENSG00000152254
NUPR1 ENSG00000176046.7 0.021228 0.026997 ENSG00000176046
APIP ENSG00000149089.8 0.680832 0.042506 ENSG00000149089
SAMD12 ENSG00000177570.9 0.357827 0.065135 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.648705 0.053249 ENSG00000238083
ZNF641 ENSG00000167528.8 0.118323 0.047722 ENSG00000167528
TUFM ENSG00000178952.4 0.338031 0.064822 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.274644 0.061562 ENSG00000156113
PRSS46 ENSG00000261603.1 0.691675 0.050873 ENSG00000261603
SOAT1 ENSG00000057252.8 0.050196 0.034914 ENSG00000057252
FAM151B ENSG00000152380.5 0.043884 0.033844 ENSG00000152380
COL5A3 ENSG00000080573.6 0.041 0.035696 ENSG00000080573
RRP7A ENSG00000189306.6 0.498103 0.069858 ENSG00000189306
RPTN ENSG00000215853.3 0.015748 0.025687 ENSG00000215853
