AssociatedGeneName EnsemblGeneID h2.HeartLeftVentricle se.HeartLeftVentricle ensid
GSTT1 ENSG00000184674.8 0.544012 0.091971 ENSG00000184674
TMEM176B ENSG00000106565.13 0.467402 0.106488 ENSG00000106565
AFAP1 ENSG00000196526.6 0.287978 0.133041 ENSG00000196526
TMEM176A ENSG00000002933.3 0.489234 0.104511 ENSG00000002933
AOC1 ENSG00000002726.15 0.548681 0.09258 ENSG00000002726
FAM118A ENSG00000100376.7 0.761561 0.067318 ENSG00000100376
LRRC6 ENSG00000129295.4 0.331238 0.098925 ENSG00000129295
PILRA ENSG00000085514.10 0.536877 0.086227 ENSG00000085514
RPS28 ENSG00000233927.4 0.909441 0.039347 ENSG00000233927
VPS53 ENSG00000141252.15 0.341595 0.096371 ENSG00000141252
ZP3 ENSG00000188372.10 0.724243 0.068233 ENSG00000188372
RPL9 ENSG00000163682.11 0.822315 0.051441 ENSG00000163682
ST20 ENSG00000180953.7 0.338966 0.1134 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.687372 0.074164 ENSG00000142856
ADK ENSG00000156110.9 0.299402 0.099221 ENSG00000156110
FABP2 ENSG00000145384.3 0.608256 0.07755 ENSG00000145384
ACCS ENSG00000110455.9 0.540899 0.108877 ENSG00000110455
GSTT2 ENSG00000099984.6 0.578338 0.090951 ENSG00000099984
UBE2U ENSG00000177414.8 0.41009 0.109027 ENSG00000177414
GSTT2B ENSG00000133433.6 0.48367 0.101295 ENSG00000133433
A4GALT ENSG00000128274.11 0.283673 0.109491 ENSG00000128274
MCOLN2 ENSG00000153898.8 0.280404 0.096351 ENSG00000153898
SPATA20 ENSG00000006282.15 0.78892 0.064975 ENSG00000006282
LRRC61 ENSG00000127399.10 0.398121 0.100931 ENSG00000127399
FADS2 ENSG00000134824.9 0.285316 0.109598 ENSG00000134824
LRRC37A ENSG00000176681.10 0.335096 0.102009 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.224672 0.094981 ENSG00000214872
CORIN ENSG00000145244.7 0.311106 0.098734 ENSG00000145244
NT5C3B ENSG00000141698.12 0.515879 0.085786 ENSG00000141698
KNSTRN ENSG00000128944.8 0.671715 0.072214 ENSG00000128944
CES1 ENSG00000198848.8 0.251024 0.117624 ENSG00000198848
