AssociatedGeneName EnsemblGeneID h2.MuscleSkeletal se.MuscleSkeletal ensid
PVRL2 ENSG00000130202.5 0.193495 0.073079 ENSG00000130202
MDGA1 ENSG00000112139.9 0.246138 0.076204 ENSG00000112139
GSTT1 ENSG00000184674.8 0.576602 0.065416 ENSG00000184674
ADARB2 ENSG00000185736.11 0.210774 0.072091 ENSG00000185736
TMEM176B ENSG00000106565.13 0.376099 0.076425 ENSG00000106565
TMEM176A ENSG00000002933.3 0.172595 0.073216 ENSG00000002933
CNR1 ENSG00000118432.11 0.05125 0.04936 ENSG00000118432
FAM118A ENSG00000100376.7 0.453657 0.068826 ENSG00000100376
LRRC6 ENSG00000129295.4 0.062181 0.050129 ENSG00000129295
PILRA ENSG00000085514.10 0.548472 0.064456 ENSG00000085514
RPS28 ENSG00000233927.4 0.820114 0.033796 ENSG00000233927
TREML4 ENSG00000188056.7 0.138981 0.063207 ENSG00000188056
RNPEP ENSG00000176393.6 0.242764 0.075538 ENSG00000176393
VPS53 ENSG00000141252.15 0.214675 0.064689 ENSG00000141252
ZP3 ENSG00000188372.10 0.676527 0.050178 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.305684 0.076182 ENSG00000168255
RPL9 ENSG00000163682.11 0.842152 0.028457 ENSG00000163682
TRMT12 ENSG00000183665.4 0.087685 0.060329 ENSG00000183665
ST20 ENSG00000180953.7 0.287828 0.071479 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.52851 0.061218 ENSG00000142856
CPA5 ENSG00000158525.11 0.090257 0.055497 ENSG00000158525
FABP2 ENSG00000145384.3 0.069351 0.039203 ENSG00000145384
ABCA7 ENSG00000064687.8 0.127377 0.068456 ENSG00000064687
ACCS ENSG00000110455.9 0.490558 0.067701 ENSG00000110455
GSTT2 ENSG00000099984.6 0.490067 0.068585 ENSG00000099984
NAV1 ENSG00000134369.11 0.104516 0.056739 ENSG00000134369
GSTT2B ENSG00000133433.6 0.298837 0.073561 ENSG00000133433
A4GALT ENSG00000128274.11 0.437733 0.079438 ENSG00000128274
PGM5 ENSG00000154330.8 0.059376 0.044097 ENSG00000154330
SPATA20 ENSG00000006282.15 0.703845 0.050141 ENSG00000006282
OPRL1 ENSG00000125510.11 0.192105 0.069626 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.099336 0.057728 ENSG00000112053
PSD4 ENSG00000125637.10 0.083971 0.055014 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.072465 0.044549 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.287636 0.130222 ENSG00000154529
CARKD ENSG00000213995.7 0.326652 0.073951 ENSG00000213995
AGAP7 ENSG00000204169.6 0.335959 0.088095 ENSG00000204169
NSUN4 ENSG00000117481.5 0.284571 0.0697 ENSG00000117481
APOBEC3G ENSG00000239713.3 0.108825 0.054954 ENSG00000239713
GSTM4 ENSG00000168765.11 0.157907 0.069344 ENSG00000168765
HOXB2 ENSG00000173917.9 0.153405 0.058852 ENSG00000173917
LRRC61 ENSG00000127399.10 0.416336 0.066124 ENSG00000127399
FADS2 ENSG00000134824.9 0.093142 0.055781 ENSG00000134824
LRRC37A ENSG00000176681.10 0.658013 0.060639 ENSG00000176681
RFWD3 ENSG00000168411.9 0.160451 0.060306 ENSG00000168411
CCDC15 ENSG00000149548.10 0.173672 0.066688 ENSG00000149548
NT5C3B ENSG00000141698.12 0.478612 0.07025 ENSG00000141698
KNSTRN ENSG00000128944.8 0.459097 0.066322 ENSG00000128944
CTSW ENSG00000172543.3 0.086761 0.047191 ENSG00000172543
GCAT ENSG00000100116.12 0.135472 0.056612 ENSG00000100116
ADAD2 ENSG00000140955.6 0.338696 0.084461 ENSG00000140955
CES1 ENSG00000198848.8 0.081204 0.061415 ENSG00000198848
ZNF436 ENSG00000125945.9 0.172882 0.071071 ENSG00000125945
HPR ENSG00000261701.2 0.201508 0.067569 ENSG00000261701
HAUS4 ENSG00000092036.12 0.170996 0.066172 ENSG00000092036
EHMT1 ENSG00000181090.13 0.071281 0.046015 ENSG00000181090
GRHPR ENSG00000137106.13 0.343556 0.080338 ENSG00000137106
KIF16B ENSG00000089177.13 0.147495 0.063686 ENSG00000089177
BAMBI ENSG00000095739.7 0.054614 0.052166 ENSG00000095739
LILRA4 ENSG00000239961.2 0.335122 0.078386 ENSG00000239961
H3F3A ENSG00000163041.5 0.368045 0.072011 ENSG00000163041
QRSL1 ENSG00000130348.7 0.454886 0.066571 ENSG00000130348
STOX1 ENSG00000165730.10 0.218234 0.060803 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.194271 0.065171 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.211524 0.064899 ENSG00000100197
DHFR ENSG00000228716.2 0.496413 0.063376 ENSG00000228716
CNGA1 ENSG00000198515.9 0.493509 0.067165 ENSG00000198515
G6PC2 ENSG00000152254.6 0.19322 0.067308 ENSG00000152254
APIP ENSG00000149089.8 0.356245 0.070017 ENSG00000149089
SAMD12 ENSG00000177570.9 0.066029 0.06216 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.463582 0.075547 ENSG00000238083
ZNF641 ENSG00000167528.8 0.351329 0.069604 ENSG00000167528
TUFM ENSG00000178952.4 0.099651 0.055637 ENSG00000178952
PRSS46 ENSG00000261603.1 0.291631 0.082116 ENSG00000261603
RRP7A ENSG00000189306.6 0.241469 0.076281 ENSG00000189306
ARHGAP22 ENSG00000128805.10 0.072141 0.055716 ENSG00000128805
LIMS2 ENSG00000072163.14 0.051615 0.049108 ENSG00000072163
WASH4P ENSG00000234769.4 0.166225 0.081824 ENSG00000234769
SMIM20 ENSG00000250317.4 0.274367 0.074688 ENSG00000250317
C8B ENSG00000021852.8 0.060008 0.052567 ENSG00000021852
PKP4 ENSG00000144283.17 0.094582 0.056758 ENSG00000144283
TACSTD2 ENSG00000184292.5 0.091372 0.053848 ENSG00000184292
PCDHB8 ENSG00000120322.2 0.110982 0.051182 ENSG00000120322
ZNF266 ENSG00000174652.13 0.405684 0.063339 ENSG00000174652
APOL4 ENSG00000100336.13 0.255088 0.071283 ENSG00000100336
NTPCR ENSG00000135778.6 0.437816 0.082409 ENSG00000135778
ABHD4 ENSG00000100439.6 0.148631 0.07069 ENSG00000100439
POLR2J ENSG00000005075.11 0.201438 0.069764 ENSG00000005075
ATMIN ENSG00000166454.5 0.409155 0.070607 ENSG00000166454
AKR1C1 ENSG00000187134.8 0.120239 0.065442 ENSG00000187134
GBP3 ENSG00000117226.7 0.38973 0.072891 ENSG00000117226
CDHR3 ENSG00000128536.11 0.083623 0.06706 ENSG00000128536
PILRB ENSG00000121716.13 0.281097 0.067219 ENSG00000121716
C15orf57 ENSG00000128891.11 0.303989 0.06797 ENSG00000128891
IFT88 ENSG00000032742.13 0.212849 0.06899 ENSG00000032742
IREB2 ENSG00000136381.8 0.121868 0.063526 ENSG00000136381
VNN1 ENSG00000112299.7 0.054212 0.052874 ENSG00000112299
