AssociatedGeneName EnsemblGeneID h2.Lung se.Lung ensid
MDGA1 ENSG00000112139.9 0.223501 0.09567 ENSG00000112139
GSTT1 ENSG00000184674.8 0.593708 0.068634 ENSG00000184674
ADARB2 ENSG00000185736.11 0.233486 0.087842 ENSG00000185736
SLC12A1 ENSG00000074803.13 0.367658 0.079404 ENSG00000074803
PEX11G ENSG00000104883.3 0.180922 0.087982 ENSG00000104883
FAM118A ENSG00000100376.7 0.861317 0.039525 ENSG00000100376
RPS28 ENSG00000233927.4 0.866012 0.034681 ENSG00000233927
TREML4 ENSG00000188056.7 0.267057 0.081366 ENSG00000188056
RNPEP ENSG00000176393.6 0.331461 0.097331 ENSG00000176393
PAPSS1 ENSG00000138801.4 0.372414 0.086055 ENSG00000138801
VPS53 ENSG00000141252.15 0.309546 0.074532 ENSG00000141252
ZP3 ENSG00000188372.10 0.782631 0.044711 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.249459 0.087822 ENSG00000168255
NFXL1 ENSG00000170448.7 0.173022 0.072414 ENSG00000170448
RPL9 ENSG00000163682.11 0.832595 0.035441 ENSG00000163682
ST20 ENSG00000180953.7 0.499722 0.080456 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.653237 0.060214 ENSG00000142856
CPA5 ENSG00000158525.11 0.241444 0.077063 ENSG00000158525
ADK ENSG00000156110.9 0.207507 0.073246 ENSG00000156110
FABP2 ENSG00000145384.3 0.131406 0.060393 ENSG00000145384
ABCA7 ENSG00000064687.8 0.283294 0.084861 ENSG00000064687
ACCS ENSG00000110455.9 0.691433 0.063862 ENSG00000110455
GSTT2 ENSG00000099984.6 0.62132 0.065574 ENSG00000099984
GSTT2B ENSG00000133433.6 0.566995 0.070889 ENSG00000133433
A4GALT ENSG00000128274.11 0.270103 0.091222 ENSG00000128274
MFN2 ENSG00000116688.12 0.304352 0.086057 ENSG00000116688
MCOLN2 ENSG00000153898.8 0.205325 0.07289 ENSG00000153898
SPATA20 ENSG00000006282.15 0.712032 0.056621 ENSG00000006282
PSD4 ENSG00000125637.10 0.549681 0.080312 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.143479 0.063968 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.543157 0.138363 ENSG00000154529
RNASET2 ENSG00000026297.11 0.21498 0.078791 ENSG00000026297
CARKD ENSG00000213995.7 0.31074 0.094078 ENSG00000213995
AGAP7 ENSG00000204169.6 0.730941 0.057652 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.152095 0.071302 ENSG00000239713
GSTM4 ENSG00000168765.11 0.379031 0.089095 ENSG00000168765
HOXB2 ENSG00000173917.9 0.178853 0.069898 ENSG00000173917
KRT23 ENSG00000108244.12 0.280675 0.084156 ENSG00000108244
LRRC61 ENSG00000127399.10 0.321896 0.078336 ENSG00000127399
FADS2 ENSG00000134824.9 0.150592 0.072464 ENSG00000134824
LRRC37A ENSG00000176681.10 0.480531 0.087136 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.506349 0.076882 ENSG00000214872
TMEM9 ENSG00000116857.11 0.272577 0.090065 ENSG00000116857
CCDC15 ENSG00000149548.10 0.199452 0.091983 ENSG00000149548
NT5C3B ENSG00000141698.12 0.610968 0.065541 ENSG00000141698
KNSTRN ENSG00000128944.8 0.325229 0.080687 ENSG00000128944
MYCBPAP ENSG00000136449.9 0.227471 0.095713 ENSG00000136449
CTSW ENSG00000172543.3 0.445505 0.079171 ENSG00000172543
GCAT ENSG00000100116.12 0.180976 0.073809 ENSG00000100116
CES1 ENSG00000198848.8 0.14805 0.073291 ENSG00000198848
HPR ENSG00000261701.2 0.20337 0.082213 ENSG00000261701
HAUS4 ENSG00000092036.12 0.411932 0.087795 ENSG00000092036
GRHPR ENSG00000137106.13 0.644739 0.072476 ENSG00000137106
KIF16B ENSG00000089177.13 0.178641 0.080828 ENSG00000089177
LILRA4 ENSG00000239961.2 0.31857 0.091209 ENSG00000239961
H3F3A ENSG00000163041.5 0.379945 0.086123 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.147532 0.07373 ENSG00000144320
QRSL1 ENSG00000130348.7 0.444539 0.081143 ENSG00000130348
STOX1 ENSG00000165730.10 0.234453 0.073746 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.308149 0.087823 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.452239 0.082071 ENSG00000100197
DHFR ENSG00000228716.2 0.208739 0.071762 ENSG00000228716
CNGA1 ENSG00000198515.9 0.232559 0.06969 ENSG00000198515
G6PC2 ENSG00000152254.6 0.597556 0.072692 ENSG00000152254
APIP ENSG00000149089.8 0.530079 0.069155 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.41729 0.082617 ENSG00000238083
TUFM ENSG00000178952.4 0.192299 0.075251 ENSG00000178952
KCNMA1 ENSG00000156113.16 0.281892 0.087532 ENSG00000156113
RRP7A ENSG00000189306.6 0.523952 0.086821 ENSG00000189306
PCYOX1L ENSG00000145882.6 0.180901 0.087398 ENSG00000145882
LIPN ENSG00000204020.5 0.214015 0.076475 ENSG00000204020
PCDHB8 ENSG00000120322.2 0.26366 0.076285 ENSG00000120322
ZNF266 ENSG00000174652.13 0.492733 0.067657 ENSG00000174652
APOL4 ENSG00000100336.13 0.239944 0.085552 ENSG00000100336
NTPCR ENSG00000135778.6 0.233508 0.084844 ENSG00000135778
ETV7 ENSG00000010030.9 0.187611 0.072063 ENSG00000010030
POLR2J ENSG00000005075.11 0.167163 0.082082 ENSG00000005075
GBP3 ENSG00000117226.7 0.583767 0.072058 ENSG00000117226
PILRB ENSG00000121716.13 0.535872 0.073956 ENSG00000121716
C15orf57 ENSG00000128891.11 0.398514 0.069952 ENSG00000128891
IFT88 ENSG00000032742.13 0.249527 0.081411 ENSG00000032742
ARL14EP ENSG00000152219.4 0.129194 0.05628 ENSG00000152219
VNN1 ENSG00000112299.7 0.25211 0.084594 ENSG00000112299
GSTM2 ENSG00000213366.8 0.173361 0.082046 ENSG00000213366
CISD1 ENSG00000122873.7 0.258289 0.084287 ENSG00000122873
TMEM50B ENSG00000142188.12 0.459327 0.075831 ENSG00000142188
