AssociatedGeneName EnsemblGeneID h2.Thyroid se.Thyroid ensid
MDGA1 ENSG00000112139.9 0.527765 0.082685 ENSG00000112139
GSTT1 ENSG00000184674.8 0.599253 0.071862 ENSG00000184674
ADARB2 ENSG00000185736.11 0.29693 0.087177 ENSG00000185736
TMEM176B ENSG00000106565.13 0.38794 0.0946 ENSG00000106565
TMEM176A ENSG00000002933.3 0.424991 0.092497 ENSG00000002933
FAM118A ENSG00000100376.7 0.822229 0.046015 ENSG00000100376
PILRA ENSG00000085514.10 0.601225 0.06374 ENSG00000085514
RPS28 ENSG00000233927.4 0.792582 0.046614 ENSG00000233927
TREML4 ENSG00000188056.7 0.257724 0.084824 ENSG00000188056
SORCS2 ENSG00000184985.12 0.209379 0.100326 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.2829 0.082269 ENSG00000138801
VPS53 ENSG00000141252.15 0.499754 0.074103 ENSG00000141252
ZP3 ENSG00000188372.10 0.6931 0.056346 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.238759 0.089965 ENSG00000168255
RPL9 ENSG00000163682.11 0.863189 0.02995 ENSG00000163682
ST20 ENSG00000180953.7 0.640163 0.065727 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.76745 0.043262 ENSG00000142856
ACCS ENSG00000110455.9 0.72464 0.059349 ENSG00000110455
GSTT2 ENSG00000099984.6 0.61359 0.065078 ENSG00000099984
UBE2U ENSG00000177414.8 0.25665 0.083464 ENSG00000177414
GSTT2B ENSG00000133433.6 0.604297 0.070581 ENSG00000133433
MCOLN2 ENSG00000153898.8 0.589349 0.068175 ENSG00000153898
SPATA20 ENSG00000006282.15 0.459862 0.082097 ENSG00000006282
OPRL1 ENSG00000125510.11 0.186013 0.080299 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.555732 0.069557 ENSG00000112053
C8orf31 ENSG00000177335.6 0.206146 0.07968 ENSG00000177335
PSD4 ENSG00000125637.10 0.192989 0.073987 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.280196 0.075346 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.596162 0.132153 ENSG00000154529
RNASET2 ENSG00000026297.11 0.171712 0.078044 ENSG00000026297
RDH13 ENSG00000160439.10 0.312508 0.100728 ENSG00000160439
AGAP7 ENSG00000204169.6 0.62693 0.074762 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.494091 0.077159 ENSG00000239713
HOXB2 ENSG00000173917.9 0.194293 0.078336 ENSG00000173917
LRRC61 ENSG00000127399.10 0.438588 0.074847 ENSG00000127399
FADS2 ENSG00000134824.9 0.346104 0.087419 ENSG00000134824
LRRC37A ENSG00000176681.10 0.478085 0.08512 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.422365 0.083324 ENSG00000214872
RFWD3 ENSG00000168411.9 0.230654 0.078926 ENSG00000168411
TMEM9 ENSG00000116857.11 0.491631 0.084111 ENSG00000116857
CCDC15 ENSG00000149548.10 0.215015 0.082347 ENSG00000149548
NT5C3B ENSG00000141698.12 0.321955 0.084656 ENSG00000141698
KNSTRN ENSG00000128944.8 0.189308 0.081115 ENSG00000128944
MYCBPAP ENSG00000136449.9 0.164244 0.078225 ENSG00000136449
CTSW ENSG00000172543.3 0.486634 0.074667 ENSG00000172543
NT5E ENSG00000135318.7 0.400794 0.076832 ENSG00000135318
CES1 ENSG00000198848.8 0.371682 0.096454 ENSG00000198848
ZNF436 ENSG00000125945.9 0.336683 0.094356 ENSG00000125945
HPR ENSG00000261701.2 0.160629 0.065058 ENSG00000261701
HAUS4 ENSG00000092036.12 0.303269 0.083732 ENSG00000092036
GRHPR ENSG00000137106.13 0.287286 0.088411 ENSG00000137106
KIF16B ENSG00000089177.13 0.400388 0.078125 ENSG00000089177
H3F3A ENSG00000163041.5 0.442562 0.085737 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.198961 0.08097 ENSG00000144320
DNAAF1 ENSG00000154099.13 0.225756 0.097318 ENSG00000154099
QRSL1 ENSG00000130348.7 0.545538 0.070793 ENSG00000130348
STOX1 ENSG00000165730.10 0.145647 0.068207 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.443729 0.086998 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.47696 0.079272 ENSG00000100197
DHFR ENSG00000228716.2 0.336216 0.080599 ENSG00000228716
CNGA1 ENSG00000198515.9 0.408856 0.075229 ENSG00000198515
NUP133 ENSG00000069248.8 0.169064 0.072036 ENSG00000069248
G6PC2 ENSG00000152254.6 0.293931 0.080587 ENSG00000152254
APIP ENSG00000149089.8 0.689175 0.054514 ENSG00000149089
SAMD12 ENSG00000177570.9 0.317104 0.088341 ENSG00000177570
LRRC37A2 ENSG00000238083.3 0.513753 0.081643 ENSG00000238083
ZNF641 ENSG00000167528.8 0.152525 0.058119 ENSG00000167528
TUFM ENSG00000178952.4 0.193978 0.067818 ENSG00000178952
PRSS46 ENSG00000261603.1 0.574604 0.077188 ENSG00000261603
RRP7A ENSG00000189306.6 0.454409 0.093163 ENSG00000189306
PCYOX1L ENSG00000145882.6 0.237446 0.095061 ENSG00000145882
SMIM20 ENSG00000250317.4 0.348148 0.088711 ENSG00000250317
AL359195.1 ENSG00000204038.3 0.188132 0.075929 ENSG00000204038
TACSTD2 ENSG00000184292.5 0.183187 0.068869 ENSG00000184292
PCDHB8 ENSG00000120322.2 0.28582 0.077019 ENSG00000120322
ZNF266 ENSG00000174652.13 0.54178 0.065497 ENSG00000174652
APOL4 ENSG00000100336.13 0.455956 0.085243 ENSG00000100336
NTPCR ENSG00000135778.6 0.327899 0.091418 ENSG00000135778
POLR2J ENSG00000005075.11 0.294313 0.082926 ENSG00000005075
