AssociatedGeneName EnsemblGeneID h2.HeartLeftVentricle se.HeartLeftVentricle ensid
MDGA1 ENSG00000112139.9 0.158104 0.100999 ENSG00000112139
GSTT1 ENSG00000184674.8 0.544012 0.091971 ENSG00000184674
TMEM176B ENSG00000106565.13 0.467402 0.106488 ENSG00000106565
SLC12A1 ENSG00000074803.13 0.131631 0.085279 ENSG00000074803
AFAP1 ENSG00000196526.6 0.287978 0.133041 ENSG00000196526
TMEM176A ENSG00000002933.3 0.489234 0.104511 ENSG00000002933
MFSD9 ENSG00000135953.6 0.081663 0.082278 ENSG00000135953
AOC1 ENSG00000002726.15 0.548681 0.09258 ENSG00000002726
PEX11G ENSG00000104883.3 0.070283 0.094871 ENSG00000104883
FAM118A ENSG00000100376.7 0.761561 0.067318 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.084957 0.105058 ENSG00000106772
LRRC6 ENSG00000129295.4 0.331238 0.098925 ENSG00000129295
PILRA ENSG00000085514.10 0.536877 0.086227 ENSG00000085514
RPS28 ENSG00000233927.4 0.909441 0.039347 ENSG00000233927
TREML4 ENSG00000188056.7 0.151909 0.101995 ENSG00000188056
PAM ENSG00000145730.16 0.054321 0.052309 ENSG00000145730
VPS53 ENSG00000141252.15 0.341595 0.096371 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.113351 0.110478 ENSG00000113504
ZP3 ENSG00000188372.10 0.724243 0.068233 ENSG00000188372
POLR2J3 ENSG00000168255.13 0.120349 0.085694 ENSG00000168255
RPL9 ENSG00000163682.11 0.822315 0.051441 ENSG00000163682
ST20 ENSG00000180953.7 0.338966 0.1134 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.687372 0.074164 ENSG00000142856
CPA5 ENSG00000158525.11 0.113262 0.087582 ENSG00000158525
NDST1 ENSG00000070614.10 0.110947 0.09625 ENSG00000070614
ADK ENSG00000156110.9 0.299402 0.099221 ENSG00000156110
UNC5B ENSG00000107731.8 0.067767 0.10782 ENSG00000107731
FABP2 ENSG00000145384.3 0.608256 0.07755 ENSG00000145384
ABCA7 ENSG00000064687.8 0.098466 0.108956 ENSG00000064687
ACCS ENSG00000110455.9 0.540899 0.108877 ENSG00000110455
GSTT2 ENSG00000099984.6 0.578338 0.090951 ENSG00000099984
UBE2U ENSG00000177414.8 0.41009 0.109027 ENSG00000177414
GSTT2B ENSG00000133433.6 0.48367 0.101295 ENSG00000133433
A4GALT ENSG00000128274.11 0.283673 0.109491 ENSG00000128274
MFN2 ENSG00000116688.12 0.08155 0.075684 ENSG00000116688
MCOLN2 ENSG00000153898.8 0.280404 0.096351 ENSG00000153898
SPATA20 ENSG00000006282.15 0.78892 0.064975 ENSG00000006282
OPRL1 ENSG00000125510.11 0.14804 0.083508 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.066118 0.074283 ENSG00000112053
C8orf31 ENSG00000177335.6 0.155789 0.093349 ENSG00000177335
LEPROT ENSG00000213625.4 0.11534 0.095071 ENSG00000213625
PSD4 ENSG00000125637.10 0.054098 0.0762 ENSG00000125637
DCBLD1 ENSG00000164465.14 0.188101 0.095634 ENSG00000164465
CNTNAP3B ENSG00000154529.10 0.272156 0.150015 ENSG00000154529
RDH13 ENSG00000160439.10 0.172533 0.127061 ENSG00000160439
NSUN4 ENSG00000117481.5 0.15091 0.076129 ENSG00000117481
APOBEC3G ENSG00000239713.3 0.133656 0.080053 ENSG00000239713
NUDT7 ENSG00000140876.7 0.055894 0.097783 ENSG00000140876
LRRC61 ENSG00000127399.10 0.398121 0.100931 ENSG00000127399
FADS2 ENSG00000134824.9 0.285316 0.109598 ENSG00000134824
LRRC37A ENSG00000176681.10 0.335096 0.102009 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.224672 0.094981 ENSG00000214872
TFIP11 ENSG00000100109.12 0.097456 0.120613 ENSG00000100109
C10orf128 ENSG00000204161.9 0.078332 0.074831 ENSG00000204161
CORIN ENSG00000145244.7 0.311106 0.098734 ENSG00000145244
CCDC15 ENSG00000149548.10 0.086876 0.08744 ENSG00000149548
NT5C3B ENSG00000141698.12 0.515879 0.085786 ENSG00000141698
KNSTRN ENSG00000128944.8 0.671715 0.072214 ENSG00000128944
TNFAIP8L1 ENSG00000185361.4 0.083573 0.112297 ENSG00000185361
CTSW ENSG00000172543.3 0.084529 0.06432 ENSG00000172543
NT5E ENSG00000135318.7 0.119373 0.083433 ENSG00000135318
ADAD2 ENSG00000140955.6 0.240523 0.141423 ENSG00000140955
CES1 ENSG00000198848.8 0.251024 0.117624 ENSG00000198848
ZNF436 ENSG00000125945.9 0.059212 0.087635 ENSG00000125945
HPR ENSG00000261701.2 0.42724 0.106082 ENSG00000261701
HAUS4 ENSG00000092036.12 0.307383 0.108324 ENSG00000092036
GRHPR ENSG00000137106.13 0.246056 0.109828 ENSG00000137106
KIF16B ENSG00000089177.13 0.145406 0.110961 ENSG00000089177
LILRA4 ENSG00000239961.2 0.077024 0.116107 ENSG00000239961
H3F3A ENSG00000163041.5 0.2239 0.085497 ENSG00000163041
QRSL1 ENSG00000130348.7 0.514785 0.093302 ENSG00000130348
STOX1 ENSG00000165730.10 0.058684 0.076396 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.181591 0.108453 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.150949 0.091523 ENSG00000100197
DHFR ENSG00000228716.2 0.445614 0.088267 ENSG00000228716
CNGA1 ENSG00000198515.9 0.586268 0.085242 ENSG00000198515
NUP133 ENSG00000069248.8 0.075596 0.073809 ENSG00000069248
G6PC2 ENSG00000152254.6 0.402968 0.104681 ENSG00000152254
NUPR1 ENSG00000176046.7 0.245712 0.100794 ENSG00000176046
APIP ENSG00000149089.8 0.660947 0.076383 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.329701 0.092186 ENSG00000238083
ZNF641 ENSG00000167528.8 0.127652 0.074561 ENSG00000167528
KCNMA1 ENSG00000156113.16 0.180585 0.104329 ENSG00000156113
PRSS46 ENSG00000261603.1 0.585835 0.091865 ENSG00000261603
RRP7A ENSG00000189306.6 0.455373 0.119427 ENSG00000189306
ANKRD34B ENSG00000189127.3 0.154081 0.090026 ENSG00000189127
CDS2 ENSG00000101290.9 0.056681 0.099444 ENSG00000101290
SMIM20 ENSG00000250317.4 0.146797 0.105035 ENSG00000250317
AL359195.1 ENSG00000204038.3 0.054071 0.084429 ENSG00000204038
PKP4 ENSG00000144283.17 0.062091 0.073597 ENSG00000144283
TLR3 ENSG00000164342.7 0.081825 0.085969 ENSG00000164342
GM2A ENSG00000196743.4 0.370179 0.131907 ENSG00000196743
