AssociatedGeneName EnsemblGeneID h2.ArteryTibial se.ArteryTibial ensid
ADARB2 ENSG00000185736.11 0.106367 0.064292 ENSG00000185736
FAM118A ENSG00000100376.7 0.137486 0.076028 ENSG00000100376
ACCS ENSG00000110455.9 0.182798 0.078713 ENSG00000110455
A4GALT ENSG00000128274.11 0.184286 0.084753 ENSG00000128274
CCDC135 ENSG00000159625.10 0.146122 0.083882 ENSG00000159625
MCOLN2 ENSG00000153898.8 0.205384 0.074739 ENSG00000153898
RDH13 ENSG00000160439.10 0.29328 0.099577 ENSG00000160439
NUDT7 ENSG00000140876.7 0.205439 0.085459 ENSG00000140876
LRRC37A ENSG00000176681.10 0.36247 0.090972 ENSG00000176681
TMEM9 ENSG00000116857.11 0.1446 0.080187 ENSG00000116857
KNSTRN ENSG00000128944.8 0.266807 0.084153 ENSG00000128944
CES1 ENSG00000198848.8 0.117343 0.075271 ENSG00000198848
HPR ENSG00000261701.2 0.12633 0.063912 ENSG00000261701
CNTNAP2 ENSG00000174469.13 0.134076 0.079989 ENSG00000174469
HAUS4 ENSG00000092036.12 0.192303 0.071625 ENSG00000092036
KIAA1715 ENSG00000144320.9 0.127775 0.070068 ENSG00000144320
DHFR ENSG00000228716.2 0.155431 0.069908 ENSG00000228716
NUPR1 ENSG00000176046.7 0.169511 0.064664 ENSG00000176046
APIP ENSG00000149089.8 0.16673 0.068006 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.169367 0.072573 ENSG00000238083
ZNF641 ENSG00000167528.8 0.113049 0.05637 ENSG00000167528
ARHGAP22 ENSG00000128805.10 0.160129 0.078762 ENSG00000128805
PCYOX1L ENSG00000145882.6 0.131999 0.075171 ENSG00000145882
TACSTD2 ENSG00000184292.5 0.194723 0.070568 ENSG00000184292
PCDHB8 ENSG00000120322.2 0.142217 0.071674 ENSG00000120322
APOL4 ENSG00000100336.13 0.226805 0.085407 ENSG00000100336
CAPN11 ENSG00000137225.8 0.113932 0.06669 ENSG00000137225
TMEM50B ENSG00000142188.12 0.157834 0.068 ENSG00000142188
ARL17B ENSG00000228696.4 0.161853 0.078785 ENSG00000228696
FAM83D ENSG00000101447.9 0.105966 0.081451 ENSG00000101447
NME4 ENSG00000103202.8 0.292222 0.086932 ENSG00000103202
FANCA ENSG00000187741.10 0.194689 0.072611 ENSG00000187741
RSPO4 ENSG00000101282.4 0.113967 0.074865 ENSG00000101282
GSTM1 ENSG00000134184.8 0.252234 0.093519 ENSG00000134184
ZFP28 ENSG00000196867.3 0.146998 0.072156 ENSG00000196867
CCDC102A ENSG00000135736.5 0.108458 0.071456 ENSG00000135736
SIRPB1 ENSG00000101307.11 0.173734 0.08801 ENSG00000101307
MTHFS ENSG00000136371.5 0.134404 0.071711 ENSG00000136371
VLDLR ENSG00000147852.10 0.46249 0.078027 ENSG00000147852
PCDHB16 ENSG00000196963.2 0.160685 0.068383 ENSG00000196963
TMEM45A ENSG00000181458.6 0.14923 0.067379 ENSG00000181458
TDRD6 ENSG00000180113.11 0.12041 0.068457 ENSG00000180113
DSCC1 ENSG00000136982.5 0.234026 0.077755 ENSG00000136982
ANKDD1A ENSG00000166839.12 0.106475 0.062771 ENSG00000166839
ADRBK2 ENSG00000100077.9 0.169755 0.073302 ENSG00000100077
F11R ENSG00000270149.1 0.100188 0.081347 ENSG00000270149
RNF141 ENSG00000110315.2 0.111436 0.066011 ENSG00000110315
RAVER2 ENSG00000162437.10 0.10525 0.069757 ENSG00000162437
PDZRN3 ENSG00000121440.10 0.186866 0.081957 ENSG00000121440
SNX20 ENSG00000167208.10 0.18993 0.082381 ENSG00000167208
PI3 ENSG00000124102.4 0.141741 0.079135 ENSG00000124102
CHAF1A ENSG00000167670.11 0.187345 0.074104 ENSG00000167670
SDHAF1 ENSG00000205138.2 0.110337 0.074797 ENSG00000205138
C1QTNF7 ENSG00000163145.8 0.137432 0.071901 ENSG00000163145
PPWD1 ENSG00000113593.7 0.109778 0.073027 ENSG00000113593
PODN ENSG00000174348.9 0.137168 0.068554 ENSG00000174348
POLR2E ENSG00000099817.7 0.31508 0.094399 ENSG00000099817
ZNF296 ENSG00000170684.4 0.113189 0.079022 ENSG00000170684
PTK6 ENSG00000101213.5 0.150717 0.071581 ENSG00000101213
