AssociatedGeneName EnsemblGeneID h2.HeartLeftVentricle se.HeartLeftVentricle ensid
AOC1 ENSG00000002726.15 0.551381 0.091958 ENSG00000002726
FAM118A ENSG00000100376.7 0.245001 0.112933 ENSG00000100376
LRRC6 ENSG00000129295.4 0.365628 0.097573 ENSG00000129295
ZP3 ENSG00000188372.10 0.519579 0.094744 ENSG00000188372
RPL9 ENSG00000163682.11 0.384603 0.104382 ENSG00000163682
TRMT12 ENSG00000183665.4 0.229987 0.105024 ENSG00000183665
ADK ENSG00000156110.9 0.251695 0.097763 ENSG00000156110
FABP2 ENSG00000145384.3 0.591592 0.081266 ENSG00000145384
UBE2U ENSG00000177414.8 0.348945 0.108317 ENSG00000177414
DHFR ENSG00000228716.2 0.327259 0.095339 ENSG00000228716
CNGA1 ENSG00000198515.9 0.351959 0.089839 ENSG00000198515
PRSS46 ENSG00000261603.1 0.255246 0.099204 ENSG00000261603
RRP7A ENSG00000189306.6 0.29679 0.101097 ENSG00000189306
CDS2 ENSG00000101290.9 0.297888 0.107215 ENSG00000101290
SMIM20 ENSG00000250317.4 0.22627 0.106687 ENSG00000250317
AL359195.1 ENSG00000204038.3 0.180795 0.088995 ENSG00000204038
APOL4 ENSG00000100336.13 0.242541 0.106971 ENSG00000100336
PILRB ENSG00000121716.13 0.182106 0.084954 ENSG00000121716
C15orf57 ENSG00000128891.11 0.33403 0.104196 ENSG00000128891
IFT88 ENSG00000032742.13 0.214662 0.097764 ENSG00000032742
CAMK1D ENSG00000183049.8 0.311755 0.130594 ENSG00000183049
NME4 ENSG00000103202.8 0.508117 0.123332 ENSG00000103202
TDGF1 ENSG00000241186.3 0.31066 0.120638 ENSG00000241186
RSPO4 ENSG00000101282.4 0.26435 0.131761 ENSG00000101282
GSTM1 ENSG00000134184.8 0.337445 0.123132 ENSG00000134184
COG5 ENSG00000164597.9 0.179141 0.087794 ENSG00000164597
NIPAL1 ENSG00000163293.7 0.266866 0.099844 ENSG00000163293
CYP4F12 ENSG00000186204.9 0.269937 0.107021 ENSG00000186204
SLC25A26 ENSG00000144741.12 0.280685 0.116663 ENSG00000144741
PDZRN3 ENSG00000121440.10 0.213208 0.100164 ENSG00000121440
PDXK ENSG00000160209.13 0.224473 0.108351 ENSG00000160209
POMZP3 ENSG00000146707.10 0.506714 0.094808 ENSG00000146707
SGIP1 ENSG00000118473.17 0.383544 0.106011 ENSG00000118473
FGD5 ENSG00000154783.6 0.273765 0.112657 ENSG00000154783
ARHGEF35 ENSG00000213214.3 0.180216 0.084735 ENSG00000213214
PROK1 ENSG00000143125.5 0.208498 0.094258 ENSG00000143125
ATP5G1 ENSG00000159199.9 0.200931 0.089307 ENSG00000159199
ZNF419 ENSG00000105136.15 0.242926 0.093619 ENSG00000105136
SULT1C2 ENSG00000198203.5 0.325719 0.108943 ENSG00000198203
KRT72 ENSG00000170486.6 0.27167 0.119747 ENSG00000170486
ANTXRL ENSG00000198250.8 0.401551 0.098127 ENSG00000198250
DLK1 ENSG00000185559.9 0.465546 0.104286 ENSG00000185559
HPD ENSG00000158104.7 0.229366 0.099162 ENSG00000158104
DRAM1 ENSG00000136048.9 0.269114 0.12676 ENSG00000136048
SNRPA ENSG00000077312.4 0.224999 0.105535 ENSG00000077312
MBD6 ENSG00000166987.10 0.305804 0.120652 ENSG00000166987
SLC44A3 ENSG00000143036.12 0.438061 0.097566 ENSG00000143036
CCBL2 ENSG00000137944.12 0.158721 0.074248 ENSG00000137944
F5 ENSG00000198734.6 0.314777 0.097529 ENSG00000198734
COMMD10 ENSG00000145781.4 0.230233 0.101656 ENSG00000145781
HIGD2A ENSG00000146066.2 0.482614 0.102286 ENSG00000146066
LAMC2 ENSG00000058085.10 0.23682 0.110239 ENSG00000058085
C1orf233 ENSG00000228594.1 0.253613 0.112999 ENSG00000228594
CASR ENSG00000036828.9 0.21965 0.103151 ENSG00000036828
C10orf129 ENSG00000173124.10 0.232932 0.0984 ENSG00000173124
FAM83G ENSG00000188522.10 0.211559 0.104377 ENSG00000188522
STAM ENSG00000136738.10 0.242598 0.107078 ENSG00000136738
HS3ST3A1 ENSG00000153976.2 0.238478 0.112552 ENSG00000153976
KIAA1467 ENSG00000084444.9 0.307056 0.117327 ENSG00000084444
THSD7B ENSG00000144229.7 0.260719 0.102621 ENSG00000144229
PPP2R2B ENSG00000156475.14 0.233487 0.103175 ENSG00000156475
NDUFAF1 ENSG00000137806.4 0.578539 0.08331 ENSG00000137806
RCN1 ENSG00000049449.4 0.24243 0.100042 ENSG00000049449
RMDN3 ENSG00000137824.11 0.235275 0.090012 ENSG00000137824
POGLUT1 ENSG00000163389.6 0.169271 0.082372 ENSG00000163389
RRP12 ENSG00000052749.9 0.362956 0.093869 ENSG00000052749
KREMEN1 ENSG00000183762.8 0.30319 0.093384 ENSG00000183762
SFTPD ENSG00000133661.11 0.230594 0.109044 ENSG00000133661
BDH2 ENSG00000164039.10 0.22524 0.091893 ENSG00000164039
APLP2 ENSG00000084234.12 0.257373 0.10305 ENSG00000084234
CDH24 ENSG00000139880.15 0.244067 0.122029 ENSG00000139880
C1orf115 ENSG00000162817.6 0.206593 0.094399 ENSG00000162817
RNF215 ENSG00000099999.10 0.588023 0.083631 ENSG00000099999
YIF1B ENSG00000167645.12 0.283917 0.119397 ENSG00000167645
FBN3 ENSG00000142449.8 0.284971 0.116621 ENSG00000142449
NMRK1 ENSG00000106733.16 0.286679 0.105774 ENSG00000106733
TIPIN ENSG00000075131.5 0.218986 0.099311 ENSG00000075131
MEGF10 ENSG00000145794.12 0.204203 0.099901 ENSG00000145794
GPR111 ENSG00000164393.4 0.296585 0.092175 ENSG00000164393
ICAM5 ENSG00000105376.4 0.238106 0.111799 ENSG00000105376
BIN1 ENSG00000136717.10 0.303692 0.104868 ENSG00000136717
SDCBP2 ENSG00000125775.10 0.330102 0.129011 ENSG00000125775
FBN2 ENSG00000138829.6 0.238617 0.091314 ENSG00000138829
SLC15A2 ENSG00000163406.6 0.196507 0.083602 ENSG00000163406
BAI3 ENSG00000135298.9 0.415898 0.109917 ENSG00000135298
MIER1 ENSG00000198160.10 0.207927 0.099191 ENSG00000198160
ORC1 ENSG00000085840.7 0.203857 0.090878 ENSG00000085840
TMEFF2 ENSG00000144339.7 0.292247 0.107237 ENSG00000144339
NUP85 ENSG00000125450.6 0.197735 0.098057 ENSG00000125450
COPG2 ENSG00000158623.10 0.223956 0.109326 ENSG00000158623
BAI1 ENSG00000181790.6 0.321027 0.103968 ENSG00000181790
FMO4 ENSG00000076258.5 0.255649 0.088714 ENSG00000076258
SUSD4 ENSG00000143502.9 0.32805 0.093304 ENSG00000143502
MGRN1 ENSG00000102858.8 0.263387 0.10272 ENSG00000102858
DAB1 ENSG00000173406.11 0.329392 0.110356 ENSG00000173406
COL4A2 ENSG00000134871.13 0.338069 0.144907 ENSG00000134871
SKA2 ENSG00000182628.8 0.205983 0.102966 ENSG00000182628
BANP ENSG00000172530.15 0.255624 0.120483 ENSG00000172530
TSPAN15 ENSG00000099282.5 0.464949 0.111516 ENSG00000099282
MCM6 ENSG00000076003.4 0.198331 0.093135 ENSG00000076003
GALNT3 ENSG00000115339.9 0.193795 0.086601 ENSG00000115339
TNKS1BP1 ENSG00000149115.9 0.180884 0.089289 ENSG00000149115
AATF ENSG00000108270.6 0.361659 0.11357 ENSG00000108270
GPR12 ENSG00000132975.6 0.254121 0.112229 ENSG00000132975
HOXD3 ENSG00000128652.7 0.328768 0.107393 ENSG00000128652
ZNF208 ENSG00000160321.10 0.218648 0.103771 ENSG00000160321
ANAPC4 ENSG00000053900.6 0.234104 0.109725 ENSG00000053900
SMDT1 ENSG00000183172.7 0.271574 0.100847 ENSG00000183172
OSBPL6 ENSG00000079156.12 0.227 0.104684 ENSG00000079156
FAM153B ENSG00000182230.7 0.382399 0.117185 ENSG00000182230
TUSC5 ENSG00000184811.3 0.216063 0.098257 ENSG00000184811
NLRP6 ENSG00000174885.8 0.266333 0.107271 ENSG00000174885
DOC2B ENSG00000262359.1 0.215704 0.106516 ENSG00000262359
GPRC5D ENSG00000111291.4 0.277022 0.115396 ENSG00000111291
STARD3NL ENSG00000010270.9 0.248147 0.121196 ENSG00000010270
ACTL7A ENSG00000187003.5 0.241068 0.115027 ENSG00000187003
TMEM155 ENSG00000164112.8 0.315734 0.095894 ENSG00000164112
SUPT5H ENSG00000196235.9 0.200265 0.096884 ENSG00000196235
UGT2B4 ENSG00000156096.8 0.401292 0.089736 ENSG00000156096
CCDC169 ENSG00000242715.3 0.249097 0.093405 ENSG00000242715
RASA3 ENSG00000185989.9 0.236954 0.100165 ENSG00000185989
EPM2A ENSG00000112425.9 0.300723 0.107175 ENSG00000112425
TP53I11 ENSG00000175274.14 0.229385 0.105926 ENSG00000175274
TUBGCP3 ENSG00000126216.8 0.222243 0.110899 ENSG00000126216
NAA30 ENSG00000139977.9 0.265189 0.12667 ENSG00000139977
ICA1 ENSG00000003147.13 0.218297 0.102812 ENSG00000003147
SEMG1 ENSG00000124233.10 0.221956 0.106709 ENSG00000124233
RFNG ENSG00000169733.7 0.295407 0.119519 ENSG00000169733
FAH ENSG00000103876.7 0.327225 0.109346 ENSG00000103876
HOXD8 ENSG00000175879.7 0.255936 0.106746 ENSG00000175879
PAPSS2 ENSG00000198682.8 0.260762 0.103684 ENSG00000198682
SLC27A6 ENSG00000113396.8 0.329903 0.092978 ENSG00000113396
PRRX1 ENSG00000116132.7 0.169504 0.083693 ENSG00000116132
NUDT2 ENSG00000164978.13 0.318041 0.101708 ENSG00000164978
NME7 ENSG00000143156.9 0.3753 0.091872 ENSG00000143156
SGPL1 ENSG00000166224.12 0.399721 0.130306 ENSG00000166224
GLP1R ENSG00000112164.5 0.285574 0.108915 ENSG00000112164
CBLN1 ENSG00000102924.7 0.255046 0.117374 ENSG00000102924
LDB3 ENSG00000122367.15 0.355267 0.105242 ENSG00000122367
ASTN1 ENSG00000152092.10 0.267189 0.108329 ENSG00000152092
EBNA1BP2 ENSG00000117395.6 0.203599 0.094802 ENSG00000117395
WDR59 ENSG00000103091.10 0.205138 0.089129 ENSG00000103091
HS3ST1 ENSG00000002587.5 0.186053 0.09242 ENSG00000002587
TMEM108 ENSG00000144868.9 0.208105 0.098655 ENSG00000144868
MEI1 ENSG00000167077.8 0.172418 0.082936 ENSG00000167077
FRMD4A ENSG00000151474.15 0.264856 0.127022 ENSG00000151474
CCDC93 ENSG00000125633.6 0.326147 0.102784 ENSG00000125633
C1orf105 ENSG00000180999.6 0.175511 0.087164 ENSG00000180999
MDH2 ENSG00000146701.7 0.20055 0.096604 ENSG00000146701
ABHD13 ENSG00000139826.5 0.25199 0.122285 ENSG00000139826
DSG1 ENSG00000134760.5 0.234884 0.108782 ENSG00000134760
GPN3 ENSG00000111231.3 0.213691 0.105352 ENSG00000111231
CD36 ENSG00000135218.13 0.219836 0.101724 ENSG00000135218
ACSM5 ENSG00000183549.6 0.226754 0.098319 ENSG00000183549
NCL ENSG00000115053.11 0.223528 0.101786 ENSG00000115053
SLC2A9 ENSG00000109667.7 0.198819 0.097936 ENSG00000109667
PRSS50 ENSG00000206549.8 0.188326 0.089471 ENSG00000206549
POP4 ENSG00000105171.5 0.222212 0.105836 ENSG00000105171
IDH3A ENSG00000166411.9 0.314376 0.105589 ENSG00000166411
DHRS3 ENSG00000162496.4 0.191067 0.091501 ENSG00000162496
GPR115 ENSG00000153294.7 0.31631 0.102805 ENSG00000153294
SIRT3 ENSG00000142082.10 0.283586 0.102451 ENSG00000142082
