AssociatedGeneName EnsemblGeneID h2.Thyroid se.Thyroid ensid
GSTT1 ENSG00000184674.8 0.50492 0.079903 ENSG00000184674
ADARB2 ENSG00000185736.11 0.212786 0.08856 ENSG00000185736
TMEM176B ENSG00000106565.13 0.193583 0.086927 ENSG00000106565
TMEM176A ENSG00000002933.3 0.189187 0.086807 ENSG00000002933
FAM118A ENSG00000100376.7 0.621114 0.075399 ENSG00000100376
PILRA ENSG00000085514.10 0.393351 0.073733 ENSG00000085514
VPS53 ENSG00000141252.15 0.191848 0.078714 ENSG00000141252
ZP3 ENSG00000188372.10 0.150057 0.073628 ENSG00000188372
RPL9 ENSG00000163682.11 0.236687 0.080471 ENSG00000163682
ITGB3BP ENSG00000142856.12 0.457432 0.078442 ENSG00000142856
UBE2U ENSG00000177414.8 0.176292 0.074413 ENSG00000177414
MCOLN2 ENSG00000153898.8 0.210241 0.077793 ENSG00000153898
SPATA20 ENSG00000006282.15 0.401397 0.087296 ENSG00000006282
SLC26A8 ENSG00000112053.9 0.237931 0.080519 ENSG00000112053
DCBLD1 ENSG00000164465.14 0.142794 0.06489 ENSG00000164465
NT5C3B ENSG00000141698.12 0.451535 0.074314 ENSG00000141698
NT5E ENSG00000135318.7 0.27744 0.077458 ENSG00000135318
KIF16B ENSG00000089177.13 0.169706 0.078898 ENSG00000089177
QRSL1 ENSG00000130348.7 0.206271 0.076521 ENSG00000130348
PLA2G4C ENSG00000105499.9 0.147357 0.068281 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.238566 0.073876 ENSG00000100197
CNGA1 ENSG00000198515.9 0.144028 0.060102 ENSG00000198515
APIP ENSG00000149089.8 0.445115 0.079598 ENSG00000149089
SAMD12 ENSG00000177570.9 0.286214 0.0877 ENSG00000177570
TACSTD2 ENSG00000184292.5 0.195855 0.070566 ENSG00000184292
ZNF266 ENSG00000174652.13 0.185143 0.064535 ENSG00000174652
WARS ENSG00000140105.13 0.181148 0.080222 ENSG00000140105
APOL4 ENSG00000100336.13 0.219048 0.083852 ENSG00000100336
ETV7 ENSG00000010030.9 0.162183 0.078379 ENSG00000010030
C15orf57 ENSG00000128891.11 0.160142 0.066714 ENSG00000128891
ARL14EP ENSG00000152219.4 0.12058 0.060201 ENSG00000152219
C17orf97 ENSG00000187624.7 0.418648 0.086615 ENSG00000187624
CYP4F11 ENSG00000171903.11 0.371237 0.078994 ENSG00000171903
TDGF1 ENSG00000241186.3 0.633159 0.065601 ENSG00000241186
GSTM1 ENSG00000134184.8 0.256767 0.098944 ENSG00000134184
VLDLR ENSG00000147852.10 0.254796 0.084812 ENSG00000147852
PCDHB16 ENSG00000196963.2 0.157428 0.066692 ENSG00000196963
ZNF586 ENSG00000083828.11 0.188084 0.074872 ENSG00000083828
ANKDD1A ENSG00000166839.12 0.217309 0.081821 ENSG00000166839
DDX11 ENSG00000013573.12 0.523762 0.07328 ENSG00000013573
PLEC ENSG00000178209.10 0.162324 0.06822 ENSG00000178209
RAVER2 ENSG00000162437.10 0.158338 0.071853 ENSG00000162437
ANO10 ENSG00000160746.8 0.137137 0.066582 ENSG00000160746
SRD5A3 ENSG00000128039.6 0.336378 0.090436 ENSG00000128039
IRF6 ENSG00000117595.6 0.162783 0.06499 ENSG00000117595
KLHL10 ENSG00000161594.6 0.346908 0.077476 ENSG00000161594
C1QTNF7 ENSG00000163145.8 0.150077 0.07096 ENSG00000163145
IQCE ENSG00000106012.13 0.200853 0.097752 ENSG00000106012
CAT ENSG00000121691.4 0.324477 0.077089 ENSG00000121691
SLC28A2 ENSG00000137860.7 0.143752 0.070344 ENSG00000137860
ZNF333 ENSG00000160961.7 0.356446 0.082683 ENSG00000160961
L1TD1 ENSG00000240563.1 0.211756 0.084289 ENSG00000240563
CCDC66 ENSG00000180376.12 0.154864 0.064868 ENSG00000180376
SYNGR1 ENSG00000100321.10 0.198089 0.083004 ENSG00000100321
GLDC ENSG00000178445.8 0.466324 0.082811 ENSG00000178445
ARHGEF35 ENSG00000213214.3 0.312189 0.081585 ENSG00000213214
SULT1A1 ENSG00000196502.7 0.200781 0.069888 ENSG00000196502
PROK1 ENSG00000143125.5 0.214623 0.076892 ENSG00000143125
ERP27 ENSG00000139055.2 0.277769 0.077352 ENSG00000139055
SULT1C2 ENSG00000198203.5 0.66649 0.063446 ENSG00000198203
FAM102A ENSG00000167106.7 0.188901 0.091597 ENSG00000167106
STX2 ENSG00000111450.9 0.267089 0.089903 ENSG00000111450
NUP54 ENSG00000138750.10 0.140023 0.068164 ENSG00000138750
SDK2 ENSG00000069188.12 0.259652 0.093035 ENSG00000069188
PPP2R5A ENSG00000066027.6 0.233323 0.072196 ENSG00000066027
DLD ENSG00000091140.8 0.176954 0.07585 ENSG00000091140
NDNF ENSG00000173376.9 0.292603 0.077691 ENSG00000173376
ANK3 ENSG00000151150.15 0.170622 0.080612 ENSG00000151150
GLRB ENSG00000109738.6 0.204838 0.089648 ENSG00000109738
ZNF83 ENSG00000167766.13 0.207404 0.087725 ENSG00000167766
OR10AD1 ENSG00000172640.2 0.211374 0.072408 ENSG00000172640
AKT1 ENSG00000142208.11 0.253164 0.079436 ENSG00000142208
CACNB2 ENSG00000165995.14 0.338993 0.097312 ENSG00000165995
CPSF1 ENSG00000071894.10 0.328389 0.083994 ENSG00000071894
PRPH2 ENSG00000112619.6 0.456518 0.076335 ENSG00000112619
EPHB6 ENSG00000106123.7 0.265962 0.078031 ENSG00000106123
PRKCZ ENSG00000067606.11 0.209309 0.093349 ENSG00000067606
ASCL5 ENSG00000232237.2 0.351354 0.08524 ENSG00000232237
F5 ENSG00000198734.6 0.203322 0.085234 ENSG00000198734
KRI1 ENSG00000129347.15 0.219752 0.079728 ENSG00000129347
MPG ENSG00000103152.7 0.173838 0.085423 ENSG00000103152
ZNF628 ENSG00000197483.8 0.137379 0.067397 ENSG00000197483
MSH3 ENSG00000113318.9 0.208588 0.068361 ENSG00000113318
OLFM4 ENSG00000102837.6 0.431175 0.083408 ENSG00000102837
MICALCL ENSG00000133808.4 0.283105 0.087701 ENSG00000133808
GATM ENSG00000171766.11 0.142763 0.062864 ENSG00000171766
CNN2 ENSG00000064666.10 0.245192 0.096427 ENSG00000064666
PEX6 ENSG00000124587.9 0.172107 0.070348 ENSG00000124587
LYRM5 ENSG00000205707.6 0.150136 0.07033 ENSG00000205707
CFHR3 ENSG00000116785.9 0.247629 0.087499 ENSG00000116785
UNC13C ENSG00000137766.12 0.162278 0.07438 ENSG00000137766
ZNF302 ENSG00000089335.16 0.198891 0.081748 ENSG00000089335
NUPL1 ENSG00000139496.11 0.207354 0.075367 ENSG00000139496
ERAP2 ENSG00000164308.12 0.13429 0.061604 ENSG00000164308
LIPC ENSG00000166035.6 0.193889 0.083506 ENSG00000166035
PRR13 ENSG00000205352.6 0.193028 0.074204 ENSG00000205352
SPAG1 ENSG00000104450.8 0.128932 0.060841 ENSG00000104450
MASTL ENSG00000120539.10 0.179195 0.067467 ENSG00000120539
THSD7B ENSG00000144229.7 0.129427 0.06284 ENSG00000144229
WDR60 ENSG00000126870.11 0.265698 0.079139 ENSG00000126870
ALG1L ENSG00000189366.5 0.1629 0.065529 ENSG00000189366
QRFPR ENSG00000186867.6 0.325854 0.084648 ENSG00000186867
POLE ENSG00000177084.12 0.179179 0.077956 ENSG00000177084
LRRFIP2 ENSG00000093167.13 0.429172 0.073043 ENSG00000093167
TMPRSS9 ENSG00000178297.8 0.17961 0.089708 ENSG00000178297
RBL2 ENSG00000103479.10 0.146876 0.062997 ENSG00000103479
DDO ENSG00000203797.4 0.19723 0.076031 ENSG00000203797
NDUFAF1 ENSG00000137806.4 0.300844 0.082383 ENSG00000137806
RAB20 ENSG00000139832.3 0.301972 0.090059 ENSG00000139832
SULT1A2 ENSG00000197165.6 0.262089 0.078609 ENSG00000197165
CKAP2 ENSG00000136108.10 0.179903 0.065586 ENSG00000136108
SFTPD ENSG00000133661.11 0.165011 0.075835 ENSG00000133661
BDH2 ENSG00000164039.10 0.237444 0.080754 ENSG00000164039
CTPS2 ENSG00000047230.10 0.183286 0.0856 ENSG00000047230
ODF3B ENSG00000177989.9 0.166552 0.076706 ENSG00000177989
SHISA2 ENSG00000180730.4 0.156264 0.075049 ENSG00000180730
TRMT10B ENSG00000165275.5 0.236855 0.102514 ENSG00000165275
UPK3A ENSG00000100373.5 0.376735 0.096062 ENSG00000100373
SLC9A2 ENSG00000115616.2 0.165028 0.073228 ENSG00000115616
LIMD1 ENSG00000144791.5 0.22238 0.083758 ENSG00000144791
SLC5A9 ENSG00000117834.8 0.154242 0.071688 ENSG00000117834
EMP1 ENSG00000134531.5 0.162591 0.077202 ENSG00000134531
FBN3 ENSG00000142449.8 0.434259 0.087449 ENSG00000142449
SNTB2 ENSG00000168807.12 0.115978 0.056478 ENSG00000168807
TMEM99 ENSG00000167920.4 0.264125 0.081396 ENSG00000167920
MYOF ENSG00000138119.12 0.16654 0.075473 ENSG00000138119
TIPIN ENSG00000075131.5 0.240457 0.071842 ENSG00000075131
PIF1 ENSG00000140451.8 0.156784 0.069927 ENSG00000140451
ZNF559 ENSG00000188321.9 0.152509 0.075364 ENSG00000188321
CBLL1 ENSG00000105879.6 0.272776 0.086395 ENSG00000105879
MRPS9 ENSG00000135972.4 0.204668 0.072354 ENSG00000135972
MARVELD3 ENSG00000140832.5 0.121379 0.058971 ENSG00000140832
TTYH1 ENSG00000167614.9 0.314312 0.111638 ENSG00000167614
FBN2 ENSG00000138829.6 0.160253 0.069935 ENSG00000138829
ZNF160 ENSG00000170949.13 0.195088 0.09257 ENSG00000170949
RTKN2 ENSG00000182010.6 0.163557 0.071379 ENSG00000182010
AKR1B1 ENSG00000085662.9 0.285392 0.084873 ENSG00000085662
STX1B ENSG00000099365.5 0.252324 0.082009 ENSG00000099365
MTFR1L ENSG00000117640.13 0.169766 0.076681 ENSG00000117640
KANSL2 ENSG00000139620.8 0.160984 0.069458 ENSG00000139620
IFRD1 ENSG00000006652.9 0.144992 0.069351 ENSG00000006652
PPM1K ENSG00000163644.9 0.191019 0.077146 ENSG00000163644
NUP85 ENSG00000125450.6 0.344358 0.078364 ENSG00000125450
INO80E ENSG00000169592.10 0.173341 0.074853 ENSG00000169592
DARS ENSG00000115866.6 0.1512 0.072319 ENSG00000115866
LARGE ENSG00000133424.15 0.230893 0.096958 ENSG00000133424
TMEM171 ENSG00000157111.8 0.164908 0.073821 ENSG00000157111
LY75 ENSG00000054219.9 0.137685 0.064049 ENSG00000054219
DLG5 ENSG00000151208.12 0.225192 0.076764 ENSG00000151208
ANKRD45 ENSG00000183831.6 0.192781 0.070349 ENSG00000183831
P4HA2 ENSG00000072682.14 0.142643 0.064975 ENSG00000072682
CHST10 ENSG00000115526.6 0.173785 0.069381 ENSG00000115526
TMEM39A ENSG00000176142.8 0.145332 0.069566 ENSG00000176142
LRRC7 ENSG00000033122.13 0.126172 0.06227 ENSG00000033122
EVI5 ENSG00000067208.10 0.122262 0.057424 ENSG00000067208
SCGB2A1 ENSG00000124939.4 0.198712 0.072897 ENSG00000124939
SGCD ENSG00000170624.9 0.37283 0.082516 ENSG00000170624
RAB40B ENSG00000141542.6 0.211264 0.082858 ENSG00000141542
SLCO1B3 ENSG00000111700.8 0.107523 0.053141 ENSG00000111700
SELENBP1 ENSG00000143416.16 0.118088 0.056036 ENSG00000143416
ATG4C ENSG00000125703.10 0.409715 0.081674 ENSG00000125703
C1orf112 ENSG00000000460.12 0.134538 0.066622 ENSG00000000460
GPR155 ENSG00000163328.9 0.159866 0.071625 ENSG00000163328
SLC25A41 ENSG00000181240.9 0.383921 0.091027 ENSG00000181240
HOGA1 ENSG00000241935.4 0.210665 0.081328 ENSG00000241935
L3MBTL3 ENSG00000198945.3 0.136353 0.067783 ENSG00000198945
HTR1F ENSG00000179097.4 0.172253 0.071471 ENSG00000179097
SUCLA2 ENSG00000136143.9 0.156539 0.068583 ENSG00000136143
EP400NL ENSG00000185684.8 0.221337 0.069543 ENSG00000185684
CLEC18A ENSG00000157322.12 0.123944 0.061749 ENSG00000157322
SPP1 ENSG00000118785.9 0.165939 0.080398 ENSG00000118785
GPD1L ENSG00000152642.6 0.361647 0.085509 ENSG00000152642
TNFRSF18 ENSG00000186891.9 0.170163 0.079364 ENSG00000186891
NPIPB7 ENSG00000233232.2 0.131907 0.06079 ENSG00000233232
PHYH ENSG00000107537.9 0.325721 0.093335 ENSG00000107537
TRIM38 ENSG00000112343.8 0.142647 0.065155 ENSG00000112343
MFSD4 ENSG00000174514.8 0.162483 0.069145 ENSG00000174514
FAM153B ENSG00000182230.7 0.191873 0.076537 ENSG00000182230
CACNA2D3 ENSG00000157445.10 0.334509 0.088697 ENSG00000157445
EDARADD ENSG00000186197.8 0.357789 0.083455 ENSG00000186197
MAST2 ENSG00000086015.15 0.242957 0.083399 ENSG00000086015
HYAL4 ENSG00000106302.5 0.138543 0.062322 ENSG00000106302
SCUBE1 ENSG00000159307.13 0.178282 0.085138 ENSG00000159307
APTX ENSG00000137074.14 0.158041 0.065716 ENSG00000137074
GRAMD4 ENSG00000075240.12 0.251833 0.087271 ENSG00000075240
SPIRE2 ENSG00000204991.6 0.141002 0.062168 ENSG00000204991
PARP10 ENSG00000178685.9 0.178768 0.071331 ENSG00000178685
BEND6 ENSG00000151917.13 0.188985 0.066035 ENSG00000151917
DOCK7 ENSG00000116641.11 0.230955 0.075946 ENSG00000116641
C6orf89 ENSG00000198663.12 0.155646 0.074237 ENSG00000198663
CAMK2D ENSG00000145349.12 0.151611 0.074273 ENSG00000145349
USH1C ENSG00000006611.11 0.438345 0.080486 ENSG00000006611
MS4A12 ENSG00000071203.5 0.175202 0.07305 ENSG00000071203
TXNDC15 ENSG00000113621.10 0.18199 0.076094 ENSG00000113621
COLEC10 ENSG00000184374.2 0.225638 0.083128 ENSG00000184374
MKX ENSG00000150051.9 0.131982 0.065652 ENSG00000150051
C10orf112 ENSG00000204740.5 0.354922 0.07605 ENSG00000204740
RASA3 ENSG00000185989.9 0.229527 0.07121 ENSG00000185989
PKHD1L1 ENSG00000205038.7 0.446436 0.078395 ENSG00000205038
SDR39U1 ENSG00000100445.12 0.133909 0.060785 ENSG00000100445
MEOX1 ENSG00000005102.8 0.140743 0.067502 ENSG00000005102
POP5 ENSG00000167272.6 0.15198 0.066105 ENSG00000167272
INCENP ENSG00000149503.8 0.370904 0.081859 ENSG00000149503
DKFZP779L1853 ENSG00000269514.1 0.134903 0.060031 ENSG00000269514
NAT16 ENSG00000167011.4 0.217077 0.072337 ENSG00000167011
RFPL2 ENSG00000128253.9 0.233982 0.083876 ENSG00000128253
FAIM3 ENSG00000162894.7 0.160048 0.07418 ENSG00000162894
RASL10B ENSG00000141150.3 0.182386 0.076534 ENSG00000141150
GSTM3 ENSG00000134202.6 0.144247 0.071453 ENSG00000134202
SLC27A6 ENSG00000113396.8 0.189411 0.071683 ENSG00000113396
AL357673.1 ENSG00000248835.2 0.154006 0.076094 ENSG00000248835
TMEM56 ENSG00000152078.5 0.182147 0.068887 ENSG00000152078
FBLN7 ENSG00000144152.8 0.183415 0.07625 ENSG00000144152
NUDT2 ENSG00000164978.13 0.275881 0.078454 ENSG00000164978
NME7 ENSG00000143156.9 0.189385 0.070135 ENSG00000143156
ASTN1 ENSG00000152092.10 0.189162 0.076899 ENSG00000152092
LPIN3 ENSG00000132793.7 0.234517 0.086586 ENSG00000132793
MKLN1 ENSG00000128585.13 0.169871 0.081056 ENSG00000128585
CSK ENSG00000103653.12 0.20666 0.082471 ENSG00000103653
ASB4 ENSG00000005981.8 0.14296 0.060267 ENSG00000005981
ZNF346 ENSG00000113761.7 0.193566 0.077293 ENSG00000113761
ZNF365 ENSG00000138311.11 0.122763 0.061191 ENSG00000138311
CSGALNACT2 ENSG00000169826.6 0.148928 0.065877 ENSG00000169826
WFS1 ENSG00000109501.9 0.206921 0.085695 ENSG00000109501
APBB2 ENSG00000163697.12 0.173104 0.080793 ENSG00000163697
MAVS ENSG00000088888.13 0.171641 0.078841 ENSG00000088888
FAM69A ENSG00000154511.7 0.198301 0.087077 ENSG00000154511
STK32A ENSG00000169302.10 0.162349 0.071306 ENSG00000169302
C1QL4 ENSG00000186897.3 0.492511 0.081253 ENSG00000186897
RIBC2 ENSG00000128408.7 0.17012 0.074919 ENSG00000128408
CELSR1 ENSG00000075275.12 0.181372 0.089687 ENSG00000075275
SAMD5 ENSG00000203727.3 0.529912 0.07833 ENSG00000203727
KIAA1217 ENSG00000120549.11 0.408964 0.090665 ENSG00000120549
ADRA1B ENSG00000170214.3 0.139334 0.066145 ENSG00000170214
ZNF234 ENSG00000263002.3 0.160899 0.075921 ENSG00000263002
GCSAML ENSG00000169224.8 0.211526 0.080321 ENSG00000169224
PLCB4 ENSG00000101333.12 0.182138 0.078073 ENSG00000101333
AXDND1 ENSG00000162779.16 0.234508 0.073997 ENSG00000162779
ACSF3 ENSG00000176715.11 0.390671 0.086703 ENSG00000176715
NDC80 ENSG00000080986.7 0.132249 0.063725 ENSG00000080986
ABCC4 ENSG00000125257.9 0.227486 0.077202 ENSG00000125257
LARS ENSG00000133706.13 0.095346 0.0475 ENSG00000133706
AKIP1 ENSG00000166452.7 0.189049 0.073957 ENSG00000166452
ZNF805 ENSG00000204524.5 0.241802 0.086253 ENSG00000204524
PLA2G7 ENSG00000146070.12 0.159145 0.076492 ENSG00000146070
ST8SIA2 ENSG00000140557.7 0.169012 0.079331 ENSG00000140557
CAMKK2 ENSG00000110931.14 0.143638 0.064537 ENSG00000110931
HIBCH ENSG00000198130.10 0.12946 0.059241 ENSG00000198130
TTC37 ENSG00000198677.6 0.147929 0.064461 ENSG00000198677
SLC35F5 ENSG00000115084.8 0.152463 0.066603 ENSG00000115084
LRRTM1 ENSG00000162951.6 0.299042 0.093597 ENSG00000162951
PTPN13 ENSG00000163629.8 0.138642 0.062003 ENSG00000163629
HELZ ENSG00000198265.7 0.17195 0.080916 ENSG00000198265
SLC36A1 ENSG00000123643.7 0.194557 0.0737 ENSG00000123643
TMEM8B ENSG00000137103.12 0.144466 0.063405 ENSG00000137103
PBRM1 ENSG00000163939.14 0.227279 0.075626 ENSG00000163939
POPDC3 ENSG00000132429.5 0.178167 0.072201 ENSG00000132429
HAP1 ENSG00000173805.11 0.339292 0.08652 ENSG00000173805
SHD ENSG00000105251.6 0.198073 0.084771 ENSG00000105251
NAPRT1 ENSG00000147813.11 0.545592 0.080583 ENSG00000147813
C16orf93 ENSG00000196118.7 0.121393 0.059688 ENSG00000196118
DUOX2 ENSG00000140279.8 0.153972 0.075281 ENSG00000140279
CTSE ENSG00000196188.6 0.157991 0.072269 ENSG00000196188
METTL21D ENSG00000100483.9 0.223667 0.074076 ENSG00000100483
DKFZP761J1410 ENSG00000105520.6 0.193983 0.078916 ENSG00000105520
SLC44A5 ENSG00000137968.12 0.640143 0.069933 ENSG00000137968
CRYBG3 ENSG00000080200.5 0.316697 0.085378 ENSG00000080200
DIP2B ENSG00000066084.8 0.169042 0.070077 ENSG00000066084
TMEM184B ENSG00000198792.7 0.187225 0.072955 ENSG00000198792
DCP2 ENSG00000172795.11 0.182324 0.074153 ENSG00000172795
ETV1 ENSG00000006468.9 0.184016 0.089096 ENSG00000006468
FAM115C ENSG00000170379.15 0.195428 0.089715 ENSG00000170379
NSUN7 ENSG00000179299.12 0.293382 0.089543 ENSG00000179299
SLITRK6 ENSG00000184564.8 0.168017 0.076409 ENSG00000184564
TRERF1 ENSG00000124496.8 0.224095 0.080055 ENSG00000124496
MISP ENSG00000099812.6 0.172757 0.072621 ENSG00000099812
STK33 ENSG00000130413.11 0.189816 0.076328 ENSG00000130413
RP11-419C5.2 ENSG00000226232.3 0.200771 0.072932 ENSG00000226232
SYT13 ENSG00000019505.3 0.426342 0.082143 ENSG00000019505
SLC5A1 ENSG00000100170.5 0.206547 0.084187 ENSG00000100170
CTD-2368P22.1 ENSG00000176593.3 0.191664 0.079505 ENSG00000176593
PAICS ENSG00000128050.4 0.202043 0.076816 ENSG00000128050
THOP1 ENSG00000172009.10 0.264123 0.072276 ENSG00000172009
LRRC36 ENSG00000159708.13 0.137804 0.057836 ENSG00000159708
HEY2 ENSG00000135547.4 0.153821 0.0657 ENSG00000135547
GPC6 ENSG00000183098.6 0.154534 0.075075 ENSG00000183098
NUP50 ENSG00000093000.13 0.294617 0.086015 ENSG00000093000
KCNAB1 ENSG00000169282.13 0.172069 0.0709 ENSG00000169282
CCDC163P ENSG00000236624.4 0.370187 0.081912 ENSG00000236624
DISP2 ENSG00000140323.4 0.26393 0.08434 ENSG00000140323
