AssociatedGeneName EnsemblGeneID h2.AdiposeSubcutaneous se.AdiposeSubcutaneous ensid
RPS28 ENSG00000233927.4 0.289535 0.087706 ENSG00000233927
RPL9 ENSG00000163682.11 0.246221 0.076334 ENSG00000163682
GSTT2 ENSG00000099984.6 0.30901 0.077711 ENSG00000099984
GSTT2B ENSG00000133433.6 0.194532 0.068842 ENSG00000133433
SLC26A8 ENSG00000112053.9 0.194997 0.079475 ENSG00000112053
DCBLD1 ENSG00000164465.14 0.123761 0.058954 ENSG00000164465
NUDT7 ENSG00000140876.7 0.308714 0.078898 ENSG00000140876
HAUS4 ENSG00000092036.12 0.200798 0.077828 ENSG00000092036
SLC1A7 ENSG00000162383.7 0.215225 0.076893 ENSG00000162383
CNGA1 ENSG00000198515.9 0.345303 0.072235 ENSG00000198515
APOL4 ENSG00000100336.13 0.155152 0.077082 ENSG00000100336
RAD51C ENSG00000108384.10 0.178816 0.060212 ENSG00000108384
CAST ENSG00000153113.19 0.164493 0.070337 ENSG00000153113
GLIS3 ENSG00000107249.17 0.181647 0.090202 ENSG00000107249
GCC2 ENSG00000135968.15 0.152025 0.058626 ENSG00000135968
TRIM4 ENSG00000146833.11 0.175537 0.068762 ENSG00000146833
SLC5A4 ENSG00000100191.4 0.154184 0.073997 ENSG00000100191
SIRPB1 ENSG00000101307.11 0.18364 0.085693 ENSG00000101307
PCDHB16 ENSG00000196963.2 0.258966 0.079163 ENSG00000196963
NIPAL1 ENSG00000163293.7 0.131168 0.063953 ENSG00000163293
GSDMA ENSG00000167914.6 0.372849 0.074455 ENSG00000167914
SRD5A3 ENSG00000128039.6 0.132132 0.062881 ENSG00000128039
PPWD1 ENSG00000113593.7 0.158834 0.074401 ENSG00000113593
PODN ENSG00000174348.9 0.179212 0.075877 ENSG00000174348
ACOX3 ENSG00000087008.11 0.221329 0.09275 ENSG00000087008
L1TD1 ENSG00000240563.1 0.34844 0.080396 ENSG00000240563
ATP8A1 ENSG00000124406.12 0.222853 0.073592 ENSG00000124406
SNX31 ENSG00000174226.4 0.226919 0.081903 ENSG00000174226
FAS ENSG00000026103.15 0.26606 0.071616 ENSG00000026103
ZNF419 ENSG00000105136.15 0.128538 0.059422 ENSG00000105136
SULT1C2 ENSG00000198203.5 0.124692 0.058558 ENSG00000198203
TOP1MT ENSG00000184428.8 0.15836 0.069962 ENSG00000184428
LURAP1 ENSG00000171357.5 0.136773 0.063476 ENSG00000171357
AL627309.1 ENSG00000237683.5 0.201406 0.085679 ENSG00000237683
KRT72 ENSG00000170486.6 0.18844 0.073251 ENSG00000170486
ANTXRL ENSG00000198250.8 0.167601 0.064483 ENSG00000198250
ST8SIA1 ENSG00000111728.6 0.214731 0.07975 ENSG00000111728
SDK2 ENSG00000069188.12 0.257094 0.092674 ENSG00000069188
FBLL1 ENSG00000188573.7 0.204289 0.079083 ENSG00000188573
NDNF ENSG00000173376.9 0.421331 0.081225 ENSG00000173376
PTPN6 ENSG00000111679.12 0.129552 0.063157 ENSG00000111679
CPSF1 ENSG00000071894.10 0.525472 0.073392 ENSG00000071894
PPP1R3E ENSG00000235194.4 0.19689 0.087001 ENSG00000235194
PRSS37 ENSG00000165076.9 0.136897 0.068354 ENSG00000165076
CHRAC1 ENSG00000104472.5 0.234713 0.080273 ENSG00000104472
LINGO2 ENSG00000174482.6 0.154323 0.073877 ENSG00000174482
CPZ ENSG00000109625.14 0.199553 0.07803 ENSG00000109625
UROD ENSG00000126088.8 0.129394 0.061282 ENSG00000126088
CFHR3 ENSG00000116785.9 0.105533 0.051263 ENSG00000116785
DNAH7 ENSG00000118997.9 0.164969 0.064861 ENSG00000118997
C10orf129 ENSG00000173124.10 0.163163 0.06106 ENSG00000173124
RFX7 ENSG00000181827.10 0.125332 0.057923 ENSG00000181827
C16orf95 ENSG00000260456.2 0.179494 0.082889 ENSG00000260456
WDR63 ENSG00000162643.8 0.159708 0.070835 ENSG00000162643
GALNT18 ENSG00000110328.5 0.389298 0.093244 ENSG00000110328
B3GNT3 ENSG00000179913.6 0.256603 0.087306 ENSG00000179913
