gene	h50	pve50	rho50	pge50	pi50	n_gamma50	h025	pve025	rho025	pge025	pi025	n_gamma025	h975	pve975	rho975	pge975	pi975	n_gamma975
CKS1B	0.015541	0.011039755	0.55492585	0.367138	0.02150051	17	0.000820753125	0.00060569449	0.02827982	0	0.00131175485	0	0.2133365025	0.0413020035	0.9860274575	0.9633817775	0.11343008	93
RLF	0.0108998	0.009905494	0.5196885	0.5006672	0.1742324	188	0.0005093422	0.000479892825	0.0251319805	0.01656031	0.004598146375	4	0.051268914	0.038462277	0.9758820325	0.972099095	0.2782311125	294
CFH	0.02591017	0.02058072	0.5898008	0.50162335	0.032705635	38	0.003419519925	0.002988717325	0.0314011075	0	0.001140214325	0	0.1846261375	0.05586505275	0.98585391	0.9775234875	0.1669570525	192
PHACTR4	0.3082409	0.3470539	0.87607825	0.923196	0.0022991255	2	0.109169105	0.2579061	0.4943073	0.7530798375	0.001238781	1	0.7363131	0.46161753	0.9901244575	0.986517185	0.008114578775	6
PTCH2	0.1331033	0.1169761	0.8957629	0.8950899	0.002413208	2	0.034402641	0.073125599	0.3922784	0.4990028125	0.00110528145	1	0.568603375000001	0.1830305	0.9970894	0.9937015	0.0544816242500001	53
DLGAP3	0.003839912	0.003515274	0.5158242	0.49395	0.2066445	208	0.0001365861	0.0001286934	0.02806493	0.021633428	0.005476318025	4	0.02373524	0.0183912715	0.9764433	0.97388338	0.2877871775	283
PTPN14	0.05233344	0.04713703	0.8445633	0.82739405	0.002368353	4	0.01237758675	0.01819903725	0.1703256075	0.0029732952	0.0006840873025	1	0.2747453875	0.0885093305	0.9951989175	0.99390172	0.0126738275	22
KIAA1522	0.54976295	0.2295328	0.9295451	0.744849	0.0071190665	6	0.3086375125	0.160387765	0.736667915	0.5684007625	0.002780664	4	0.8052916	0.3265901	0.9887804	0.9094999	0.01736719075	13
ALPL	0.03916879	0.02848937	0.6721135	0.5192507	0.00268368	3	0.00541290545	0.0043343109	0.042874642	0	0.0007690524	0	0.3883152525	0.0662160625	0.9908120825	0.9784124125	0.049038039	67
PPPDE1	0.02479358	0.02005306	0.59331795	0.4830554	0.020306865	29	0.00150319825	0.00118825155	0.0310556585	0	0.000774341835	0	0.213003515	0.06094711	0.98638422	0.97565079	0.1884040225	279
RAB3GAP2	0.059346675	0.046673685	0.89340955	0.8722601	0.001610511	2	0.01194774	0.02133489525	0.3895135925	0.4913501975	0.00072372988	1	0.3518286	0.0851677645	0.9972454775	0.9942333	0.009248367	12
KDM1A	0.074673135	0.04925222	0.6834514	0.5153206	0.003459145	4	0.018580691	0.017573664	0.04578825875	0	0.00089506329	0	0.408948225	0.1003697825	0.9887463	0.9743174675	0.0515472845	61
FCER1G	0.3632132	0.43375075	0.9824946	0.98737355	0.001600738	2	0.1278499	0.3876013	0.8542573	0.947040625	0.0007794759	2	0.7552513625	0.4784634175	0.9995335	0.999475	0.00540249245	5
BTG2	0.1816349	0.2234109	0.95799445	0.9662396	0.001510758	2	0.048538271	0.17622117	0.6869009	0.87283294	0.000778223	1	0.5905649	0.2745606225	0.998780005	0.998541	0.0043035011	5
GJC2	0.0076864405	0.00630033	0.5475063	0.4164645	0.05456189	71	0.0003777112375	0.00029271031	0.02601585575	0	0.0008581564	0	0.1310180275	0.025592385	0.9881626	0.9729116	0.1368105375	183
PSMB2	0.01700955	0.01150897	0.60333485	0.3580962	0.0114591	7	0.0008737950925	0.0005975776275	0.03023982475	0	0.001820656925	0	0.268854405	0.04142957475	0.98959394	0.9666036825	0.129522115	76
VPS13D	0.02990303	0.015001885	0.71685845	0.39159885	0.003290713	2	0.001119856425	0.0005944378875	0.045048796	0	0.00126474905	0	0.3909610275	0.052103072	0.9941186475	0.9646476175	0.0522904222500001	42
IFFO2	0.1400466	0.1431237	0.9123711	0.9015753	0.001363066	2	0.03653680225	0.1026682	0.52015731	0.6781507525	0.0006002262	1	0.5833651	0.1908247	0.996763325	0.9953356525	0.005103778	7
SYT2	0.024521825	0.016246145	0.5821968	0.2409774	0.003543463	4	0.00186385475	0.00117945275	0.03092005575	0	0.00080583356	0	0.361623517500001	0.0488556005	0.9876345	0.9509438	0.04244401	54
FUBP1	0.01998262	0.01026032	0.65768485	0.32370215	0.0027891705	3	0.0007701296125	0.0004039918	0.0372475365	0	0.0007810839125	0	0.3289314325	0.04103591175	0.9928636975	0.96220028	0.0328691035	44
NBL1	0.5305378	0.5265579	0.98290285	0.9824193	0.005151097	9	0.290075135	0.4820109	0.9072044	0.9437699725	0.001938639	6	0.7636083	0.56863936	0.9990769	0.99897	0.009854628	14
C1orf53	0.04688497	0.029964505	0.5854513	0.36742525	0.005364668	6	0.00744166165	0.00568105815	0.03226013275	0	0.0009037208125	0	0.386619605	0.07219113325	0.9822620175	0.95264114	0.1023973725	118
C1orf52	0.015700835	0.01440711	0.5463864	0.50411895	0.08685924	152	0.001055336825	0.0009493167125	0.029317663	1.03545625825013e-06	0.0006782166175	1	0.08413826775	0.0434324265	0.983304845	0.9757655775	0.1703272	293
C1orf51	0.022032595	0.0160037	0.57429135	0.4485954	0.035055255	18	0.00281566785	0.00238774835	0.03019955875	0	0.002179412	0	0.2139133	0.052491777	0.9867005	0.9779012625	0.3765806475	198
C1orf50	0.2163821	0.1911159	0.96512935	0.9609328	0.001845475	2	0.05689328375	0.1405692	0.7275049875	0.853424655	0.0008237651	1	0.6346313	0.2530800375	0.9988659	0.9981274	0.005597229	5
C1orf56	0.007214026	0.004595581	0.5911763	0.36643405	0.01755446	15	0.0002399739275	0.0001627686	0.0272313535	0	0.0012495077	0	0.2014055775	0.02365542925	0.9923488375	0.9683451925	0.2083473	177
C1orf55	0.04182767	0.02651272	0.6931876	0.50953505	0.005025384	5	0.00296006855	0.0019221663	0.0482364495	0	0.0009335445525	0	0.298617075	0.073776892	0.98938286	0.97519797	0.08527378	96
C1orf54	0.01290375	0.006438395	0.6313364	0.4156919	0.01426386	7	0.0003905475	0.0002269261	0.03365223875	0	0.0020458454	0	0.250672197500001	0.0350357785	0.9927685225	0.9705294525	0.5450657	281
TTC24	0.22963525	0.3149916	0.9748331	0.98358595	0.001981852	3	0.0571273835	0.2629392475	0.7694586	0.9290815175	0.0008746719	2	0.6252942	0.3669779625	0.9992066	0.9992838	0.007397907	7
FNDC5	0.051119745	0.03757067	0.5495724	0.34178725	0.006589646	5	0.011390152	0.01122234825	0.02944462025	0	0.001228965	0	0.39230798	0.08148421725	0.97720987	0.96372738	0.2284019375	199
ICMT	0.4548473	0.1839569	0.974594	0.9099216	0.002530116	5	0.1963244375	0.137828	0.8491167	0.74786061	0.0008197908	4	0.7521209	0.2362894	0.9989007	0.9945184825	0.006465573	9
MATN1	0.089967425	0.067057585	0.8304746	0.7465995	0.001669837	3	0.02448523725	0.03356093	0.329237405	0.3701372	0.0005766349	1	0.4038526325	0.112943795	0.9917587475	0.984350795	0.0075600724	14
LMNA	0.2701973	0.1290279	0.9738717	0.9344517	0.001789908	1	0.08043815	0.08796862	0.7992253	0.7814319	0.001155381	1	0.6955038	0.1738409	0.998826	0.9959587075	0.005868404	3
FLVCR1	0.487545	0.49575205	0.95637245	0.9605315	0.0031377045	5	0.2230648	0.4427613	0.7723517	0.8985448875	0.0008815410025	3	0.7883966025	0.5504385175	0.997968505	0.9974645	0.00941770310000001	11
GGPS1	0.16084395	0.09734309	0.91295895	0.8477434	0.002543438	3	0.04547785	0.05501565	0.5329455775	0.5411508	0.000854305	1	0.5400685	0.15471808	0.99656833	0.9918741	0.01096414	13
TMCC2	0.0312127	0.023235255	0.6854618	0.4459123	0.002253673	3	0.00498290225	0.0047283292	0.044727008	0	0.0007076289	0	0.3639528125	0.05453266625	0.991396045	0.98017308	0.03589523825	53
TFAP2E	0.01484863	0.00789305	0.64853615	0.2750681	0.0060948925	3	0.000608914865	0.0003426896025	0.03640554525	0	0.001750894975	0	0.306470505000001	0.03315700025	0.9933331975	0.95963714	0.1032212	60
CRABP2	0.4374633	0.2856341	0.9748088	0.9488979	0.001308004	2	0.170339515	0.2360327	0.8432414	0.8663981	0.0008088017	1	0.8256392	0.3352281	0.9986924	0.9961672	0.004162825	4
RPA2	0.3873245	0.2274355	0.8169983	0.7193392	0.02704181	16	0.1944048575	0.1456492	0.4220362075	0.4865356375	0.0044388948	5	0.64490383	0.3817364775	0.982022835	0.955067305	0.0903669285000001	51
FAM132A	0.01360083	0.008184377	0.6240116	0.3663452	0.0211109	7	0.0005703451225	0.0003509863525	0.0362541245	0	0.002809833125	0	0.25561122	0.03463271375	0.99129679	0.9696723325	0.2006246075	78
PHC2	0.0283504	0.01951402	0.5521083	0.29349515	0.0046049245	6	0.002559367125	0.001799343425	0.02704484775	0	0.0007949047225	0	0.339540577500001	0.0541391155	0.9856026	0.9536441425	0.0769571070000001	104
ZNF362	0.14826415	0.13867315	0.9209641	0.9077339	0.002768931	3	0.042360493	0.09092176975	0.5484235925	0.6836038	0.0009081782	1	0.512504	0.2068327	0.9971552	0.9962864	0.00955747895000002	10
SPHAR	0.01695603	0.011678735	0.5826737	0.3548398	0.008428906	10	0.0007362219575	0.000474177805	0.02988541	0	0.000895532395	0	0.2967126125	0.042613529	0.99071957	0.9683254325	0.119317265	140
C1orf74	0.012165305	0.008702452	0.57517715	0.39906485	0.010320505	17	0.0004765795	0.0003576461	0.02997158725	0	0.000682482975	0	0.19816379	0.03620994775	0.9897710475	0.9664319525	0.064476424	101
PPOX	0.2306873	0.15836655	0.8607259	0.789942	0.00236723	3	0.07865948	0.1093406525	0.4721588	0.4173633475	0.0008135136	1	0.6123085	0.2224014025	0.9876112225	0.97929163	0.00763245665	9
DUSP23	0.13962395	0.1330306	0.8952513	0.89583375	0.002375315	4	0.04114135	0.08905406	0.4879207	0.6383055625	0.0007833039975	2	0.446230687500001	0.18700918	0.9961512	0.99501011	0.0113883605	14
C1orf114	0.008336442	0.0041102745	0.6673036	0.2937752	0.002011034	3	0.0002726314	0.0001597007	0.03463774825	0	0.0005247693	0	0.3086316	0.0220070505	0.9960642	0.96116595	0.02129159	43
ACBD3	0.03807153	0.033719085	0.68775095	0.6600921	0.008491147	11	0.00837681945	0.009819233075	0.04654819375	0.002594905175	0.0008503373	1	0.2533506225	0.071154453	0.9913481	0.9848304725	0.1794600325	244
ACBD6	0.3240838	0.1222412	0.9874449	0.9555265	0.001190012	2	0.1076088	0.08534641	0.874580015	0.8124748225	0.0005764095925	2	0.718890130000001	0.1640915	0.9996375	0.998116945	0.00418736325	5
DFFA	0.03746521	0.033013275	0.51543605	0.3710358	0.032687085	27	0.0088117012	0.0100099865	0.0256666545	0	0.001316413825	0	0.2799801275	0.0734959432500001	0.97981876	0.972096	0.2479976025	203
DFFB	0.095343145	0.081302325	0.66000505	0.6086097	0.0056395045	10	0.03182479125	0.037728565	0.0608538325	0.00707699825000001	0.0006243292	1	0.307719575000001	0.1421480925	0.98017946	0.974437125	0.084852038	162
RNF19B	0.071815975	0.029003675	0.9273637	0.8052334	0.002166768	2	0.011811984	0.00913284945	0.296178105	0.07396134725	0.001148725875	1	0.4617631	0.05749428975	0.9981341	0.99212316	0.0140593765	12
IPP	0.04153966	0.03873015	0.53253975	0.4330869	0.1060872	103	0.011112071	0.01496702075	0.02664441475	0	0.001184169125	0	0.2314999725	0.088715051	0.9793482375	0.980593575	0.302276595	289
FHAD1	0.196628	0.2325428	0.9280331	0.9412859	0.0023598785	3	0.063244097	0.1819208	0.6377981125	0.827721075	0.00078813144	2	0.5234909225	0.2910414	0.995794835	0.9958423	0.007066962	9
