Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa00982:Drug metabolism	15	1.3966480446927374	7.558794800214495E-7	ENSG00000213366, ENSG00000099984, ENSG00000138109, ENSG00000134201, ENSG00000134202, ENSG00000168765, ENSG00000187758, ENSG00000133433, ENSG00000184674, ENSG00000134184, ENSG00000148834, ENSG00000094963, ENSG00000172955, ENSG00000100197, ENSG00000008394, ENSG00000156096	241	53	4254	4.995694042120097	1.3227021051909205E-4	1.3227021051909205E-4	9.266678326125266E-4
SMART	SM00349:KRAB	38	3.5381750465549344	4.06060185016655E-6	ENSG00000088876, ENSG00000204604, ENSG00000198046, ENSG00000141040, ENSG00000184517, ENSG00000083828, ENSG00000197128, ENSG00000167555, ENSG00000171574, ENSG00000160961, ENSG00000121417, ENSG00000164048, ENSG00000197928, ENSG00000174652, ENSG00000196378, ENSG00000105136, ENSG00000171469, ENSG00000131849, ENSG00000089335, ENSG00000172006, ENSG00000147789, ENSG00000131845, ENSG00000161551, ENSG00000198169, ENSG00000204946, ENSG00000204947, ENSG00000182986, ENSG00000186448, ENSG00000170949, ENSG00000105497, ENSG00000198482, ENSG00000196867, ENSG00000196263, ENSG00000198466, ENSG00000155592, ENSG00000197363, ENSG00000196693, ENSG00000197362	470	284	7927	2.2567126161222655	0.0010714266770661673	0.0010714266770661673	0.005320178806733633
GOTERM_MF_FAT	GO:0004364~glutathione transferase activity	9	0.8379888268156425	4.123517761427619E-6	ENSG00000213366, ENSG00000148834, ENSG00000099984, ENSG00000134201, ENSG00000134202, ENSG00000168765, ENSG00000008394, ENSG00000134184, ENSG00000133433, ENSG00000184674	706	17	10941	8.204382602899516	0.003683754273703599	0.003683754273703599	0.006422698780006453
PIR_SUPERFAMILY	PIRSF000503:glutathione transferase	7	0.6517690875232774	8.555937131275526E-6	ENSG00000213366, ENSG00000099984, ENSG00000134201, ENSG00000134202, ENSG00000168765, ENSG00000134184, ENSG00000133433, ENSG00000184674	375	10	6116	11.416533333333335	0.003552958326463518	0.003552958326463518	0.012001300458097663
INTERPRO	IPR015493:Protocadherin beta	8	0.74487895716946	1.2361039065370729E-5	ENSG00000112852, ENSG00000120328, ENSG00000113248, ENSG00000120324, ENSG00000196963, ENSG00000120322, ENSG00000197479, ENSG00000113212	931	14	14052	8.624827374558846	0.01680429516891524	0.01680429516891524	0.02031294046596077
KEGG_PATHWAY	hsa00980:Metabolism of xenobiotics by cytochrome P450	13	1.2104283054003724	3.250049899739755E-5	ENSG00000213366, ENSG00000099984, ENSG00000134201, ENSG00000138109, ENSG00000134202, ENSG00000168765, ENSG00000187758, ENSG00000184674, ENSG00000134184, ENSG00000133433, ENSG00000148834, ENSG00000172955, ENSG00000008394, ENSG00000156096	241	54	4254	4.249423697556478	0.005671535523017579	0.0028397999935103613	0.03983675436924905
UP_SEQ_FEATURE	sequence variant	739	68.80819366852886	3.5244471204038614E-5	ENSG00000138381, ENSG00000164081, ENSG00000197147, ENSG00000167178, ENSG00000146281, ENSG00000138109, ENSG00000169136, ENSG00000164334, ENSG00000087076, ENSG00000110768, ENSG00000167077, ENSG00000136169, ENSG00000110076, ENSG00000037042, ENSG00000146909, ENSG00000121417, ENSG00000188906, ENSG00000113248, ENSG00000108395, ENSG00000170486, ENSG00000080293, ENSG00000159496, ENSG00000104901, ENSG00000163687, ENSG00000186160, ENSG00000126870, ENSG00000121101, ENSG00000014164, ENSG00000110455, ENSG00000091136, ENSG00000183783, ENSG00000139620, ENSG00000136098, ENSG00000147724, ENSG00000157322, ENSG00000186153, ENSG00000213079, ENSG00000159588, ENSG00000150076, ENSG00000087085, ENSG00000141012, ENSG00000144218, ENSG00000198515, ENSG00000136982, ENSG00000184164, ENSG00000126088, ENSG00000170275, ENSG00000196151, ENSG00000156983, ENSG00000170889, ENSG00000120586, ENSG00000113396, ENSG00000138378, ENSG00000196693, ENSG00000100288, ENSG00000108264, ENSG00000147804, ENSG00000128815, ENSG00000183569, ENSG00000166451, ENSG00000169967, ENSG00000197128, ENSG00000133059, ENSG00000166450, ENSG00000101310, ENSG00000169826, ENSG00000138600, ENSG00000145781, ENSG00000186283, ENSG00000104921, ENSG00000197928, ENSG00000197927, ENSG00000156042, ENSG00000109625, ENSG00000180113, ENSG00000136371, ENSG00000183172, ENSG00000137944, ENSG00000000971, ENSG00000044090, ENSG00000137806, ENSG00000127947, ENSG00000079739, ENSG00000198203, ENSG00000140265, ENSG00000147813, ENSG00000101307, ENSG00000120328, ENSG00000171115, ENSG00000138119, ENSG00000100068, ENSG00000120324, ENSG00000141627, ENSG00000116791, ENSG00000111906, ENSG00000204947, ENSG00000053900, ENSG00000120322, ENSG00000110871, ENSG00000196476, ENSG00000150054, ENSG00000166321, ENSG00000066933, ENSG00000054282, ENSG00000141337, ENSG00000040531, ENSG00000007312, ENSG00000146350, ENSG00000151806, ENSG00000108384, ENSG00000170632, ENSG00000094963, ENSG00000130226, ENSG00000117153, ENSG00000144035, ENSG00000138399, ENSG00000121716, ENSG00000206530, ENSG00000198805, ENSG00000141040, ENSG00000176715, ENSG00000170248, ENSG00000179409, ENSG00000151348, ENSG00000166928, ENSG00000147676, ENSG00000173327, ENSG00000166927, ENSG00000121454, ENSG00000137098, ENSG00000152348, ENSG00000120539, ENSG00000005194, ENSG00000138829, ENSG00000162415, ENSG00000171469, ENSG00000118997, ENSG00000144161, ENSG00000197712, ENSG00000131849, ENSG00000171903, ENSG00000088205, ENSG00000137860, ENSG00000163545, ENSG00000120675, ENSG00000151208, ENSG00000125166, ENSG00000145390, ENSG00000130348, ENSG00000131845, ENSG00000144152, ENSG00000166938, ENSG00000141150, ENSG00000102967, ENSG00000135074, ENSG00000111364, ENSG00000118197, ENSG00000156150, ENSG00000116406, ENSG00000204963, ENSG00000172340, ENSG00000141698, ENSG00000196867, ENSG00000155592, ENSG00000189306, ENSG00000138134, ENSG00000117174, ENSG00000153208, ENSG00000128944, ENSG00000196963, ENSG00000137877, ENSG00000198961, ENSG00000080345, ENSG00000112619, ENSG00000156096, ENSG00000165055, ENSG00000179913, ENSG00000204577, ENSG00000113212, ENSG00000067533, ENSG00000144824, ENSG00000110786, ENSG00000183665, ENSG00000100191, ENSG00000196584, ENSG00000197165, ENSG00000102468, ENSG00000196968, ENSG00000122417, ENSG00000136436, ENSG00000117481, ENSG00000117480, ENSG00000204149, ENSG00000176978, ENSG00000164393, ENSG00000131737, ENSG00000163933, ENSG00000172215, ENSG00000100299, ENSG00000100296, ENSG00000100197, ENSG00000196975, ENSG00000105808, ENSG00000105136, ENSG00000197969, ENSG00000144837, ENSG00000185238, ENSG00000133661, ENSG00000120658, ENSG00000013573, ENSG00000147789, ENSG00000148396, ENSG00000142166, ENSG00000136448, ENSG00000172322, ENSG00000122696, ENSG00000073670, ENSG00000128655, ENSG00000139116, ENSG00000100024, ENSG00000178852, ENSG00000151470, ENSG00000186132, ENSG00000137857, ENSG00000109163, ENSG00000198945, ENSG00000128652, ENSG00000164292, ENSG00000109265, ENSG00000166220, ENSG00000170866, ENSG00000148399, ENSG00000124406, ENSG00000138459, ENSG00000139505, ENSG00000197498, ENSG00000185344, ENSG00000131808, ENSG00000019169, ENSG00000188747, ENSG00000135744, ENSG00000170954, ENSG00000162669, ENSG00000165006, ENSG00000145725, ENSG00000163281, ENSG00000136021, ENSG00000115604, ENSG00000128645, ENSG00000135541, ENSG00000141994, ENSG00000108592, ENSG00000172955, ENSG00000125247, ENSG00000181827, ENSG00000130943, ENSG00000169062, ENSG00000176915, ENSG00000163807, ENSG00000182264, ENSG00000148672, ENSG00000170949, ENSG00000162365, ENSG00000163293, ENSG00000173805, ENSG00000108465, ENSG00000173226, ENSG00000152583, ENSG00000166140, ENSG00000132932, ENSG00000118217, ENSG00000125124, ENSG00000168394, ENSG00000122033, ENSG00000135972, ENSG00000182180, ENSG00000128891, ENSG00000057468, ENSG00000116191, ENSG00000145882, ENSG00000162782, ENSG00000162643, ENSG00000130193, ENSG00000134184, ENSG00000108187, ENSG00000178188, ENSG00000041515, ENSG00000173214, ENSG00000136108, ENSG00000204740, ENSG00000173210, ENSG00000142856, ENSG00000152749, ENSG00000162779, ENSG00000074582, ENSG00000189366, ENSG00000135778, ENSG00000169087, ENSG00000143850, ENSG00000040275, ENSG00000213512, ENSG00000135968, ENSG00000152760, ENSG00000166263, ENSG00000148655, ENSG00000165637, ENSG00000166260, ENSG00000183423, ENSG00000198682, ENSG00000169299, ENSG00000112339, ENSG00000103549, ENSG00000198680, ENSG00000128617, ENSG00000147894, ENSG00000162383, ENSG00000145020, ENSG00000141076, ENSG00000162769, ENSG00000069943, ENSG00000006114, ENSG00000141756, ENSG00000164045, ENSG00000198890, ENSG00000103168, ENSG00000198892, ENSG00000116785, ENSG00000169684, ENSG00000165406, ENSG00000113068, ENSG00000058085, ENSG00000168246, ENSG00000171574, ENSG00000155508, ENSG00000128408, ENSG00000164048, ENSG00000142082, ENSG00000122375, ENSG00000181240, ENSG00000013523, ENSG00000155393, ENSG00000153291, ENSG00000103479, ENSG00000163389, ENSG00000063127, ENSG00000100376, ENSG00000188820, ENSG00000172006, ENSG00000116688, ENSG00000122481, ENSG00000089847, ENSG00000140386, ENSG00000170906, ENSG00000122779, ENSG00000108823, ENSG00000196653, ENSG00000163749, ENSG00000164039, ENSG00000135698, ENSG00000122870, ENSG00000105497, ENSG00000136111, ENSG00000148719, ENSG00000105499, ENSG00000204839, ENSG00000147874, ENSG00000117834, ENSG00000163257, ENSG00000173124, ENSG00000134905, ENSG00000172803, ENSG00000132970, ENSG00000155275, ENSG00000204604, ENSG00000108439, ENSG00000116698, ENSG00000085514, ENSG00000163161, ENSG00000168124, ENSG00000149084, ENSG00000134283, ENSG00000117601, ENSG00000149089, ENSG00000185324, ENSG00000141873, ENSG00000135525, ENSG00000103245, ENSG00000112303, ENSG00000103248, ENSG00000156795, ENSG00000136144, ENSG00000103249, ENSG00000162885, ENSG00000129158, ENSG00000169247, ENSG00000154529, ENSG00000189190, ENSG00000114650, ENSG00000011376, ENSG00000103642, ENSG00000155530, ENSG00000189269, ENSG00000163072, ENSG00000148690, ENSG00000182077, ENSG00000129484, ENSG00000022556, ENSG00000116957, ENSG00000013306, ENSG00000103257, ENSG00000173145, ENSG00000148834, ENSG00000122367, ENSG00000172922, ENSG00000105479, ENSG00000164219, ENSG00000214022, ENSG00000197363, ENSG00000162877, ENSG00000183463, ENSG00000115183, ENSG00000129347, ENSG00000115107, ENSG00000008838, ENSG00000111405, ENSG00000153774, ENSG00000197321, ENSG00000100336, ENSG00000160256, ENSG00000164934, ENSG00000174606, ENSG00000171714, ENSG00000166997, ENSG00000107537, ENSG00000100330, ENSG00000174749, ENSG00000133574, ENSG00000102595, ENSG00000161714, ENSG00000174226, ENSG00000164830, ENSG00000168411, ENSG00000161653, ENSG00000120256, ENSG00000171045, ENSG00000184428, ENSG00000123643, ENSG00000161048, ENSG00000197479, ENSG00000070669, ENSG00000002933, ENSG00000069966, ENSG00000100347, ENSG00000117505, ENSG00000129595, ENSG00000176148, ENSG00000100483, ENSG00000154222, ENSG00000140455, ENSG00000100485, ENSG00000133466, ENSG00000154229, ENSG00000069869, ENSG00000187676, ENSG00000075234, ENSG00000075131, ENSG00000073146, ENSG00000099785, ENSG00000187741, ENSG00000205560, ENSG00000153898, ENSG00000107614, ENSG00000129562, ENSG00000133250, ENSG00000149489, ENSG00000149488, ENSG00000105397, ENSG00000197646, ENSG00000171502, ENSG00000189046, ENSG00000123191, ENSG00000039650, ENSG00000187048, ENSG00000137106, ENSG00000076662, ENSG00000120071, ENSG00000184613, ENSG00000083097, ENSG00000187758, ENSG00000164307, ENSG00000153786, ENSG00000164308, ENSG00000031691, ENSG00000124713, ENSG00000197653, ENSG00000122390, ENSG00000176393, ENSG00000176125, ENSG00000213347, ENSG00000174236, ENSG00000106565, ENSG00000168309, ENSG00000037757, ENSG00000186792, ENSG00000140474, ENSG00000057019, ENSG00000171763, ENSG00000198171, ENSG00000112357, ENSG00000138696, ENSG00000161016, ENSG00000108784, ENSG00000168765, ENSG00000107779, ENSG00000115866, ENSG00000168038, ENSG00000171865, ENSG00000171864, ENSG00000076685, ENSG00000187624, ENSG00000172992, ENSG00000102699, ENSG00000175356, ENSG00000072832, ENSG00000112874, ENSG00000125818, ENSG00000108771, ENSG00000115159, ENSG00000108774, ENSG00000116906, ENSG00000069275, ENSG00000161551, ENSG00000125912, ENSG00000085832, ENSG00000184674, ENSG00000165568, ENSG00000211456, ENSG00000135587, ENSG00000188056, ENSG00000016391, ENSG00000044459, ENSG00000155093, ENSG00000100300, ENSG00000099994, ENSG00000123545, ENSG00000140416, ENSG00000135480, ENSG00000134463, ENSG00000174482, ENSG00000112379, ENSG00000164904, ENSG00000174586, ENSG00000135211, ENSG00000160961, ENSG00000134744, ENSG00000115221, ENSG00000140545, ENSG00000168297, ENSG00000143776, ENSG00000143771, ENSG00000064012, ENSG00000198089, ENSG00000064115, ENSG00000119147, ENSG00000071967, ENSG00000188130, ENSG00000134201, ENSG00000134202, ENSG00000113734, ENSG00000152475, ENSG00000135205, ENSG00000168026, ENSG00000013374, ENSG00000168028, ENSG00000157637, ENSG00000160949, ENSG00000114857, ENSG00000120885, ENSG00000004809, ENSG00000149743, ENSG00000118322, ENSG00000138193, ENSG00000146707, ENSG00000064225, ENSG00000113318, ENSG00000079689, ENSG00000146700, ENSG00000156113, ENSG00000187260, ENSG00000099817, ENSG00000126602, ENSG00000138756, ENSG00000151773, ENSG00000178952, ENSG00000167670, ENSG00000152254, ENSG00000138658, ENSG00000117595, ENSG00000172469, ENSG00000104774, ENSG00000105639, ENSG00000140323, ENSG00000164659, ENSG00000138660, ENSG00000004534, ENSG00000152061, ENSG00000124593, ENSG00000112742, ENSG00000103932, ENSG00000145246, ENSG00000172548, ENSG00000166796, ENSG00000198482, ENSG00000087253, ENSG00000167766, ENSG00000180376, ENSG00000101276, ENSG00000186204, ENSG00000137074, ENSG00000054219, ENSG00000113504, ENSG00000112053, ENSG00000130413, ENSG00000127399, ENSG00000112852, ENSG00000128928, ENSG00000140400, ENSG00000198046, ENSG00000099984, ENSG00000127364, ENSG00000119242, ENSG00000111879, ENSG00000101282, ENSG00000186818, ENSG00000105650, ENSG00000104899, ENSG00000188372, ENSG00000109854, ENSG00000167914, ENSG00000141295, ENSG00000124587, ENSG00000143224, ENSG00000133103, ENSG00000121064, ENSG00000125637, ENSG00000153113, ENSG00000131558, ENSG00000138744, ENSG00000125630, ENSG00000112130, ENSG00000188234, ENSG00000185880, ENSG00000144369, ENSG00000126231, ENSG00000032742, ENSG00000167646, ENSG00000112139, ENSG00000159111, ENSG00000006282, ENSG00000144362, ENSG00000070601, ENSG00000088876, ENSG00000100106, ENSG00000130518, ENSG00000026103, ENSG00000106348, ENSG00000185829, ENSG00000090661, ENSG00000133433, ENSG00000174652, ENSG00000104731, ENSG00000124749, ENSG00000183748, ENSG00000140876, ENSG00000125885, ENSG00000065328, ENSG00000146833, ENSG00000005882, ENSG00000133424, ENSG00000213366, ENSG00000137135, ENSG00000160226, ENSG00000113812, ENSG00000125618, ENSG00000131471, ENSG00000164989, ENSG00000160223, ENSG00000167523, ENSG00000133818, ENSG00000186976, ENSG00000164609, ENSG00000104472, ENSG00000138621, ENSG00000174514, ENSG00000065457, ENSG00000158113, ENSG00000104883, ENSG00000179299, ENSG00000184983, ENSG00000167920, ENSG00000137764, ENSG00000111450, ENSG00000180953, ENSG00000133710, ENSG00000138777, ENSG00000188000, ENSG00000100225, ENSG00000167555, ENSG00000136643, ENSG00000087008, ENSG00000123096, ENSG00000131398, ENSG00000166788, ENSG00000099330, ENSG00000213231, ENSG00000186867, ENSG00000141252, ENSG00000076924, ENSG00000172543, ENSG00000101247, ENSG00000064313, ENSG00000171806, ENSG00000144791, ENSG00000133706, ENSG00000133704, ENSG00000184459, ENSG00000125734, ENSG00000105982, ENSG00000104450, ENSG00000186952, ENSG00000196263, ENSG00000105700, ENSG00000157259, ENSG00000167608, ENSG00000118514, ENSG00000101255, ENSG00000125871, ENSG00000178209, ENSG00000196365, ENSG00000167747, ENSG00000117226, ENSG00000125877	1050	10275	15880	1.0877367628316534	0.08292126297739355	0.08292126297739355	0.06203118364088711
GOTERM_MF_FAT	GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups	12	1.1173184357541899	4.983904595555469E-5	ENSG00000152904, ENSG00000213366, ENSG00000099984, ENSG00000134201, ENSG00000134202, ENSG00000168765, ENSG00000184674, ENSG00000133433, ENSG00000134184, ENSG00000148834, ENSG00000203668, ENSG00000164219, ENSG00000008394	706	42	10941	4.427762039660057	0.04362679252810586	0.02205664403714358	0.07760232150839652
UP_SEQ_FEATURE	domain:GST N-terminal	8	0.74487895716946	5.81326022143406E-5	ENSG00000213366, ENSG00000148834, ENSG00000099984, ENSG00000134201, ENSG00000134202, ENSG00000168765, ENSG00000134184, ENSG00000133433, ENSG00000184674	1050	17	15880	7.117086834733893	0.13305333524583318	0.06890029279664855	0.1022954484970584
INTERPRO	IPR001909:Krueppel-associated  box	38	3.5381750465549344	5.821051509295406E-5	ENSG00000088876, ENSG00000204604, ENSG00000198046, ENSG00000141040, ENSG00000184517, ENSG00000083828, ENSG00000197128, ENSG00000167555, ENSG00000171574, ENSG00000160961, ENSG00000121417, ENSG00000164048, ENSG00000197928, ENSG00000174652, ENSG00000196378, ENSG00000105136, ENSG00000171469, ENSG00000131849, ENSG00000089335, ENSG00000172006, ENSG00000147789, ENSG00000131845, ENSG00000161551, ENSG00000198169, ENSG00000204946, ENSG00000204947, ENSG00000182986, ENSG00000186448, ENSG00000170949, ENSG00000105497, ENSG00000198482, ENSG00000196867, ENSG00000196263, ENSG00000198466, ENSG00000155592, ENSG00000197363, ENSG00000196693, ENSG00000197362	931	284	14052	2.0195458465076173	0.07670726530009753	0.03911877180376633	0.09562371256872648
