AssociatedGeneName EnsemblGeneID h2.NerveTibial se.NerveTibial ensid
GSTT1 ENSG00000184674.8 0.671726 0.065848 ENSG00000184674
NIPAL2 ENSG00000104361.5 0.316593 0.088382 ENSG00000104361
PEX11G ENSG00000104883.3 0.214211 0.102417 ENSG00000104883
FAM118A ENSG00000100376.7 0.835036 0.04646 ENSG00000100376
PILRA ENSG00000085514.10 0.384915 0.077717 ENSG00000085514
RPS28 ENSG00000233927.4 0.841437 0.041834 ENSG00000233927
TREML4 ENSG00000188056.7 0.405242 0.094986 ENSG00000188056
RNPEP ENSG00000176393.6 0.241934 0.098963 ENSG00000176393
VPS53 ENSG00000141252.15 0.426738 0.081801 ENSG00000141252
ZP3 ENSG00000188372.10 0.641902 0.063097 ENSG00000188372
RPL9 ENSG00000163682.11 0.82601 0.039104 ENSG00000163682
ST20 ENSG00000180953.7 0.741533 0.061731 ENSG00000180953
ITGB3BP ENSG00000142856.12 0.74768 0.051701 ENSG00000142856
ABCA7 ENSG00000064687.8 0.418877 0.10065 ENSG00000064687
ACCS ENSG00000110455.9 0.770083 0.057711 ENSG00000110455
GSTT2 ENSG00000099984.6 0.692662 0.063732 ENSG00000099984
GSTT2B ENSG00000133433.6 0.605142 0.078228 ENSG00000133433
SPATA20 ENSG00000006282.15 0.849371 0.040661 ENSG00000006282
OPRL1 ENSG00000125510.11 0.32428 0.090887 ENSG00000125510
SLC26A8 ENSG00000112053.9 0.340593 0.082351 ENSG00000112053
PSD4 ENSG00000125637.10 0.433433 0.087803 ENSG00000125637
CNTNAP3B ENSG00000154529.10 0.655304 0.112544 ENSG00000154529
RNASET2 ENSG00000026297.11 0.205022 0.08155 ENSG00000026297
RDH13 ENSG00000160439.10 0.464174 0.093362 ENSG00000160439
AGAP7 ENSG00000204169.6 0.444344 0.104745 ENSG00000204169
APOBEC3G ENSG00000239713.3 0.421349 0.090413 ENSG00000239713
NOD2 ENSG00000167207.7 0.169209 0.075338 ENSG00000167207
LRRC61 ENSG00000127399.10 0.417143 0.077628 ENSG00000127399
FADS2 ENSG00000134824.9 0.246045 0.086652 ENSG00000134824
LRRC37A ENSG00000176681.10 0.412421 0.090218 ENSG00000176681
SMTNL1 ENSG00000214872.4 0.469148 0.083074 ENSG00000214872
RFWD3 ENSG00000168411.9 0.187824 0.084732 ENSG00000168411
TMEM9 ENSG00000116857.11 0.433293 0.094399 ENSG00000116857
NT5C3B ENSG00000141698.12 0.637256 0.064448 ENSG00000141698
KNSTRN ENSG00000128944.8 0.674539 0.062661 ENSG00000128944
MYCBPAP ENSG00000136449.9 0.185566 0.082838 ENSG00000136449
CTSW ENSG00000172543.3 0.424272 0.079167 ENSG00000172543
ADAD2 ENSG00000140955.6 0.296659 0.110479 ENSG00000140955
ZNF436 ENSG00000125945.9 0.353558 0.091831 ENSG00000125945
HPR ENSG00000261701.2 0.430772 0.0874 ENSG00000261701
HAUS4 ENSG00000092036.12 0.410689 0.088388 ENSG00000092036
KIF16B ENSG00000089177.13 0.36913 0.100017 ENSG00000089177
H3F3A ENSG00000163041.5 0.468045 0.084478 ENSG00000163041
KIAA1715 ENSG00000144320.9 0.18496 0.073422 ENSG00000144320
QRSL1 ENSG00000130348.7 0.458115 0.07923 ENSG00000130348
STOX1 ENSG00000165730.10 0.319976 0.086219 ENSG00000165730
PLA2G4C ENSG00000105499.9 0.384648 0.086848 ENSG00000105499
CYP2D6 ENSG00000100197.16 0.393261 0.087508 ENSG00000100197
DHFR ENSG00000228716.2 0.339231 0.082476 ENSG00000228716
SLC1A7 ENSG00000162383.7 0.335226 0.085927 ENSG00000162383
CNGA1 ENSG00000198515.9 0.316247 0.074747 ENSG00000198515
G6PC2 ENSG00000152254.6 0.382778 0.083782 ENSG00000152254
APIP ENSG00000149089.8 0.624844 0.067975 ENSG00000149089
LRRC37A2 ENSG00000238083.3 0.544525 0.080899 ENSG00000238083
TUFM ENSG00000178952.4 0.262016 0.081185 ENSG00000178952
RRP7A ENSG00000189306.6 0.418446 0.096608 ENSG00000189306
IFITM3 ENSG00000142089.11 0.185636 0.083777 ENSG00000142089
AL359195.1 ENSG00000204038.3 0.449683 0.082126 ENSG00000204038
TACSTD2 ENSG00000184292.5 0.204029 0.093166 ENSG00000184292
PCDHB8 ENSG00000120322.2 0.350716 0.085717 ENSG00000120322
ZNF266 ENSG00000174652.13 0.663105 0.060274 ENSG00000174652
APOL4 ENSG00000100336.13 0.282781 0.09858 ENSG00000100336
ETV7 ENSG00000010030.9 0.204771 0.081849 ENSG00000010030
GBP3 ENSG00000117226.7 0.583954 0.073494 ENSG00000117226
CDHR3 ENSG00000128536.11 0.303906 0.096003 ENSG00000128536
PILRB ENSG00000121716.13 0.539254 0.078441 ENSG00000121716
C15orf57 ENSG00000128891.11 0.533549 0.073565 ENSG00000128891
IFT88 ENSG00000032742.13 0.191205 0.075794 ENSG00000032742
ARL14EP ENSG00000152219.4 0.190678 0.070737 ENSG00000152219
ANXA8L2 ENSG00000186807.9 0.389122 0.082822 ENSG00000186807
GSTM2 ENSG00000213366.8 0.204281 0.101188 ENSG00000213366
CISD1 ENSG00000122873.7 0.247889 0.07815 ENSG00000122873
TMEM50B ENSG00000142188.12 0.533674 0.075132 ENSG00000142188
RAD51C ENSG00000108384.10 0.152388 0.066392 ENSG00000108384
CAST ENSG00000153113.19 0.653877 0.069475 ENSG00000153113
C17orf97 ENSG00000187624.7 0.717063 0.066352 ENSG00000187624
ADAT1 ENSG00000065457.6 0.616963 0.068224 ENSG00000065457
HMGXB3 ENSG00000113716.8 0.262317 0.089059 ENSG00000113716
NME4 ENSG00000103202.8 0.250431 0.096818 ENSG00000103202
GCC2 ENSG00000135968.15 0.35872 0.081897 ENSG00000135968
OPN4 ENSG00000122375.7 0.346123 0.081406 ENSG00000122375
PCDHB11 ENSG00000197479.4 0.213223 0.082819 ENSG00000197479
CYP4F11 ENSG00000171903.11 0.768615 0.051405 ENSG00000171903
