gname	h2PB
A1BG	-0.255824913
A1CF	0.051127395
A2M	0.491165903
A2ML1	0.106406898
A3GALT2	0.207432137
A4GALT	0.038340426
A4GNT	0.281193635
AAAS	0.074082045
AACS	0.03562607
AACSP1	-0.069494758
AADAC	-0.204917554
AADACL2	0.131917053
AADACL3	-0.005400155
AADACL4	-0.047334968
AADAT	0.179549365
AAED1	-0.275403381
AAGAB	0.27257786
AAK1	0.231981321
AAMDC	-0.159257276
AAMP	0.07897351
AANAT	0.016021037
AAR2	0.116798128
AARD	0.032002192
AARS	0.117472298
AARS2	0.012116298
AASDH	0.088063442
AASDHPPT	-0.008650463
AASS	0.058365433
AATF	0.060715538
AATK	0.20425673
ABAT	0.13429284
ABCA1	0.125145884
ABCA10	0.124384041
ABCA12	0.10848397
ABCA13	0.123676052
ABCA2	-0.064345076
ABCA3	0.033552543
ABCA4	0.087602145
ABCA5	0.070386238
ABCA6	0.06959858
ABCA7	0.247212755
ABCA8	0.040516511
ABCA9	0.217908059
ABCB1	-0.011319254
ABCB10	-0.186767968
ABCB11	0.158525655
ABCB4	0.243438536
ABCB5	0.219105154
ABCB8	0.267803641
ABCB9	0.161607133
ABCC1	0.223026292
ABCC10	0.060643996
ABCC11	0.239050246
ABCC12	0.032823736
ABCC13	0.202495954
ABCC2	0.1869119
ABCC3	0.386430847
ABCC4	0.15239455
ABCC5	0.100358066
ABCC6	0.111277835
ABCC6P1	-0.187427102
ABCC8	0.283752787
ABCC9	-0.04855875
ABCD2	0.108743133
ABCD3	0.19818883
ABCD4	0.098959229
ABCE1	0.039980377
ABCF1	0.199465257
ABCF2	-0.059409021
ABCF3	0.025264915
ABCG1	0.265007681
ABCG2	-0.071129063
ABCG4	0.122711149
ABCG5	0.03059034
ABCG8	-0.120946661
ABHD1	0.141270367
ABHD10	0.164288807
ABHD11	0.118569016
ABHD12	0.183408435
ABHD13	0.26572884
ABHD14A	0.044264411
ABHD14A-ACY1	-0.115393879
ABHD14B	0.199113
ABHD15	0.248532821
ABHD16B	-0.02234724
ABHD17B	0.23993442
ABHD17C	0.121223344
ABHD2	0.407097155
ABHD3	-0.086456051
ABHD4	0.148530229
ABHD5	0.357056579
ABHD6	0.180755447
ABHD8	0.061649845
ABI1	0.251114925
ABI2	0.193687799
ABI3	0.177763402
ABI3BP	-0.065334472
ABL1	0.244870796
ABL2	0.121521109
ABLIM1	0.290853841
ABLIM2	0.146112836
ABLIM3	0.31356489
ABO	0.120588926
ABR	0.134937401
ABRA	0.124728284
ABRACL	0.088568273
ABT1	0.239733501
ABTB1	0.13019089
ABTB2	0.208302459
ACAA1	0.146098925
ACACA	0.210484103
ACACB	0.019489141
ACAD10	0.072245403
ACAD8	0.04583458
ACAD9	0.22396133
ACADL	0.122212944
ACADM	0.149919376
ACADS	0.073110627
ACADSB	0.063842489
ACADVL	0.247053488
ACAN	0.153287875
ACAP1	0.09121839
ACAP2	0.155051308
ACAP3	-0.066623043
ACAT1	0.026601009
ACAT2	-0.073346367
ACBD3	-0.03961957
ACBD4	0.090488358
ACBD5	0.066441718
