AssociatedGeneName EnsemblGeneID h2.AdiposeSubcutaneous se.AdiposeSubcutaneous ensid
MDGA1 ENSG00000112139.9 0.130838 0.075503 ENSG00000112139
GSTT1 ENSG00000184674.8 0.130499 0.067038 ENSG00000184674
ADARB2 ENSG00000185736.11 0.065554 0.068378 ENSG00000185736
TMTC1 ENSG00000133687.11 0.1055 0.072823 ENSG00000133687
TMEM176A ENSG00000002933.3 0.028994 0.039848 ENSG00000002933
NIPAL2 ENSG00000104361.5 0.034451 0.047335 ENSG00000104361
APOBEC3B ENSG00000179750.11 0.02203 0.034053 ENSG00000179750
AOC1 ENSG00000002726.15 0.066991 0.060923 ENSG00000002726
PEX11G ENSG00000104883.3 0.019757 0.054762 ENSG00000104883
FAM118A ENSG00000100376.7 0.062638 0.066228 ENSG00000100376
PRUNE2 ENSG00000106772.13 0.059499 0.066248 ENSG00000106772
PILRA ENSG00000085514.10 0.052794 0.043485 ENSG00000085514
RPS28 ENSG00000233927.4 0.289535 0.087706 ENSG00000233927
PAM ENSG00000145730.16 0.045664 0.053375 ENSG00000145730
RNPEP ENSG00000176393.6 0.050099 0.064609 ENSG00000176393
SORCS2 ENSG00000184985.12 0.068989 0.076374 ENSG00000184985
PAPSS1 ENSG00000138801.4 0.015963 0.03756 ENSG00000138801
VPS53 ENSG00000141252.15 0.020498 0.044982 ENSG00000141252
SLC12A7 ENSG00000113504.15 0.12641 0.080702 ENSG00000113504
KIAA1324 ENSG00000116299.12 0.017433 0.040166 ENSG00000116299
NFXL1 ENSG00000170448.7 0.043892 0.040958 ENSG00000170448
RPL9 ENSG00000163682.11 0.246221 0.076334 ENSG00000163682
CPA5 ENSG00000158525.11 0.03344 0.054358 ENSG00000158525
NDST1 ENSG00000070614.10 0.062268 0.063834 ENSG00000070614
ADK ENSG00000156110.9 0.03468 0.044519 ENSG00000156110
UNC5B ENSG00000107731.8 0.062362 0.062326 ENSG00000107731
ABCA7 ENSG00000064687.8 0.024752 0.04891 ENSG00000064687
GSTT2 ENSG00000099984.6 0.30901 0.077711 ENSG00000099984
GSTT2B ENSG00000133433.6 0.194532 0.068842 ENSG00000133433
A4GALT ENSG00000128274.11 0.013027 0.040748 ENSG00000128274
MCOLN2 ENSG00000153898.8 0.111901 0.058387 ENSG00000153898
SPATA20 ENSG00000006282.15 0.072236 0.069286 ENSG00000006282
OPRL1 ENSG00000125510.11 0.018294 0.037021 ENSG00000125510
SEZ6 ENSG00000063015.15 0.02498 0.039974 ENSG00000063015
SLC26A8 ENSG00000112053.9 0.194997 0.079475 ENSG00000112053
C8orf31 ENSG00000177335.6 0.030014 0.046269 ENSG00000177335
SLC28A3 ENSG00000197506.6 0.100003 0.057232 ENSG00000197506
DCBLD1 ENSG00000164465.14 0.123761 0.058954 ENSG00000164465
CDKN3 ENSG00000100526.15 0.071711 0.058223 ENSG00000100526
CARKD ENSG00000213995.7 0.134589 0.079253 ENSG00000213995
KRT38 ENSG00000171360.3 0.02824 0.03693 ENSG00000171360
RDH13 ENSG00000160439.10 0.145559 0.077964 ENSG00000160439
APOBEC3G ENSG00000239713.3 0.018069 0.03683 ENSG00000239713
GSTM4 ENSG00000168765.11 0.043078 0.055712 ENSG00000168765
HOXB2 ENSG00000173917.9 0.059656 0.04257 ENSG00000173917
